SNP,Gene,chr,start,end,width,strand
PstI.TP1146105,Sobic.003G156500,Chr03,17294003,17303044,9042,+
PstI.TP1148487,Sobic.004G153000,Chr04,48395164,48399044,3881,+
PstI.TP1150566,Sobic.009G018200,Chr09,1669989,1672866,2878,-
PstI.TP116046,Sobic.007G192100,Chr07,62489682,62492948,3267,+
PstI.TP1187427,Sobic.006G145400,Chr06,50705338,50716476,11139,-
PstI.TP1187427,Sobic.006G145400,Chr06,50705339,50716476,11138,-
PstI.TP1187427,Sobic.006G145500,Chr06,50717155,50726722,9568,-
PstI.TP1187427,Sobic.006G145500,Chr06,50718232,50726722,8491,-
PstI.TP1212724,Sobic.001G444000,Chr01,72120795,72124345,3551,+
PstI.TP1218439,Sobic.009G175900,Chr09,53096875,53102171,5297,-
PstI.TP1218439,Sobic.009G175900,Chr09,53096909,53102171,5263,-
PstI.TP1218439,Sobic.009G175900,Chr09,53098542,53102549,4008,-
PstI.TP1225179,Sobic.006G219400,Chr06,56654817,56655429,613,+
PstI.TP1225179,Sobic.006G219300,Chr06,56642614,56655459,12846,-
PstI.TP1225179,Sobic.006G219300,Chr06,56642644,56655858,13215,-
PstI.TP1226186,Sobic.003G085100,Chr03,7340557,7343742,3186,+
PstI.TP123530,Sobic.010G085000,Chr10,7243613,7245489,1877,-
PstI.TP1235909,Sobic.004G303700,Chr04,64293408,64295083,1676,+
PstI.TP1235909,Sobic.004G303800,Chr04,64295772,64297291,1520,-
PstI.TP1250993,Sobic.004G007500,Chr04,665105,667038,1934,+
PstI.TP1254872,Sobic.007G137750,Chr07,56573347,56575999,2653,+
PstI.TP1254872,Sobic.007G137700,Chr07,56571473,56573346,1874,-
PstI.TP1263163,Sobic.009G071600,Chr09,8553616,8560111,6496,-
PstI.TP1263163,Sobic.009G071600,Chr09,8553630,8560103,6474,-
PstI.TP1263163,Sobic.009G071600,Chr09,8553631,8559166,5536,-
PstI.TP1272828,Sobic.010G251000,Chr10,59020575,59027965,7391,+
PstI.TP1294713,Sobic.010G054400,Chr10,4268508,4272050,3543,+
PstI.TP132940,Sobic.003G098401,Chr03,8688877,8692011,3135,+
PstI.TP153500,Sobic.002G415900,Chr02,76316326,76322556,6231,+
PstI.TP153500,Sobic.002G416000,Chr02,76322888,76329198,6311,-
PstI.TP190549,Sobic.007G142100,Chr07,57193804,57198082,4279,-
PstI.TP217199,Sobic.001G517800,Chr01,78394663,78400035,5373,+
PstI.TP228722,Sobic.006G176600,Chr06,53182512,53187346,4835,-
PstI.TP228722,Sobic.006G176600,Chr06,53182532,53187346,4815,-
PstI.TP233305,Sobic.003G417900,Chr03,72376391,72380819,4429,+
PstI.TP238422,Sobic.003G277600,Chr03,61330543,61337175,6633,+
PstI.TP238422,Sobic.003G277700,Chr03,61337288,61341144,3857,-
PstI.TP246674,Sobic.004G057500,Chr04,4599193,4602679,3487,+
PstI.TP246674,Sobic.004G057500,Chr04,4599194,4602685,3492,+
PstI.TP246674,Sobic.004G057500,Chr04,4599194,4602709,3516,+
PstI.TP246674,Sobic.004G057500,Chr04,4599218,4602675,3458,+
PstI.TP251038,Sobic.007G044100,Chr07,4452815,4462263,9449,+
PstI.TP26215,Sobic.009G006600,Chr09,582214,584551,2338,-
PstI.TP285646,Sobic.007G164400,Chr07,59944610,59946235,1626,-
PstI.TP292777,Sobic.007G213500,Chr07,64227573,64229696,2124,+
PstI.TP300328,Sobic.003G115400,Chr03,10398208,10400656,2449,-
PstI.TP317521,Sobic.004G325000,Chr04,66040983,66044797,3815,-
PstI.TP344899,Sobic.007G181600,Chr07,61481623,61484493,2871,-
PstI.TP385678,Sobic.002G153200,Chr02,45781720,45783353,1634,+
PstI.TP410209,Sobic.003G382500,Chr03,69598917,69603224,4308,-
PstI.TP418863,Sobic.006G265900,Chr06,59968764,59971233,2470,+
PstI.TP425751,Sobic.002G350400,Chr02,71460150,71463561,3412,+
PstI.TP433824,Sobic.003G234400,Chr03,57311562,57316959,5398,+
PstI.TP485051,Sobic.001G094600,Chr01,7257522,7260035,2514,-
PstI.TP521834,Sobic.004G187100,Chr04,53919932,53926437,6506,-
PstI.TP53013,Sobic.009G259900,Chr09,59321024,59328186,7163,+
PstI.TP532345,Sobic.009G099000,Chr09,38258489,38275612,17124,+
PstI.TP532345,Sobic.009G099100,Chr09,38276165,38281242,5078,-
PstI.TP532345,Sobic.009G099100,Chr09,38276165,38281484,5320,-
PstI.TP532345,Sobic.009G099100,Chr09,38276165,38281496,5332,-
PstI.TP532345,Sobic.009G099100,Chr09,38276165,38281509,5345,-
PstI.TP53685,Sobic.008G082800,Chr08,15752370,15754852,2483,-
PstI.TP541255,Sobic.010G192600,Chr10,53477729,53481217,3489,+
PstI.TP541255,Sobic.010G192600,Chr10,53477729,53484983,7255,+
PstI.TP543083,Sobic.007G068300,Chr07,7617494,7620027,2534,+
PstI.TP547023,Sobic.002G405800,Chr02,75554537,75564924,10388,-
PstI.TP570804,Sobic.004G053600,Chr04,4363597,4365472,1876,+
PstI.TP570804,Sobic.004G053600,Chr04,4363605,4365472,1868,+
PstI.TP570804,Sobic.004G053600,Chr04,4363605,4365607,2003,+
PstI.TP570804,Sobic.004G053600,Chr04,4363605,4366050,2446,+
PstI.TP570804,Sobic.004G053700,Chr04,4365616,4367727,2112,-
PstI.TP58391,Sobic.007G220150,Chr07,64847295,64850360,3066,+
PstI.TP58391,Sobic.007G220200,Chr07,64850475,64852082,1608,+
PstI.TP604956,Sobic.010G070100,Chr10,5627081,5630306,3226,-
PstI.TP607682,Sobic.006G239300,Chr06,57990555,57994242,3688,-
PstI.TP609962,Sobic.005G123500,Chr05,53906531,53909045,2515,-
PstI.TP617554,Sobic.007G035900,Chr07,3245212,3246147,936,-
PstI.TP629514,Sobic.006G057300,Chr06,40242354,40244140,1787,-
PstI.TP663163,Sobic.002G330400,Chr02,69906408,69909933,3526,+
PstI.TP69823,Sobic.001G429100,Chr01,70804848,70808500,3653,+
PstI.TP69959,Sobic.009G238500,Chr09,57639492,57641346,1855,-
PstI.TP704102,Sobic.003G413800,Chr03,72095299,72096870,1572,+
PstI.TP714651,Sobic.005G029700,Chr05,2631011,2641746,10736,-
PstI.TP719892,Sobic.005G167800,Chr05,64651919,64655299,3381,-
PstI.TP729133,Sobic.007G105800,Chr07,37734813,37735968,1156,+
PstI.TP737551,Sobic.006G235700,Chr06,57757224,57760331,3108,+
PstI.TP747686,Sobic.005G002400,Chr05,190488,194282,3795,+
PstI.TP775752,Sobic.010G146000,Chr10,41350269,41353669,3401,-
PstI.TP77980,Sobic.010G106900,Chr10,10334516,10347396,12881,+
PstI.TP794569,Sobic.002G037700,Chr02,3705260,3715914,10655,-
PstI.TP797446,Sobic.003G129600,Chr03,12133834,12140553,6720,-
PstI.TP802133,Sobic.004G162900,Chr04,51214219,51215601,1383,-
PstI.TP815977,Sobic.008G100801,Chr08,47697853,47699186,1334,+
PstI.TP815977,Sobic.008G100700,Chr08,47695374,47702005,6632,-
PstI.TP828064,Sobic.009G202801,Chr09,55172523,55178621,6099,-
PstI.TP850835,Sobic.001G079600,Chr01,6115167,6119223,4057,-
PstI.TP862775,Sobic.009G008100,Chr09,772264,776588,4325,+
PstI.TP866959,Sobic.009G145500,Chr09,50248696,50250327,1632,-
PstI.TP866959,Sobic.009G145600,Chr09,50251344,50255195,3852,-
PstI.TP869093,Sobic.001G140200,Chr01,11185282,11192665,7384,+
PstI.TP892749,Sobic.001G540300,Chr01,80311227,80316052,4826,+
PstI.TP892749,Sobic.001G540250,Chr01,80310404,80311199,796,-
PstI.TP994751,Sobic.010G268400,Chr10,60307573,60310425,2853,+
PstI.TP994751,Sobic.010G268500,Chr10,60310429,60313483,3055,-
PstI.TP995394,Sobic.009G149400,Chr09,50622315,50626169,3855,-
PstI.TP995394,Sobic.009G149500,Chr09,50626744,50630476,3733,-
PstI.TP998275,Sobic.004G103100,Chr04,9701720,9702196,477,-
GFSSContig15931_175,Sobic.001G475900,Chr01,74814983,74820643,5661,+
GFSSContig15931_175,Sobic.001G476000,Chr01,74820847,74822682,1836,+
GFSSContig19553_1853,Sobic.003G119400,Chr03,10802232,10806033,3802,+
NsiI.TP273928,Sobic.006G236800,Chr06,57835757,57839348,3592,+
NsiI.TP631452,Sobic.010G183032,Chr10,52285960,52287598,1639,-
PstI.TP1040925,Sobic.001G233800,Chr01,23056373,23058487,2115,+
PstI.TP1164091,Sobic.006G215000,Chr06,56315381,56321716,6336,+
PstI.TP166501,Sobic.001G205700,Chr01,18792767,18794927,2161,-
PstI.TP360715,Sobic.010G250500,Chr10,58958505,58959954,1450,+
PstI.TP424396,Sobic.003G161500,Chr03,19272846,19277057,4212,-
PstI.TP609740,Sobic.009G066500,Chr09,7284711,7286803,2093,-
PstI.TP609740,Sobic.009G066500,Chr09,7284711,7286852,2142,-
PstI.TP650798,Sobic.002G292000,Chr02,67008667,67010027,1361,+
PstI.TP650798,Sobic.002G292100,Chr02,67011078,67015058,3981,+
PstI.TP650798,Sobic.002G292100,Chr02,67011735,67015058,3324,+
PstI.TP6534,Sobic.004G306100,Chr04,64440836,64451263,10428,+
PstI.TP6534,Sobic.004G306200,Chr04,64451754,64453755,2002,-
PstI.TP676875,Sobic.003G039600,Chr03,3701476,3702424,949,-
PstI.TP797083,Sobic.003G245300,Chr03,58430977,58433031,2055,-
PstI.TP797083,Sobic.003G245300,Chr03,58431485,58433031,1547,-
PstI.TP832974,Sobic.001G466000,Chr01,73968592,73973515,4924,+
PstI.TP840657,Sobic.004G047400,Chr04,3855891,3860016,4126,+
PstI.TP840657,Sobic.004G047500,Chr04,3860175,3863495,3321,-
PstI.TP965825,Sobic.003G305500,Chr03,63529430,63531284,1855,-
PstI.TP977809,Sobic.005G118300,Chr05,51807190,51808133,944,-
PstI.TP977809,Sobic.005G118400,Chr05,51808626,51820846,12221,-
NsiI.TP308953,Sobic.008G084100,Chr08,16086555,16090281,3727,+
NsiI.TP514947,Sobic.006G171050,Chr06,52753701,52755221,1521,-
PstI.TP1200270,Sobic.002G111000,Chr02,13510967,13526982,16016,-
PstI.TP420365,Sobic.001G235266,Chr01,23556236,23558528,2293,-
PstI.TP647611,Sobic.004G244300,Chr04,59191248,59195520,4273,+
PstI.TP647611,Sobic.004G244400,Chr04,59195989,59204400,8412,-
PstI.TP647611,Sobic.004G244400,Chr04,59195989,59204402,8414,-
PstI.TP65271,Sobic.003G029900,Chr03,2655907,2661093,5187,+
PstI.TP745674,Sobic.003G337700,Chr03,66081053,66083714,2662,+
PstI.TP753385,Sobic.008G149450,Chr08,58261135,58262523,1389,-
NsiI.TP115990,,,,,,
NsiI.TP11666,,,,,,
NsiI.TP122100,,,,,,
NsiI.TP154371,,,,,,
NsiI.TP156483,,,,,,
NsiI.TP156483,,,,,,
NsiI.TP165765,,,,,,
NsiI.TP172212,,,,,,
NsiI.TP213158,,,,,,
NsiI.TP215181,,,,,,
NsiI.TP224601,,,,,,
NsiI.TP226043,,,,,,
NsiI.TP230244,,,,,,
NsiI.TP231253,,,,,,
NsiI.TP241298,,,,,,
NsiI.TP241831,,,,,,
NsiI.TP247987,,,,,,
NsiI.TP24973,,,,,,
NsiI.TP307255,,,,,,
NsiI.TP30868,,,,,,
NsiI.TP309946,,,,,,
NsiI.TP319204,,,,,,
NsiI.TP324732,,,,,,
NsiI.TP330963,,,,,,
NsiI.TP331606,,,,,,
NsiI.TP338280,,,,,,
NsiI.TP375399,,,,,,
NsiI.TP383201,,,,,,
NsiI.TP391506,,,,,,
NsiI.TP39895,,,,,,
NsiI.TP415654,,,,,,
NsiI.TP423584,,,,,,
NsiI.TP424524,,,,,,
NsiI.TP424524,,,,,,
NsiI.TP434358,,,,,,
NsiI.TP441664,,,,,,
NsiI.TP443023,,,,,,
NsiI.TP443125,,,,,,
NsiI.TP443279,,,,,,
NsiI.TP445310,,,,,,
NsiI.TP448134,,,,,,
NsiI.TP449698,,,,,,
NsiI.TP466452,,,,,,
NsiI.TP473151,,,,,,
NsiI.TP482576,,,,,,
NsiI.TP482576,,,,,,
NsiI.TP482576,,,,,,
NsiI.TP48486,,,,,,
NsiI.TP491797,,,,,,
NsiI.TP506284,,,,,,
NsiI.TP506284,,,,,,
NsiI.TP506284,,,,,,
NsiI.TP506284,,,,,,
NsiI.TP509333,,,,,,
NsiI.TP511244,,,,,,
NsiI.TP51472,,,,,,
NsiI.TP545368,,,,,,
NsiI.TP548243,,,,,,
NsiI.TP563229,,,,,,
NsiI.TP566474,,,,,,
NsiI.TP5701,,,,,,
NsiI.TP578256,,,,,,
NsiI.TP578256,,,,,,
NsiI.TP578256,,,,,,
NsiI.TP587756,,,,,,
NsiI.TP609571,,,,,,
NsiI.TP613708,,,,,,
NsiI.TP615473,,,,,,
NsiI.TP620600,,,,,,
NsiI.TP632086,,,,,,
NsiI.TP634727,,,,,,
NsiI.TP656422,,,,,,
NsiI.TP658897,,,,,,
NsiI.TP66555,,,,,,
NsiI.TP66555,,,,,,
NsiI.TP66555,,,,,,
NsiI.TP66555,,,,,,
NsiI.TP66555,,,,,,
NsiI.TP66555,,,,,,
NsiI.TP675510,,,,,,
NsiI.TP682707,,,,,,
NsiI.TP693731,,,,,,
NsiI.TP713435,,,,,,
NsiI.TP715620,,,,,,
NsiI.TP728788,,,,,,
NsiI.TP744668,,,,,,
NsiI.TP750615,,,,,,
NsiI.TP753053,,,,,,
NsiI.TP753852,,,,,,
NsiI.TP754072,,,,,,
NsiI.TP765320,,,,,,
NsiI.TP765320,,,,,,
NsiI.TP770913,,,,,,
NsiI.TP777080,,,,,,
NsiI.TP787181,,,,,,
NsiI.TP796495,,,,,,
NsiI.TP804180,,,,,,
NsiI.TP810561,,,,,,
NsiI.TP810561,,,,,,
NsiI.TP810561,,,,,,
NsiI.TP811997,,,,,,
NsiI.TP826891,,,,,,
NsiI.TP827851,,,,,,
NsiI.TP827851,,,,,,
NsiI.TP827851,,,,,,
NsiI.TP827851,,,,,,
NsiI.TP827851,,,,,,
NsiI.TP84023,,,,,,
PstI.TP1014541,,,,,,
PstI.TP1016686,,,,,,
PstI.TP1021221,,,,,,
PstI.TP1029642,,,,,,
PstI.TP1032333,,,,,,
PstI.TP1032333,,,,,,
PstI.TP104645,,,,,,
PstI.TP10552,,,,,,
PstI.TP1071296,,,,,,
PstI.TP1071296,,,,,,
PstI.TP1071296,,,,,,
PstI.TP1071296,,,,,,
PstI.TP1079991,,,,,,
PstI.TP1089091,,,,,,
PstI.TP1123892,,,,,,
PstI.TP1127198,,,,,,
PstI.TP1127198,,,,,,
PstI.TP1128716,,,,,,
PstI.TP1151011,,,,,,
PstI.TP1151415,,,,,,
PstI.TP1154493,,,,,,
PstI.TP1160897,,,,,,
PstI.TP1164803,,,,,,
PstI.TP1166684,,,,,,
PstI.TP117838,,,,,,
PstI.TP117838,,,,,,
PstI.TP1184037,,,,,,
PstI.TP1188898,,,,,,
PstI.TP1193826,,,,,,
PstI.TP1198406,,,,,,
PstI.TP1204344,,,,,,
PstI.TP1213759,,,,,,
PstI.TP1225854,,,,,,
PstI.TP1237979,,,,,,
PstI.TP1242757,,,,,,
PstI.TP1250222,,,,,,
PstI.TP1250222,,,,,,
PstI.TP1268841,,,,,,
PstI.TP128846,,,,,,
PstI.TP128846,,,,,,
PstI.TP128846,,,,,,
PstI.TP132021,,,,,,
PstI.TP139250,,,,,,
PstI.TP140756,,,,,,
PstI.TP141279,,,,,,
PstI.TP142256,,,,,,
PstI.TP142256,,,,,,
PstI.TP154137,,,,,,
PstI.TP15637,,,,,,
PstI.TP158908,,,,,,
PstI.TP18079,,,,,,
PstI.TP19142,,,,,,
PstI.TP192620,,,,,,
PstI.TP202435,,,,,,
PstI.TP224188,,,,,,
PstI.TP229079,,,,,,
PstI.TP230112,,,,,,
PstI.TP241242,,,,,,
PstI.TP250138,,,,,,
PstI.TP253210,,,,,,
PstI.TP25647,,,,,,
PstI.TP257951,,,,,,
PstI.TP288023,,,,,,
PstI.TP30419,,,,,,
PstI.TP312941,,,,,,
PstI.TP31637,,,,,,
PstI.TP31817,,,,,,
PstI.TP320216,,,,,,
PstI.TP321657,,,,,,
PstI.TP323391,,,,,,
PstI.TP324568,,,,,,
PstI.TP339945,,,,,,
PstI.TP339945,,,,,,
PstI.TP355049,,,,,,
PstI.TP356174,,,,,,
PstI.TP36125,,,,,,
PstI.TP36138,,,,,,
PstI.TP369656,,,,,,
PstI.TP393060,,,,,,
PstI.TP401147,,,,,,
PstI.TP401147,,,,,,
PstI.TP401147,,,,,,
PstI.TP409444,,,,,,
PstI.TP411848,,,,,,
PstI.TP411848,,,,,,
PstI.TP411848,,,,,,
PstI.TP411848,,,,,,
PstI.TP411848,,,,,,
PstI.TP411848,,,,,,
PstI.TP432918,,,,,,
PstI.TP433234,,,,,,
PstI.TP433234,,,,,,
PstI.TP433679,,,,,,
PstI.TP433679,,,,,,
PstI.TP433679,,,,,,
PstI.TP440570,,,,,,
PstI.TP451853,,,,,,
PstI.TP45703,,,,,,
PstI.TP465891,,,,,,
PstI.TP47447,,,,,,
PstI.TP47447,,,,,,
PstI.TP480983,,,,,,
PstI.TP492299,,,,,,
PstI.TP492299,,,,,,
PstI.TP492299,,,,,,
PstI.TP492299,,,,,,
PstI.TP501240,,,,,,
PstI.TP503391,,,,,,
PstI.TP508209,,,,,,
PstI.TP513843,,,,,,
PstI.TP513843,,,,,,
PstI.TP532131,,,,,,
PstI.TP574906,,,,,,
PstI.TP58484,,,,,,
PstI.TP58484,,,,,,
PstI.TP58484,,,,,,
PstI.TP58484,,,,,,
PstI.TP588590,,,,,,
PstI.TP597057,,,,,,
PstI.TP6058,,,,,,
PstI.TP636384,,,,,,
PstI.TP63668,,,,,,
PstI.TP63668,,,,,,
PstI.TP63668,,,,,,
PstI.TP641518,,,,,,
PstI.TP646910,,,,,,
PstI.TP69104,,,,,,
PstI.TP698973,,,,,,
PstI.TP705377,,,,,,
PstI.TP713758,,,,,,
PstI.TP724007,,,,,,
PstI.TP737962,,,,,,
PstI.TP737962,,,,,,
PstI.TP737962,,,,,,
PstI.TP737962,,,,,,
PstI.TP749093,,,,,,
PstI.TP752361,,,,,,
PstI.TP758246,,,,,,
PstI.TP771300,,,,,,
PstI.TP771300,,,,,,
PstI.TP788810,,,,,,
PstI.TP803637,,,,,,
PstI.TP808677,,,,,,
PstI.TP81008,,,,,,
PstI.TP81008,,,,,,
PstI.TP816953,,,,,,
PstI.TP834454,,,,,,
PstI.TP834454,,,,,,
PstI.TP834454,,,,,,
PstI.TP834967,,,,,,
PstI.TP834967,,,,,,
PstI.TP834967,,,,,,
PstI.TP836173,,,,,,
PstI.TP838943,,,,,,
PstI.TP838943,,,,,,
PstI.TP838943,,,,,,
PstI.TP846513,,,,,,
PstI.TP849929,,,,,,
PstI.TP856013,,,,,,
PstI.TP856013,,,,,,
PstI.TP867369,,,,,,
PstI.TP871892,,,,,,
PstI.TP875140,,,,,,
PstI.TP875140,,,,,,
PstI.TP881941,,,,,,
PstI.TP902502,,,,,,
PstI.TP908218,,,,,,
PstI.TP916844,,,,,,
PstI.TP977299,,,,,,
PstI.TP984199,,,,,,
