"","X","SNP","Gene","ID","Chromosome","Position","Trait.name","PS","Ind.SNP","SUPER","FarmCPU","mrMLM","rrBLUP","GLM","MAF.1.x","PVE.1.y","Gene.num","chr","start","end","width","strand","dis_start.positon","dis_positon.end","X.pacId","locusName","transcriptName","peptideName","Pfam","Panther","KOG","ec","KO","GO","Best.hit.arabi.name","arabi.symbol","arabi.defline","Best.hit.rice.name","rice.symbol","rice.defline"
"53",159,"NsiI.TP41841","Sobic.002G393600","CmD_LI_mm.3",2,74627859,"CmD_LI_mm","CmD_LI_mm(PS_N(1))","CmD_LI_mm(124+36088im(1))","","","CmD_LI_mm(FASTmrMLM(1))","","",0.0806,3.098,1,"Chr02",74626329,74631459,5131,"+",-1530,-3600,37949738,"Sobic.002G393600","Sobic.002G393600.1","Sobic.002G393600.1.p","PF00657","PTHR22835,PTHR22835:SF235","","3.1.1.49","","GO:0016788","AT1G28600.1","","GDSL-like Lipase/Acylhydrolase superfamily protein","LOC_Os07g44780.1",NA,"GDSL-like lipase/acylhydrolase, putative, expressed"
"54",160,"NsiI.TP42003","Sobic.008G191800","CmN.37",8,62544570,"CmN","CmN(PS_N(2);PS_Y(1))","CmN(124+36088im(3))","","","CmN(FASTmrMLM(2)pKWmEB(1))","","",0.1169,10.32,1,"Chr08",62544046,62545439,1394,"-",-524,-869,37927000,"Sobic.008G191800","Sobic.008G191800.1","Sobic.008G191800.1.p","PF02362","PTHR31674,PTHR31674:SF1","","","","GO:0003677","AT5G66980.1","","AP2/B3-like transcriptional factor family protein","LOC_Os03g11370.1",NA,"B3 DNA binding domain containing protein, expressed"
"55",165,"NsiI.TP434679","Sobic.003G128575","CmN.39",3,11842346,"CmN","CmN(PS_N(3))","CmN(C116+3293(1);C124+2560(2))","","CmN(FarmCPU(2))","CmN(pLARmEB(1))","","",0.1107,4.918,1,"Chr03",11840730,11841718,989,"-",-1616,628,37914671,"Sobic.003G128575","Sobic.003G128575.1","Sobic.003G128575.1.p","","","","","","","","","","",NA,""
"56",166,"NsiI.TP438910","Sobic.004G344200","CmD_BI_mm.5",4,67451505,"CmD_BI_mm","CmD_BI_mm(PS_N(1);PS_Y(1))","CmD_BI_mm(124+36088im(2))","","","CmD_BI_mm(FASTmrMLM(1)mrMLM(1))","","",0.1885,23.5,2,"Chr04",67442362,67451659,9298,"+",-9143,-154,37929546,"Sobic.004G344200","Sobic.004G344200.2","Sobic.004G344200.2.p","PF12348","PTHR21567,PTHR21567:SF36","","","K16578","","AT2G20190.1","ATCLASP,CLASP","CLIP-associated protein","LOC_Os02g57120.1",NA,"HEAT repeat family protein, putative, expressed"
"57",170,"NsiI.TP441693","Sobic.003G029900","Bcirc_cm.14",3,2660294,"Bcirc_cm","Bcirc_cm(PS_Y(1))","Bcirc_cm(124+36088im(1))","","","Bcirc_cm(ISIS EM-BLASSO(1))","","",0.0927,0.8278,1,"Chr03",2655907,2661093,5187,"+",-4387,-799,37912825,"Sobic.003G029900","Sobic.003G029900.1","Sobic.003G029900.1.p","PF01565,PF09265","PTHR13878,PTHR13878:SF14","KOG1231","1.5.99.12","K00279","GO:0055114,GO:0050660,GO:0016491,GO:0019139,GO:0009690","AT1G75450.1","ATCKX5,ATCKX6,CKX5","cytokinin oxidase 5","LOC_Os01g10110.1",NA,"cytokinin dehydrogenase precursor, putative, expressed"
"59",177,"NsiI.TP447144","Sobic.003G305500","Yld_kg.10",3,63530717,"Yld_kg","Yld_kg(PS_N(1))","Yld_kg(C106+4202(1))","","","Yld_kg(ISIS EM-BLASSO(1))","","",0.0849,0,1,"Chr03",63529430,63531284,1855,"-",-1287,-567,37918609,"Sobic.003G305500","Sobic.003G305500.1","Sobic.003G305500.1.p","PF04788","PTHR31300,PTHR31300:SF4","","","","","AT5G66740.1","","Protein of unknown function (DUF620)","LOC_Os01g55795.1",NA,"expressed protein"
"61",184,"NsiI.TP46196","Sobic.001G297600","CmDW_g.4",1,57778864,"CmDW_g","CmDW_g(PS_N(1))","CmDW_g(124+36088im(1))","","CmDW_g(FarmCPU(1))","","","",0.1229,0.184,1,"Chr01",57777901,57781542,3642,"-",-963,-2678,37937468,"Sobic.001G297600","Sobic.001G297600.1","Sobic.001G297600.1.p","PF07690","PTHR23500,PTHR23500:SF179","KOG0254","","","GO:0055085,GO:0016021","AT5G61520.1","","Major facilitator superfamily protein","LOC_Os10g41190.1",NA,"transporter family protein, putative, expressed"
"62",186,"NsiI.TP465791","Sobic.001G476000","CmN.46",1,74820948,"CmN","CmN(PS_Y(3))","CmN(124+36088im(3))","CmN(CMLM+SUPER(1)MLM+SUPER(1))","","","","CmN(GLM(1))",0.1307,8.483,1,"Chr01",74820847,74822682,1836,"+",-101,-1734,37942622,"Sobic.001G476000","Sobic.001G476000.1","Sobic.001G476000.1.p","","PTHR35164,PTHR35164:SF3","","","","","AT4G40020.1","","Myosin heavy chain-related protein","LOC_Os03g08980.1",NA,"expressed protein"
"63",187,"NsiI.TP465791","Sobic.001G475900","CmN.46",1,74820948,"CmN","CmN(PS_Y(3))","CmN(124+36088im(3))","CmN(CMLM+SUPER(1)MLM+SUPER(1))","","","","CmN(GLM(1))",0.1307,8.483,1,"Chr01",74814983,74820643,5661,"+",-5965,305,37938906,"Sobic.001G475900","Sobic.001G475900.1","Sobic.001G475900.1.p","PF00107,PF08240","PTHR11695,PTHR11695:SF592","","1.1.1.1","K00121","GO:0055114,GO:0016491,GO:0008270","AT5G42250.1","","Zinc-binding alcohol dehydrogenase family protein","LOC_Os07g42924.1",NA,"dehydrogenase, putative, expressed"
"64",189,"NsiI.TP471156","Sobic.006G071096","CmD_LI_mm.4",6,43353284,"CmD_LI_mm","CmD_LI_mm(PS_Y(1))","CmD_LI_mm(124+36088im(1))","","","CmD_LI_mm(mrMLM(1))","","",0.041,15.91,1,"Chr06",43353433,43354267,835,"+",149,-983,37949196,"Sobic.006G071096","Sobic.006G071096.1","Sobic.006G071096.1.p","PF11250","PTHR33155,PTHR33155:SF5","","","","","","","","LOC_Os04g33710.1",NA,"expressed protein"
"66",192,"NsiI.TP482264","Sobic.001G376600","Bcirc_cm.16",1,66520178,"Bcirc_cm","Bcirc_cm(PS_N(1))","Bcirc_cm(C124+2560(1))","","","Bcirc_cm(FASTmrEMMA(1))","","",0.0524,1.3e-10,1,"Chr01",66519811,66521335,1525,"+",-367,-1157,37939217,"Sobic.001G376600","Sobic.001G376600.1","Sobic.001G376600.1.p","PF01776","PTHR10064,PTHR10064:SF5","KOG3434","","K02891","GO:0006412,GO:0005840,GO:0005622,GO:0003735","AT3G05560.1","","Ribosomal L22e protein family","LOC_Os03g22340.1",NA,"60S ribosomal protein L22-2, putative, expressed"
"67",197,"NsiI.TP488601","Sobic.001G082900","Cml_cm.15",1,6409370,"Cml_cm","Cml_cm(PS_N(1))","Cml_cm(C124+2560(1))","","","Cml_cm(pLARmEB(1))","","",0.3033,4.942,1,"Chr01",6405202,6408722,3521,"+",-4168,648,37940338,"Sobic.001G082900","Sobic.001G082900.1","Sobic.001G082900.1.p","PF07059","PTHR31558,PTHR31558:SF5","","","","","AT1G13970.1","","Protein of unknown function (DUF1336)","LOC_Os03g55180.1",NA,"DUF1336 domain containing protein, expressed"
"68",198,"NsiI.TP488601","Sobic.001G083000","Cml_cm.15",1,6409370,"Cml_cm","Cml_cm(PS_N(1))","Cml_cm(C124+2560(1))","","","Cml_cm(pLARmEB(1))","","",0.3033,4.942,1,"Chr01",6408709,6412370,3662,"-",-661,-3000,37937723,"Sobic.001G083000","Sobic.001G083000.1","Sobic.001G083000.1.p","PF03106","PTHR31221,PTHR31221:SF24","","","","GO:0043565,GO:0006355,GO:0003700","AT1G13960.1","WRKY4","WRKY DNA-binding protein 4","LOC_Os04g39570.1",NA,"WRKY35, expressed"
"69",205,"NsiI.TP488716","Sobic.005G054800","CmD_LI_mm.6",5,5554725,"CmD_LI_mm","CmD_LI_mm(PS_N(1))","CmD_LI_mm(124+36088im(1))","","CmD_LI_mm(FarmCPU(1))","","","",0.2188,3.959,1,"Chr05",5554693,5556369,1677,"+",-32,-1644,37924419,"Sobic.005G054800","Sobic.005G054800.1","Sobic.005G054800.1.p","PF09118,PF07250","PTHR32208,PTHR32208:SF19","","1.1.3.9","","","AT3G57620.1","","glyoxal oxidase-related protein","LOC_Os11g06870.1",NA,"glyoxal oxidase-related, putative, expressed"
"70",207,"NsiI.TP494603","Sobic.002G221000","CmN.49",2,61270017,"CmN","CmN(PS_Y(2))","CmN(124+36088im(2))","CmN(CMLM+SUPER(1)MLM+SUPER(1))","","","","",0.2016,3.371,1,"Chr02",61270216,61273127,2912,"+",199,-3110,37955288,"Sobic.002G221000","Sobic.002G221000.1","Sobic.002G221000.1.p","PF00628","PTHR15856,PTHR15856:SF15","KOG1844","","","GO:0005515","AT5G22260.1","MS1","RING/FYVE/PHD zinc finger superfamily protein","LOC_Os09g27620.1",NA,"PHD-finger domain containing protein, putative, expressed"
"71",208,"NsiI.TP494603","Sobic.002G220900","CmN.49",2,61270017,"CmN","CmN(PS_Y(2))","CmN(124+36088im(2))","CmN(CMLM+SUPER(1)MLM+SUPER(1))","","","","",0.2016,3.371,1,"Chr02",61262610,61269841,7232,"+",-7407,176,37951834,"Sobic.002G220900","Sobic.002G220900.1","Sobic.002G220900.1.p","","PTHR37203,PTHR37203:SF2","","","","","AT1G73470.1","","","LOC_Os09g27610.1",NA,"expressed protein"
"73",216,"NsiI.TP51047","Sobic.002G110500","CmD_BI_mm.8",2,13453548,"CmD_BI_mm","CmD_BI_mm(PS_N(1))","CmD_BI_mm(C124+2560(1))","","CmD_BI_mm(FarmCPU(1))","","","",0.06452,17.78,1,"Chr02",13452892,13457488,4597,"+",-656,-3940,37950790,"Sobic.002G110500","Sobic.002G110500.1","Sobic.002G110500.1.p","PF13874","PTHR13000","KOG3091","","K14308","GO:0005643","AT1G24310.1","","","LOC_Os07g19494.1",NA,"expressed protein"
"74",219,"NsiI.TP514947","Sobic.006G171050","Yld_kg.14",6,52754787,"Yld_kg","Yld_kg(PS_N(1))","Yld_kg(124+36088im(1))","","Yld_kg(FarmCPU(1))","","","",0.4122,0.1259,1,"Chr06",52753701,52755221,1521,"-",-1086,-434,37947958,"Sobic.006G171050","Sobic.006G171050.1","Sobic.006G171050.1.p","","PTHR33779,PTHR33779:SF2","","","","","AT1G02070.1","","","LOC_Os04g46600.1",NA,"zinc finger protein, putative, expressed"
"75",221,"NsiI.TP515167","Sobic.004G351600","CmN.53",4,68022596,"CmN","CmN(PS_Y(1))","CmN(124+36088im(1))","CmN(CMLM+SUPER(1))","","","","",0.2923,0.01055,6,"Chr04",68020858,68025379,4522,"+",-1738,-2783,37931983,"Sobic.004G351600","Sobic.004G351600.6","Sobic.004G351600.6.p","PF10220","PTHR13091,PTHR13091:SF0","","","","GO:0000184","","","","LOC_Os02g57780.2",NA,"expressed protein"
"76",227,"NsiI.TP520698","Sobic.001G041800","Cml_cm.17",1,3113038,"Cml_cm","Cml_cm(PS_N(1))","Cml_cm(124+36088im(1))","","Cml_cm(FarmCPU(1))","","","",0.4451,0.05498,1,"Chr01",3112405,3122688,10284,"-",-633,-9650,37942089,"Sobic.001G041800","Sobic.001G041800.1","Sobic.001G041800.1.p","PF01078,PF13519","PTHR10338,PTHR10338:SF126","","6.6.1.1","K03404","GO:0016851,GO:0015995,GO:0015979","AT1G08520.1","ALB-1V,ALB1,CHLD,PDE166,V157","ALBINA 1","LOC_Os03g59640.1",NA,"magnesium-chelatase subunit chlD, chloroplast precursor, putative, expressed"
"77",228,"NsiI.TP520698","Sobic.001G041700","Cml_cm.17",1,3113038,"Cml_cm","Cml_cm(PS_N(1))","Cml_cm(124+36088im(1))","","Cml_cm(FarmCPU(1))","","","",0.4451,0.05498,3,"Chr01",3100225,3112212,11988,"-",-12813,826,37944063,"Sobic.001G041700","Sobic.001G041700.3","Sobic.001G041700.3.p","","","","","","","","","","LOC_Os03g59650.1",NA,"BRCA1 C Terminus domain containing protein, expressed"
"80",237,"NsiI.TP571832","Sobic.002G250900","CmDW_g.7",2,63804104,"CmDW_g","CmDW_g(PS_Y(1))","CmDW_g(124+36088im(1))","","","CmDW_g(mrMLM(1))","","",0.2418,10.27,1,"Chr02",63803062,63803858,797,"+",-1042,246,37952821,"Sobic.002G250900","Sobic.002G250900.1","Sobic.002G250900.1.p","PF14009","PTHR33052,PTHR33052:SF21","","","","","AT5G66580.1","","","LOC_Os09g32000.1",NA,"expressed protein"
"81",238,"NsiI.TP575555","Sobic.002G023900","CmN.56",2,2228424,"CmN","CmN(PS_Y(2))","CmN(124+36088im(2))","CmN(MLM+SUPER(1))","","","","CmN(GLM(1))",0.06237,7.769,1,"Chr02",2228532,2234882,6351,"+",108,-6458,37949963,"Sobic.002G023900","Sobic.002G023900.1","Sobic.002G023900.1.p","PF03789,PF05920,PF03790,PF03791","PTHR11850,PTHR11850:SF110","KOG0773","","","GO:0003677,GO:0006355,GO:0005634","AT4G08150.1","BP,BP1,KNAT1","KNOTTED-like from Arabidopsis thaliana","LOC_Os07g03770.1",NA,"Homeobox domain containing protein, expressed"
"82",239,"NsiI.TP575618","Sobic.007G039100","CmN.57",7,3778581,"CmN","CmN(PS_Y(1))","CmN(C106+4202(1))","CmN(MLM+SUPER(1))","","","","",0.06604,0.255,1,"Chr07",3776104,3779183,3080,"+",-2477,-602,37934558,"Sobic.007G039100","Sobic.007G039100.1","Sobic.007G039100.1.p","PF00249","PTHR10641,PTHR10641:SF451","","","K09422","","AT1G63910.1","AtMYB103,MYB103","myb domain protein 103","LOC_Os08g05520.1",NA,"myb-like DNA-binding domain containing protein, putative, expressed"
"83",240,"NsiI.TP575629","Sobic.004G124800","CmDW_g.8",4,14235179,"CmDW_g","CmDW_g(PS_N(1))","CmDW_g(124+36088im(1))","","","CmDW_g(FASTmrMLM(1))","","",0.0927,0.9351,1,"Chr04",14235238,14239251,4014,"-",59,-4072,37930573,"Sobic.004G124800","Sobic.004G124800.1","Sobic.004G124800.1.p","PF03254","PTHR31889,PTHR31889:SF4","","2.4.1.69","K13681","GO:0042546,GO:0016020,GO:0008107","AT2G03220.1","ATFT1,ATFUT1,FT1,MUR2","fucosyltransferase 1","LOC_Os02g17534.1",NA,"xyloglucan fucosyltransferase, putative, expressed"
"84",242,"NsiI.TP575629","Sobic.004G124700","CmDW_g.8",4,14235179,"CmDW_g","CmDW_g(PS_N(1))","CmDW_g(124+36088im(1))","","","CmDW_g(FASTmrMLM(1))","","",0.0927,0.9351,1,"Chr04",14231927,14235182,3256,"+",-3252,-3,37930186,"Sobic.004G124700","Sobic.004G124700.1","Sobic.004G124700.1.p","PF03918","PTHR30009","","","K02200","","AT1G15220.1","ATCCMH,CCMH","cytochrome c biogenesis protein family","LOC_Os02g17520.1",NA,"cytochrome c-type biogenesis protein ccmH precursor, putative, expressed"
"85",258,"NsiI.TP576208","Sobic.001G216300","CmD_LI_mm.8",1,19994793,"CmD_LI_mm","CmD_LI_mm(PS_N(1))","CmD_LI_mm(124+36088im(1))","","","CmD_LI_mm(ISIS EM-BLASSO(1))","","",0.1411,7.015,1,"Chr01",19995777,20001079,5303,"+",984,-6286,37938336,"Sobic.001G216300","Sobic.001G216300.1","Sobic.001G216300.1.p","PF00462,PF00610,PF04784","PTHR23054,PTHR23054:SF14","KOG1752","","","GO:0045454,GO:0015035,GO:0009055,GO:0035556","AT3G11920.1","","glutaredoxin-related","LOC_Os10g34170.1",NA,"glutaredoxin domain containing protein, putative, expressed"
"86",265,"NsiI.TP586300","Sobic.003G238900","Cml_cm.19",3,57849113,"Cml_cm","Cml_cm(PS_Y(1))","Cml_cm(124+36088im(1))","","","Cml_cm(mrMLM(1))","","",0.0328,12.69,1,"Chr03",57848714,57850409,1696,"+",-399,-1296,37917029,"Sobic.003G238900","Sobic.003G238900.1","Sobic.003G238900.1.p","PF00657","PTHR22835,PTHR22835:SF241","","3.1.1.49","","GO:0016788","AT1G28600.1","","GDSL-like Lipase/Acylhydrolase superfamily protein","LOC_Os01g46220.1",NA,"GDSL-like lipase/acylhydrolase, putative, expressed"
"87",267,"NsiI.TP608372","Sobic.009G001300","CmDW_g.11",9,152998,"CmDW_g","CmDW_g(PS_N(1))","CmDW_g(124+36088im(1))","","CmDW_g(FarmCPU(1))","","","",0.1527,5.705,4,"Chr09",145958,153440,7483,"-",-7040,-442,37920890,"Sobic.009G001300","Sobic.009G001300.4","Sobic.009G001300.4.p","PF04059","PTHR24012,PTHR24012:SF424","KOG4660","","","","AT5G07290.1","AML4,ML4","MEI2-like 4","LOC_Os05g01240.2",NA,"AML1, putative, expressed"
"88",275,"NsiI.TP616137","Sobic.006G225200","CmN.61",6,57075072,"CmN","CmN(PS_Y(1))","CmN(124+36088im(1))","","","","","CmN(GLM(1))",0.1179,7.279,2,"Chr06",57073099,57075527,2429,"+",-1973,-455,37947621,"Sobic.006G225200","Sobic.006G225200.2","Sobic.006G225200.2.p","PF08613","PTHR15615","","","","GO:0019901,GO:0000079","AT3G21870.1","CYCP2;1","cyclin p2;1","LOC_Os04g53680.1",NA,"cyclin, putative, expressed"
"89",276,"NsiI.TP617177","Sobic.002G166800","CmN.62",2,52050200,"CmN","CmN(PS_Y(1))","CmN(124+36088im(1))","CmN(CMLM+SUPER(1))","","","","",0.1889,2.171,1,"Chr02",52051169,52057433,6265,"+",969,-7233,37952335,"Sobic.002G166800","Sobic.002G166800.1","Sobic.002G166800.1.p","PF00076","PTHR24012","","","","GO:0003676","AT1G53650.2","CID8","CTC-interacting domain 8","LOC_Os08g02330.1",NA,"RNA recognition motif containing protein, putative, expressed"
"91",284,"NsiI.TP635575","Sobic.005G112400","Cml_cm.20",5,38567770,"Cml_cm","Cml_cm(PS_N(1))","Cml_cm(124+36088im(1))","","Cml_cm(FarmCPU(1))","","","",0.2579,12.79,1,"Chr05",38567082,38568601,1520,"+",-688,-831,37925959,"Sobic.005G112400","Sobic.005G112400.1","Sobic.005G112400.1.p","PF08246,PF00112","PTHR12411,PTHR12411:SF401","KOG1543","3.4.22.31","","GO:0008234,GO:0006508","AT1G29090.1","","Cysteine proteinases superfamily protein","LOC_Os07g01800.1",NA,"cysteine proteinase EP-B 1 precursor, putative, expressed"
"92",285,"NsiI.TP647736","Sobic.006G215400","Bcirc_cm.20",6,56339998,"Bcirc_cm","Bcirc_cm(PS_Y(3))","Bcirc_cm(124+36088im(3))","","","Bcirc_cm(FASTmrMLM(1)mrMLM(1)pKWmEB(1))","","",0.25,15.39,1,"Chr06",56339325,56347787,8463,"-",-673,-7789,37949117,"Sobic.006G215400","Sobic.006G215400.1","Sobic.006G215400.1.p","PF00069,PF11721","PTHR27006,PTHR27006:SF42","KOG1187","2.7.11.1","","GO:0006468,GO:0005524,GO:0004672","AT1G56130.1","","Leucine-rich repeat transmembrane protein kinase","LOC_Os04g52600.1",NA,"SHR5-receptor-like kinase, putative, expressed"
"94",319,"NsiI.TP667008","Sobic.008G016000","CmN.64",8,1326292,"CmN","CmN(PS_Y(1))","CmN(124+36088im(1))","","","","","CmN(GLM(1))",0.3248,7.007,2,"Chr08",1326551,1330859,4309,"+",259,-4567,37927570,"Sobic.008G016000","Sobic.008G016000.2","Sobic.008G016000.2.p","PF00083","PTHR23504,PTHR23504:SF28","KOG2615","","","GO:0055085,GO:0022857,GO:0016021","AT3G43790.1","ZIFL2","zinc induced facilitator-like 2","LOC_Os12g03870.1",NA,"major facilitator superfamily antiporter, putative, expressed"
"95",322,"NsiI.TP681203","Sobic.001G106200","CmN.66",1,8181678,"CmN","CmN(PS_Y(2))","CmN(124+36088im(2))","CmN(CMLM+SUPER(1))","","","","CmN(GLM(1))",0.05298,6.893,1,"Chr01",8180004,8187693,7690,"+",-1674,-6015,37939476,"Sobic.001G106200","Sobic.001G106200.1","Sobic.001G106200.1.p","PF03789,PF05920,PF03790,PF03791","PTHR11850,PTHR11850:SF64","KOG0773","","","GO:0003677,GO:0006355,GO:0005634","AT4G08150.1","BP,BP1,KNAT1","KNOTTED-like from Arabidopsis thaliana","LOC_Os03g51690.2",NA,"Homeobox domain containing protein, expressed"
"96",325,"NsiI.TP696486","Sobic.004G107200","Cml_cm.23",4,10248885,"Cml_cm","Cml_cm(PS_N(1))","Cml_cm(124+36088im(1))","","","Cml_cm(FASTmrMLM(1))","","",0.0403,3.328,1,"Chr04",10245914,10256539,10626,"-",-2971,-7654,37933204,"Sobic.004G107200","Sobic.004G107200.1","Sobic.004G107200.1.p","PF01753,PF13423","PTHR24006,PTHR24006:SF503","KOG1865","3.4.19.12","K11855","","AT1G17110.1","UBP15","ubiquitin-specific protease 15","LOC_Os02g14730.1",NA,"ubiquitin carboxyl-terminal hydrolase family protein, expressed"
"97",327,"NsiI.TP701217","Sobic.008G169400","CmD_BI_mm.14",8,60371664,"CmD_BI_mm","CmD_BI_mm(PS_N(1))","CmD_BI_mm(124+36088im(1))","","","CmD_BI_mm(pKWmEB(1))","","",0.1935,3.602,1,"Chr08",60367853,60373737,5885,"-",-3811,-2073,37926960,"Sobic.008G169400","Sobic.008G169400.1","Sobic.008G169400.1.p","PF02309,PF02362,PF06507","PTHR31384,PTHR31384:SF22","","","","GO:0006355,GO:0005634,GO:0003677,GO:0009725","AT1G30330.2","ARF6","auxin response factor 6","LOC_Os12g41950.1",NA,"auxin response factor, putative, expressed"
"98",329,"NsiI.TP713636","Sobic.005G148100","CmD_BI_mm.15",5,61642341,"CmD_BI_mm","CmD_BI_mm(PS_Y(1))","CmD_BI_mm(124+36088im(1))","","","CmD_BI_mm(mrMLM(1))","","",0.1639,41.21,2,"Chr05",61641003,61642030,1028,"-",-1338,311,37923048,"Sobic.005G148100","Sobic.005G148100.2","Sobic.005G148100.2.p","","","","","","","","","","",NA,""
"100",340,"NsiI.TP717913","Sobic.004G222000","CmDW_g.16",4,57224161,"CmDW_g","CmDW_g(PS_N(1))","CmDW_g(124+36088im(1))","","","CmDW_g(FASTmrMLM(1))","","",0.1734,14.05,1,"Chr04",57220820,57224296,3477,"+",-3341,-135,37930027,"Sobic.004G222000","Sobic.004G222000.1","Sobic.004G222000.1.p","PF00230","PTHR19139,PTHR19139:SF137","KOG0223","","K09872","GO:0016020,GO:0006810,GO:0005215","AT2G37170.1","PIP2;2,PIP2B","plasma membrane intrinsic protein 2","LOC_Os02g41860.2",NA,"aquaporin protein, putative, expressed"
"101",341,"NsiI.TP726681","Sobic.003G287400","CmN.68",3,62054481,"CmN","CmN(PS_Y(1))","CmN(C116+3293(1))","","","","","CmN(GLM(1))",0.06034,8.095,2,"Chr03",62053854,62061425,7572,"+",-627,-6944,37913483,"Sobic.003G287400","Sobic.003G287400.2","Sobic.003G287400.2.p","PF01794,PF08030,PF08022,PF08414","PTHR11972,PTHR11972:SF66","","1.6.3.1","K13447","GO:0055114,GO:0016491,GO:0050664,GO:0004601","AT1G64060.1","ATRBOH F,ATRBOHF,RBOH F,RBOHAP108,RBOHF","respiratory burst oxidase protein F","LOC_Os05g45210.1",NA,"respiratory burst oxidase, putative, expressed"
"102",344,"NsiI.TP741199","Sobic.002G204100","CmD_LI_mm.13",2,59555953,"CmD_LI_mm","CmD_LI_mm(PS_N(1))","CmD_LI_mm(124+36088im(1))","","","CmD_LI_mm(mrMLM(1))","","",0.2008,5.383,2,"Chr02",59553903,59555950,2048,"+",-2050,3,37953600,"Sobic.002G204100","Sobic.002G204100.2","Sobic.002G204100.2.p","PF05051","PTHR16719","KOG3496","","K02260","GO:0016531,GO:0006825,GO:0005758,GO:0005507","AT1G53030.1","","Cytochrome C oxidase copper chaperone (COX17)","LOC_Os09g25314.1",NA,"cytochrome c oxidase copper chaperone, putative, expressed"
"103",346,"NsiI.TP741199","Sobic.002G204050","CmD_LI_mm.13",2,59555953,"CmD_LI_mm","CmD_LI_mm(PS_N(1))","CmD_LI_mm(124+36088im(1))","","","CmD_LI_mm(mrMLM(1))","","",0.2008,5.383,1,"Chr02",59554397,59555205,809,"-",-1556,748,37955542,"Sobic.002G204050","Sobic.002G204050.1","Sobic.002G204050.1.p","","","","","","","","","","",NA,""
"104",347,"NsiI.TP741991","Sobic.002G276800","CmD_LI_mm.14",2,65962511,"CmD_LI_mm","CmD_LI_mm(PS_N(1))","CmD_LI_mm(124+36088im(1))","","","CmD_LI_mm(ISIS EM-BLASSO(1))","","",0.0968,8.641,1,"Chr02",65958977,65962368,3392,"+",-3534,143,37951364,"Sobic.002G276800","Sobic.002G276800.1","Sobic.002G276800.1.p","PF00810","PTHR10585,PTHR10585:SF35","KOG3106","","","GO:0046923,GO:0016021,GO:0006621","AT1G75760.1","","ER lumen protein retaining receptor family protein","LOC_Os08g43470.1",NA,"ER lumen protein retaining receptor, putative, expressed"
"105",349,"NsiI.TP750593","Sobic.004G266300","CCirc_cm.8",4,61084375,"CCirc_cm","CCirc_cm(PS_N(1))","CCirc_cm(124+36088im(1))","","CCirc_cm(FarmCPU(1))","","","",0.1185,0.7987,1,"Chr04",61075045,61085127,10083,"-",-9330,-752,37932621,"Sobic.004G266300","Sobic.004G266300.1","Sobic.004G266300.1.p","PF01535,PF13041","PTHR24015,PTHR24015:SF508","","","","","AT3G01580.1","","Tetratricopeptide repeat (TPR)-like superfamily protein","LOC_Os03g56850.1",NA,"pentatricopeptide, putative, expressed"
"106",354,"NsiI.TP753743","Sobic.009G102600","CmN.71",9,41089177,"CmN","CmN(PS_Y(3))","CmN(124+36088im(3))","CmN(CMLM+SUPER(1)MLM+SUPER(1))","","","","CmN(GLM(1))",0.08012,8.131,1,"Chr09",41081738,41088543,6806,"-",-7439,634,37921907,"Sobic.009G102600","Sobic.009G102600.1","Sobic.009G102600.1.p","PF04852","PTHR31165,PTHR31165:SF6","","","","","AT1G07090.1","LSH6","Protein of unknown function (DUF640)","LOC_Os01g61310.1",NA,"DUF640 domain containing protein, putative, expressed"
"107",357,"NsiI.TP758763","Sobic.001G296100","Cml_cm.24",1,57499558,"Cml_cm","Cml_cm(PS_N(1))","Cml_cm(C106+4202(1))","","Cml_cm(FarmCPU(1))","","","",0.0566,19.62,1,"Chr01",57496306,57500534,4229,"-",-3252,-976,37942324,"Sobic.001G296100","Sobic.001G296100.1","Sobic.001G296100.1.p","PF04783,PF04782","PTHR21450,PTHR21450:SF9","","","","","AT1G02110.1","","Protein of unknown function (DUF630 and DUF632)","LOC_Os10g41310.1",NA,"DUF630/DUF632 domains containing protein, putative, expressed"
"108",358,"NsiI.TP762015","Sobic.007G008800","CmN.73",7,823818,"CmN","CmN(PS_Y(3))","CmN(124+36088im(3))","CmN(CMLM+SUPER(1)MLM+SUPER(1))","","","","CmN(GLM(1))",0.05733,7.699,1,"Chr07",820415,824800,4386,"+",-3403,-982,37934585,"Sobic.007G008800","Sobic.007G008800.1","Sobic.007G008800.1.p","PF03127,PF00790","PTHR13856,PTHR13856:SF81","","","","GO:0006886,GO:0005622","AT5G63640.1","","ENTH/VHS/GAT family protein","LOC_Os08g01740.2",NA,"VHS and GAT domain containing protein, expressed"
"109",360,"NsiI.TP762935","Sobic.006G018800","Yld_kg.22",6,3182336,"Yld_kg","Yld_kg(PS_N(1))","Yld_kg(124+36088im(1))","","","Yld_kg(pKWmEB(1))","","",0.0403,1.864,1,"Chr06",3178404,3183167,4764,"+",-3932,-831,37946635,"Sobic.006G018800","Sobic.006G018800.1","Sobic.006G018800.1.p","PF01590,PF00072","PTHR24423,PTHR24423:SF530","KOG0519","2.7.11.1","K14509","GO:0005515,GO:0000160","AT3G04580.1","EIN4","Signal transduction histidine kinase, hybrid-type, ethylene sensor","LOC_Os04g08740.2",NA,"ethylene receptor, putative, expressed"
