Chrom,Start,End,Start.1,End.1,ID,ID.2,ID.1,Name,Trait.name,Group2,Group,Colors,Group3,New ID
2,65096533,65096533,65096533,65096533,Current Study.CmN,CmN(Current Study),CmN(Current Study),NsiI.TP409721,Culm node number ,CmN,CmN(Current Study),Red,Current Study,Current Study.CmN
9,53923129,53923129,53923129,53923129,Current Study.CmN,CmN(Current Study),CmN(Current Study),NsiI.TP415575,Culm node number ,CmN,CmN(Current Study),Red,Current Study,Current Study.CmN
1,75354964,75354964,75354964,75354964,Current Study.CmN,CmN(Current Study),CmN(Current Study),NsiI.TP415654,Culm node number ,CmN,CmN(Current Study),Red,Current Study,Current Study.CmN
2,74627859,74627859,74627859,74627859,Current Study.CmD_LI,CmD_LI(Current Study),CmD_LI(Current Study),NsiI.TP41841,Culm outer diameter at last internode ,CmD_LI,CmD_LI(Current Study),Red,Current Study,Current Study.CmD_LI
8,62544570,62544570,62544570,62544570,Current Study.CmN,CmN(Current Study),CmN(Current Study),NsiI.TP42003,Culm node number ,CmN,CmN(Current Study),Red,Current Study,Current Study.CmN
2,57602883,57602883,57602883,57602883,Current Study.CmDW,CmDW(Current Study),CmDW(Current Study),NsiI.TP423584,Culm dry weight ,CmDW,CmDW(Current Study),Red,Current Study,Current Study.CmDW
3,11842346,11842346,11842346,11842346,Current Study.CmN,CmN(Current Study),CmN(Current Study),NsiI.TP434679,Culm node number ,CmN,CmN(Current Study),Red,Current Study,Current Study.CmN
3,50687892,50687892,50687892,50687892,Current Study.CmD_BI,CmD_BI(Current Study),CmD_BI(Current Study),PstI.TP704244,Culm outer diameter at basal internode ,CmD_BI,CmD_BI(Current Study),Red,Current Study,Current Study.CmD_BI
1,78991651,78991703,78981651,79001703,Clark_et_al_(2019).CC/BC,CC/BC(Clark(2019)),CC/BC(Clark.et.al.(2019)),NsiI.TP631089,Compressed circumference/basal circumference,CC/BC,CC/BC(Clark2019)),Blue,Clark_et_al_(2019),Clark_et_al_(2019).CC/BC
2,56699414,56699414,56699414,56699414,Current Study.CmN,CmN(Current Study),CmN(Current Study),NsiI.TP443023,Culm node number ,CmN,CmN(Current Study),Red,Current Study,Current Study.CmN
4,52156961,52156961,52156961,52156961,Current Study.CmN,CmN(Current Study),CmN(Current Study),NsiI.TP443125,Culm node number ,CmN,CmN(Current Study),Red,Current Study,Current Study.CmN
9,55901846,55901846,55901846,55901846,Current Study.Cml,Cml(Current Study),Cml(Current Study),NsiI.TP445017,Culm length ,Cml,Cml(Current Study),Red,Current Study,Current Study.Cml
3,63530717,63530717,63530717,63530717,Current Study.Cml,Cml(Current Study),Cml(Current Study),NsiI.TP447144,Culm length ,Cml,Cml(Current Study),Red,Current Study,Current Study.Cml
3,63530717,63530717,63530717,63530717,Current Study.Yld,Yld(Current Study),Yld(Current Study),NsiI.TP447144,Fresh weight ,Yld,Yld(Current Study),Red,Current Study,Current Study.Yld
10,497104,497104,497104,497104,Current Study.CmN,CmN(Current Study),CmN(Current Study),NsiI.TP459060,Culm node number ,CmN,CmN(Current Study),Red,Current Study,Current Study.CmN
1,57778864,57778864,57778864,57778864,Current Study.CmDW,CmDW(Current Study),CmDW(Current Study),NsiI.TP46196,Culm dry weight ,CmDW,CmDW(Current Study),Red,Current Study,Current Study.CmDW
1,74820948,74820948,74820948,74820948,Current Study.CmN,CmN(Current Study),CmN(Current Study),NsiI.TP465791,Culm node number ,CmN,CmN(Current Study),Red,Current Study,Current Study.CmN
6,43353284,43353284,43353284,43353284,Current Study.CmD_LI,CmD_LI(Current Study),CmD_LI(Current Study),NsiI.TP471156,Culm outer diameter at last internode ,CmD_LI,CmD_LI(Current Study),Red,Current Study,Current Study.CmD_LI
1,79442910,79442910,79442910,79442910,Current Study.CCirc,CCirc(Current Study),CCirc(Current Study),PstI.TP898259,Compressed plant circumference ,CCirc,CCirc(Current Study),Red,Current Study,Current Study.CCirc
1,58289912,58289912,58289912,58289912,Current Study.Flowering,Flo(Current Study),Flo(Current Study),PstI.TP178720,Flowering,Flowering,Flo(Current Study),Red,Current Study,Current Study.Flowering
1,60778915,60779162,60778915,60779162,Zhao et al. (2013).Heading time,HT(Zhao et al. (2013)),HT(Zhao et al. (2013)),DBM58,Heading time,Heading time,Heading time(Zhao et al. (2013)),Yellow,Zhao et al. (2013),Zhao et al. (2013).Heading time
3,2577255,2577255,2577255,2577255,Current Study.Bcirc,Bcirc(Current Study),Bcirc(Current Study),PstI.TP513843,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study,Current Study.Bcirc
1,6409370,6409370,6409370,6409370,Current Study.CmDW,CmDW(Current Study),CmDW(Current Study),NsiI.TP488601,Culm dry weight ,CmDW,CmDW(Current Study),Red,Current Study,Current Study.CmDW
1,6409370,6409370,6409370,6409370,Current Study.Cml,Cml(Current Study),Cml(Current Study),NsiI.TP488601,Culm length ,Cml,Cml(Current Study),Red,Current Study,Current Study.Cml
5,5554725,5554725,5554725,5554725,Current Study.CmD_LI,CmD_LI(Current Study),CmD_LI(Current Study),NsiI.TP488716,Culm outer diameter at last internode ,CmD_LI,CmD_LI(Current Study),Red,Current Study,Current Study.CmD_LI
2,61270017,61270017,61270017,61270017,Current Study.CmN,CmN(Current Study),CmN(Current Study),NsiI.TP494603,Culm node number ,CmN,CmN(Current Study),Red,Current Study,Current Study.CmN
1,75748041,75748041,75748041,75748041,Current Study.CmD_LI,CmD_LI(Current Study),CmD_LI(Current Study),NsiI.TP506284,Culm outer diameter at last internode ,CmD_LI,CmD_LI(Current Study),Red,Current Study,Current Study.CmD_LI
1,75748041,75748041,75748041,75748041,Current Study.CmDW,CmDW(Current Study),CmDW(Current Study),NsiI.TP506284,Culm dry weight ,CmDW,CmDW(Current Study),Red,Current Study,Current Study.CmDW
1,75748041,75748041,75748041,75748041,Current Study.SDW,SDW(Current Study),SDW(Current Study),NsiI.TP506284,Sample Dry weight ,SDW,SDW(Current Study),Red,Current Study,Current Study.SDW
1,75748041,75748041,75748041,75748041,Current Study.Yld,Yld(Current Study),Yld(Current Study),NsiI.TP506284,Fresh weight ,Yld,Yld(Current Study),Red,Current Study,Current Study.Yld
9,47862370,47862370,47862370,47862370,Current Study.CmN,CmN(Current Study),CmN(Current Study),NsiI.TP509742,Culm node number ,CmN,CmN(Current Study),Red,Current Study,Current Study.CmN
3,52014149,52014149,52014149,52014149,Current Study.CmD_BI,CmD_BI(Current Study),CmD_BI(Current Study),PstI.TP346744,Culm outer diameter at basal internode ,CmD_BI,CmD_BI(Current Study),Red,Current Study,Current Study.CmD_BI
1,76291569,76291569,76291569,76291569,Current Study.Yld,Yld(Current Study),Yld(Current Study),NsiI.TP511244,Fresh weight ,Yld,Yld(Current Study),Red,Current Study,Current Study.Yld
6,52754787,52754787,52754787,52754787,Current Study.Yld,Yld(Current Study),Yld(Current Study),NsiI.TP514947,Fresh weight ,Yld,Yld(Current Study),Red,Current Study,Current Study.Yld
4,68022596,68022596,68022596,68022596,Current Study.CmN,CmN(Current Study),CmN(Current Study),NsiI.TP515167,Culm node number ,CmN,CmN(Current Study),Red,Current Study,Current Study.CmN
1,3113038,3113038,3113038,3113038,Current Study.Cml,Cml(Current Study),Cml(Current Study),NsiI.TP520698,Culm length ,Cml,Cml(Current Study),Red,Current Study,Current Study.Cml
1,62643157,62643157,62643157,62643157,Dong_et_al_(2017).Flowering,Flower(Dong_et_al_(2017)),Flower(Dong.et.al.(2017)),Flower(14.61cM)),Flowering,Flowering,Flower(Dong_et_al_(2017)),Green,Dong_et_al_(2017),Dong_et_al_(2017).Flowering
10,450727,450727,450727,450727,Current Study.CmN,CmN(Current Study),CmN(Current Study),NsiI.TP525011,Culm node number ,CmN,CmN(Current Study),Red,Current Study,Current Study.CmN
1,66087512,66087512,66087512,66087512,Current Study.Flowering,Flo(Current Study),Flo(Current Study),NsiI.TP117758,Flowering,Flowering,Flo(Current Study),Red,Current Study,Current Study.Flowering
3,2660294,2660294,2660294,2660294,Current Study.Bcirc,Bcirc(Current Study),Bcirc(Current Study),NsiI.TP441693,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study,Current Study.Bcirc
1,67422499,67422499,67422499,67422499,Current Study.Flowering,Flo(Current Study),Flo(Current Study),PstI.TP1012261,Flowering,Flowering,Flo(Current Study),Red,Current Study,Current Study.Flowering
4,51081160,51081160,51081160,51081160,Current Study.Yld,Yld(Current Study),Yld(Current Study),NsiI.TP566474,Fresh weight ,Yld,Yld(Current Study),Red,Current Study,Current Study.Yld
1,69156484,69156484,69156484,69156484,Current Study.Cml,Cml(Current Study),Cml(Current Study),NsiI.TP5701,Culm length ,Cml,Cml(Current Study),Red,Current Study,Current Study.Cml
2,63804104,63804104,63804104,63804104,Current Study.CmDW,CmDW(Current Study),CmDW(Current Study),NsiI.TP571832,Culm dry weight ,CmDW,CmDW(Current Study),Red,Current Study,Current Study.CmDW
1,71391273,71391273,71391273,71391273,Current Study.Flowering,Flo(Current Study),Flo(Current Study),PstI.TP901545,Flowering,Flowering,Flo(Current Study),Red,Current Study,Current Study.Flowering
2,2228424,2228424,2228424,2228424,Current Study.CmN,CmN(Current Study),CmN(Current Study),NsiI.TP575555,Culm node number ,CmN,CmN(Current Study),Red,Current Study,Current Study.CmN
7,3778581,3778581,3778581,3778581,Current Study.CmN,CmN(Current Study),CmN(Current Study),NsiI.TP575618,Culm node number ,CmN,CmN(Current Study),Red,Current Study,Current Study.CmN
3,55061314,55061314,55061314,55061314,Current Study.CmD_BI,CmD_BI(Current Study),CmD_BI(Current Study),PstI.TP773172,Culm outer diameter at basal internode ,CmD_BI,CmD_BI(Current Study),Red,Current Study,Current Study.CmD_BI
4,14235179,14235179,14235179,14235179,Current Study.CmDW,CmDW(Current Study),CmDW(Current Study),NsiI.TP575629,Culm dry weight ,CmDW,CmDW(Current Study),Red,Current Study,Current Study.CmDW
4,14235179,14235179,14235179,14235179,Current Study.Yld,Yld(Current Study),Yld(Current Study),NsiI.TP575629,Fresh weight ,Yld,Yld(Current Study),Red,Current Study,Current Study.Yld
1,19994793,19994793,19994793,19994793,Current Study.CmD_LI,CmD_LI(Current Study),CmD_LI(Current Study),NsiI.TP576208,Culm outer diameter at last internode ,CmD_LI,CmD_LI(Current Study),Red,Current Study,Current Study.CmD_LI
1,19994793,19994793,19994793,19994793,Current Study.CmDW,CmDW(Current Study),CmDW(Current Study),NsiI.TP576208,Culm dry weight ,CmDW,CmDW(Current Study),Red,Current Study,Current Study.CmDW
3,57849113,57849113,57849113,57849113,Current Study.Cml,Cml(Current Study),Cml(Current Study),NsiI.TP586300,Culm length ,Cml,Cml(Current Study),Red,Current Study,Current Study.Cml
1,73170217,73170217,73170217,73170217,Current Study.Flowering,Flo(Current Study),Flo(Current Study),NsiI.TP156560,Flowering,Flowering,Flo(Current Study),Red,Current Study,Current Study.Flowering
9,152998,152998,152998,152998,Current Study.CmDW,CmDW(Current Study),CmDW(Current Study),NsiI.TP608372,Culm dry weight ,CmDW,CmDW(Current Study),Red,Current Study,Current Study.CmDW
1,77064058,77064058,77064058,77064058,Current Study.Flowering,Flo(Current Study),Flo(Current Study),NsiI.TP521277,Flowering,Flowering,Flo(Current Study),Red,Current Study,Current Study.Flowering
6,57075072,57075072,57075072,57075072,Current Study.CmN,CmN(Current Study),CmN(Current Study),NsiI.TP616137,Culm node number ,CmN,CmN(Current Study),Red,Current Study,Current Study.CmN
2,52050200,52050200,52050200,52050200,Current Study.CmN,CmN(Current Study),CmN(Current Study),NsiI.TP617177,Culm node number ,CmN,CmN(Current Study),Red,Current Study,Current Study.CmN
1,79172378,79172378,79172378,79172378,Current Study.Flowering,Flo(Current Study),Flo(Current Study),PstI.TP6990,Flowering,Flowering,Flo(Current Study),Red,Current Study,Current Study.Flowering
10,52286358,52286358,52286358,52286358,Current Study.SDW,SDW(Current Study),SDW(Current Study),NsiI.TP631452,Sample Dry weight ,SDW,SDW(Current Study),Red,Current Study,Current Study.SDW
10,52286358,52286358,52286358,52286358,Current Study.Yld,Yld(Current Study),Yld(Current Study),NsiI.TP631452,Fresh weight ,Yld,Yld(Current Study),Red,Current Study,Current Study.Yld
4,59238758,59238758,59238758,59238758,Current Study.Yld,Yld(Current Study),Yld(Current Study),NsiI.TP632086,Fresh weight ,Yld,Yld(Current Study),Red,Current Study,Current Study.Yld
2,57174602,57174602,57174602,57174602,Current Study.CCirc,CCirc(Current Study),CCirc(Current Study),PstI.TP1082141,Compressed plant circumference ,CCirc,CCirc(Current Study),Red,Current Study,Current Study.CCirc
5,38567770,38567770,38567770,38567770,Current Study.Cml,Cml(Current Study),Cml(Current Study),NsiI.TP635575,Culm length ,Cml,Cml(Current Study),Red,Current Study,Current Study.Cml
3,3528771,3528771,3528771,3528771,Current Study.Bcirc,Bcirc(Current Study),Bcirc(Current Study),PstI.TP1032333,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study,Current Study.Bcirc
3,4545043,4545043,4545043,4545043,Current Study.Bcirc,Bcirc(Current Study),Bcirc(Current Study),PstI.TP1280049,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study,Current Study.Bcirc
3,57894675,57894680,57884675,57904680,Clark_et_al_(2019).DBI,DBI(Clark(2019)),DBI(Clark.et.al.(2019)),NsiI.TP78904,Diameter of basal internode,DBI,DBI(Clark_et_al_(2019)),Blue,Clark_et_al_(2019),Current Study.CmD_BI
10,41353679,41353679,41353679,41353679,Current Study.CmD_LI,CmD_LI(Current Study),CmD_LI(Current Study),NsiI.TP648509,Culm outer diameter at last internode ,CmD_LI,CmD_LI(Current Study),Red,Current Study,Current Study.CmD_LI
10,41353679,41353679,41353679,41353679,Current Study.CmDW,CmDW(Current Study),CmDW(Current Study),NsiI.TP648509,Culm dry weight ,CmDW,CmDW(Current Study),Red,Current Study,Current Study.CmDW
10,41353679,41353679,41353679,41353679,Current Study.Cml,Cml(Current Study),Cml(Current Study),NsiI.TP648509,Culm length ,Cml,Cml(Current Study),Red,Current Study,Current Study.Cml
8,1326292,1326292,1326292,1326292,Current Study.CmN,CmN(Current Study),CmN(Current Study),NsiI.TP667008,Culm node number ,CmN,CmN(Current Study),Red,Current Study,Current Study.CmN
1,8181678,8181678,8181678,8181678,Current Study.CmN,CmN(Current Study),CmN(Current Study),NsiI.TP681203,Culm node number ,CmN,CmN(Current Study),Red,Current Study,Current Study.CmN
4,10248885,10248885,10248885,10248885,Current Study.Cml,Cml(Current Study),Cml(Current Study),NsiI.TP696486,Culm length ,Cml,Cml(Current Study),Red,Current Study,Current Study.Cml
3,59388031,59388087,59378031,59398087,Clark_et_al_(2019).CmDW/V,CmDW/V(Clark(2019)),CmDW/V(Clark.et.al.(2019)),PstI.TP21924,Culm density,CmDW/V,CmDW/V(Clark_et_al_(2019)),Blue,Clark_et_al_(2019),Current Study.CmD_BI
3,61734544,67504081,10456048,67504081,Dong_et_al_(2017).DBI,DBI(Dong(2017)),DBI(Dong.et.al.(2017)),DBI LG6 73.4 cM,diameter of basal internode,DBI,DBI(Dong_et_al_(2017)),Green,Dong_et_al_(2017),Current Study.CmD_BI
3,63462498,63462498,63462498,63462498,Current Study.CmD_BI,CmD_BI(Current Study),CmD_BI(Current Study),PstI.TP478050,Culm outer diameter at basal internode ,CmD_BI,CmD_BI(Current Study),Red,Current Study,Current Study.CmD_BI
10,58023898,58023898,58023898,58023898,Current Study.CmD_LI,CmD_LI(Current Study),CmD_LI(Current Study),NsiI.TP717578,Culm outer diameter at last internode ,CmD_LI,CmD_LI(Current Study),Red,Current Study,Current Study.CmD_LI
10,58023898,58023898,58023898,58023898,Current Study.SDW,SDW(Current Study),SDW(Current Study),NsiI.TP717578,Sample Dry weight ,SDW,SDW(Current Study),Red,Current Study,Current Study.SDW
4,57224161,57224161,57224161,57224161,Current Study.CmDW,CmDW(Current Study),CmDW(Current Study),NsiI.TP717913,Culm dry weight ,CmDW,CmDW(Current Study),Red,Current Study,Current Study.CmDW
3,62054481,62054481,62054481,62054481,Current Study.CmN,CmN(Current Study),CmN(Current Study),NsiI.TP726681,Culm node number ,CmN,CmN(Current Study),Red,Current Study,Current Study.CmN
2,59555953,59555953,59555953,59555953,Current Study.CmD_LI,CmD_LI(Current Study),CmD_LI(Current Study),NsiI.TP741199,Culm outer diameter at last internode ,CmD_LI,CmD_LI(Current Study),Red,Current Study,Current Study.CmD_LI
2,65962511,65962511,65962511,65962511,Current Study.CmD_LI,CmD_LI(Current Study),CmD_LI(Current Study),NsiI.TP741991,Culm outer diameter at last internode ,CmD_LI,CmD_LI(Current Study),Red,Current Study,Current Study.CmD_LI
8,13866107,13866107,13866107,13866107,Current Study.CmN,CmN(Current Study),CmN(Current Study),NsiI.TP744668,Culm node number ,CmN,CmN(Current Study),Red,Current Study,Current Study.CmN
2,57544768,57544790,57534768,57554790,Clark_et_al_(2019).CC/BC,CC/BC(Clark(2019)),CC/BC(Clark.et.al.(2019)),PstI.TP1114827,Compressed circumference/basal circumference,CC/BC,CC/BC(Clark2019)),Blue,Clark_et_al_(2019),Current Study.CCirc
1,12653027,12653027,12653027,12653027,Current Study.CmN,CmN(Current Study),CmN(Current Study),NsiI.TP750615,Culm node number ,CmN,CmN(Current Study),Red,Current Study,Current Study.CmN
2,699673,699673,699673,699673,Current Study.Flowering,Flo(Current Study),Flo(Current Study),PstI.TP790069,Flowering,Flowering,Flo(Current Study),Red,Current Study,Current Study.Flowering
9,41089177,41089177,41089177,41089177,Current Study.CmN,CmN(Current Study),CmN(Current Study),NsiI.TP753743,Culm node number ,CmN,CmN(Current Study),Red,Current Study,Current Study.CmN
9,2876948,2876948,2876948,2876948,Current Study.Yld,Yld(Current Study),Yld(Current Study),NsiI.TP753852,Fresh weight ,Yld,Yld(Current Study),Red,Current Study,Current Study.Yld
1,67675884,67675884,67675884,67675884,Current Study.CmN,CmN(Current Study),CmN(Current Study),NsiI.TP754072,Culm node number ,CmN,CmN(Current Study),Red,Current Study,Current Study.CmN
2,5312015,5312015,5312015,5312015,Current Study.Flowering,Flo(Current Study),Flo(Current Study),PstI.TP44945,Flowering,Flowering,Flo(Current Study),Red,Current Study,Current Study.Flowering
2,8133534,8133534,8133534,8133534,Current Study.Flowering,Flo(Current Study),Flo(Current Study),NsiI.TP7764,Flowering,Flowering,Flo(Current Study),Red,Current Study,Current Study.Flowering
1,57499558,57499558,57499558,57499558,Current Study.Cml,Cml(Current Study),Cml(Current Study),NsiI.TP758763,Culm length ,Cml,Cml(Current Study),Red,Current Study,Current Study.Cml
7,823818,823818,823818,823818,Current Study.CmN,CmN(Current Study),CmN(Current Study),NsiI.TP762015,Culm node number ,CmN,CmN(Current Study),Red,Current Study,Current Study.CmN
3,6088178,6088178,6088178,6088178,Current Study.Bcirc,Bcirc(Current Study),Bcirc(Current Study),PstI.TP188641,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study,Current Study.Bcirc
2,58286678,58286678,58286678,58286678,,CCirc(Current Study),CCirc(Current Study),PstI.TP993272,Compressed plant circumference ,CCirc,CCirc(Current Study),Red,Current Study,Current Study.CCirc
6,3182336,3182336,3182336,3182336,Current Study.Yld,Yld(Current Study),Yld(Current Study),NsiI.TP762935,Fresh weight ,Yld,Yld(Current Study),Red,Current Study,Current Study.Yld
10,10693125,10693125,10693125,10693125,Current Study.Cml,Cml(Current Study),Cml(Current Study),NsiI.TP764847,Culm length ,Cml,Cml(Current Study),Red,Current Study,Current Study.Cml
3,7414396,7414396,7414396,7414396,Current Study.Bcirc,Bcirc(Current Study),Bcirc(Current Study),PstI.TP202435,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study,Current Study.Bcirc
3,69354547,69354547,69354547,69354547,Current Study.CmD_BI,CmD_BI(Current Study),CmD_BI(Current Study),PstI.TP789647,Culm outer diameter at basal internode ,CmD_BI,CmD_BI(Current Study),Red,Current Study,Current Study.CmD_BI
7,61710211,61710211,61710211,61710211,Current Study.CmD_LI,CmD_LI(Current Study),CmD_LI(Current Study),NsiI.TP766057,Culm outer diameter at last internode ,CmD_LI,CmD_LI(Current Study),Red,Current Study,Current Study.CmD_LI
1,9322002,9322002,9322002,9322002,Current Study.CmD_LI,CmD_LI(Current Study),CmD_LI(Current Study),NsiI.TP769756,Culm outer diameter at last internode ,CmD_LI,CmD_LI(Current Study),Red,Current Study,Current Study.CmD_LI
2,9592436,9592436,9592436,9592436,Current Study.Flowering,Flo(Current Study),Flo(Current Study),PstI.TP1065484,Flowering,Flowering,Flo(Current Study),Red,Current Study,Current Study.Flowering
2,57163911,57163911,57163911,57163911,Current Study.Flowering,Flo(Current Study),Flo(Current Study),PstI.TP133700,Flowering,Flowering,Flo(Current Study),Red,Current Study,Current Study.Flowering
4,63763133,63763133,63763133,63763133,Current Study.CmN,CmN(Current Study),CmN(Current Study),NsiI.TP779177,Culm node number ,CmN,CmN(Current Study),Red,Current Study,Current Study.CmN
5,16450180,16450180,16450180,16450180,Current Study.SDW,SDW(Current Study),SDW(Current Study),NsiI.TP796495,Sample Dry weight ,SDW,SDW(Current Study),Red,Current Study,Current Study.SDW
2,57967122,57967122,57967122,57967122,Current Study.Flowering,Flo(Current Study),Flo(Current Study),PstI.TP13843,Flowering,Flowering,Flo(Current Study),Red,Current Study,Current Study.Flowering
2,61303139,61303139,61303139,61303139,Current Study.CmD_LI,CmD_LI(Current Study),CmD_LI(Current Study),NsiI.TP810561,Culm outer diameter at last internode ,CmD_LI,CmD_LI(Current Study),Red,Current Study,Current Study.CmD_LI
2,61303139,61303139,61303139,61303139,Current Study.CmDW,CmDW(Current Study),CmDW(Current Study),NsiI.TP810561,Culm dry weight ,CmDW,CmDW(Current Study),Red,Current Study,Current Study.CmDW
2,61303139,61303139,61303139,61303139,Current Study.Cml,Cml(Current Study),Cml(Current Study),NsiI.TP810561,Culm length ,Cml,Cml(Current Study),Red,Current Study,Current Study.Cml
9,8192109,8192109,8192109,8192109,Current Study.SDW,SDW(Current Study),SDW(Current Study),NsiI.TP811997,Sample Dry weight ,SDW,SDW(Current Study),Red,Current Study,Current Study.SDW
2,60648017,60648017,60648017,60648017,Dong_et_al_(2017).Flowering,Flower(Dong_et_al_(2017)),Flower(Dong.et.al.(2017)),Flower(28.6cM),Flowering,Flowering,Flower(Dong_et_al_(2017)),Green,Dong_et_al_(2017),Dong_et_al_(2017).Flowering
2,59081475,59081475,59081475,59081475,(2)Current Study.CCirc,CCirc(Current Study),CCirc(Current Study),PstI.TP584552,Compressed plant circumference ,CCirc,CCirc(Current Study),Red,Current Study,Current Study.CCirc
3,71291869,71291896,71281869,71301896,Clark_et_al_(2019).CmDW/V,CmDW/V(Clark(2019)),CmDW/V(Clark.et.al.(2019)),NsiI.TP328854,Culm density,CmDW/V,CmDW/V(Clark_et_al_(2019)),Blue,Clark_et_al_(2019),Current Study.CmD_BI
4,12330408,12330408,12330408,12330408,Current Study.CmDW,CmDW(Current Study),CmDW(Current Study),NsiI.TP827851,Culm dry weight ,CmDW,CmDW(Current Study),Red,Current Study,Current Study.CmDW
4,12330408,12330408,12330408,12330408,Current Study.CmN,CmN(Current Study),CmN(Current Study),NsiI.TP827851,Culm node number ,CmN,CmN(Current Study),Red,Current Study,Current Study.CmN
4,12330408,12330408,12330408,12330408,Current Study.Yld,Yld(Current Study),Yld(Current Study),NsiI.TP827851,Fresh weight ,Yld,Yld(Current Study),Red,Current Study,Current Study.Yld
1,76203935,76203935,76203935,76203935,Current Study.CmD_LI,CmD_LI(Current Study),CmD_LI(Current Study),NsiI.TP832364,Culm outer diameter at last internode ,CmD_LI,CmD_LI(Current Study),Red,Current Study,Current Study.CmD_LI
4,63161916,63161916,63161916,63161916,Current Study.CmDW,CmDW(Current Study),CmDW(Current Study),NsiI.TP89701,Culm dry weight ,CmDW,CmDW(Current Study),Red,Current Study,Current Study.CmDW
9,58754094,58754094,58754094,58754094,Current Study.CmN,CmN(Current Study),CmN(Current Study),NsiI.TP90957,Culm node number ,CmN,CmN(Current Study),Red,Current Study,Current Study.CmN
2,63520018,63520018,63520018,63520018,Current Study.Flowering,Flo(Current Study),Flo(Current Study),NsiI.TP630636,Flowering,Flowering,Flo(Current Study),Red,Current Study,Current Study.Flowering
4,3373898,3373898,3373898,3373898,Current Study.CmD_BI,CmD_BI(Current Study),CmD_BI(Current Study),PstI.TP39944,Culm outer diameter at basal internode ,CmD_BI,CmD_BI(Current Study),Red,Current Study,Current Study.CmD_BI
3,13084031,13084031,13084031,13084031,Current Study.Bcirc,Bcirc(Current Study),Bcirc(Current Study),NsiI.TP563229,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study,Current Study.Bcirc
2,67001824,67001979,67001824,67001979,Zhao et al. (2013).Heading time,HT(Zhao et al. (2013)),HT(Zhao et al. (2013)),DBM49,Heading time,Heading time,Heading time(Zhao et al. (2013)),Yellow,Zhao et al. (2013),Zhao et al. (2013).Heading time
3,51796050,51796050,51796050,51796050,Current Study.Bcirc,Bcirc(Current Study),Bcirc(Current Study),NsiI.TP218789,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study,Current Study.Bcirc
2,71277610,71277610,71277610,71277610,Current Study.CmN,CmN(Current Study),CmN(Current Study),PstI.TP1025634,Culm node number ,CmN,CmN(Current Study),Red,Current Study,Current Study.CmN
4,62207098,62207098,62207098,62207098,Current Study.CmN,CmN(Current Study),CmN(Current Study),PstI.TP1026977,Culm node number ,CmN,CmN(Current Study),Red,Current Study,Current Study.CmN
2,66867781,66887781,66877781,68556864,Gifford_et_al_(2015).CCBC,CCBC2(Gifford(2015)),CCBC2(Gifford.et.al.(2015)),CCBC2,compressed circumference/basal circumference,CCBC,CCBC2(Gifford(2015)),Purple,Gifford_et_al_(2015),Clark_et_al_(2019).CC/BC
4,4201581,4201581,4201581,4201581,Current Study.CmD_BI,CmD_BI(Current Study),CmD_BI(Current Study),PstI.TP57846,Culm outer diameter at basal internode ,CmD_BI,CmD_BI(Current Study),Red,Current Study,Current Study.CmD_BI
3,66708999,66708999,66708999,66708999,Current Study.Bcirc,Bcirc(Current Study),Bcirc(Current Study),PstI.TP940999,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study,Current Study.Bcirc
4,54844080,54844080,54844080,54844080,Current Study.SDW,SDW(Current Study),SDW(Current Study),PstI.TP1040729,Sample Dry weight ,SDW,SDW(Current Study),Red,Current Study,Current Study.SDW
4,54844080,54844080,54844080,54844080,Current Study.Yld,Yld(Current Study),Yld(Current Study),PstI.TP1040729,Fresh weight ,Yld,Yld(Current Study),Red,Current Study,Current Study.Yld
1,23057306,23057306,23057306,23057306,Current Study.SDW,SDW(Current Study),SDW(Current Study),PstI.TP1040925,Sample Dry weight ,SDW,SDW(Current Study),Red,Current Study,Current Study.SDW
10,781197,781197,781197,781197,Current Study.CmN,CmN(Current Study),CmN(Current Study),PstI.TP1044533,Culm node number ,CmN,CmN(Current Study),Red,Current Study,Current Study.CmN
6,44593939,44593939,44593939,44593939,Current Study.CmN,CmN(Current Study),CmN(Current Study),PstI.TP104645,Culm node number ,CmN,CmN(Current Study),Red,Current Study,Current Study.CmN
1,13150553,13150553,13150553,13150553,Current Study.Cml,Cml(Current Study),Cml(Current Study),PstI.TP1051083,Culm length ,Cml,Cml(Current Study),Red,Current Study,Current Study.Cml
3,54845915,54845915,54845915,54845915,Current Study.Cml,Cml(Current Study),Cml(Current Study),PstI.TP105605,Culm length ,Cml,Cml(Current Study),Red,Current Study,Current Study.Cml
3,63645828,63645828,63645828,63645828,Current Study.Cml,Cml(Current Study),Cml(Current Study),PstI.TP1057917,Culm length ,Cml,Cml(Current Study),Red,Current Study,Current Study.Cml
