,SNP,ID,Chromosome,Position,Trait.name,PS,Ind.SNP,SUPER,FarmCPU,mrMLM,rrBLUP,GLM,MAF.1.x,PVE.1.y,Gene,chr,start,end,width,strand
441,PstI.TP1071296,CCirc_cm.12,11,7466,CCirc_cm,CCirc_cm(PS_N(6)),CCirc_cm(C106+4202(3);C116+3293(2);C124+2560(1)),,,CCirc_cm(FASTmrEMMA(1)ISIS EM-BLASSO(2)mrMLM(1)pKWmEB(2)),,,0.1513,19.11,NA,NA,NA,NA,NA,NA
442,PstI.TP1071296,Cml_cm.31,11,7466,Cml_cm,Cml_cm(PS_N(1)),Cml_cm(C124+2560(1)),,Cml_cm(FarmCPU(1)),,,,0.1492,17.8,NA,NA,NA,NA,NA,NA
443,PstI.TP1071296,SDW_kg.15,11,7466,SDW_kg,SDW_kg(PS_N(8)),SDW_kg(C106+4202(1);C116+3293(2);C124+2560(5)),,,SDW_kg(FASTmrEMMA(1)FASTmrMLM(2)ISIS EM-BLASSO(1)mrMLM(1)pKWmEB(2)pLARmEB(1)),,,0.1492,18.16,NA,NA,NA,NA,NA,NA
444,PstI.TP1071296,Yld_kg.25,11,7466,Yld_kg,Yld_kg(PS_N(5)),Yld_kg(C106+4202(3);C116+3293(2)),,,Yld_kg(FASTmrEMMA(2)FASTmrMLM(1)ISIS EM-BLASSO(1)mrMLM(1)),,,0.1466,23.48,NA,NA,NA,NA,NA,NA
453,PstI.TP1079991,CmN.90,11,7542,CmN,CmN(PS_N(1);PS_Y(1)),CmN(124+36088im(2)),,,CmN(FASTmrMLM(1)pKWmEB(1)),,,0.1573,4.856,NA,NA,NA,NA,NA,NA
457,PstI.TP1089091,CmDW_g.21,11,7602,CmDW_g,CmDW_g(PS_N(1)),CmDW_g(124+36088im(1)),,CmDW_g(FarmCPU(1)),,,,0.1379,5.751,NA,NA,NA,NA,NA,NA
537,PstI.TP1123892,Cml_cm.33,11,7887,Cml_cm,Cml_cm(PS_N(1)),Cml_cm(124+36088im(1)),,Cml_cm(FarmCPU(1)),,,,0.212,0.04522,NA,NA,NA,NA,NA,NA
538,PstI.TP1127198,CCirc_cm.15,11,7909,CCirc_cm,CCirc_cm(PS_N(1)),CCirc_cm(124+36088im(1)),,CCirc_cm(FarmCPU(1)),,,,0.05541,10.1,NA,NA,NA,NA,NA,NA
539,PstI.TP1127198,CmN.98,11,7909,CmN,CmN(PS_N(2)),CmN(C106+4202(1);C116+3293(1)),,,CmN(FASTmrMLM(2)),,,0.3966,9.889,NA,NA,NA,NA,NA,NA
541,PstI.TP1128716,CmN.100,3,65668248,CmN,CmN(PS_Y(1)),CmN(124+36088im(1)),,,,,CmN(GLM(1)),0.1208,7.922,NA,NA,NA,NA,NA,NA
556,PstI.TP1151011,CmD_LI_mm.21,11,8080,CmD_LI_mm,CmD_LI_mm(PS_N(1)),CmD_LI_mm(124+36088im(1)),,,CmD_LI_mm(pKWmEB(1)),,,0.1976,14.4,NA,NA,NA,NA,NA,NA
557,PstI.TP1151415,CmN.104,11,8084,CmN,CmN(PS_N(2);PS_Y(1)),CmN(C124+2560(3)),,,CmN(ISIS EM-BLASSO(1)pLARmEB(2)),,,0.1653,29.04,NA,NA,NA,NA,NA,NA
558,PstI.TP1154493,CmD_LI_mm.22,2,47054143,CmD_LI_mm,CmD_LI_mm(PS_N(1)),CmD_LI_mm(124+36088im(1)),,,CmD_LI_mm(mrMLM(1)),,,0.2705,23.21,NA,NA,NA,NA,NA,NA
610,PstI.TP1160897,CmN.106,10,17579080,CmN,CmN(PS_Y(2)),CmN(124+36088im(2)),CmN(MLM+SUPER(1)),,,,CmN(GLM(1)),0.1694,15.48,NA,NA,NA,NA,NA,NA
612,PstI.TP1164803,CmN.107,11,8190,CmN,CmN(PS_Y(1)),CmN(124+36088im(1)),,,,,CmN(GLM(1)),0.3315,6.745,NA,NA,NA,NA,NA,NA
613,PstI.TP1166684,CCirc_cm.18,11,8202,CCirc_cm,CCirc_cm(PS_N(2)),CCirc_cm(124+36088im(2)),,,CCirc_cm(FASTmrMLM(1)pKWmEB(1)),,,0.084,12.72,NA,NA,NA,NA,NA,NA
616,PstI.TP117838,CmDW_g.26,10,54500517,CmDW_g,CmDW_g(PS_N(1)),CmDW_g(124+36088im(1)),,,CmDW_g(mrMLM(1)),,,0.209,21.31,NA,NA,NA,NA,NA,NA
617,PstI.TP117838,SDW_kg.18,10,54500517,SDW_kg,SDW_kg(PS_N(1)),SDW_kg(124+36088im(1)),,,SDW_kg(ISIS EM-BLASSO(1)),,,0.2056,11.89,NA,NA,NA,NA,NA,NA
627,PstI.TP1184037,SDW_kg.19,3,65443424,SDW_kg,SDW_kg(PS_N(1)),SDW_kg(124+36088im(1)),,,SDW_kg(FASTmrMLM(1)),,,0.0766,1.076,NA,NA,NA,NA,NA,NA
637,PstI.TP1188898,CmN.110,11,8399,CmN,CmN(PS_Y(1)),CmN(124+36088im(1)),,,,,CmN(GLM(1)),0.2946,9.106,NA,NA,NA,NA,NA,NA
642,PstI.TP1193826,CmD_BI_mm.27,11,8443,CmD_BI_mm,CmD_BI_mm(PS_Y(1)),CmD_BI_mm(124+36088im(1)),,,CmD_BI_mm(pKWmEB(1)),,,0.0363,8.211,NA,NA,NA,NA,NA,NA
643,PstI.TP1198406,Bcirc_cm.30,4,2136493,Bcirc_cm,Bcirc_cm(PS_Y(1)),Bcirc_cm(124+36088im(1)),Bcirc_cm(MLM+SUPER(1)),,,,,0.3589,2.38E-06,NA,NA,NA,NA,NA,NA
645,PstI.TP1204344,CmN.111,11,8498,CmN,CmN(PS_Y(1)),CmN(C124+2560(1)),,,CmN(FASTmrMLM(1)),,,0.2339,8.732,NA,NA,NA,NA,NA,NA
647,PstI.TP1213759,Bcirc_cm.31,11,8549,Bcirc_cm,Bcirc_cm(PS_Y(1)),Bcirc_cm(124+36088im(1)),Bcirc_cm(MLM+SUPER(1)),,,,,0.2438,1.917,NA,NA,NA,NA,NA,NA
658,PstI.TP1225854,Bcirc_cm.32,11,8636,Bcirc_cm,Bcirc_cm(PS_Y(1)),Bcirc_cm(124+36088im(1)),Bcirc_cm(CMLM+SUPER(1)),,,,,0.08824,0.4129,NA,NA,NA,NA,NA,NA
663,PstI.TP1237979,CmN.118,11,8717,CmN,CmN(PS_Y(3)),CmN(124+36088im(3)),CmN(CMLM+SUPER(1)MLM+SUPER(1)),,,,CmN(GLM(1)),0.05143,7.545,NA,NA,NA,NA,NA,NA
664,PstI.TP1242757,CmN.119,11,8753,CmN,CmN(PS_Y(1)),CmN(C106+4202(1)),CmN(MLM+SUPER(1)),,,,,0.2972,1.186,NA,NA,NA,NA,NA,NA
671,PstI.TP1250222,CCirc_cm.20,11,8799,CCirc_cm,CCirc_cm(PS_Y(4)),CCirc_cm(C124+2560(4)),,,CCirc_cm(FASTmrMLM(1)ISIS EM-BLASSO(1)pKWmEB(1)pLARmEB(1)),,,0.0513,10.51,NA,NA,NA,NA,NA,NA
672,PstI.TP1250222,CmD_BI_mm.28,11,8799,CmD_BI_mm,CmD_BI_mm(PS_Y(1)),CmD_BI_mm(C124+2560(1)),,,CmD_BI_mm(FASTmrEMMA(1)),,,0.0484,4.161,NA,NA,NA,NA,NA,NA
685,PstI.TP1268841,CmD_LI_mm.28,11,8938,CmD_LI_mm,CmD_LI_mm(PS_N(1)),CmD_LI_mm(124+36088im(1)),,,CmD_LI_mm(FASTmrMLM(1)),,,0.1371,12.04,NA,NA,NA,NA,NA,NA
688,PstI.TP128846,CmD_BI_mm.29,11,1080,CmD_BI_mm,CmD_BI_mm(PS_N(1)),CmD_BI_mm(124+36088im(1)),,,CmD_BI_mm(ISIS EM-BLASSO(1)),,,0.1129,9.61,NA,NA,NA,NA,NA,NA
689,PstI.TP128846,CmDW_g.29,11,1080,CmDW_g,CmDW_g(PS_N(1)),CmDW_g(124+36088im(1)),,,CmDW_g(FASTmrMLM(1)),,,0.1129,14.46,NA,NA,NA,NA,NA,NA
690,PstI.TP128846,CCirc_cm.22,11,1080,CCirc_cm,CCirc_cm(PS_N(2);PS_Y(2)),CCirc_cm(124+36088im(4)),,,CCirc_cm(FASTmrMLM(2)pKWmEB(2)),,,0.1092,24.66,NA,NA,NA,NA,NA,NA
692,PstI.TP132021,CmN.126,11,1110,CmN,CmN(PS_Y(1)),CmN(C106+4202(1)),CmN(MLM+SUPER(1)),,,,,0.07547,2.136,NA,NA,NA,NA,NA,NA
697,PstI.TP139250,CmN.128,11,1151,CmN,CmN(PS_Y(2)),CmN(124+36088im(2)),CmN(MLM+SUPER(1)),,,,CmN(GLM(1)),0.07655,8.2,NA,NA,NA,NA,NA,NA
702,PstI.TP140756,CmN.129,11,1171,CmN,CmN(PS_Y(2)),CmN(124+36088im(2)),CmN(CMLM+SUPER(1)),,,,CmN(GLM(1)),0.2669,8.46,NA,NA,NA,NA,NA,NA
703,PstI.TP141279,Bcirc_cm.35,11,12718,Bcirc_cm,Bcirc_cm(PS_Y(1)),Bcirc_cm(C124+2560(1)),,,Bcirc_cm(FASTmrMLM(1)),,,0.1411,12.65,NA,NA,NA,NA,NA,NA
704,PstI.TP142256,SDW_kg.21,11,1187,SDW_kg,SDW_kg(PS_N(1)),SDW_kg(C116+3293(1)),,SDW_kg(FarmCPU(1)),,,,0.2026,0.5106,NA,NA,NA,NA,NA,NA
705,PstI.TP142256,CmD_LI_mm.30,11,1187,CmD_LI_mm,CmD_LI_mm(PS_N(1)),CmD_LI_mm(124+36088im(1)),,CmD_LI_mm(FarmCPU(1)),,,,0.2623,0.2309,NA,NA,NA,NA,NA,NA
734,PstI.TP154137,CmD_LI_mm.31,9,46091568,CmD_LI_mm,CmD_LI_mm(PS_N(1)),CmD_LI_mm(124+36088im(1)),,CmD_LI_mm(FarmCPU(1)),,,,0.09495,1.905,NA,NA,NA,NA,NA,NA
735,PstI.TP15637,Yld_kg.29,11,124,Yld_kg,Yld_kg(PS_N(1)),Yld_kg(C124+2560(1)),,,Yld_kg(ISIS EM-BLASSO(1)),,,0.3911,7.243,NA,NA,NA,NA,NA,NA
740,PstI.TP158908,Bcirc_cm.38,11,1303,Bcirc_cm,Bcirc_cm(PS_N(1)),Bcirc_cm(C106+4202(1)),,Bcirc_cm(FarmCPU(1)),,,,0.1179,0.0009215,NA,NA,NA,NA,NA,NA
745,PstI.TP18079,Bcirc_cm.40,6,50586809,Bcirc_cm,Bcirc_cm(PS_N(1)),Bcirc_cm(C106+4202(1)),,Bcirc_cm(FarmCPU(1)),,,,0.09906,1.999,NA,NA,NA,NA,NA,NA
752,PstI.TP19142,Cml_cm.40,11,155,Cml_cm,Cml_cm(PS_N(1)),Cml_cm(C106+4202(1)),,,Cml_cm(FASTmrEMMA(1)),,,0.1415,8.147,NA,NA,NA,NA,NA,NA
753,PstI.TP192620,CmN.133,11,1575,CmN,CmN(PS_Y(1)),CmN(124+36088im(1)),CmN(CMLM+SUPER(1)),,,,,0.1716,2.809,NA,NA,NA,NA,NA,NA
757,PstI.TP202435,Bcirc_cm.42,3,7414396,Bcirc_cm,Bcirc_cm(PS_N(1)),Bcirc_cm(124+36088im(1)),,Bcirc_cm(FarmCPU(1)),,,,0.06662,18,NA,NA,NA,NA,NA,NA
769,PstI.TP224188,Bcirc_cm.43,11,1842,Bcirc_cm,Bcirc_cm(PS_N(3);PS_Y(5)),Bcirc_cm(124+36088im(1);C106+4202(7)),,,Bcirc_cm(FASTmrEMMA(2)FASTmrMLM(1)ISIS EM-BLASSO(2)mrMLM(1)pKWmEB(2)),,,0.3846,21.64,NA,NA,NA,NA,NA,NA
788,PstI.TP229079,CmN.136,11,1881,CmN,CmN(PS_Y(3)),CmN(C106+4202(2);C116+3293(1)),CmN(CMLM+SUPER(1)MLM+SUPER(1)),,CmN(FASTmrMLM(1)),,,0.1293,6.893,NA,NA,NA,NA,NA,NA
789,PstI.TP230112,CmN.137,11,1898,CmN,CmN(PS_Y(1)),CmN(124+36088im(1)),,,,,CmN(GLM(1)),0.2153,7.448,NA,NA,NA,NA,NA,NA
793,PstI.TP241242,CmN.140,10,7791807,CmN,CmN(PS_Y(1)),CmN(124+36088im(1)),,,,,CmN(GLM(1)),0.441,6.839,NA,NA,NA,NA,NA,NA
798,PstI.TP250138,CmD_BI_mm.34,11,2033,CmD_BI_mm,CmD_BI_mm(PS_N(1)),CmD_BI_mm(124+36088im(1)),,,CmD_BI_mm(pKWmEB(1)),,,0.0605,3.799,NA,NA,NA,NA,NA,NA
800,PstI.TP253210,CmN.143,11,2060,CmN,CmN(PS_Y(3)),CmN(124+36088im(3)),CmN(CMLM+SUPER(1)MLM+SUPER(1)),,,,CmN(GLM(1)),0.09726,7.829,NA,NA,NA,NA,NA,NA
801,PstI.TP25647,CCirc_cm.24,11,198,CCirc_cm,CCirc_cm(PS_N(1)),CCirc_cm(124+36088im(1)),,CCirc_cm(FarmCPU(1)),,,,0.0685,0.1229,NA,NA,NA,NA,NA,NA
802,PstI.TP257951,CmN.144,4,14228269,CmN,CmN(PS_Y(3)),CmN(124+36088im(3)),CmN(CMLM+SUPER(1)MLM+SUPER(1)),,,,CmN(GLM(1)),0.06654,7.663,NA,NA,NA,NA,NA,NA
808,PstI.TP288023,SDW_kg.24,11,2288,SDW_kg,SDW_kg(PS_N(1)),SDW_kg(124+36088im(1)),,SDW_kg(FarmCPU(1)),,,,0.131,1.385,NA,NA,NA,NA,NA,NA
823,PstI.TP30419,CmN.150,11,232,CmN,CmN(PS_Y(1)),CmN(124+36088im(1)),CmN(CMLM+SUPER(1)),,,,,0.07068,3.965,NA,NA,NA,NA,NA,NA
825,PstI.TP312941,Bcirc_cm.45,2,2888124,Bcirc_cm,Bcirc_cm(PS_Y(1)),Bcirc_cm(124+36088im(1)),,,Bcirc_cm(ISIS EM-BLASSO(1)),,,0.1411,8.161,NA,NA,NA,NA,NA,NA
842,PstI.TP31637,SDW_kg.26,11,249,SDW_kg,SDW_kg(PS_N(1);PS_Y(1)),SDW_kg(C124+2560(2)),,SDW_kg(FarmCPU(1)),SDW_kg(pKWmEB(1)),,,0.2863,1.765,NA,NA,NA,NA,NA,NA
844,PstI.TP31817,Yld_kg.31,11,252,Yld_kg,Yld_kg(PS_N(1)),Yld_kg(C124+2560(1)),,,Yld_kg(pKWmEB(1)),,,0.2621,12.18,NA,NA,NA,NA,NA,NA
845,PstI.TP320216,CmN.152,11,2535,CmN,CmN(PS_Y(3)),CmN(124+36088im(3)),CmN(CMLM+SUPER(1)MLM+SUPER(1)),,,,CmN(GLM(1)),0.339,11.53,NA,NA,NA,NA,NA,NA
846,PstI.TP321657,CmN.153,11,2549,CmN,CmN(PS_Y(1)),CmN(124+36088im(1)),,,,,CmN(GLM(1)),0.06124,6.832,NA,NA,NA,NA,NA,NA
847,PstI.TP323391,CmN.154,11,2564,CmN,CmN(PS_Y(3)),CmN(124+36088im(3)),CmN(CMLM+SUPER(1)MLM+SUPER(1)),,,,CmN(GLM(1)),0.1151,7.009,NA,NA,NA,NA,NA,NA
848,PstI.TP324568,CmD_BI_mm.35,1,72175111,CmD_BI_mm,CmD_BI_mm(PS_N(1)),CmD_BI_mm(C116+3293(1)),,CmD_BI_mm(FarmCPU(1)),,,,0.1078,3.73,NA,NA,NA,NA,NA,NA
851,PstI.TP339945,CmDW_g.36,11,2686,CmDW_g,CmDW_g(PS_N(1)),CmDW_g(C106+4202(1)),,,CmDW_g(FASTmrEMMA(1)),,,0.0613,7.505,NA,NA,NA,NA,NA,NA
852,PstI.TP339945,CmN.155,11,2686,CmN,CmN(PS_N(3);PS_Y(1)),CmN(C106+4202(2);C116+3293(2)),,,CmN(FASTmrEMMA(2)FASTmrMLM(1)),,CmN(GLM(1)),0.0647,10.89,NA,NA,NA,NA,NA,NA
857,PstI.TP355049,Cml_cm.45,9,55239543,Cml_cm,Cml_cm(PS_N(1)),Cml_cm(124+36088im(1)),,Cml_cm(FarmCPU(1)),,,,0.3643,0.9939,NA,NA,NA,NA,NA,NA
858,PstI.TP356174,CmN.157,11,2816,CmN,CmN(PS_Y(1)),CmN(124+36088im(1)),,,,,CmN(GLM(1)),0.04889,6.969,NA,NA,NA,NA,NA,NA
860,PstI.TP36125,Bcirc_cm.47,11,299,Bcirc_cm,Bcirc_cm(PS_Y(1)),Bcirc_cm(124+36088im(1)),,,Bcirc_cm(mrMLM(1)),,,0.1025,51.68,NA,NA,NA,NA,NA,NA
861,PstI.TP36138,CmN.158,11,300,CmN,CmN(PS_N(1)),CmN(124+36088im(1)),,,CmN(FASTmrMLM(1)),,,0.1008,3.159,NA,NA,NA,NA,NA,NA
862,PstI.TP369656,SDW_kg.28,11,2909,SDW_kg,SDW_kg(PS_Y(1)),SDW_kg(124+36088im(1)),,,SDW_kg(pKWmEB(1)),,,0.1089,7.732,NA,NA,NA,NA,NA,NA
883,PstI.TP393060,Yld_kg.32,11,3059,Yld_kg,Yld_kg(PS_N(1)),Yld_kg(C116+3293(1)),,,Yld_kg(ISIS EM-BLASSO(1)),,,0.2155,5.345,NA,NA,NA,NA,NA,NA
889,PstI.TP401147,CCirc_cm.32,11,3119,CCirc_cm,CCirc_cm(PS_N(8);PS_Y(1)),CCirc_cm(C106+4202(3);C116+3293(4);C124+2560(2)),,CCirc_cm(FarmCPU(2)),CCirc_cm(FASTmrMLM(3)ISIS EM-BLASSO(1)mrMLM(1)pKWmEB(2)),,,0.09906,25.24,NA,NA,NA,NA,NA,NA
890,PstI.TP401147,Yld_kg.33,11,3119,Yld_kg,Yld_kg(PS_N(1)),Yld_kg(C124+2560(1)),,Yld_kg(FarmCPU(1)),,,,0.09677,0.9052,NA,NA,NA,NA,NA,NA
891,PstI.TP401147,SDW_kg.29,11,3119,SDW_kg,SDW_kg(PS_N(1)),SDW_kg(C106+4202(1)),,SDW_kg(FarmCPU(1)),,,,0.09906,1.624,NA,NA,NA,NA,NA,NA
893,PstI.TP409444,CmN.161,11,3169,CmN,CmN(PS_Y(3)),CmN(C106+4202(1);C124+2560(2)),CmN(CMLM+SUPER(1)MLM+SUPER(2)),,,,,0.07075,1.321,NA,NA,NA,NA,NA,NA
896,PstI.TP411848,CmD_BI_mm.41,11,3188,CmD_BI_mm,CmD_BI_mm(PS_N(4);PS_Y(8)),CmD_BI_mm(C106+4202(6);C116+3293(4);C124+2560(2)),,CmD_BI_mm(FarmCPU(1)),CmD_BI_mm(FASTmrEMMA(1)FASTmrMLM(3)ISIS EM-BLASSO(5)pKWmEB(2)),,,0.4764,12.15,NA,NA,NA,NA,NA,NA
897,PstI.TP411848,CmD_LI_mm.39,11,3188,CmD_LI_mm,CmD_LI_mm(PS_Y(5)),CmD_LI_mm(C106+4202(3);C116+3293(1);C124+2560(1)),,,CmD_LI_mm(FASTmrMLM(1)ISIS EM-BLASSO(1)pKWmEB(2)pLARmEB(1)),,,0.4856,20.4,NA,NA,NA,NA,NA,NA
898,PstI.TP411848,Cml_cm.46,11,3188,Cml_cm,Cml_cm(PS_N(1);PS_Y(5)),Cml_cm(C106+4202(4);C116+3293(2)),,,Cml_cm(FASTmrEMMA(1)FASTmrMLM(1)ISIS EM-BLASSO(2)pKWmEB(2)),,,0.4764,9.418,NA,NA,NA,NA,NA,NA
899,PstI.TP411848,CmDW_g.41,11,3188,CmDW_g,CmDW_g(PS_N(5);PS_Y(16)),CmDW_g(C106+4202(10);C116+3293(4);C124+2560(7)),CmDW_g(CMLM+SUPER(1)),,CmDW_g(FASTmrEMMA(3)FASTmrMLM(4)ISIS EM-BLASSO(5)mrMLM(2)pKWmEB(5)pLARmEB(1)),,,0.4856,18.8,NA,NA,NA,NA,NA,NA
900,PstI.TP411848,CmN.163,11,3188,CmN,CmN(PS_N(14);PS_Y(27)),CmN(124+36088im(5);C106+4202(11);C116+3293(13);C124+2560(12)),CmN(CMLM+SUPER(3)MLM+SUPER(3)),CmN(FarmCPU(2)),CmN(FASTmrEMMA(4)FASTmrMLM(6)ISIS EM-BLASSO(7)mrMLM(3)pKWmEB(8)pLARmEB(2)),,CmN(GLM(3)),0.4764,20.7,NA,NA,NA,NA,NA,NA
901,PstI.TP411848,SDW_kg.30,11,3188,SDW_kg,SDW_kg(PS_N(1)),SDW_kg(C106+4202(1)),,SDW_kg(FarmCPU(1)),,,,0.4764,3.027,NA,NA,NA,NA,NA,NA
908,PstI.TP432918,CmN.166,11,3318,CmN,CmN(PS_Y(1)),CmN(124+36088im(1)),CmN(CMLM+SUPER(1)),,,,,0.2587,2.263,NA,NA,NA,NA,NA,NA
909,PstI.TP433234,CmD_LI_mm.40,11,3320,CmD_LI_mm,CmD_LI_mm(PS_Y(2)),CmD_LI_mm(C106+4202(2)),,,CmD_LI_mm(FASTmrMLM(1)pKWmEB(1)),,,0.1651,0.6827,NA,NA,NA,NA,NA,NA
910,PstI.TP433234,CmD_BI_mm.42,11,3320,CmD_BI_mm,CmD_BI_mm(PS_N(1);PS_Y(5)),CmD_BI_mm(C106+4202(4);C116+3293(1);C124+2560(1)),,,CmD_BI_mm(FASTmrEMMA(1)FASTmrMLM(1)ISIS EM-BLASSO(3)pKWmEB(1)),,,0.1724,6.012,NA,NA,NA,NA,NA,NA
911,PstI.TP433679,CmD_BI_mm.43,11,3324,CmD_BI_mm,CmD_BI_mm(PS_N(1);PS_Y(1)),CmD_BI_mm(C124+2560(2)),,,CmD_BI_mm(pKWmEB(2)),,,0.1371,3.725,NA,NA,NA,NA,NA,NA
912,PstI.TP433679,Cml_cm.47,11,3324,Cml_cm,Cml_cm(PS_N(8);PS_Y(5)),Cml_cm(C106+4202(2);C116+3293(1);C124+2560(10)),Cml_cm(CMLM+SUPER(1)MLM+SUPER(1)),,Cml_cm(FASTmrEMMA(1)FASTmrMLM(2)ISIS EM-BLASSO(3)pKWmEB(3)pLARmEB(2)),,,0.1393,10.59,NA,NA,NA,NA,NA,NA
913,PstI.TP433679,CmDW_g.42,11,3324,CmDW_g,CmDW_g(PS_N(2)),CmDW_g(C124+2560(2)),,,CmDW_g(ISIS EM-BLASSO(1)pKWmEB(1)),,,0.1371,4.192,NA,NA,NA,NA,NA,NA
931,PstI.TP440570,CmN.168,11,3369,CmN,CmN(PS_Y(1)),CmN(124+36088im(1)),CmN(MLM+SUPER(1)),,,,,0.1282,0.362,NA,NA,NA,NA,NA,NA
933,PstI.TP451853,Cml_cm.48,11,3460,Cml_cm,Cml_cm(PS_N(1);PS_Y(1)),Cml_cm(C124+2560(2)),,,Cml_cm(FASTmrMLM(2)),,,0.2661,3.858,NA,NA,NA,NA,NA,NA
939,PstI.TP45703,CmN.170,11,389,CmN,CmN(PS_Y(1)),CmN(124+36088im(1)),,,,,CmN(GLM(1)),0.06498,7.237,NA,NA,NA,NA,NA,NA
1137,PstI.TP465891,CmN.173,11,3546,CmN,CmN(PS_Y(3)),CmN(124+36088im(3)),CmN(CMLM+SUPER(1)MLM+SUPER(1)),,,,CmN(GLM(1)),0.07651,8.106,NA,NA,NA,NA,NA,NA
1139,PstI.TP47447,CmD_LI_mm.42,1,12743038,CmD_LI_mm,CmD_LI_mm(PS_N(1);PS_Y(3)),CmD_LI_mm(124+36088im(4)),,,CmD_LI_mm(FASTmrMLM(1)ISIS EM-BLASSO(1)pKWmEB(2)),,,0.129,16.38,NA,NA,NA,NA,NA,NA
1140,PstI.TP47447,CmDW_g.45,1,12743038,CmDW_g,CmDW_g(PS_N(1);PS_Y(2)),CmDW_g(124+36088im(3)),,,CmDW_g(ISIS EM-BLASSO(1)mrMLM(2)),,,0.1311,13.22,NA,NA,NA,NA,NA,NA
1151,PstI.TP480983,CmN.174,4,61064043,CmN,CmN(PS_N(1)),CmN(124+36088im(1)),,CmN(FarmCPU(1)),,,,0.1312,0.3295,NA,NA,NA,NA,NA,NA
1165,PstI.TP492299,CmN.177,11,3739,CmN,CmN(PS_N(1)),CmN(124+36088im(1)),,,CmN(pKWmEB(1)),,,0.0605,0.2305,NA,NA,NA,NA,NA,NA
1166,PstI.TP492299,CmDW_g.46,11,3739,CmDW_g,CmDW_g(PS_Y(1)),CmDW_g(124+36088im(1)),,,CmDW_g(ISIS EM-BLASSO(1)),,,0.0605,0.6827,NA,NA,NA,NA,NA,NA
1167,PstI.TP492299,Yld_kg.37,11,3739,Yld_kg,Yld_kg(PS_N(1)),Yld_kg(124+36088im(1)),,,Yld_kg(pKWmEB(1)),,,0.0605,0.1904,NA,NA,NA,NA,NA,NA
1168,PstI.TP492299,SDW_kg.33,11,3739,SDW_kg,SDW_kg(PS_N(2);PS_Y(3)),SDW_kg(124+36088im(5)),,,SDW_kg(FASTmrMLM(2)ISIS EM-BLASSO(1)pKWmEB(2)),,,0.0605,1.675,NA,NA,NA,NA,NA,NA
1170,PstI.TP501240,CCirc_cm.35,6,40247059,CCirc_cm,CCirc_cm(PS_N(3);PS_Y(1)),CCirc_cm(124+36088im(4)),,,CCirc_cm(FASTmrMLM(1)ISIS EM-BLASSO(1)pKWmEB(2)),,,0.1471,10.63,NA,NA,NA,NA,NA,NA
1171,PstI.TP503391,Bcirc_cm.52,2,73095782,Bcirc_cm,Bcirc_cm(PS_N(1)),Bcirc_cm(C106+4202(1)),,Bcirc_cm(FarmCPU(1)),,,,0.3255,0.2224,NA,NA,NA,NA,NA,NA
1176,PstI.TP508209,CmD_BI_mm.52,11,3838,CmD_BI_mm,CmD_BI_mm(PS_N(2)),CmD_BI_mm(124+36088im(2)),,,CmD_BI_mm(ISIS EM-BLASSO(1)pKWmEB(1)),,,0.0968,9.468,NA,NA,NA,NA,NA,NA
1178,PstI.TP513843,Bcirc_cm.54,3,2577255,Bcirc_cm,Bcirc_cm(PS_Y(1)),Bcirc_cm(C106+4202(1)),,,Bcirc_cm(pKWmEB(1)),,,0.3208,3.337,NA,NA,NA,NA,NA,NA
1179,PstI.TP513843,CmD_LI_mm.44,3,2577255,CmD_LI_mm,CmD_LI_mm(PS_N(1)),CmD_LI_mm(C106+4202(1)),,,CmD_LI_mm(FASTmrMLM(1)),,,0.3208,5.058,NA,NA,NA,NA,NA,NA
1185,PstI.TP532131,CmN.181,11,3976,CmN,CmN(PS_Y(1)),CmN(C116+3293(1)),CmN(CMLM+SUPER(1)),,,,,0.1034,12.92,NA,NA,NA,NA,NA,NA
1243,PstI.TP574906,CmN.188,11,4137,CmN,CmN(PS_N(1)),CmN(C116+3293(1)),,,CmN(pKWmEB(1)),,,0.3664,3.336,NA,NA,NA,NA,NA,NA
1316,PstI.TP58484,CmD_BI_mm.56,11,490,CmD_BI_mm,CmD_BI_mm(PS_Y(1)),CmD_BI_mm(124+36088im(1)),,,CmD_BI_mm(ISIS EM-BLASSO(1)),,,0.1008,4.687,NA,NA,NA,NA,NA,NA
1317,PstI.TP58484,CmD_LI_mm.46,11,490,CmD_LI_mm,CmD_LI_mm(PS_N(1)),CmD_LI_mm(124+36088im(1)),,,CmD_LI_mm(pKWmEB(1)),,,0.1008,2.101,NA,NA,NA,NA,NA,NA
1318,PstI.TP58484,CmDW_g.49,11,490,CmDW_g,CmDW_g(PS_N(1)),CmDW_g(124+36088im(1)),,,CmDW_g(FASTmrMLM(1)),,,0.1008,2.498,NA,NA,NA,NA,NA,NA
1319,PstI.TP58484,CmN.191,11,490,CmN,CmN(PS_Y(1)),CmN(124+36088im(1)),,,CmN(FASTmrMLM(1)),,,0.1008,1.103,NA,NA,NA,NA,NA,NA
1320,PstI.TP588590,CmN.192,11,4212,CmN,CmN(PS_Y(1)),CmN(124+36088im(1)),,,,,CmN(GLM(1)),0.1387,8.383,NA,NA,NA,NA,NA,NA
1321,PstI.TP597057,CmN.193,11,4238,CmN,CmN(PS_Y(2)),CmN(124+36088im(2)),CmN(CMLM+SUPER(1)),,,,CmN(GLM(1)),0.2132,8.008,NA,NA,NA,NA,NA,NA
