,SNP,MAF.x,PVE.y
653,NsiI.TP755634,0.2259,2.539
654,NsiI.TP75624,0.1081,3.627
655,NsiI.TP756830,0.34,1.326
656,NsiI.TP756994,0.0885,2.00E-04
657,NsiI.TP757015,0.4883,0.004655
658,NsiI.TP757767,0.2163,0.5845
659,NsiI.TP757835,0.06891,0.02873
660,NsiI.TP761443,0.4817,12.59
661,NsiI.TP762015,0.05733,0.006252
662,NsiI.TP76552,0.1134,2.793
663,NsiI.TP765685,0.0302,0
664,NsiI.TP766568,0.4693,17.77
665,NsiI.TP767179,0.2328,26.47
666,NsiI.TP767912,0.1339,0.02778
667,NsiI.TP769469,0.1225,5.18
668,NsiI.TP772099,0.0921,21.07
669,NsiI.TP773756,0.05961,6.944
670,NsiI.TP77431,0.3255,0.4866
671,NsiI.TP7764,0.2865,0.1528
672,NsiI.TP777037,0.0259,2.00E-04
673,NsiI.TP777080,0.3985,1.789
674,NsiI.TP777241,0.237,4.66
675,NsiI.TP782571,0.1303,0.6779
676,NsiI.TP783302,0.1778,0.4985
677,NsiI.TP783625,0.3017,6.899
678,NsiI.TP784627,0.3253,0.8072
679,NsiI.TP785945,0.2408,0.2415
680,NsiI.TP787181,0.05537,1.266
681,NsiI.TP78756,0.3384,1.827
682,NsiI.TP789014,0.1387,8.478
683,NsiI.TP790761,0.3059,1.543
684,NsiI.TP790895,0.07087,0.3052
685,NsiI.TP791431,0.2309,1.442
686,NsiI.TP792021,0.4954,6.419
687,NsiI.TP792944,0.3476,1.796
688,NsiI.TP797049,0.102,0.2845
689,NsiI.TP797433,0.1542,1.726
690,NsiI.TP799336,0.1151,2.063
691,NsiI.TP803817,0.08037,0.0459
692,NsiI.TP804076,0.1616,1.07
693,NsiI.TP805238,0.2989,0.1786
694,NsiI.TP808101,0.07065,1.167
695,NsiI.TP810192,0.2018,19.33
696,NsiI.TP810911,0.4869,0.2276
697,NsiI.TP811464,0.06287,9.766
698,NsiI.TP811743,0.3239,2.382
699,NsiI.TP812818,0.3412,0.07061
700,NsiI.TP814761,0.4128,0.04924
701,NsiI.TP817028,0.3093,2.979
702,NsiI.TP819458,0.1085,3.346
703,NsiI.TP821705,0.1414,8.803
704,NsiI.TP821811,0.136,35.88
705,NsiI.TP822322,0.0502,2.457
706,NsiI.TP823356,0.3103,1.932
707,NsiI.TP825923,0.1897,32.59
708,NsiI.TP827467,0.2835,2.823
709,NsiI.TP828738,0.3922,0.6411
710,NsiI.TP82932,0.4369,0.009164
711,NsiI.TP831091,0.1611,1.812
712,NsiI.TP831705,0.3885,0.3216
713,NsiI.TP832142,0.1164,1.616
714,NsiI.TP83284,0.4589,3.454
715,NsiI.TP834285,0.0351,5.239
716,NsiI.TP83538,0.1835,3.429
717,NsiI.TP84023,0.155,1.158
718,NsiI.TP85829,0.4528,0.2521
719,NsiI.TP86624,0.21,4.675
720,NsiI.TP86687,0.1272,3.971
721,NsiI.TP88838,0.2191,0.1747
722,NsiI.TP90957,0.056,0.0698
723,NsiI.TP91546,0.1963,0.5705
724,NsiI.TP99767,0.2828,9.772
725,PstI.TP100020,0.2858,0.4338
726,PstI.TP1000389,0.0474,2.05E-05
727,PstI.TP100118,0.2699,0.01298
728,PstI.TP1002549,0.35,1.462
729,PstI.TP1002770,0.0859,0.1366
730,PstI.TP1003155,0.4774,0.1059
731,PstI.TP1004016,0.1872,11.83
732,PstI.TP1004899,0.2595,1.549
733,PstI.TP1004938,0.2845,5.628
734,PstI.TP1005417,0.1814,1.749
735,PstI.TP1005487,0.1349,0.572
736,PstI.TP1009395,0.0259,0.1901
737,PstI.TP1009631,0.07075,13.58
738,PstI.TP1011137,0.2778,4.682
739,PstI.TP1012261,0.3403,0.1274
740,PstI.TP1014212,0.4428,0.5152
741,PstI.TP1014704,0.25,4.599
742,PstI.TP101546,0.2894,0.5058
743,PstI.TP1015835,0.3964,3.405
744,PstI.TP1016611,0.3371,14.68
745,PstI.TP1016686,0.4017,0.3121
746,PstI.TP1017493,0.3146,0.1571
747,PstI.TP1020545,0.3405,16.77
748,PstI.TP1021663,0.4095,0.007543
749,PstI.TP1021940,0.2183,1.892
750,PstI.TP1022061,0.1509,0.002
751,PstI.TP1022311,0.484,0.0444
752,PstI.TP1022814,0.4216,1.619
753,PstI.TP1023146,0.05109,0.5398
754,PstI.TP1023531,0.08192,0.102
755,PstI.TP1023559,0.1195,0.567
756,PstI.TP102517,0.2155,3.004
757,PstI.TP1025405,0.06918,1.305
758,PstI.TP1026778,0.0532,0.01301
759,PstI.TP1026818,0.1406,2.00E-04
760,PstI.TP1027140,0.1009,0.1055
761,PstI.TP1027534,0.1681,1.771
762,PstI.TP1029976,0.3971,0.07693
763,PstI.TP1031077,0.06209,1.685
764,PstI.TP1035670,0.1562,0.3538
765,PstI.TP1036827,0.25,2.669
766,PstI.TP1038754,0.4062,0.1225
767,PstI.TP103912,0.1137,12.25
768,PstI.TP1040925,0.2858,0.9257
769,PstI.TP1042685,0.1616,1.191
770,PstI.TP1043924,0.138,0.8907
771,PstI.TP1044533,0.4915,1.367
772,PstI.TP104475,0.2517,1.979
773,PstI.TP1046316,0.09896,1.83
774,PstI.TP1046468,0.1034,0.0457
775,PstI.TP104876,0.1653,1.046
776,PstI.TP10501,0.4616,1.602
777,PstI.TP1050510,0.3777,7.466
778,PstI.TP105142,0.1191,2.22
779,PstI.TP1052140,0.1034,21.94
780,PstI.TP1052144,0.4278,1.254
781,PstI.TP1053379,0.1334,7.374
782,PstI.TP1054223,0.3287,0.671
783,PstI.TP1057124,0.3947,10.02
784,PstI.TP1057943,0.1358,0.003107
785,PstI.TP1059677,0.1345,0.3142
786,PstI.TP1060721,0.2022,0.00699
787,PstI.TP1060928,0.2749,6.477
788,PstI.TP1062164,0.4623,0.5901
789,PstI.TP1063157,0.1848,1.286
790,PstI.TP1063866,0.4956,0.839
791,PstI.TP1064114,0.1609,0.03459
792,PstI.TP1065484,0.3516,0.6222
793,PstI.TP1067903,0.5,12.2
794,PstI.TP1068244,0.1797,1.898
795,PstI.TP1068503,0.08238,1.276
796,PstI.TP1069273,0.3242,1.01
797,PstI.TP1070567,0.07174,0.1809
798,PstI.TP1071296,0.2901,15.16
799,PstI.TP1072201,0.3939,0.01665
800,PstI.TP107240,0.06502,0.1657
801,PstI.TP107349,0.08747,0.5715
802,PstI.TP1075605,0.0388,0
803,PstI.TP1075828,0.06176,0.5878
804,PstI.TP107814,0.08019,1.628
805,PstI.TP1078214,0.1079,2.165
806,PstI.TP1078392,0.3491,8.19
807,PstI.TP107881,0.08033,0.3206
808,PstI.TP1079268,0.1735,0.3065
809,PstI.TP1080029,0.1016,0.4661
810,PstI.TP1080621,0.3417,0.09424
811,PstI.TP108163,0.1806,3.925
812,PstI.TP1082638,0.3362,0.008252
813,PstI.TP1085371,0.4503,0.06059
814,PstI.TP1086389,0.3278,5.648
815,PstI.TP1086817,0.06469,0.4602
816,PstI.TP108730,0.2112,6.586
817,PstI.TP1088104,0.3428,1.908
818,PstI.TP1090311,0.07295,6.999
819,PstI.TP1094509,0.09113,3.904
820,PstI.TP1098048,0.1659,0.408
821,PstI.TP1100793,0.2297,1.056
822,PstI.TP1100905,0.0802,0
823,PstI.TP1102261,0.4141,3.773
824,PstI.TP1104477,0.3033,0.1148
825,PstI.TP1105337,0.4555,0.004436
826,PstI.TP1105986,0.1415,5.817
827,PstI.TP1106131,0.1221,0.335
828,PstI.TP11070,0.2851,1.087
829,PstI.TP1107519,0.0472,46.67
830,PstI.TP1107958,0.0175,25.64
831,PstI.TP1111251,0.18,1.443
832,PstI.TP1112734,0.3898,1.518
833,PstI.TP111598,0.0948,0.0092
834,PstI.TP1116623,0.3881,0.3879
835,PstI.TP1118313,0.4871,3.00E-04
836,PstI.TP1119335,0.06429,3.895
837,PstI.TP1122217,0.3778,2.207
838,PstI.TP1122752,0.2198,7.00E-04
839,PstI.TP1123265,0.1226,0.4761
840,PstI.TP1123713,0.07529,0.5163
841,PstI.TP1124199,0.4389,5.269
842,PstI.TP1124404,0.4946,0.308
843,PstI.TP1124649,0.0819,4.00E-04
844,PstI.TP1125669,0.09372,0.2584
845,PstI.TP1126134,0.3095,0.1783
846,PstI.TP1126710,0.026,0
847,PstI.TP112712,0.346,2.074
848,PstI.TP1128002,0.2516,2.435
849,PstI.TP1128004,0.2196,2.552
850,PstI.TP1128402,0.4294,1.011
851,PstI.TP1128716,0.1193,0.06379
852,PstI.TP1131607,0.4651,1.422
853,PstI.TP113313,0.1275,2.568
854,PstI.TP1133231,0.07422,1.183
855,PstI.TP1134497,0.4828,0.9583
856,PstI.TP1134689,0.2497,5.494
857,PstI.TP1135019,0.0858,0.591
858,PstI.TP1136919,0.271,1.295
859,PstI.TP114049,0.05323,1.538
860,PstI.TP1141531,0.2264,0.1218
861,PstI.TP1146105,0.3806,2.175
862,PstI.TP1148284,0.3993,1.617
863,PstI.TP1148320,0.2265,0.04828
864,PstI.TP115083,0.1803,2.2
865,PstI.TP1150876,0.08891,0.2923
866,PstI.TP1151078,0.2905,0.8571
867,PstI.TP115113,0.033,0.0094
868,PstI.TP115244,0.4397,9.989
869,PstI.TP1156107,0.0521,0.052
870,PstI.TP1156206,0.2625,0.03926
871,PstI.TP1156625,0.1284,4.512
872,PstI.TP1158338,0.4036,0.0379
873,PstI.TP115915,0.169,0.006418
874,PstI.TP1159423,0.4202,34.74
875,PstI.TP116046,0.1594,3.81
876,PstI.TP1160897,0.1522,0.1823
877,PstI.TP1162288,0.3711,2.129
878,PstI.TP1162502,0.1177,0.5549
879,PstI.TP1162520,0.05977,2.317
880,PstI.TP1163120,0.4379,0.6344
881,PstI.TP1164803,0.3474,0.5728
882,PstI.TP1165702,0.0817,0.1744
883,PstI.TP1168316,0.3127,1.884
884,PstI.TP1169376,0.3288,0.1375
885,PstI.TP1169498,0.1724,4.974
886,PstI.TP1169832,0.2716,1.636
887,PstI.TP116998,0.4536,0.8231
888,PstI.TP1171017,0.3077,0.07096
889,PstI.TP1171678,0.4418,0.549
890,PstI.TP1172854,0.3641,2.783
891,PstI.TP1175455,0.0365,0.0247
892,PstI.TP1175461,0.25,3.851
893,PstI.TP1177969,0.2768,0.07607
894,PstI.TP1177996,0.1552,2.15
895,PstI.TP1178906,0.4051,0.001924
896,PstI.TP1178947,0.1686,0.1063
897,PstI.TP1179217,0.1531,2.875
898,PstI.TP1181161,0.064,0.7395
899,PstI.TP1182813,0.07123,2.768
900,PstI.TP1183980,0.3005,0.06436
901,PstI.TP1184385,0.227,1.869
902,PstI.TP118441,0.0345,0.0055
903,PstI.TP1184560,0.1173,1.06
904,PstI.TP1184930,0.483,0.1687
905,PstI.TP1185674,0.1771,3.781
906,PstI.TP1188882,0.2932,0.1502
907,PstI.TP1190905,0.1564,0.01843
908,PstI.TP1191682,0.1088,2.936
909,PstI.TP119200,0.4849,10.17
910,PstI.TP1192081,0.1034,6.962
911,PstI.TP1194303,0.217,2.079
912,PstI.TP1196894,0.2877,1.911
913,PstI.TP1198766,0.154,6.487
914,PstI.TP1204396,0.07388,3.044
915,PstI.TP1204787,0.1041,2.955
916,PstI.TP1215799,0.1621,5.567
917,PstI.TP1217016,0.3682,2.46
918,PstI.TP1218945,0.4541,0.347
919,PstI.TP1221436,0.4173,3.185
920,PstI.TP122566,0.2638,1.281
921,PstI.TP1225854,0.08824,3.823
922,PstI.TP1226186,0.2969,7.48
923,PstI.TP1226356,0.1397,0.02169
924,PstI.TP1230984,0.3035,3.686
925,PstI.TP1231136,0.2409,3.721
926,PstI.TP1231139,0.12,8.479
927,PstI.TP1231486,0.2586,12.92
928,PstI.TP1234008,0.2489,1.212
929,PstI.TP1234552,0.25,8.118
930,PstI.TP1234687,0.293,0.2424
931,PstI.TP1235909,0.1486,0.5738
932,PstI.TP1235985,0.3616,0.1503
933,PstI.TP1236277,0.3405,3.997
934,PstI.TP1236551,0.3617,1.34
935,PstI.TP1237556,0.1429,0.8612
936,PstI.TP1238644,0.05329,7.25
937,PstI.TP123918,0.07826,0.7936
938,PstI.TP123922,0.1277,0.4678
939,PstI.TP1239894,0.159,0.07436
940,PstI.TP124053,0.09058,2.093
941,PstI.TP1241040,0.2404,1.309
942,PstI.TP1241952,0.174,3.959
943,PstI.TP1243155,0.1829,0.9524
944,PstI.TP1245564,0.1379,7.346
945,PstI.TP1248141,0.1509,5.543
946,PstI.TP1250993,0.1086,7.496
947,PstI.TP1251787,0.1209,0.8887
948,PstI.TP125419,0.2281,4.673
949,PstI.TP1254872,0.0819,0.0239
950,PstI.TP125644,0.1691,7.045
951,PstI.TP1256552,0.0647,0.5424
952,PstI.TP1256881,0.3453,0.3533
953,PstI.TP1257104,0.2547,4.208
954,PstI.TP1264009,0.4569,0.3362
955,PstI.TP1264238,0.0431,0.1331
956,PstI.TP1267198,0.1905,0.1019
957,PstI.TP1268585,0.3854,32.92
958,PstI.TP1273314,0.3299,0.07205
959,PstI.TP12746,0.1038,1.179
960,PstI.TP1276178,0.06031,3.101
961,PstI.TP1276226,0.2237,0.004478
962,PstI.TP12767,0.4808,6.069
963,PstI.TP1278820,0.0388,0.0977
964,PstI.TP1280524,0.1004,0.2437
965,PstI.TP1280528,0.1638,1.984
966,PstI.TP1281273,0.276,5.436
967,PstI.TP1282314,0.1623,16.35
968,PstI.TP1283654,0.1172,0.06407
969,PstI.TP1284448,0.07516,0.001951
970,PstI.TP1288470,0.06892,1.348
971,PstI.TP1289837,0.4348,1.148
972,PstI.TP1294494,0.2864,0.2238
973,PstI.TP1294907,0.05606,6.781
974,PstI.TP1295242,0.0991,1.861
975,PstI.TP130505,0.4224,2.575
976,PstI.TP131297,0.08103,0.8036
977,PstI.TP131472,0.0776,0.4326
978,PstI.TP133012,0.1209,2.008
979,PstI.TP133136,0.194,11.04
980,PstI.TP133700,0.0283,0.0089
981,PstI.TP134017,0.09809,2.636
982,PstI.TP134743,0.0474,0.0581
983,PstI.TP135889,0.1255,9.514
984,PstI.TP136362,0.353,0.649
985,PstI.TP136422,0.2343,3.491
986,PstI.TP136460,0.1406,0.1942
987,PstI.TP13814,0.1601,0.2136
988,PstI.TP13843,0.0425,0
989,PstI.TP138495,0.1426,1.041
990,PstI.TP138953,0.2346,0.002668
991,PstI.TP139250,0.07655,1.222
992,PstI.TP140756,0.2581,0.0009602
993,PstI.TP141528,0.2968,5.725
994,PstI.TP142395,0.4934,0.1376
995,PstI.TP143189,0.3712,3.848
996,PstI.TP144181,0.4121,1.599
997,PstI.TP14467,0.3669,1.231
998,PstI.TP145796,0.125,0
999,PstI.TP148299,0.0733,3.67E-06
1000,PstI.TP150197,0.4102,0.4186
1001,PstI.TP152556,0.08824,2.026
1002,PstI.TP153865,0.1762,0.07248
1003,PstI.TP15431,0.08839,0.2967
1004,PstI.TP154510,0.1748,0.0003281
1005,PstI.TP154924,0.3351,0.6997
1006,PstI.TP158011,0.203,6.351
1007,PstI.TP159372,0.08943,0.02896
1008,PstI.TP160752,0.3177,0.6546
1009,PstI.TP161537,0.0931,2.684
1010,PstI.TP163131,0.4197,1.744
1011,PstI.TP163618,0.05269,0.04214
1012,PstI.TP166018,0.2504,0.484
1013,PstI.TP166135,0.2353,0.1137
1014,PstI.TP166492,0.125,1.014
1015,PstI.TP166748,0.3816,0.1426
1016,PstI.TP166900,0.1242,0.4794
1017,PstI.TP168319,0.109,0.01615
1018,PstI.TP168553,0.221,4.264
1019,PstI.TP17148,0.2178,3.059
1020,PstI.TP172804,0.07759,1.054
1021,PstI.TP173114,0.1118,0.7287
1022,PstI.TP174245,0.1261,0.00945
1023,PstI.TP174387,0.1004,0.7334
1024,PstI.TP175125,0.09534,8.907
1025,PstI.TP175653,0.1219,1.28
1026,PstI.TP175806,0.3808,0.1719
1027,PstI.TP176663,0.1352,0.2844
1028,PstI.TP177807,0.4577,2.811
1029,PstI.TP178455,0.05896,1.51
1030,PstI.TP178720,0.05882,3.534
1031,PstI.TP180465,0.1282,3.465
1032,PstI.TP18098,0.08621,0.01109
1033,PstI.TP182059,0.4716,0.122
1034,PstI.TP182752,0.143,0.7698
1035,PstI.TP184836,0.1124,4.358
1036,PstI.TP187918,0.25,20.29
1037,PstI.TP188641,0.1415,4.926
1038,PstI.TP189070,0.4072,2.767
1039,PstI.TP189668,0.3728,1.051
1040,PstI.TP191473,0.1997,1.933
1041,PstI.TP192620,0.1716,7.521
1042,PstI.TP195038,0.3478,4.204
1043,PstI.TP195822,0.3705,1.793
1044,PstI.TP195926,0.3872,0.3259
1045,PstI.TP197088,0.1503,1.274
1046,PstI.TP198419,0.1754,6.595
1047,PstI.TP199606,0.06536,0.7494
1048,PstI.TP20145,0.2221,0.07036
1049,PstI.TP201653,0.0259,0
1050,PstI.TP202221,0.4616,2.041
1051,PstI.TP202284,0.2676,0.5263
1052,PstI.TP203633,0.2806,0.3535
1053,PstI.TP204138,0.3239,4.495
1054,PstI.TP204901,0.1594,5.685
1055,PstI.TP208292,0.307,19.31
1056,PstI.TP208457,0.3792,0.01344
1057,PstI.TP209249,0.09239,2.717
1058,PstI.TP210621,0.4924,0.5758
1059,PstI.TP21082,0.1379,0.1922
1060,PstI.TP210905,0.181,7.463
1061,PstI.TP211414,0.1482,0.4623
1062,PstI.TP212298,0.4323,0.4514
1063,PstI.TP212301,0.4061,2.395
1064,PstI.TP214793,0.1077,6.464
1065,PstI.TP217064,0.4067,0.4957
1066,PstI.TP217258,0.0425,0.1494
1067,PstI.TP218170,0.1928,8.893
1068,PstI.TP218403,0.3429,0.001545
1069,PstI.TP218456,0.4857,0.1067
1070,PstI.TP219514,0.2388,0.1117
1071,PstI.TP219629,0.125,2.676
1072,PstI.TP220192,0.4077,1.76
1073,PstI.TP221463,0.1229,0.3341
1074,PstI.TP223614,0.1699,0.6196
1075,PstI.TP223655,0.07739,2.977
1076,PstI.TP225347,0.3577,2.692
1077,PstI.TP225948,0.2854,0.06969
1078,PstI.TP227932,0.1775,1.621
1079,PstI.TP229796,0.08322,2.501
1080,PstI.TP230384,0.2733,0.1044
1081,PstI.TP230539,0.3073,3.475
1082,PstI.TP231570,0.07211,4.187
1083,PstI.TP234053,0.4254,4.125
1084,PstI.TP234335,0.1533,0.1756
1085,PstI.TP234444,0.1279,0.1958
1086,PstI.TP235450,0.09604,0.5436
1087,PstI.TP24175,0.1673,5.918
1088,PstI.TP24205,0.2172,0.079
1089,PstI.TP242436,0.306,5.383
1090,PstI.TP242761,0.3168,0.3188
1091,PstI.TP244063,0.1175,6.536
1092,PstI.TP245404,0.1579,7.514
1093,PstI.TP246329,0.0156,0.0035
1094,PstI.TP246552,0.1318,0.002661
1095,PstI.TP248137,0.1492,0.1271
1096,PstI.TP248498,0.0216,7.73E-06
1097,PstI.TP248632,0.0733,2.78E-06
1098,PstI.TP249296,0.1415,2.438
1099,PstI.TP253737,0.4913,0.4992
1100,PstI.TP256718,0.4611,5.622
1101,PstI.TP256850,0.1806,0.327
1102,PstI.TP257951,0.06654,0.3092
1103,PstI.TP262001,0.3032,26.14
1104,PstI.TP262688,0.056,2.49E-05
1105,PstI.TP265440,0.3982,0.2612
1106,PstI.TP26581,0.4303,3.13
1107,PstI.TP268577,0.1645,1.06
1108,PstI.TP269566,0.2974,10.64
1109,PstI.TP270543,0.1275,8.791
1110,PstI.TP275480,0.3733,3.647
1111,PstI.TP276669,0.4597,0.07234
1112,PstI.TP276987,0.3492,0.2513
1113,PstI.TP277254,0.3276,0
1114,PstI.TP277421,0.2456,16.3
1115,PstI.TP27966,0.485,8.424
1116,PstI.TP280290,0.1932,0.3309
1117,PstI.TP28147,0.05174,0.4642
1118,PstI.TP28557,0.3716,0.1248
1119,PstI.TP286131,0.3541,0.7017
1120,PstI.TP288641,0.05603,14.71
1121,PstI.TP289559,0.4107,0.1279
1122,PstI.TP29028,0.2032,4.027
1123,PstI.TP290625,0.05194,0.00773
1124,PstI.TP291849,0.1651,1.716
1125,PstI.TP292863,0.2202,3.166
1126,PstI.TP29396,0.2414,3.339
1127,PstI.TP297382,0.1113,1.253
1128,PstI.TP297547,0.0302,3.79E-07
1129,PstI.TP297702,0.4357,0.1253
1130,PstI.TP299144,0.1298,1.967
1131,PstI.TP299726,0.1427,2.663
1132,PstI.TP300113,0.2368,15.66
1133,PstI.TP302826,0.1179,0.2516
1134,PstI.TP30317,0.1801,9.272
1135,PstI.TP303420,0.1544,8.74
1136,PstI.TP304003,0.2582,0.409
1137,PstI.TP30419,0.07068,0.9719
1138,PstI.TP308053,0.1132,10.38
1139,PstI.TP308061,0.0156,1.69E-05
1140,PstI.TP308868,0.0733,3.02E-05
1141,PstI.TP309722,0.3087,0.377
1142,PstI.TP309985,0.119,11.54
1143,PstI.TP312198,0.1897,14.98
1144,PstI.TP314326,0.2282,0.6508
1145,PstI.TP315020,0.2458,0.886
1146,PstI.TP315041,0.2081,4.098
1147,PstI.TP315114,0.1001,2.351
1148,PstI.TP316265,0.2157,6.207
1149,PstI.TP316438,0.111,1.395
1150,PstI.TP318338,0.3809,1.306
1151,PstI.TP319062,0.1356,2.544
1152,PstI.TP319571,0.2672,0.2699
1153,PstI.TP31970,0.026,0
1154,PstI.TP319778,0.2186,0.02374
1155,PstI.TP320216,0.3145,0.08263
1156,PstI.TP323198,0.1009,0.004009
1157,PstI.TP323391,0.1151,9.236
1158,PstI.TP323959,0.3344,1.021
1159,PstI.TP324616,0.3596,1.829
1160,PstI.TP325669,0.3233,8.351
1161,PstI.TP325958,0.2982,19.85
1162,PstI.TP326019,0.1909,1.76
1163,PstI.TP331302,0.2988,0.04026
1164,PstI.TP332110,0.1021,0.0113
1165,PstI.TP332845,0.4528,24.94
1166,PstI.TP332939,0.325,3.142
1167,PstI.TP333031,0.255,2.904
1168,PstI.TP334182,0.05208,0.6505
1169,PstI.TP336323,0.1505,1.133
1170,PstI.TP33762,0.4619,2.874
1171,PstI.TP339012,0.06771,4.502
1172,PstI.TP339412,0.4769,0.2211
1173,PstI.TP344604,0.1987,0.01816
1174,PstI.TP344899,0.05641,2.623
1175,PstI.TP345423,0.4775,0.8949
1176,PstI.TP346636,0.2306,0.2476
1177,PstI.TP347648,0.07167,2.506
1178,PstI.TP348121,0.1297,0.07919
1179,PstI.TP350264,0.1915,2.567
1180,PstI.TP350585,0.1707,0.4324
1181,PstI.TP352846,0.2819,27.42
1182,PstI.TP353803,0.08478,0.3019
1183,PstI.TP355533,0.3405,1.792
1184,PstI.TP359942,0.2071,2.769
1185,PstI.TP360233,0.1792,1.254
1186,PstI.TP360841,0.4095,15.13
1187,PstI.TP362977,0.3814,0.123
1188,PstI.TP365053,0.0208,3.00E-04
1189,PstI.TP365158,0.1602,6.661
1190,PstI.TP365432,0.0388,2.64E-06
1191,PstI.TP366392,0.4732,0.3932
1192,PstI.TP366456,0.09792,0.1254
1193,PstI.TP366613,0.2127,0.7357
1194,PstI.TP366962,0.3775,0.1146
1195,PstI.TP367568,0.1104,0.05914
1196,PstI.TP368198,0.3269,1.144
1197,PstI.TP369771,0.4633,0.2697
1198,PstI.TP370736,0.108,2.102
1199,PstI.TP371722,0.214,1.614
1200,PstI.TP372251,0.1228,9.02
1201,PstI.TP37276,0.3815,3.582
1202,PstI.TP374085,0.2094,0.3463
1203,PstI.TP375640,0.1639,3.266
1204,PstI.TP376858,0.2449,5.093
1205,PstI.TP377694,0.1915,0.6112
1206,PstI.TP377913,0.0915,0.1596
1207,PstI.TP38134,0.2963,5.359
1208,PstI.TP385678,0.3218,2.621
1209,PstI.TP386442,0.06227,5.643
1210,PstI.TP38986,0.0377,0.0306
1211,PstI.TP392273,0.05573,0.7236
1212,PstI.TP392482,0.3206,0.1167
1213,PstI.TP394317,0.0345,8.97E-06
1214,PstI.TP396517,0.2242,0.1538
1215,PstI.TP396662,0.09108,1.592
1216,PstI.TP40160,0.069,0.0753
1217,PstI.TP402756,0.1285,0.4918
1218,PstI.TP403796,0.108,0.6909
1219,PstI.TP404885,0.0259,2.13E-06
1220,PstI.TP408444,0.05312,3.43
1221,PstI.TP409479,0.277,0.4456
1222,PstI.TP410209,0.3825,0.254
1223,PstI.TP410532,0.1297,0.171
1224,PstI.TP410728,0.4274,2.445
1225,PstI.TP411518,0.108,0.3741
1226,PstI.TP412177,0.06346,1.361
1227,PstI.TP414184,0.2552,0.5831
1228,PstI.TP41440,0.0733,0.0218
1229,PstI.TP41452,0.066,0.2956
1230,PstI.TP41761,0.2293,4.311
1231,PstI.TP417668,0.3748,1.519
1232,PstI.TP417854,0.0302,2.41E-07
1233,PstI.TP418863,0.08962,1.35
1234,PstI.TP419952,0.0431,4.23E-05
1235,PstI.TP422970,0.08507,0.9678
1236,PstI.TP426779,0.131,0.3389
1237,PstI.TP427104,0.1027,0.5369
1238,PstI.TP428451,0.0474,0
1239,PstI.TP43003,0.2822,0.05721
1240,PstI.TP432584,0.2093,1.419
1241,PstI.TP434247,0.2198,2.028
1242,PstI.TP437620,0.2802,0.011
1243,PstI.TP437672,0.08019,5.996
1244,PstI.TP438189,0.1022,0.03844
1245,PstI.TP438663,0.06727,1.561
1246,PstI.TP439176,0.366,7.808
1247,PstI.TP440570,0.1282,0.02108
1248,PstI.TP440583,0.4041,6.237
1249,PstI.TP441536,0.3793,1.371
1250,PstI.TP442690,0.0259,5.22E-06
1251,PstI.TP442963,0.09484,0.1946
1252,PstI.TP443507,0.4388,0.257
1253,PstI.TP444076,0.184,11.14
1254,PstI.TP444619,0.1817,1.797
1255,PstI.TP445836,0.2216,0.9424
1256,PstI.TP44945,0.1241,4.165
1257,PstI.TP450060,0.0991,2.36E-06
1258,PstI.TP452173,0.4352,6.911
1259,PstI.TP453580,0.3308,1.887
1260,PstI.TP457393,0.2105,17.58
1261,PstI.TP460830,0.1174,0.2742
1262,PstI.TP465891,0.07651,0.5618
1263,PstI.TP466257,0.1355,2.527
1264,PstI.TP470138,0.0914,0.6087
1265,PstI.TP470160,0.415,6.541
1266,PstI.TP474063,0.1956,4.43
1267,PstI.TP474961,0.1863,0.4214
1268,PstI.TP475191,0.2762,0.673
1269,PstI.TP47535,0.0259,1.31E-06
1270,PstI.TP476170,0.4575,3.19
1271,PstI.TP476949,0.5,5.359
1272,PstI.TP477486,0.3007,0.07144
1273,PstI.TP477722,0.2336,6.602
1274,PstI.TP478241,0.05297,1.136
1275,PstI.TP480160,0.3948,0.1522
1276,PstI.TP480563,0.1223,7.323
1277,PstI.TP48338,0.2314,0.6085
1278,PstI.TP485114,0.05955,0.3672
1279,PstI.TP487081,0.1379,1.656
1280,PstI.TP487745,0.0236,0
1281,PstI.TP488800,0.1443,0.2788
1282,PstI.TP490102,0.2114,0.4371
1283,PstI.TP490103,0.2345,0.3689
1284,PstI.TP490779,0.0647,1.57E-05
1285,PstI.TP491452,0.1981,0.1463
1286,PstI.TP491926,0.4208,0.0299
1287,PstI.TP492157,0.124,1.982
1288,PstI.TP494123,0.2114,12.55
1289,PstI.TP495406,0.07016,1.055
1290,PstI.TP497572,0.3103,4.589
1291,PstI.TP498475,0.3349,14.94
1292,PstI.TP50012,0.1639,0.4103
1293,PstI.TP502131,0.0216,0.0032
1294,PstI.TP504045,0.1941,0.4656
1295,PstI.TP507073,0.4937,1.859
1296,PstI.TP51079,0.05827,1.228
1297,PstI.TP512607,0.0474,0.0359
1298,PstI.TP513010,0.2975,0.9033
1299,PstI.TP513949,0.3448,10.8
1300,PstI.TP515295,0.2647,0.08733
1301,PstI.TP515539,0.3809,1.785
1302,PstI.TP51884,0.2744,2.062
1303,PstI.TP51995,0.05229,3.799
1304,PstI.TP52046,0.0991,1.574
1305,PstI.TP521411,0.4748,9.873
1306,PstI.TP522628,0.1882,0.01377
1307,PstI.TP525648,0.178,5.346
1308,PstI.TP527171,0.0142,0
1309,PstI.TP53013,0.07481,0.1786
