,SNP,Chromosome,Position,P.value,MAF,Ind.SNP,PS,Software,Method,Trait.name,PVE,P.value.1
6510,NsiI.TP166838,3,60735782,4.36E-05,0.346041542,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,FW_1,2.77451696,4.00E-05
6511,NsiI.TP166838,3,60735782,5.35E-05,0.346041542,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,FW_50,2.896395205,5.00E-05
6512,NsiI.TP166838,3,60735782,1.56E-05,0.346041542,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,GFW_1,2.485767777,2.00E-05
6513,NsiI.TP166838,3,60735782,0.000301509,0.346041542,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,GFW_50,3.156141384,3.00E-04
6514,NsiI.TP166838,3,60735782,0.000417375,0.346041542,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,GHW_1,2.513900535,4.00E-04
6515,NsiI.TP166838,3,60735782,3.87E-05,0.346041542,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,HD_1,2.544432646,4.00E-05
6516,NsiI.TP166838,3,60735782,3.28E-05,0.346041542,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,HW_50,3.290647572,3.00E-05
6517,NsiI.TP167396,2,75013814,0.000187302,0.476693348,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,HM_1,7.558691195,2.00E-04
6518,NsiI.TP169322,5,71759480,2.51E-05,0.353933296,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,FD_50,3.10758324,3.00E-05
6519,NsiI.TP169322,5,71759480,4.29E-05,0.353933296,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,FM_1,3.468638772,4.00E-05
6520,NsiI.TP169322,5,71759480,2.59E-05,0.353933296,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,fprind,3.053437025,3.00E-05
6521,NsiI.TP169322,5,71759480,0.000238891,0.353933296,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,fprinGW,3.132860435,2.00E-04
6522,NsiI.TP169322,5,71759480,2.97E-05,0.353933296,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,GFW_1,2.736735927,3.00E-05
6523,NsiI.TP169322,5,71759480,0.000190738,0.353933296,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,GFW_50,3.548345868,2.00E-04
6524,NsiI.TP169322,5,71759480,0.000389761,0.353933296,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,GHW_1,2.634031166,4.00E-04
6525,NsiI.TP169322,5,71759480,7.62E-05,0.353933296,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,HM_1,3.683342712,8.00E-05
6526,NsiI.TP172212,1,67605060,4.91E-05,0.303087401,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,GFW_1,0.243897984,5.00E-05
6527,NsiI.TP172212,1,67605060,0.00031491,0.303087401,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,GFW_50,0.126892079,3.00E-04
6528,NsiI.TP172212,1,67605060,0.000124399,0.303087401,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,GHW_1,0.252114451,1.00E-04
6529,NsiI.TP172371,11,11040,0.000161857,0.177757768,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,FM_1,1.40106066,2.00E-04
6530,NsiI.TP172371,11,11040,0.000343293,0.177757768,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,GFW_1,1.597627018,3.00E-04
6531,NsiI.TP172371,11,11040,0.001158794,0.177757768,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,GHW_1,1.538071441,0.001
6532,NsiI.TP174370,1,6704694,6.72E-06,0.414168785,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,GHW_1,0.338201337,7.00E-06
6533,NsiI.TP175409,11,11076,0.000424196,0.136180221,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,GFW_1,2.108702641,4.00E-04
6534,NsiI.TP175409,11,11076,0.001183462,0.136180221,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,GHW_1,1.813260595,0.001
6535,NsiI.TP1783,11,9157,8.68E-05,0.398740346,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,GHW_1,17.15229658,9.00E-05
6536,NsiI.TP1783,11,9157,8.33E-05,0.398740346,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,HM_1,18.66072251,8.00E-05
6537,NsiI.TP179961,11,11131,0.000186166,0.413728732,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,HM_1,2.424216717,2.00E-04
6538,NsiI.TP180786,11,11146,0.000291734,0.462214204,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,GFW_1,3.630784655,3.00E-04
6539,NsiI.TP180786,11,11146,0.000863901,0.462214204,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,GHW_1,3.384974935,9.00E-04
6540,NsiI.TP183334,2,21523636,2.52E-05,0.099871368,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,FM_1,0.094987603,3.00E-05
6541,NsiI.TP185826,11,11195,0.000155071,0.424883021,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,GHW_1,0.069872257,2.00E-04
6542,NsiI.TP185826,11,11195,5.23E-05,0.424883021,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,HM_1,0.008183797,5.00E-05
6543,NsiI.TP189044,5,34971,0.000280902,0.179764247,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,GFW_1,0.13781615,3.00E-04
6544,NsiI.TP189044,5,34971,0.000177132,0.179764247,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,GFW_50,0.168529339,2.00E-04
6545,NsiI.TP189044,5,34971,7.48E-05,0.179764247,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,GHW_1,0.198706088,7.00E-05
6546,NsiI.TP189044,5,34971,0.000116598,0.179764247,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,HM_1,0.060330663,1.00E-04
6548,NsiI.TP191077,11,11250,0.000375319,0.450341834,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,GHW_1,4.512170222,4.00E-04
6550,NsiI.TP19314,8,52151314,0.000305352,0.172281784,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,GFW_50,2.191195419,3.00E-04
6551,NsiI.TP19314,8,52151314,0.000940212,0.172281784,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,GHW_1,3.153828198,9.00E-04
6552,NsiI.TP195180,1,12857502,6.79E-05,0.103376311,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,FD_50,0.873043888,7.00E-05
6553,NsiI.TP195180,1,12857502,0.000247025,0.103376311,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,FM_50,0.45359512,2.00E-04
6554,NsiI.TP195180,1,12857502,0.000100849,0.103376311,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,fprinGW,0.782561081,1.00E-04
6555,NsiI.TP195180,1,12857502,9.11E-05,0.103376311,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,fprinW,0.815041987,9.00E-05
6556,NsiI.TP195180,1,12857502,7.46E-05,0.103376311,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,FW_1,0.86594878,7.00E-05
6557,NsiI.TP195180,1,12857502,7.00E-05,0.103376311,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,FW_50,0.839679641,7.00E-05
6558,NsiI.TP195180,1,12857502,4.95E-05,0.103376311,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,GFW_50,0.89417072,5.00E-05
6559,NsiI.TP195180,1,12857502,8.62E-05,0.103376311,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,GHW_1,0.647609968,9.00E-05
6560,NsiI.TP195180,1,12857502,2.35E-05,0.103376311,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,HM_1,0.8886591,2.00E-05
6561,NsiI.TP195180,1,12857502,6.60E-05,0.103376311,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,HW_50,0.769405397,7.00E-05
6562,NsiI.TP196097,11,11301,0.000110601,0.28971177,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,GHW_1,0.79519778,1.00E-04
6563,NsiI.TP196097,11,11301,0.000166739,0.28971177,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,GHW_50,0.481944904,2.00E-04
6564,NsiI.TP196221,11,11304,0.000187674,0.076537151,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,GFW_50,1.731165016,2.00E-04
6565,NsiI.TP196221,11,11304,4.61E-05,0.076537151,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,GHW_1,1.531790107,5.00E-05
6568,NsiI.TP198999,1,1902613,0.000228487,0.078595399,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,fprinGW,0.350460234,2.00E-04
6569,NsiI.TP198999,1,1902613,0.000178619,0.078595399,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,fprinW,0.429082793,2.00E-04
6570,NsiI.TP198999,1,1902613,0.000172091,0.078595399,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,FW_50,0.457057064,2.00E-04
6575,NsiI.TP205252,4,63574731,9.11E-05,0.156765132,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,FM_1,0.814748198,9.00E-05
6576,NsiI.TP205252,4,63574731,0.000207865,0.156765132,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,FM_50,0.155313895,2.00E-04
6577,NsiI.TP205252,4,63574731,0.000179207,0.156765132,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,fprinW,0.237858188,2.00E-04
6578,NsiI.TP205252,4,63574731,0.000175642,0.156765132,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,FW_50,0.256433919,2.00E-04
6579,NsiI.TP205252,4,63574731,4.60E-06,0.156765132,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,GFW_1,0.445080257,5.00E-06
6580,NsiI.TP205252,4,63574731,0.000111852,0.156765132,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,GFW_50,0.298919931,1.00E-04
6581,NsiI.TP205252,4,63574731,2.53E-05,0.156765132,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,GHW_1,0.293175493,3.00E-05
6584,NsiI.TP208407,11,11453,0.000125704,0.120071937,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,FM_1,2.334432157,1.00E-04
6585,NsiI.TP208407,11,11453,0.000602736,0.120071937,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,GHW_1,1.558926918,6.00E-04
6586,NsiI.TP208538,11,11454,2.54E-05,0.149137317,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,FM_1,2.73313009,3.00E-05
6587,NsiI.TP208538,11,11454,9.35E-05,0.149137317,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,GFW_1,3.787098371,9.00E-05
6588,NsiI.TP208538,11,11454,0.000140365,0.149137317,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,GFW_50,4.439620568,1.00E-04
6589,NsiI.TP208628,11,11458,3.77E-05,0.215932459,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,fprinGW,0.938681533,4.00E-05
6590,NsiI.TP208628,11,11458,5.47E-05,0.215932459,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,fprinW,0.879464312,5.00E-05
6591,NsiI.TP208628,11,11458,6.19E-05,0.215932459,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,FW_50,0.911367871,6.00E-05
6592,NsiI.TP208628,11,11458,1.79E-05,0.215932459,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,GFW_1,0.733707989,2.00E-05
6593,NsiI.TP208628,11,11458,2.59E-05,0.215932459,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,GFW_50,1.070948574,3.00E-05
6594,NsiI.TP208628,11,11458,1.69E-05,0.215932459,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,GHW_1,0.71919311,2.00E-05
6595,NsiI.TP208628,11,11458,4.81E-05,0.215932459,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,HM_1,0.691027823,5.00E-05
6597,NsiI.TP210176,2,63098520,8.07E-05,0.475507896,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,FD_1,6.337122241,8.00E-05
6598,NsiI.TP210176,2,63098520,6.01E-06,0.475507896,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,FM_50,6.318210902,6.00E-06
6599,NsiI.TP210176,2,63098520,2.88E-05,0.475507896,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,fprinW,7.051723287,3.00E-05
6600,NsiI.TP210176,2,63098520,9.53E-05,0.475507896,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,FW_1,6.406836097,1.00E-04
6601,NsiI.TP210176,2,63098520,1.97E-05,0.475507896,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,FW_50,6.994648726,2.00E-05
6602,NsiI.TP210176,2,63098520,0.000130109,0.475507896,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,GFW_1,6.363411467,1.00E-04
6603,NsiI.TP210176,2,63098520,0.000328561,0.475507896,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,GFW_50,7.37776932,3.00E-04
6604,NsiI.TP210502,11,11473,9.90E-05,0.34276201,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,FM_50,0.653194838,1.00E-04
6605,NsiI.TP210502,11,11473,0.000176565,0.34276201,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,fprinGW,0.391603929,2.00E-04
6606,NsiI.TP210502,11,11473,0.000191372,0.34276201,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,fprinW,0.424935649,2.00E-04
6607,NsiI.TP210502,11,11473,0.000201265,0.34276201,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,FW_50,0.446393062,2.00E-04
6608,NsiI.TP210502,11,11473,2.04E-05,0.34276201,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,GFW_1,0.401589028,2.00E-05
6609,NsiI.TP210502,11,11473,0.000300025,0.34276201,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,GFW_50,0.483641738,3.00E-04
6610,NsiI.TP210502,11,11473,0.000399316,0.34276201,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,GHW_1,0.548582291,4.00E-04
6611,NsiI.TP211144,4,67377179,0.000242187,0.195964838,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,fprinGW,0.011630201,2.00E-04
6612,NsiI.TP211144,4,67377179,0.000555225,0.195964838,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,GFW_1,0.012797486,6.00E-04
6613,NsiI.TP211144,4,67377179,3.09E-05,0.195964838,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,GFW_50,0.007294364,3.00E-05
6614,NsiI.TP211144,4,67377179,2.97E-05,0.195964838,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,GHW_1,0.020159289,3.00E-05
6616,NsiI.TP214170,2,70879253,0.00078859,0.355825777,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,GHW_1,0.179346403,8.00E-04
6619,NsiI.TP21698,1,4937940,0.000701166,0.163863213,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,GHW_1,5.810640502,7.00E-04
6620,NsiI.TP217157,11,11553,0.000718096,0.151171314,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,GHW_1,0.484320015,7.00E-04
6622,NsiI.TP218127,4,65196239,0.000553511,0.278232243,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,GHW_1,0.142883712,6.00E-04
6625,NsiI.TP219720,2,552699,0.000419196,0.217254206,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,GHW_1,0.021474649,4.00E-04
6627,NsiI.TP222867,11,11625,0.000403165,0.310058078,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,GHW_1,1.610138663,4.00E-04
6628,NsiI.TP223943,2,73061862,0.001042304,0.223410003,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,GHW_1,6.123262813,0.001
6629,NsiI.TP225733,11,11660,0.000197694,0.054081956,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,fprinGW,0.704414211,2.00E-04
6630,NsiI.TP225733,11,11660,0.000343504,0.054081956,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,GFW_50,0.968355468,3.00E-04
6631,NsiI.TP225733,11,11660,2.86E-05,0.054081956,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,HM_1,0.692474085,3.00E-05
6632,NsiI.TP225733,11,11660,7.70E-05,0.054081956,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,HW_1,0.535447453,8.00E-05
6634,NsiI.TP230244,11,11712,0.000684746,0.170101768,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,GHW_1,0.59767958,7.00E-04
6635,NsiI.TP23197,10,49925074,0.000494699,0.48879976,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,GFW_1,0.371014398,5.00E-04
6637,NsiI.TP234912,11,11767,0.000994218,0.105650518,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,GHW_1,0.086905447,0.001
6638,NsiI.TP237545,10,5377137,5.81E-05,0.483612519,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,FD_1,0.878062805,6.00E-05
6639,NsiI.TP237545,10,5377137,5.63E-05,0.483612519,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,FM_50,0.912952856,6.00E-05
6640,NsiI.TP237545,10,5377137,3.62E-05,0.483612519,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,fprinGW,1.15982044,4.00E-05
6641,NsiI.TP237545,10,5377137,1.17E-05,0.483612519,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,fprinW,1.099867746,1.00E-05
6642,NsiI.TP237545,10,5377137,1.09E-05,0.483612519,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,FW_50,1.087570403,1.00E-05
6643,NsiI.TP237545,10,5377137,7.46E-05,0.483612519,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,GFW_1,0.781613415,7.00E-05
6644,NsiI.TP237545,10,5377137,1.80E-05,0.483612519,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,GFW_50,1.342619918,2.00E-05
6645,NsiI.TP237545,10,5377137,9.63E-05,0.483612519,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,GHW_1,0.868256542,1.00E-04
6646,NsiI.TP237545,10,5377137,2.17E-05,0.483612519,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,GHW_50,1.158675322,2.00E-05
6647,NsiI.TP237545,10,5377137,7.23E-05,0.483612519,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,HW_1,0.943718185,7.00E-05
6648,NsiI.TP237545,10,5377137,3.97E-05,0.483612519,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,HW_50,1.142789526,4.00E-05
6649,NsiI.TP238740,10,52633081,0.000186273,0.092726153,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,GHW_1,3.440065134,2.00E-04
6652,NsiI.TP241069,1,56195369,4.55E-05,0.398388487,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,FD_50,5.908406447,5.00E-05
6653,NsiI.TP241069,1,56195369,2.72E-05,0.398388487,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,FM_1,6.115556872,3.00E-05
6654,NsiI.TP241069,1,56195369,5.54E-05,0.398388487,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,fprind,5.692636409,6.00E-05
6655,NsiI.TP241069,1,56195369,5.53E-06,0.398388487,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,GFW_1,5.395473156,6.00E-06
6656,NsiI.TP241069,1,56195369,0.00015702,0.398388487,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,GFW_50,5.792796428,2.00E-04
6657,NsiI.TP241069,1,56195369,2.21E-05,0.398388487,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,GHW_1,4.942831481,2.00E-05
6661,NsiI.TP246551,1,11187178,0.000433898,0.407897019,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,GFW_1,2.897692965,4.00E-04
6662,NsiI.TP246551,1,11187178,0.000891848,0.407897019,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,GHW_1,3.03555106,9.00E-04
6663,NsiI.TP248677,11,11928,9.71E-05,0.182885019,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,GHW_1,0.751508488,1.00E-04
6665,NsiI.TP253869,1,16894827,1.86E-05,0.47545897,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,FD_1,0.026950893,2.00E-05
6666,NsiI.TP253869,1,16894827,1.08E-05,0.47545897,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,fprinGW,0.02909589,1.00E-05
6667,NsiI.TP253869,1,16894827,2.34E-05,0.47545897,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,fprinW,0.025469051,2.00E-05
6668,NsiI.TP253869,1,16894827,2.83E-05,0.47545897,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,FW_1,0.018309477,3.00E-05
6669,NsiI.TP253869,1,16894827,1.74E-05,0.47545897,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,FW_50,0.018964843,2.00E-05
6670,NsiI.TP253869,1,16894827,9.35E-06,0.47545897,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,GFW_50,0.004441494,9.00E-06
6671,NsiI.TP253869,1,16894827,0.000469644,0.47545897,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,GHW_1,0.003900121,5.00E-04
6672,NsiI.TP253869,1,16894827,5.28E-05,0.47545897,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,HW_1,0.00311562,5.00E-05
6673,NsiI.TP253869,1,16894827,6.09E-05,0.47545897,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,HW_50,0.043241596,6.00E-05
6674,NsiI.TP25459,2,61014638,0.000699031,0.116975931,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,GHW_1,1.123110345,7.00E-04
6675,NsiI.TP255006,6,59462133,2.69E-05,0.173926716,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,FM_1,0.576326053,3.00E-05
6676,NsiI.TP255006,6,59462133,0.001073387,0.173926716,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,GHW_1,0.934907383,0.001
6677,NsiI.TP255006,6,59462133,6.17E-05,0.173926716,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,HM_1,0.199537329,6.00E-05
6678,NsiI.TP256580,9,54079974,0.000133456,0.253488468,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,HM_1,4.94E-05,1.00E-04
6679,NsiI.TP257521,11,12015,7.39E-05,0.316993464,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,FD_50,0.000126293,7.00E-05
6680,NsiI.TP257521,11,12015,3.92E-05,0.316993464,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,fprinGW,0.0009773,4.00E-05
6681,NsiI.TP257521,11,12015,1.52E-05,0.316993464,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,fprinW,0.000315839,2.00E-05
6682,NsiI.TP257521,11,12015,1.66E-05,0.316993464,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,FW_50,0.001254109,2.00E-05
6683,NsiI.TP257521,11,12015,0.000171975,0.316993464,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,GFW_1,0.020774375,2.00E-04
6684,NsiI.TP257521,11,12015,2.50E-05,0.316993464,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,GFW_50,4.10E-06,2.00E-05
6685,NsiI.TP257521,11,12015,7.18E-05,0.316993464,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,GHW_1,0.011513425,7.00E-05
6686,NsiI.TP257521,11,12015,8.44E-05,0.316993464,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,GHW_50,0.008984916,8.00E-05
6687,NsiI.TP258067,2,45969771,0.00044433,0.133888184,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,GHW_1,0.004060792,4.00E-04
6688,NsiI.TP260208,10,52582112,0.000183185,0.483167577,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,FM_50,0.995774599,2.00E-04
6689,NsiI.TP260208,10,52582112,0.000702428,0.483167577,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,GHW_1,0.446791708,7.00E-04
6691,NsiI.TP262378,8,55743978,0.000165877,0.43872141,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,FM_1,2.231227464,2.00E-04
6692,NsiI.TP262378,8,55743978,5.02E-06,0.43872141,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,GFW_1,2.358744214,5.00E-06
6693,NsiI.TP262378,8,55743978,0.000101331,0.43872141,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,GHW_1,2.725140948,1.00E-04
6694,NsiI.TP262378,8,55743978,7.49E-05,0.43872141,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,HD_1,2.509677291,7.00E-05
6695,NsiI.TP266954,8,4177407,0.000464377,0.117434311,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,GFW_1,2.766000194,5.00E-04
6698,NsiI.TP275227,9,52933109,3.83E-05,0.334737831,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,FM_1,0.728352961,4.00E-05
6699,NsiI.TP275227,9,52933109,6.91E-05,0.334737831,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,fprinGW,0.616094571,7.00E-05
6700,NsiI.TP275227,9,52933109,0.000140343,0.334737831,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,fprinW,0.57833063,1.00E-04
6701,NsiI.TP275227,9,52933109,0.000145619,0.334737831,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,FW_50,0.585703676,1.00E-04
6702,NsiI.TP275227,9,52933109,1.68E-06,0.334737831,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,GFW_1,0.589757291,2.00E-06
6703,NsiI.TP275227,9,52933109,7.76E-05,0.334737831,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,GFW_50,0.703342086,8.00E-05
6704,NsiI.TP275227,9,52933109,0.000131525,0.334737831,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,GHW_1,0.710295253,1.00E-04
6705,NsiI.TP275227,9,52933109,0.000104554,0.334737831,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,HD_1,0.671390853,1.00E-04
6708,NsiI.TP2769,3,4785844,0.00018012,0.434593394,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,FM_50,2.224515399,2.00E-04
6709,NsiI.TP2769,3,4785844,0.000229443,0.434593394,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,fprinW,2.460194053,2.00E-04
6710,NsiI.TP2769,3,4785844,0.00024902,0.434593394,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,FW_50,2.455639884,2.00E-04
6712,NsiI.TP278971,11,12213,0.000125793,0.18627451,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,FM_1,1.115017164,1.00E-04
6713,NsiI.TP278971,11,12213,9.45E-05,0.18627451,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,GFW_1,1.574636625,9.00E-05
6714,NsiI.TP278971,11,12213,8.36E-06,0.18627451,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,GHW_1,1.767557975,8.00E-06
6715,NsiI.TP278971,11,12213,0.000202297,0.18627451,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,GHW_50,1.874443155,2.00E-04
6716,NsiI.TP278971,11,12213,0.000181949,0.18627451,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,HM_1,1.387690852,2.00E-04
6720,NsiI.TP280339,11,12243,5.64E-06,0.303479929,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,FD_50,8.741554201,6.00E-06
6721,NsiI.TP280339,11,12243,4.85E-06,0.303479929,F116+36088im,PS_Y,GAPIT,CMLM+SUPER,fprind,8.719364813,5.00E-06
