"","X","SNP","Gene","Chromosome","Position","Grand.Total","PS","Ind.SNP","Heading_1","Heading_50","Flowering_1","Flowering_50","PCA","SUPER","FarmCPU","mrMLM.1","mrMLM.2","MAF","PVE","Gene.num","chr","start","end","width","strand","dis_start.positon","dis_positon.end","X.pacId","locusName","transcriptName","peptideName","Pfam","Panther","KOG","ec","KO","GO","Best.hit.arabi.name","arabi.symbol","arabi.defline","Best.hit.rice.name","rice.symbol","rice.defline"
"781",1363,"NsiI.TP592449","Sobic.001G515800",1,78263344,1,"PS_Y(1)","F116+36088im(1)","","","GFW_1(1)","","","MLM+SUPER(1)","","","",0.4029,1.159,1,"Chr01",78262930,78264883,1954,"+",-414,-1539,37940217,"Sobic.001G515800","Sobic.001G515800.1","Sobic.001G515800.1.p","PF02365","PTHR31989,PTHR31989:SF2","","","","GO:0006355,GO:0003677","AT2G17040.1","anac036,NAC036","NAC domain containing protein 36","LOC_Os03g04070.1",NA,"no apical meristem protein, putative, expressed"
"784",1366,"NsiI.TP592449","Sobic.001G516000",1,78263344,1,"PS_Y(1)","F116+36088im(1)","","","GFW_1(1)","","","MLM+SUPER(1)","","","",0.4029,1.159,1,"Chr01",78271108,78272508,1401,"-",7764,-9164,37945286,"Sobic.001G516000","Sobic.001G516000.1","Sobic.001G516000.1.p","PF00182","PTHR22595,PTHR22595:SF45","KOG4742","3.2.1.14","","GO:0016998,GO:0006032,GO:0004568","AT3G12500.1","ATHCHIB,B-CHI,CHI-B,HCHIB,PR-3,PR3","basic chitinase","LOC_Os03g04060.1",NA,"CHIT16 - Chitinase family protein precursor, expressed"
"785",1367,"NsiI.TP592655","Sobic.006G140801",6,50333660,3,"PS_Y(3)","F116+36088im(3)","GHW_1(2);HM_1(1)","","","","","CMLM+SUPER(1)MLM+SUPER(2)","","","",0.05046,6.275,1,"Chr06",50326366,50331197,4832,"+",-7294,2463,37949402,"Sobic.006G140801","Sobic.006G140801.1","Sobic.006G140801.1.p","PF00657","PTHR22835,PTHR22835:SF254","","3.1.1.3","","GO:0016788","AT3G04290.1","ATLTL1,LTL1","Li-tolerant lipase 1","LOC_Os04g42860.1",NA,"GDSL-like lipase/acylhydrolase, putative, expressed"
"786",1368,"NsiI.TP592655","Sobic.006G141000",6,50333660,3,"PS_Y(3)","F116+36088im(3)","GHW_1(2);HM_1(1)","","","","","CMLM+SUPER(1)MLM+SUPER(2)","","","",0.05046,6.275,1,"Chr06",50333695,50336553,2859,"+",35,-2893,37948612,"Sobic.006G141000","Sobic.006G141000.1","Sobic.006G141000.1.p","PF00400","PTHR22850","KOG0280","","K17868","GO:0005515","AT5G63010.1","","Transducin/WD40 repeat-like superfamily protein","LOC_Os04g42880.1",NA,"WD domain, G-beta repeat domain containing protein, expressed"
"789",1375,"NsiI.TP592655","Sobic.006G141100",6,50333660,3,"PS_Y(3)","F116+36088im(3)","GHW_1(2);HM_1(1)","","","","","CMLM+SUPER(1)MLM+SUPER(2)","","","",0.05046,6.275,1,"Chr06",50338195,50343207,5013,"-",4535,-9547,37945564,"Sobic.006G141100","Sobic.006G141100.1","Sobic.006G141100.1.p","PF12937,PF03478","PTHR11102,PTHR11102:SF105","","3.4.19.12","","GO:0005515","AT5G06600.1","UBP12","ubiquitin-specific protease 12","LOC_Os11g36790.1",NA,"OsFBO6 - F-box and other domain containing protein, expressed"
"790",1377,"NsiI.TP593462","Sobic.008G144900",8,57647375,1,"PS_Y(1)","F116+36088im(1)","HM_1(1)","","","","","MLM+SUPER(1)","","","",0.1057,0.07098,2,"Chr08",57635634,57641881,6248,"+",-11741,5494,37928370,"Sobic.008G144900","Sobic.008G144900.2","Sobic.008G144900.2.p","PF13967,PF02714","PTHR13018,PTHR13018:SF32","KOG1134","","","GO:0016020","AT3G01100.1","ATHYP1,HYP1","hypothetical protein 1","LOC_Os12g39320.1",NA,"DUF221 domain containing protein, expressed"
"791",1379,"NsiI.TP593462","Sobic.008G145000",8,57647375,1,"PS_Y(1)","F116+36088im(1)","HM_1(1)","","","","","MLM+SUPER(1)","","","",0.1057,0.07098,2,"Chr08",57646012,57647581,1570,"+",-1363,-206,37926959,"Sobic.008G145000","Sobic.008G145000.2","Sobic.008G145000.2.p","PF00847","PTHR31194,PTHR31194:SF0","","","K09286","GO:0006355,GO:0003700","AT5G19790.1","RAP2.11","related to AP2 11","LOC_Os12g39330.1",NA,"AP2 domain containing protein, expressed"
"793",1381,"NsiI.TP593462","Sobic.008G145200",8,57647375,1,"PS_Y(1)","F116+36088im(1)","HM_1(1)","","","","","MLM+SUPER(1)","","","",0.1057,0.07098,1,"Chr08",57652216,57654008,1793,"-",4841,-6633,37926993,"Sobic.008G145200","Sobic.008G145200.1","Sobic.008G145200.1.p","PF00026","PTHR13683:SF346,PTHR13683","KOG1339","3.4.23.12","","GO:0004190,GO:0006508","AT2G03200.1","","Eukaryotic aspartyl protease family protein","LOC_Os12g39360.1",NA,"aspartic proteinase nepenthesin precursor, putative, expressed"
"798",1387,"NsiI.TP593666","Sobic.002G179300",2,56047090,1,"PS_Y(1)","F116+36088im(1)","","","","","fprinGW(1)","","","","ISIS EM-BLASSO(1)",0.2543,4.269,1,"Chr02",56045140,56047171,2032,"-",-1950,-81,37953140,"Sobic.002G179300","Sobic.002G179300.1","Sobic.002G179300.1.p","PF01247","PTHR10902","KOG0887","","K02917","GO:0006412,GO:0005840,GO:0005622,GO:0003735","AT1G74270.1","","Ribosomal protein L35Ae family protein","LOC_Os02g54470.2",NA,"60S ribosomal protein L35a-3, putative, expressed"
"799",1389,"NsiI.TP594174","Sobic.002G020301",2,1893390,1,"PS_Y(1)","F116+36088im(1)","","","GFW_1(1)","","","MLM+SUPER(1)","","","",0.4212,0.4158,1,"Chr02",1883597,1883884,288,"-",-9793,9506,37953511,"Sobic.002G020301","Sobic.002G020301.1","Sobic.002G020301.1.p","PF13639","PTHR14155,PTHR14155:SF175","","","K16282","GO:0008270,GO:0005515","AT4G32600.1","","RING/U-box superfamily protein","LOC_Os01g16120.1",NA,"zinc finger, C3HC4 type domain containing protein, expressed"
"802",1395,"NsiI.TP59425","Sobic.006G205700",6,55557420,3,"PS_Y(3)","F116+36088im(3)","GHW_1(2);HM_1(1)","","","","","CMLM+SUPER(1)MLM+SUPER(2)","","","",0.1845,10.74,1,"Chr06",55546407,55548345,1939,"+",-11013,9075,37948351,"Sobic.006G205700","Sobic.006G205700.1","Sobic.006G205700.1.p","PF06955,PF00722","PTHR31062,PTHR31062:SF38","","2.4.1.207","","GO:0048046,GO:0016762,GO:0006073,GO:0005618,GO:0005975,GO:0004553","AT3G23730.1","XTH16","xyloglucan endotransglucosylase/hydrolase 16","LOC_Os04g51510.1",NA,"glycosyl hydrolases family 16, putative, expressed"
"804",1400,"NsiI.TP594902","Sobic.001G196300",1,17688614,1,"PS_Y(1)","F116+36088im(1)","","","GFW_1(1)","","","MLM+SUPER(1)","","","",0.4693,4.738,1,"Chr01",17685326,17690280,4955,"+",-3288,-1666,37938198,"Sobic.001G196300","Sobic.001G196300.1","Sobic.001G196300.1.p","PF00067","PTHR24298,PTHR24298:SF60","KOG0156","","K09755","GO:0055114,GO:0020037,GO:0016705,GO:0005506","AT4G36220.1","CYP84A1,FAH1","ferulic acid 5-hydroxylase 1","LOC_Os10g36848.1",NA,"cytochrome P450, putative, expressed"
"808",1406,"NsiI.TP602190","Sobic.002G321200",2,69281568,3,"PS_N(3)","F116+36088im(3)","","HD_50(1);GHW_50(1)","","GFW_50(1)","","","FarmCPU(3)","","",0.4684,20.62,1,"Chr02",69278067,69282219,4153,"+",-3501,-651,37954553,"Sobic.002G321200","Sobic.002G321200.1","Sobic.002G321200.1.p","PF00931","PTHR23155,PTHR23155:SF636","KOG4658","","","GO:0043531","AT3G14470.1","","NB-ARC domain-containing disease resistance protein","LOC_Os07g33740.1",NA,"vrga1, putative, expressed"
"809",1407,"NsiI.TP602190","Sobic.002G321300",2,69281568,3,"PS_N(3)","F116+36088im(3)","","HD_50(1);GHW_50(1)","","GFW_50(1)","","","FarmCPU(3)","","",0.4684,20.62,1,"Chr02",69290780,69304327,13548,"+",9212,-22759,37954798,"Sobic.002G321300","Sobic.002G321300.1","Sobic.002G321300.1.p","PF14510,PF08370,PF00005,PF01061","PTHR19241,PTHR19241:SF307","","3.6.3.44","","GO:0016887,GO:0005524,GO:0016020","AT2G36380.1","ATPDR6,PDR6","pleiotropic drug resistance 6","LOC_Os11g37700.1",NA,"pleiotropic drug resistance protein, putative, expressed"
"810",1408,"NsiI.TP602190","Sobic.002G321100",2,69281568,3,"PS_N(3)","F116+36088im(3)","","HD_50(1);GHW_50(1)","","GFW_50(1)","","","FarmCPU(3)","","",0.4684,20.62,1,"Chr02",69270964,69276582,5619,"-",-10604,4986,37951892,"Sobic.002G321100","Sobic.002G321100.1","Sobic.002G321100.1.p","PF00931","PTHR23155,PTHR23155:SF589","","","","GO:0043531","AT3G14470.1","","NB-ARC domain-containing disease resistance protein","LOC_Os07g33730.2",NA,"NB-ARC domain containing protein, expressed"
"811",1412,"NsiI.TP607068","Sobic.008G019400",8,1666575,6,"PS_N(6)","F116+36088im(6)","","GHW_50(1)","","FD_50(1);FW_50(1)","fprinW(1);fprind(1);fprinM(1)","","","mrMLM(6)","",0.1754,13.68,1,"Chr08",1665182,1669442,4261,"+",-1393,-2867,37928065,"Sobic.008G019400","Sobic.008G019400.1","Sobic.008G019400.1.p","PF01554","PTHR11206,PTHR11206:SF102","KOG1347","","K03327","GO:0055085,GO:0016020,GO:0015297,GO:0015238,GO:0006855","AT1G33110.1","","MATE efflux family protein","LOC_Os11g03240.1",NA,"MATE efflux family protein, putative, expressed"
"812",1413,"NsiI.TP607068","Sobic.008G019532",8,1666575,6,"PS_N(6)","F116+36088im(6)","","GHW_50(1)","","FD_50(1);FW_50(1)","fprinW(1);fprind(1);fprinM(1)","","","mrMLM(6)","",0.1754,13.68,1,"Chr08",1670066,1673584,3519,"+",3491,-7009,37928274,"Sobic.008G019532","Sobic.008G019532.1","Sobic.008G019532.1.p","PF00742","PTHR21499,PTHR21499:SF33","KOG0455","1.1.1.3","","GO:0055114,GO:0006520","AT5G21060.2","","Glyceraldehyde-3-phosphate dehydrogenase-like family protein","LOC_Os11g03470.1",NA,"bifunctional aspartokinase/homoserine dehydrogenase, putative, expressed"
"813",1414,"NsiI.TP607068","Sobic.008G019600",8,1666575,6,"PS_N(6)","F116+36088im(6)","","GHW_50(1)","","FD_50(1);FW_50(1)","fprinW(1);fprind(1);fprinM(1)","","","mrMLM(6)","",0.1754,13.68,1,"Chr08",1672875,1678639,5765,"+",6300,-12064,37928013,"Sobic.008G019600","Sobic.008G019600.1","Sobic.008G019600.1.p","PF08311","PTHR14030,PTHR14030:SF2","","","","GO:0007094","AT5G05510.1","","Mad3/BUB1 homology region 1","LOC_Os11g03460.1",NA,"Mad3/BUB1 homology region 1 domain containing protein, expressed"
"815",1417,"NsiI.TP607427","Sobic.001G446800",1,72380263,11,"PS_Y(11)","F116+36088im(11)","GHW_1(2);HM_1(1)","","GFW_1(2)","FD_50(1);FW_50(1);GFW_50(2)","fprinW(1);fprind(1)","CMLM+SUPER(3)MLM+SUPER(8)","","","",0.3038,0.3856,1,"Chr01",72370171,72373148,2978,"-",-10092,7115,37942851,"Sobic.001G446800","Sobic.001G446800.1","Sobic.001G446800.1.p","PF01554","PTHR11206,PTHR11206:SF92","KOG1347","","K03327","GO:0055085,GO:0016020,GO:0015297,GO:0015238,GO:0006855","AT1G58340.1","ZF14","MATE efflux family protein","LOC_Os03g12790.1",NA,"MATE efflux family protein, putative, expressed"
"817",1419,"NsiI.TP607427","Sobic.001G446900",1,72380263,11,"PS_Y(11)","F116+36088im(11)","GHW_1(2);HM_1(1)","","GFW_1(2)","FD_50(1);FW_50(1);GFW_50(2)","fprinW(1);fprind(1)","CMLM+SUPER(3)MLM+SUPER(8)","","","",0.3038,0.3856,1,"Chr01",72387431,72392692,5262,"-",7168,-12429,37938971,"Sobic.001G446900","Sobic.001G446900.1","Sobic.001G446900.1.p","","PTHR11956,PTHR11956:SF5","","6.1.1.19","","GO:0006420,GO:0005524,GO:0004814","AT1G66530.1","","Arginyl-tRNA synthetase, class Ic","LOC_Os05g07030.1",NA,"arginyl-tRNA synthetase, putative, expressed"
"822",1424,"NsiI.TP608930","Sobic.004G203700",4,55551213,18,"PS_Y(18)","F116+36088im(18)","GHW_1(2);HM_1(1)","GHW_50(2)","GFW_1(2)","FD_50(1);FW_50(2);GFW_50(2);FM_50(1)","fprinW(2);fprind(1);fprinGW(2)","CMLM+SUPER(8)MLM+SUPER(10)","","","",0.3543,0.05041,1,"Chr04",55548397,55551314,2918,"+",-2816,-101,37931718,"Sobic.004G203700","Sobic.004G203700.1","Sobic.004G203700.1.p","PF00240","PTHR10666,PTHR10666:SF127","","","","GO:0005515","AT5G14360.1","","Ubiquitin-like superfamily protein","LOC_Os02g38410.1",NA,"ubiquitin family protein, putative, expressed"
"827",1431,"NsiI.TP609767","Sobic.003G055300",3,4968186,2,"PS_Y(2)","F116+36088im(2)","GHW_1(2)","","","","","CMLM+SUPER(1)MLM+SUPER(1)","","","",0.4357,1.847,1,"Chr03",4967756,4969199,1444,"+",-430,-1013,37914842,"Sobic.003G055300","Sobic.003G055300.1","Sobic.003G055300.1.p","PF06596","PTHR34455,PTHR34455:SF2","","","","GO:0016020,GO:0015979,GO:0009523","AT2G06520.1","PSBX","photosystem II subunit X","LOC_Os07g47640.1",NA,"ultraviolet-B-repressible protein, putative, expressed"
"830",1435,"NsiI.TP611508","Sobic.005G188800",5,67361698,5,"PS_Y(5)","F116+36088im(5)","GHW_1(2);HM_1(1)","","GFW_1(2)","","","CMLM+SUPER(2)MLM+SUPER(3)","","","",0.183,0.03083,1,"Chr05",67366389,67367331,943,"-",4691,-5633,37924118,"Sobic.005G188800","Sobic.005G188800.1","Sobic.005G188800.1.p","PF01559","","","","","GO:0045735","","","","",NA,""
"833",1439,"NsiI.TP614958","Sobic.006G087200",6,45639721,5,"PS_N(1)PS_Y(4)","F116+36088im(5)","","HD_50(1);GHW_50(1)","","","fprinW(1);fprinGW(1);fprinM(1)","","","mrMLM(1);FASTmrMLM(4)","",0.0921,3.305,1,"Chr06",45639154,45642931,3778,"+",-567,-3210,37945897,"Sobic.006G087200","Sobic.006G087200.1","Sobic.006G087200.1.p","PF08718","PTHR10219,PTHR10219:SF34","KOG3221","","","GO:0051861,GO:0046836,GO:0017089,GO:0005737","AT3G21260.3","GLTP3","Glycolipid transfer protein (GLTP) family protein","LOC_Os04g35790.3",NA,"GLTP domain containing protein, putative, expressed"
"834",1440,"NsiI.TP614958","Sobic.006G087300",6,45639721,5,"PS_N(1)PS_Y(4)","F116+36088im(5)","","HD_50(1);GHW_50(1)","","","fprinW(1);fprinGW(1);fprinM(1)","","","mrMLM(1);FASTmrMLM(4)","",0.0921,3.305,1,"Chr06",45647689,45648189,501,"+",7968,-8468,37948461,"Sobic.006G087300","Sobic.006G087300.1","Sobic.006G087300.1.p","PF13202,PF13833","PTHR10891,PTHR10891:SF613","KOG0027","","K13448","GO:0005509","AT5G42380.1","CML37,CML39","calmodulin like 37","LOC_Os01g72530.1",NA,"OsCML31 - Calmodulin-related calcium sensor protein, expressed"
"839",1451,"NsiI.TP615883","Sobic.006G211500",6,56093448,17,"PS_Y(17)","F116+36088im(17)","HD_1(2);HW_1(1)","","FD_1(2);FW_1(1);GFW_1(2)","FD_50(1);FW_50(2);GFW_50(2)","fprinW(2);fprind(1);fprinGW(1)","CMLM+SUPER(7)MLM+SUPER(10)","","","",0.1821,0.2421,1,"Chr06",56085564,56090604,5041,"+",-7884,2844,37948166,"Sobic.006G211500","Sobic.006G211500.1","Sobic.006G211500.1.p","PF03936,PF01397","PTHR31739:SF5,PTHR31739","","4.2.3.19","K04121","GO:0000287,GO:0008152,GO:0010333,GO:0016829","AT1G79460.1","ATKS,ATKS1,GA2,KS,KS1","Terpenoid cyclases/Protein prenyltransferases superfamily protein","LOC_Os04g52230.1",NA,"ent-kaurene synthase, chloroplast precursor, putative, expressed"
"842",1455,"NsiI.TP615883","Sobic.006G211800",6,56093448,17,"PS_Y(17)","F116+36088im(17)","HD_1(2);HW_1(1)","","FD_1(2);FW_1(1);GFW_1(2)","FD_50(1);FW_50(2);GFW_50(2)","fprinW(2);fprind(1);fprinGW(1)","CMLM+SUPER(7)MLM+SUPER(10)","","","",0.1821,0.2421,1,"Chr06",56102116,56106755,4640,"-",8668,-13307,37949435,"Sobic.006G211800","Sobic.006G211800.1","Sobic.006G211800.1.p","PF04733","PTHR10805,PTHR10805:SF1","KOG3081","","K17268","GO:0006890,GO:0005198","AT1G30630.1","","Coatomer epsilon subunit","LOC_Os04g52270.1",NA,"coatomer subunit epsilon, putative, expressed"
"843",1456,"NsiI.TP616011","Sobic.001G221900",1,21042200,1,"PS_Y(1)","F116+36088im(1)","HM_1(1)","","","","","MLM+SUPER(1)","","","",0.1189,0.6167,1,"Chr01",21041757,21047310,5554,"-",-443,-5110,37943922,"Sobic.001G221900","Sobic.001G221900.1","Sobic.001G221900.1.p","PF08541,PF08392","PTHR31561,PTHR31561:SF11","","2.3.1.199","K15397","GO:0016747,GO:0008610,GO:0016020,GO:0006633","AT2G28630.1","KCS12","3-ketoacyl-CoA synthase 12","LOC_Os10g33370.1",NA,"3-ketoacyl-CoA synthase precursor, putative, expressed"
"845",1458,"NsiI.TP616137","Sobic.006G225200",6,57075072,1,"PS_Y(1)","F116+36088im(1)","HM_1(1)","","","","","MLM+SUPER(1)","","","",0.1151,0.3054,2,"Chr06",57073099,57075527,2429,"+",-1973,-455,37947621,"Sobic.006G225200","Sobic.006G225200.2","Sobic.006G225200.2.p","PF08613","PTHR15615","","","","GO:0019901,GO:0000079","AT3G21870.1","CYCP2;1","cyclin p2;1","LOC_Os04g53680.1",NA,"cyclin, putative, expressed"
"847",1460,"NsiI.TP616137","Sobic.006G225100",6,57075072,1,"PS_Y(1)","F116+36088im(1)","HM_1(1)","","","","","MLM+SUPER(1)","","","",0.1151,0.3054,1,"Chr06",57067979,57070116,2138,"-",-7093,4956,37946301,"Sobic.006G225100","Sobic.006G225100.1","Sobic.006G225100.1.p","PF12937,PF03478","PTHR11102,PTHR11102:SF105","","","","GO:0005515","AT5G25290.1","","F-box family protein with a domain of unknown function (DUF295)","LOC_Os03g51090.1",NA,"OsFBDUF17 - F-box and DUF domain containing protein, expressed"
"848",1462,"NsiI.TP616371","Sobic.003G411400",3,71876871,2,"PS_Y(2)","F116+36088im(2)","","","","FM_50(2)","","CMLM+SUPER(1)MLM+SUPER(1)","","","",0.1449,1.483,2,"Chr03",71866620,71875094,8475,"+",-10251,1777,37918410,"Sobic.003G411400","Sobic.003G411400.2","Sobic.003G411400.2.p","PF00856,PF05033,PF02182","PTHR22884,PTHR22884:SF352","KOG1082","2.1.1.43","K11420","GO:0005515,GO:0034968,GO:0018024,GO:0008270,GO:0005634,GO:0042393","AT5G13960.1","KYP,SDG33,SUVH4","SU(VAR)3-9 homolog 4","LOC_Os01g70220.1",NA,"histone-lysine N-methyltransferase, putative, expressed"
"850",1465,"NsiI.TP616371","Sobic.003G411600",3,71876871,2,"PS_Y(2)","F116+36088im(2)","","","","FM_50(2)","","CMLM+SUPER(1)MLM+SUPER(1)","","","",0.1449,1.483,1,"Chr03",71879347,71886060,6714,"-",2476,-9189,37913785,"Sobic.003G411600","Sobic.003G411600.1","Sobic.003G411600.1.p","PF00403","PTHR22814,PTHR22814:SF78","","","","GO:0046872,GO:0030001","AT2G35730.1","","Heavy metal transport/detoxification superfamily protein ","LOC_Os01g70240.1",NA,"expressed protein"
"853",1470,"NsiI.TP616438","Sobic.007G002200",7,220037,2,"PS_Y(2)","F116+36088im(2)","GHW_1(2)","","","","","CMLM+SUPER(1)MLM+SUPER(1)","","","",0.2662,4.482,3,"Chr07",222740,225189,2450,"+",2703,-5152,37935832,"Sobic.007G002200","Sobic.007G002200.3","Sobic.007G002200.3.p","PF00098,PF00076","PTHR24012","KOG4207","","K12885","GO:0008270,GO:0003676","AT3G26420.1","ATRZ-1A","RNA-binding (RRM/RBD/RNP motifs) family protein with retrovirus zinc finger-like domain","LOC_Os03g61990.3",NA,"glycine-rich RNA-binding protein 7, putative, expressed"
"854",1477,"NsiI.TP616438","Sobic.007G002300",7,220037,2,"PS_Y(2)","F116+36088im(2)","GHW_1(2)","","","","","CMLM+SUPER(1)MLM+SUPER(1)","","","",0.2662,4.482,1,"Chr07",225819,232071,6253,"-",5782,-12034,37937268,"Sobic.007G002300","Sobic.007G002300.1","Sobic.007G002300.1.p","PF01842,PF07714","PTHR23257,PTHR23257:SF516","KOG0192","2.7.12.1","K17535","GO:0016597,GO:0008152,GO:0006468,GO:0004672","AT2G17700.1","","ACT-like protein tyrosine kinase family protein","LOC_Os08g01270.1",NA,"protein kinase family protein, putative, expressed"
"861",1487,"NsiI.TP61845","Sobic.001G258600",1,30836654,3,"PS_Y(3)","F116+36088im(3)","","","GFW_1(2)","FM_50(1)","","CMLM+SUPER(1)MLM+SUPER(2)","","","",0.2288,2.105,5,"Chr01",30823978,30827070,3093,"-",-12676,9584,37940176,"Sobic.001G258600","Sobic.001G258600.5","Sobic.001G258600.5.p","PF00657","PTHR22835,PTHR22835:SF201","","3.1.1.1","","GO:0016788","AT1G28600.1","","GDSL-like Lipase/Acylhydrolase superfamily protein","LOC_Os10g25380.1",NA,"GDSL-like lipase/acylhydrolase, putative, expressed"
"866",1496,"NsiI.TP620217","Sobic.002G124700",2,16850766,4,"PS_Y(4)","F116+36088im(4)","GHW_1(2)","","GFW_1(2)","","","CMLM+SUPER(2)MLM+SUPER(2)","","","",0.4918,5.139,1,"Chr02",16844700,16848362,3663,"-",-6066,2404,37954462,"Sobic.002G124700","Sobic.002G124700.1","Sobic.002G124700.1.p","PF00230","PTHR19139,PTHR19139:SF137","KOG0223","","K09872","GO:0016020,GO:0006810,GO:0005215","AT2G37170.1","PIP2;2,PIP2B","plasma membrane intrinsic protein 2","LOC_Os07g26690.1",NA,"aquaporin protein, putative, expressed"
"872",1504,"NsiI.TP621902","Sobic.007G197600",7,62903684,16,"PS_Y(16)","F116+36088im(16)","HD_1(1);HW_1(1);GHW_1(2)","","GFW_1(2);FM_1(2)","FD_50(1);FW_50(2);GFW_50(2);FM_50(2)","fprinW(1)","CMLM+SUPER(7)MLM+SUPER(9)","","","",0.2552,0.1258,1,"Chr07",62906394,62909089,2696,"+",2710,-5405,37935410,"Sobic.007G197600","Sobic.007G197600.1","Sobic.007G197600.1.p","PF00025","PTHR24073,PTHR24073:SF394","KOG0087","","K07904","GO:0005525","AT2G43130.1","ARA-4,ARA4,ATRAB11F,ATRABA5C,RABA5C","P-loop containing nucleoside triphosphate hydrolases superfamily protein","LOC_Os08g41340.1",NA,"ras-related protein, putative, expressed"
"874",1509,"NsiI.TP624345","Sobic.008G034700",8,3218025,2,"PS_Y(2)","F116+36088im(2)","GHW_1(2)","","","","","CMLM+SUPER(1)MLM+SUPER(1)","","","",0.1326,3.881,1,"Chr08",3217335,3218607,1273,"+",-690,-582,37926149,"Sobic.008G034700","Sobic.008G034700.1","Sobic.008G034700.1.p","PF06404","PTHR33285,PTHR33285:SF2","","","","GO:0008283,GO:0008083,GO:0005576","AT3G44735.2","ATPSK3,PSK1,PSK3","PHYTOSULFOKINE 3 PRECURSOR","LOC_Os12g05260.1",NA,"phytosulfokines precursor, putative, expressed"
"875",1510,"NsiI.TP624345","Sobic.008G034800",8,3218025,2,"PS_Y(2)","F116+36088im(2)","GHW_1(2)","","","","","CMLM+SUPER(1)MLM+SUPER(1)","","","",0.1326,3.881,1,"Chr08",3225062,3225730,669,"+",7037,-7705,37926287,"Sobic.008G034800","Sobic.008G034800.1","Sobic.008G034800.1.p","PF13639","PTHR22763,PTHR22763:SF63","","","","GO:0008270,GO:0005515","AT1G18780.1","","RING/U-box superfamily protein","LOC_Os12g05270.1",NA,"zinc finger, C3HC4 type domain containing protein, expressed"
"888",1526,"NsiI.TP630636","Sobic.002G247300",2,63520018,4,"PS_Y(4)","F116+36088im(4)","","","GFW_1(1)","FW_50(1)","fprinW(1);fprinGW(1)","CMLM+SUPER(4)","","","",0.1244,0.425,1,"Chr02",63528682,63539526,10845,"-",8664,-19508,37950905,"Sobic.002G247300","Sobic.002G247300.1","Sobic.002G247300.1.p","PF00170,PF14144","PTHR22952,PTHR22952:SF218","","","K14431","GO:0043565,GO:0006355,GO:0003700,GO:0006351","AT5G06839.3","bZIP65,TGA10","bZIP transcription factor family protein","LOC_Os09g31390.1",NA,"transcription factor, putative, expressed"
"893",1535,"NsiI.TP632002","Sobic.001G429600",1,70863814,29,"PS_N(18)PS_Y(11)","F116+36088im(29)","HD_1(1);HW_1(2);GHW_1(3);HM_1(2)","HD_50(1);GHW_50(1);HW_50(1);HM_50(1)","FD_1(1);FW_1(1);GFW_1(3)","FD_50(2);FW_50(1);GFW_50(1);FM_50(1)","fprinW(2);fprind(2);fprinGW(2);fprinM(1)","CMLM+SUPER(6)MLM+SUPER(5)","FarmCPU(18)","","",0.2207,12.63,1,"Chr01",70870319,70879777,9459,"+",6505,-15963,37937877,"Sobic.001G429600","Sobic.001G429600.1","Sobic.001G429600.1.p","PF03810,PF13646,PF02985","PTHR10527,PTHR10527:SF6","","","","GO:0008536,GO:0006886,GO:0005515","AT4G27640.1","","ARM repeat superfamily protein","LOC_Os03g15540.1",NA,"HEAT repeat family protein, putative, expressed"
"895",1537,"NsiI.TP632002","Sobic.001G429500",1,70863814,29,"PS_N(18)PS_Y(11)","F116+36088im(29)","HD_1(1);HW_1(2);GHW_1(3);HM_1(2)","HD_50(1);GHW_50(1);HW_50(1);HM_50(1)","FD_1(1);FW_1(1);GFW_1(3)","FD_50(2);FW_50(1);GFW_50(1);FM_50(1)","fprinW(2);fprind(2);fprinGW(2);fprinM(1)","CMLM+SUPER(6)MLM+SUPER(5)","FarmCPU(18)","","",0.2207,12.63,1,"Chr01",70861621,70865221,3601,"-",-2193,-1407,37938291,"Sobic.001G429500","Sobic.001G429500.1","Sobic.001G429500.1.p","PF01504","PTHR23086,PTHR23086:SF40","KOG0229","2.7.1.68","","GO:0046488,GO:0016307","AT1G77740.1","PIP5K2","phosphatidylinositol-4-phosphate 5-kinase 2","LOC_Os03g15550.1",NA,"phosphatidylinositol-4-phosphate 5-kinase, putative, expressed"
"896",1540,"NsiI.TP633109","Sobic.009G073800",9,9191830,3,"PS_Y(3)","F116+36088im(3)","GHW_1(2);HM_1(1)","","","","","CMLM+SUPER(1)MLM+SUPER(2)","","","",0.2848,0.969,2,"Chr09",9185529,9188059,2531,"+",-6301,3771,37921780,"Sobic.009G073800","Sobic.009G073800.2","Sobic.009G073800.2.p","PF00010","PTHR12565,PTHR12565:SF180","","","","GO:0046983","AT5G56960.1","","basic helix-loop-helix (bHLH) DNA-binding family protein","LOC_Os01g09900.1",NA,"helix-loop-helix DNA-binding domain containing protein, expressed"
"900",1550,"NsiI.TP636278","Sobic.009G055600",9,5624719,1,"PS_Y(1)","F116+36088im(1)","HM_1(1)","","","","","MLM+SUPER(1)","","","",0.2915,0.754,1,"Chr09",5628809,5632389,3581,"+",4090,-7670,37920034,"Sobic.009G055600","Sobic.009G055600.1","Sobic.009G055600.1.p","PF11721,PF07714","PTHR27003,PTHR27003:SF89","KOG1187","2.7.11.1","","GO:0006468,GO:0004672","AT3G46290.1","HERK1","hercules receptor kinase 1","LOC_Os05g06990.1",NA,"TKL_IRAK_CrRLK1L-1.10 - The CrRLK1L-1 subfamily has homology to the CrRLK1L homolog, expressed"
