,SNP,Gene,chr,start,end,width,strand,dis_start.positon,dis_positon.end
273,NsiI.TP189044,Sobic.005G000100.1,Chr05,34802,38474,3673,-,-169,-3503
274,NsiI.TP189044,Sobic.005G000200.2,Chr05,43120,45709,2590,-,8149,-10738
275,NsiI.TP189044,Sobic.005G000200.1,Chr05,43120,45859,2740,-,8149,-10888
276,NsiI.TP189044,Sobic.005G000200.3,Chr05,43120,45861,2742,-,8149,-10890
280,NsiI.TP194619,Sobic.006G200800.1,Chr06,55218477,55222839,4363,-,-9800,5438
281,NsiI.TP194619,Sobic.006G200901.1,Chr06,55225137,55228301,3165,-,-3140,-24
282,NsiI.TP195045,Sobic.001G497500.1,Chr01,76747998,76749995,1998,+,-465,-1532
283,NsiI.TP195045,Sobic.001G497700.1,Chr01,76754067,76755663,1597,+,5604,-7200
284,NsiI.TP195045,Sobic.001G497750.1,Chr01,76756739,76757318,580,+,8276,-8855
285,NsiI.TP195045,Sobic.001G497300.1,Chr01,76733239,76741594,8356,-,-15224,6869
286,NsiI.TP195045,Sobic.001G497600.3,Chr01,76751831,76754019,2189,-,3368,-5556
287,NsiI.TP195045,Sobic.001G497600.2,Chr01,76751878,76754019,2142,-,3415,-5556
288,NsiI.TP195045,Sobic.001G497600.1,Chr01,76751891,76753868,1978,-,3428,-5405
289,NsiI.TP195180,Sobic.001G158500.1,Chr01,12849913,12853876,3964,+,-7589,3626
290,NsiI.TP195180,Sobic.001G158600.2,Chr01,12863118,12865224,2107,+,5616,-7722
295,NsiI.TP198999,Sobic.001G024000.1,Chr01,1902840,1909071,6232,+,227,-6458
296,NsiI.TP198999,Sobic.001G023800.2,Chr01,1888889,1893254,4366,-,-13724,9359
297,NsiI.TP198999,Sobic.001G023800.3,Chr01,1888890,1892777,3888,-,-13723,9836
298,NsiI.TP198999,Sobic.001G023800.1,Chr01,1888890,1893254,4365,-,-13723,9359
299,NsiI.TP198999,Sobic.001G023900.1,Chr01,1898224,1900808,2585,-,-4389,1805
300,NsiI.TP198999,Sobic.001G023900.2,Chr01,1898224,1900808,2585,-,-4389,1805
301,NsiI.TP198999,Sobic.001G024100.1,Chr01,1911456,1913557,2102,-,8843,-10944
302,NsiI.TP203570,Sobic.006G014400.1,Chr06,2075896,2082204,6309,+,-2380,-3928
303,NsiI.TP204910,Sobic.002G276800.1,Chr02,65958977,65962368,3392,+,-6793,3402
304,NsiI.TP204910,Sobic.002G276900.1,Chr02,65966085,65970564,4480,+,315,-4794
305,NsiI.TP204910,Sobic.002G277000.1,Chr02,65971126,65971560,435,+,5356,-5790
306,NsiI.TP204910,Sobic.002G277100.1,Chr02,65971938,65975798,3861,-,6168,-10028
307,NsiI.TP205252,Sobic.004G296000.3,Chr04,63578087,63584406,6320,+,3356,-9675
308,NsiI.TP205252,Sobic.004G296000.1,Chr04,63578155,63585646,7492,+,3424,-10915
309,NsiI.TP205252,Sobic.004G296000.2,Chr04,63578155,63585646,7492,+,3424,-10915
310,NsiI.TP205252,Sobic.004G295800.1,Chr04,63558304,63565377,7074,-,-16427,9354
311,NsiI.TP205252,Sobic.004G295900.1,Chr04,63570690,63575500,4811,-,-4041,-769
312,NsiI.TP205252,Sobic.004G295900.2,Chr04,63570690,63575500,4811,-,-4041,-769
313,NsiI.TP205252,Sobic.004G295900.3,Chr04,63570690,63575500,4811,-,-4041,-769
314,NsiI.TP205267,Sobic.004G310800.1,Chr04,64737550,64740137,2588,-,-11998,9411
315,NsiI.TP205267,Sobic.004G310900.1,Chr04,64740481,64743567,3087,-,-9067,5981
316,NsiI.TP205267,Sobic.004G311000.1,Chr04,64749515,64752467,2953,-,-33,-2919
320,NsiI.TP208710,Sobic.001G372000.1,Chr01,66019188,66024669,5482,+,-6006,525
321,NsiI.TP208710,Sobic.001G372000.2,Chr01,66019188,66024669,5482,+,-6006,525
322,NsiI.TP208710,Sobic.001G372000.4,Chr01,66019188,66024669,5482,+,-6006,525
323,NsiI.TP208710,Sobic.001G372000.5,Chr01,66019188,66024669,5482,+,-6006,525
324,NsiI.TP208710,Sobic.001G372100.1,Chr01,66025271,66027439,2169,-,77,-2245
325,NsiI.TP208710,Sobic.001G372200.1,Chr01,66028707,66036912,8206,-,3513,-11718
326,NsiI.TP208710,Sobic.001G372200.2,Chr01,66028707,66036912,8206,-,3513,-11718
327,NsiI.TP210176,Sobic.002G241250.1,Chr02,63091275,63096128,4854,+,-7245,2392
328,NsiI.TP210176,Sobic.002G241400.1,Chr02,63104025,63107219,3195,+,5505,-8699
330,NsiI.TP210953,Sobic.001G195800.1,Chr01,17588588,17593923,5336,+,2121,-7456
331,NsiI.TP210953,Sobic.001G195700.1,Chr01,17576559,17579299,2741,-,-9908,7168
332,NsiI.TP210953,Sobic.001G195866.1,Chr01,17590644,17592163,1520,-,4177,-5696
333,NsiI.TP210953,Sobic.001G195866.2,Chr01,17590644,17592163,1520,-,4177,-5696
334,NsiI.TP211131,Sobic.006G046400.2,Chr06,32278337,32280913,2577,+,-6557,3981
335,NsiI.TP211131,Sobic.006G046400.3,Chr06,32278337,32280913,2577,+,-6557,3981
336,NsiI.TP211131,Sobic.006G046500.1,Chr06,32281051,32286539,5489,+,-3843,-1645
337,NsiI.TP211131,Sobic.006G046600.3,Chr06,32287957,32292983,5027,-,3063,-8089
338,NsiI.TP211131,Sobic.006G046600.1,Chr06,32288363,32294190,5828,-,3469,-9296
339,NsiI.TP211131,Sobic.006G046600.2,Chr06,32288363,32294195,5833,-,3469,-9301
340,NsiI.TP211144,Sobic.004G343200.1,Chr04,67364634,67368957,4324,+,-12545,8222
341,NsiI.TP211144,Sobic.004G343500.1,Chr04,67371997,67376876,4880,+,-5182,303
342,NsiI.TP211144,Sobic.004G343500.2,Chr04,67371997,67376876,4880,+,-5182,303
343,NsiI.TP211144,Sobic.004G343400.1,Chr04,67369066,67371769,2704,-,-8113,5410
344,NsiI.TP211144,Sobic.004G343600.1,Chr04,67377604,67379705,2102,-,425,-2526
345,NsiI.TP211144,Sobic.004G343600.2,Chr04,67377604,67379705,2102,-,425,-2526
346,NsiI.TP211144,Sobic.004G343700.5,Chr04,67383728,67388991,5264,-,6549,-11812
347,NsiI.TP211144,Sobic.004G343700.6,Chr04,67383728,67388991,5264,-,6549,-11812
348,NsiI.TP211144,Sobic.004G343700.3,Chr04,67383729,67388991,5263,-,6550,-11812
349,NsiI.TP211144,Sobic.004G343700.4,Chr04,67383729,67388991,5263,-,6550,-11812
350,NsiI.TP211144,Sobic.004G343700.1,Chr04,67383771,67390117,6347,-,6592,-12938
351,NsiI.TP211144,Sobic.004G343700.2,Chr04,67383771,67390117,6347,-,6592,-12938
352,NsiI.TP212267,Sobic.001G025101.1,Chr01,1966362,1968430,2069,+,-7991,5923
353,NsiI.TP212267,Sobic.001G025300.1,Chr01,1970548,1974756,4209,+,-3805,-403
354,NsiI.TP212267,Sobic.001G025300.2,Chr01,1970548,1974756,4209,+,-3805,-403
355,NsiI.TP212267,Sobic.001G025201.1,Chr01,1968967,1970524,1558,-,-5386,3829
356,NsiI.TP212267,Sobic.001G025400.1,Chr01,1981927,1985260,3334,-,7574,-10907
357,NsiI.TP212267,Sobic.001G025400.2,Chr01,1981927,1985260,3334,-,7574,-10907
358,NsiI.TP214052,Sobic.009G123900.1,Chr09,47684063,47687751,3689,+,-891,-2797
359,NsiI.TP214170,Sobic.002G342100.2,Chr02,70869179,70872202,3024,-,-10074,7051
360,NsiI.TP214170,Sobic.002G342100.3,Chr02,70869180,70872200,3021,-,-10073,7053
361,NsiI.TP214170,Sobic.002G342200.1,Chr02,70879734,70881392,1659,-,481,-2139
363,NsiI.TP21698,Sobic.001G065200.1,Chr01,4937142,4941709,4568,+,-798,-3769
364,NsiI.TP21698,Sobic.001G065300.1,Chr01,4943452,4949573,6122,+,5512,-11633
365,NsiI.TP21698,Sobic.001G065300.2,Chr01,4943452,4950833,7382,+,5512,-12893
366,NsiI.TP21698,Sobic.001G065100.1,Chr01,4926191,4934235,8045,-,-11749,3705
367,NsiI.TP21698,Sobic.001G065150.1,Chr01,4934963,4944996,10034,-,-2977,-7056
368,NsiI.TP21698,Sobic.001G065400.1,Chr01,4944997,4945239,243,-,7057,-7299
370,NsiI.TP217249,Sobic.001G516800.2,Chr01,78339552,78341623,2072,+,-7349,5278
371,NsiI.TP217249,Sobic.001G516901.1,Chr01,78341786,78344630,2845,-,-5115,2271
372,NsiI.TP217249,Sobic.001G517000.1,Chr01,78344611,78346126,1516,-,-2290,775
373,NsiI.TP217249,Sobic.001G517100.1,Chr01,78346600,78350699,4100,-,-301,-3798
374,NsiI.TP217249,Sobic.001G517100.2,Chr01,78346600,78350699,4100,-,-301,-3798
375,NsiI.TP217249,Sobic.001G517100.3,Chr01,78346600,78350699,4100,-,-301,-3798
376,NsiI.TP217249,Sobic.001G517100.4,Chr01,78346600,78350699,4100,-,-301,-3798
377,NsiI.TP217249,Sobic.001G517200.3,Chr01,78351017,78366953,15937,-,4116,-20052
378,NsiI.TP217249,Sobic.001G517200.2,Chr01,78351018,78369059,18042,-,4117,-22158
379,NsiI.TP218127,Sobic.004G315850.1,Chr04,65206224,65206658,435,+,9985,-10419
380,NsiI.TP218127,Sobic.004G315700.1,Chr04,65175753,65186781,11029,-,-20486,9458
381,NsiI.TP218127,Sobic.004G315800.1,Chr04,65200231,65201157,927,-,3992,-4918
382,NsiI.TP219720,Sobic.002G005000.1,Chr02,540016,544441,4426,+,-12683,8258
383,NsiI.TP219720,Sobic.002G005200.1,Chr02,551159,552341,1183,+,-1540,358
384,NsiI.TP219720,Sobic.002G005100.1,Chr02,546827,547725,899,-,-5872,4974
385,NsiI.TP219720,Sobic.002G005300.1,Chr02,556064,557679,1616,-,3365,-4980
386,NsiI.TP219720,Sobic.002G005400.2,Chr02,560665,562006,1342,-,7966,-9307
387,NsiI.TP222046,Sobic.001G460300.3,Chr01,73569424,73572407,2984,+,-7320,4337
388,NsiI.TP222046,Sobic.001G460300.1,Chr01,73569438,73572301,2864,+,-7306,4443
389,NsiI.TP222046,Sobic.001G460300.2,Chr01,73570167,73572417,2251,+,-6577,4327
390,NsiI.TP222046,Sobic.001G460500.1,Chr01,73585121,73591468,6348,+,8377,-14724
391,NsiI.TP222046,Sobic.001G460200.1,Chr01,73565764,73568573,2810,-,-10980,8171
392,NsiI.TP222046,Sobic.001G460400.1,Chr01,73572553,73577255,4703,-,-4191,-511
393,NsiI.TP222046,Sobic.001G460400.2,Chr01,73572553,73577255,4703,-,-4191,-511
394,NsiI.TP222605,Sobic.007G014100.1,Chr07,1228622,1233491,4870,+,-11809,6940
395,NsiI.TP222605,Sobic.007G014200.1,Chr07,1239371,1240327,957,+,-1060,104
396,NsiI.TP222605,Sobic.007G014400.1,Chr07,1246550,1253474,6925,+,6119,-13043
397,NsiI.TP222605,Sobic.007G014400.2,Chr07,1246550,1253474,6925,+,6119,-13043
398,NsiI.TP222605,Sobic.007G014400.3,Chr07,1246550,1253475,6926,+,6119,-13044
399,NsiI.TP222605,Sobic.007G014300.1,Chr07,1242686,1243598,913,-,2255,-3167
401,NsiI.TP223397,Sobic.004G277700.1,Chr04,62079087,62079632,546,+,-7722,7177
402,NsiI.TP223397,Sobic.004G277900.1,Chr04,62081866,62088572,6707,+,-4943,-1763
403,NsiI.TP223397,Sobic.004G277800.10,Chr04,62080033,62081532,1500,-,-6776,5277
404,NsiI.TP223397,Sobic.004G277800.11,Chr04,62080033,62081532,1500,-,-6776,5277
405,NsiI.TP223397,Sobic.004G277800.5,Chr04,62080052,62081532,1481,-,-6757,5277
406,NsiI.TP223397,Sobic.004G277800.6,Chr04,62080052,62081532,1481,-,-6757,5277
407,NsiI.TP223397,Sobic.004G277800.9,Chr04,62080057,62081532,1476,-,-6752,5277
408,NsiI.TP223397,Sobic.004G277800.4,Chr04,62080057,62081566,1510,-,-6752,5243
409,NsiI.TP223397,Sobic.004G277800.2,Chr04,62080062,62081450,1389,-,-6747,5359
410,NsiI.TP223397,Sobic.004G277800.3,Chr04,62080062,62081467,1406,-,-6747,5342
411,NsiI.TP223397,Sobic.004G277800.8,Chr04,62080062,62081467,1406,-,-6747,5342
412,NsiI.TP223397,Sobic.004G277800.7,Chr04,62080062,62081501,1440,-,-6747,5308
413,NsiI.TP223943,Sobic.002G372100.1,Chr02,73049658,73053841,4184,+,-12204,8021
414,NsiI.TP223943,Sobic.002G372200.1,Chr02,73054197,73056885,2689,-,-7665,4977
415,NsiI.TP223943,Sobic.002G372300.4,Chr02,73064349,73066721,2373,-,2487,-4859
416,NsiI.TP223943,Sobic.002G372300.3,Chr02,73064349,73067613,3265,-,2487,-5751
417,NsiI.TP223943,Sobic.002G372300.5,Chr02,73064349,73067613,3265,-,2487,-5751
418,NsiI.TP223943,Sobic.002G372300.2,Chr02,73064660,73068014,3355,-,2798,-6152
419,NsiI.TP224600,Sobic.006G188500.1,Chr06,54269897,54277277,7381,+,-10194,2814
420,NsiI.TP224600,Sobic.006G188500.2,Chr06,54270103,54277277,7175,+,-9988,2814
421,NsiI.TP224600,Sobic.006G188600.1,Chr06,54279223,54282049,2827,-,-868,-1958
426,NsiI.TP23197,Sobic.010G169200.3,Chr10,49920953,49925223,4271,-,-4121,-149
427,NsiI.TP23197,Sobic.010G169200.4,Chr10,49920953,49925223,4271,-,-4121,-149
428,NsiI.TP23197,Sobic.010G169200.1,Chr10,49920953,49925273,4321,-,-4121,-199
429,NsiI.TP23197,Sobic.010G169200.2,Chr10,49920953,49925273,4321,-,-4121,-199
433,NsiI.TP237545,Sobic.010G066900.1,Chr10,5372866,5375978,3113,+,-4271,1159
434,NsiI.TP237545,Sobic.010G066900.2,Chr10,5372871,5375964,3094,+,-4266,1173
435,NsiI.TP237545,Sobic.010G067100.1,Chr10,5381291,5386950,5660,+,4154,-9813
436,NsiI.TP237545,Sobic.010G067000.1,Chr10,5376054,5378609,2556,-,-1083,-1472
437,NsiI.TP237994,Sobic.004G052200.1,Chr04,4236544,4237978,1435,+,-545,-889
440,NsiI.TP241069,Sobic.001G286700.2,Chr01,56194085,56200997,6913,+,-1284,-5628
441,NsiI.TP241069,Sobic.001G286700.1,Chr01,56194409,56200997,6589,+,-960,-5628
443,NsiI.TP245163,Sobic.005G126600.1,Chr05,55174999,55180981,5983,-,-5574,-408
444,NsiI.TP245879,Sobic.001G464300.1,Chr01,73836534,73838246,1713,+,2633,-4345
445,NsiI.TP245879,Sobic.001G464400.2,Chr01,73842299,73844860,2562,+,8398,-10959
446,NsiI.TP245879,Sobic.001G464400.4,Chr01,73842304,73844860,2557,+,8403,-10959
447,NsiI.TP245879,Sobic.001G464400.3,Chr01,73842327,73844860,2534,+,8426,-10959
448,NsiI.TP245879,Sobic.001G464200.1,Chr01,73820199,73828750,8552,-,-13702,5151
449,NsiI.TP245879,Sobic.001G464200.2,Chr01,73820199,73828750,8552,-,-13702,5151
450,NsiI.TP245879,Sobic.001G464200.3,Chr01,73820199,73828750,8552,-,-13702,5151
451,NsiI.TP245879,Sobic.001G464200.4,Chr01,73820199,73828750,8552,-,-13702,5151
453,NsiI.TP246551,Sobic.001G140200.1,Chr01,11185282,11192665,7384,+,-1896,-5487
454,NsiI.TP246551,Sobic.001G140300.1,Chr01,11195137,11198205,3069,-,7959,-11027
456,NsiI.TP250793,Sobic.006G030600.2,Chr06,6506669,6509557,2889,+,-262,-2626
457,NsiI.TP250793,Sobic.006G030700.3,Chr06,6511972,6515188,3217,+,5041,-8257
458,NsiI.TP250793,Sobic.006G030500.1,Chr06,6497916,6498534,619,-,-9015,8397
459,NsiI.TP251147,Sobic.008G003100.2,Chr08,268223,272335,4113,+,-13085,8973
460,NsiI.TP251147,Sobic.008G003300.2,Chr08,290195,291533,1339,+,8887,-10225
461,NsiI.TP251147,Sobic.008G003300.3,Chr08,290195,291533,1339,+,8887,-10225
462,NsiI.TP251147,Sobic.008G003300.4,Chr08,290195,291533,1339,+,8887,-10225
463,NsiI.TP251147,Sobic.008G003300.5,Chr08,290195,291533,1339,+,8887,-10225
464,NsiI.TP251147,Sobic.008G003300.6,Chr08,290195,291533,1339,+,8887,-10225
465,NsiI.TP251147,Sobic.008G003200.1,Chr08,280208,285207,5000,-,-1100,-3899
466,NsiI.TP251147,Sobic.008G003200.2,Chr08,280208,285207,5000,-,-1100,-3899
467,NsiI.TP253869,Sobic.001G190700.2,Chr01,16877942,16893051,15110,+,-16885,1776
468,NsiI.TP253869,Sobic.001G190700.3,Chr01,16877942,16893051,15110,+,-16885,1776
469,NsiI.TP25459,Sobic.002G218100.1,Chr02,61013236,61016938,3703,+,-1402,-2300
470,NsiI.TP25459,Sobic.002G218300.1,Chr02,61023661,61026652,2992,+,9023,-12014
471,NsiI.TP25459,Sobic.002G217900.1,Chr02,61003259,61006946,3688,-,-11379,7692
472,NsiI.TP25459,Sobic.002G218000.1,Chr02,61006947,61010136,3190,-,-7691,4502
473,NsiI.TP25459,Sobic.002G218200.1,Chr02,61015998,61017688,1691,-,1360,-3050
474,NsiI.TP255006,Sobic.006G258400.1,Chr06,59451480,59454496,3017,+,-10653,7637
475,NsiI.TP255006,Sobic.006G258600.1,Chr06,59461747,59465981,4235,+,-386,-3848
476,NsiI.TP255006,Sobic.006G258600.2,Chr06,59461747,59466525,4779,+,-386,-4392
477,NsiI.TP255006,Sobic.006G258500.2,Chr06,59455944,59458771,2828,-,-6189,3362
478,NsiI.TP255006,Sobic.006G258500.1,Chr06,59455944,59458942,2999,-,-6189,3191
479,NsiI.TP255006,Sobic.006G258700.1,Chr06,59466091,59470127,4037,-,3958,-7994
480,NsiI.TP255006,Sobic.006G258700.2,Chr06,59466091,59470127,4037,-,3958,-7994
481,NsiI.TP255006,Sobic.006G258800.2,Chr06,59470927,59474298,3372,-,8794,-12165
482,NsiI.TP255006,Sobic.006G258800.1,Chr06,59471166,59474298,3133,-,9033,-12165
483,NsiI.TP255006,Sobic.006G258800.3,Chr06,59471541,59474298,2758,-,9408,-12165
484,NsiI.TP256580,Sobic.009G188600.1,Chr09,54081463,54081795,333,+,1489,-1821
485,NsiI.TP256580,Sobic.009G188500.1,Chr09,54074463,54076088,1626,-,-5511,3886
486,NsiI.TP256580,Sobic.009G188700.1,Chr09,54082613,54086526,3914,-,2639,-6552
487,NsiI.TP257172,Sobic.003G077001.1,Chr03,6552143,6555525,3383,+,-8161,4779
488,NsiI.TP257172,Sobic.003G077100.1,Chr03,6560035,6560805,771,-,-269,-501
490,NsiI.TP258067,Sobic.002G153600.3,Chr02,45963499,45970782,7284,+,-6272,-1011
491,NsiI.TP258067,Sobic.002G153600.4,Chr02,45963959,45970782,6824,+,-5812,-1011
492,NsiI.TP258067,Sobic.002G153600.6,Chr02,45964070,45970782,6713,+,-5701,-1011
493,NsiI.TP258067,Sobic.002G153600.5,Chr02,45966871,45970782,3912,+,-2900,-1011
494,NsiI.TP258067,Sobic.002G153700.2,Chr02,45970904,45987364,16461,-,1133,-17593
495,NsiI.TP258067,Sobic.002G153700.1,Chr02,45971003,45987364,16362,-,1232,-17593
496,NsiI.TP260208,Sobic.010G185600.1,Chr10,52575331,52580150,4820,+,-6781,1962
497,NsiI.TP260208,Sobic.010G185700.1,Chr10,52581277,52592358,11082,+,-835,-10246
499,NsiI.TP262378,Sobic.008G131500.1,Chr08,55748818,55755548,6731,-,4840,-11570
500,NsiI.TP266954,Sobic.008G042600.1,Chr08,4172438,4177827,5390,+,-4969,-420
501,NsiI.TP266954,Sobic.008G042700.3,Chr08,4179159,4184972,5814,-,1752,-7565
502,NsiI.TP266954,Sobic.008G042700.4,Chr08,4179159,4184972,5814,-,1752,-7565
503,NsiI.TP274765,Sobic.006G106400.1,Chr06,47619157,47625037,5881,+,-6692,812
504,NsiI.TP274765,Sobic.006G106500.1,Chr06,47625203,47630311,5109,+,-646,-4462
505,NsiI.TP274765,Sobic.006G106600.1,Chr06,47631120,47635470,4351,+,5271,-9621
506,NsiI.TP274765,Sobic.006G106300.1,Chr06,47614884,47619144,4261,-,-10965,6705
507,NsiI.TP274765,Sobic.006G106300.2,Chr06,47614884,47619144,4261,-,-10965,6705
508,NsiI.TP275227,Sobic.009G173800.1,Chr09,52932232,52934600,2369,+,-877,-1491
509,NsiI.TP275227,Sobic.009G174000.1,Chr09,52939336,52943587,4252,+,6227,-10478
510,NsiI.TP275227,Sobic.009G173700.1,Chr09,52914266,52924065,9800,-,-18843,9044
511,NsiI.TP275227,Sobic.009G173900.1,Chr09,52937689,52938495,807,-,4580,-5386
513,NsiI.TP2769,Sobic.003G052800.1,Chr03,4764803,4780158,15356,+,-21041,5686
514,NsiI.TP2769,Sobic.003G052900.1,Chr03,4788870,4791162,2293,+,3026,-5318
517,NsiI.TP281579,Sobic.003G328800.1,Chr03,65410780,65414721,3942,+,-9192,5251
518,NsiI.TP281579,Sobic.003G328900.1,Chr03,65414383,65417430,3048,-,-5589,2542
519,NsiI.TP281579,Sobic.003G329000.2,Chr03,65420017,65423158,3142,-,45,-3186
520,NsiI.TP281579,Sobic.003G329000.1,Chr03,65420017,65424099,4083,-,45,-4127
523,NsiI.TP285280,Sobic.009G184450.1,Chr09,53780893,53789519,8627,+,-529,-8097
524,NsiI.TP285280,Sobic.009G184500.2,Chr09,53784290,53784891,602,+,2868,-3469
525,NsiI.TP285280,Sobic.009G184400.1,Chr09,53771662,53772851,1190,-,-9760,8571
527,NsiI.TP289776,Sobic.004G059800.1,Chr04,4795018,4797561,2544,+,-11099,8556
528,NsiI.TP289776,Sobic.004G059900.1,Chr04,4803664,4806909,3246,+,-2453,-792
529,NsiI.TP289776,Sobic.004G059900.3,Chr04,4803945,4806882,2938,+,-2172,-765
530,NsiI.TP289776,Sobic.004G059900.2,Chr04,4803947,4806882,2936,+,-2170,-765
531,NsiI.TP289776,Sobic.004G060100.1,Chr04,4812180,4818074,5895,+,6063,-11957
532,NsiI.TP289776,Sobic.004G060000.1,Chr04,4807062,4809539,2478,-,945,-3422
533,NsiI.TP290165,Sobic.002G307700.1,Chr02,68197203,68198357,1155,+,-8599,7445
534,NsiI.TP290165,Sobic.002G307800.1,Chr02,68198692,68204108,5417,-,-7110,1694
537,NsiI.TP299172,Sobic.003G218400.1,Chr03,55369545,55373857,4313,+,3826,-8138
538,NsiI.TP299172,Sobic.003G218450.2,Chr03,55374603,55376070,1468,+,8884,-10351
539,NsiI.TP299172,Sobic.003G218450.1,Chr03,55374614,55376070,1457,+,8895,-10351
540,NsiI.TP299172,Sobic.003G218200.1,Chr03,55359519,55362342,2824,-,-6200,3377
541,NsiI.TP299172,Sobic.003G218300.1,Chr03,55363922,55367605,3684,-,-1797,-1886
542,NsiI.TP299172,Sobic.003G218300.2,Chr03,55363922,55367619,3698,-,-1797,-1900
545,NsiI.TP304061,Sobic.001G042500.1,Chr01,3160538,3161847,1310,+,-10665,9356
546,NsiI.TP304061,Sobic.001G042700.1,Chr01,3173786,3177467,3682,+,2583,-6264
547,NsiI.TP304061,Sobic.001G042600.1,Chr01,3167016,3171713,4698,-,-4187,-510
553,NsiI.TP314432,Sobic.004G035100.1,Chr04,2829399,2833409,4011,+,-13233,9223
554,NsiI.TP314432,Sobic.004G035200.1,Chr04,2837130,2841378,4249,+,-5502,1254
555,NsiI.TP314432,Sobic.004G035300.1,Chr04,2841635,2850907,9273,-,-997,-8275
556,NsiI.TP31742,Sobic.007G062000.1,Chr07,6498283,6503401,5119,-,-10755,5637
557,NsiI.TP31742,Sobic.007G062100.1,Chr07,6507851,6510379,2529,-,-1187,-1341
562,NsiI.TP322203,Sobic.006G030100.3,Chr06,6371896,6387181,15286,+,-16159,874
563,NsiI.TP323223,Sobic.001G475300.1,Chr01,74760829,74766282,5454,+,-9438,3985
564,NsiI.TP323223,Sobic.001G475400.1,Chr01,74777440,74781522,4083,+,7173,-11255
565,NsiI.TP32394,Sobic.003G210701.1,Chr03,54274684,54275660,977,+,-2689,1713
567,NsiI.TP32455,Sobic.006G028700.3,Chr06,6024864,6034305,9442,+,-1366,-8075
568,NsiI.TP32455,Sobic.006G028700.1,Chr06,6024864,6035976,11113,+,-1366,-9746
569,NsiI.TP32455,Sobic.006G028700.2,Chr06,6024864,6035979,11116,+,-1366,-9749
570,NsiI.TP324593,Sobic.004G198350.1,Chr04,54947368,54949929,2562,-,-7201,4640
571,NsiI.TP324593,Sobic.004G198350.2,Chr04,54947368,54949929,2562,-,-7201,4640
572,NsiI.TP324593,Sobic.004G198400.1,Chr04,54951290,54953033,1744,-,-3279,1536
573,NsiI.TP324593,Sobic.004G198500.1,Chr04,54953528,54956966,3439,-,-1041,-2397
575,NsiI.TP326716,Sobic.003G008800.2,Chr03,798670,803946,5277,+,-10279,5003
576,NsiI.TP326716,Sobic.003G008900.1,Chr03,805133,808815,3683,+,-3816,134
577,NsiI.TP326716,Sobic.003G009000.4,Chr03,810969,812479,1511,+,2020,-3530
578,NsiI.TP326716,Sobic.003G008850.1,Chr03,803451,805766,2316,-,-5498,3183
579,NsiI.TP326716,Sobic.003G009100.2,Chr03,813586,817579,3994,-,4637,-8630
580,NsiI.TP326716,Sobic.003G009100.1,Chr03,813589,817567,3979,-,4640,-8618
581,NsiI.TP328684,Sobic.007G169700.3,Chr07,60438605,60447179,8575,+,-15659,7085
582,NsiI.TP328684,Sobic.007G169900.2,Chr07,60452611,60459272,6662,-,-1653,-5008
583,NsiI.TP328684,Sobic.007G169900.1,Chr07,60452611,60460708,8098,-,-1653,-6444
584,NsiI.TP328684,Sobic.007G170000.1,Chr07,60456745,60457970,1226,-,2481,-3706
585,NsiI.TP328684,Sobic.007G170100.2,Chr07,60462488,60470795,8308,-,8224,-16531
587,NsiI.TP329430,Sobic.001G281300.4,Chr01,55101626,55105153,3528,-,-2797,-730
588,NsiI.TP329430,Sobic.001G281300.5,Chr01,55101626,55105195,3570,-,-2797,-772
589,NsiI.TP329755,Sobic.009G207300.1,Chr09,55485372,55488062,2691,+,-8140,5450
590,NsiI.TP329755,Sobic.009G207400.1,Chr09,55493241,55499139,5899,+,-271,-5627
591,NsiI.TP329755,Sobic.009G207500.2,Chr09,55500097,55503936,3840,+,6585,-10424
592,NsiI.TP329755,Sobic.009G207500.1,Chr09,55501189,55503936,2748,+,7677,-10424
593,NsiI.TP329755,Sobic.009G207200.1,Chr09,55481844,55485053,3210,-,-11668,8459
597,NsiI.TP336953,Sobic.008G150200.1,Chr08,58330417,58336040,5624,+,-10085,4462
598,NsiI.TP336953,Sobic.008G150300.1,Chr08,58337048,58341060,4013,+,-3454,-558
600,NsiI.TP337751,Sobic.001G314350.1,Chr01,60167483,60169032,1550,+,-497,-1052
601,NsiI.TP337751,Sobic.001G314200.1,Chr01,60158933,60160458,1526,-,-9047,7522
602,NsiI.TP337751,Sobic.001G314200.2,Chr01,60158933,60160604,1672,-,-9047,7376
603,NsiI.TP337751,Sobic.001G314300.1,Chr01,60163256,60167326,4071,-,-4724,654
604,NsiI.TP33811,Sobic.001G432800.1,Chr01,71152961,71158082,5122,+,-1187,-3934
605,NsiI.TP33811,Sobic.001G432800.2,Chr01,71152961,71158082,5122,+,-1187,-3934
606,NsiI.TP33811,Sobic.001G432900.1,Chr01,71153869,71154436,568,+,-279,-288
607,NsiI.TP33811,Sobic.001G433000.1,Chr01,71159099,71164498,5400,-,4951,-10350
608,NsiI.TP33811,Sobic.001G433000.2,Chr01,71159099,71164498,5400,-,4951,-10350
609,NsiI.TP33811,Sobic.001G433000.3,Chr01,71159099,71164498,5400,-,4951,-10350
610,NsiI.TP33811,Sobic.001G433000.4,Chr01,71159099,71164498,5400,-,4951,-10350
611,NsiI.TP340042,Sobic.004G012000.1,Chr04,993872,998270,4399,+,-14004,9606
612,NsiI.TP340042,Sobic.004G012200.1,Chr04,1008423,1011734,3312,+,547,-3858
