,SNP,Pfam,Panther,KOG,ec,KO,GO,Best.hit.arabi.name,arabi.symbol,arabi.defline,Best.hit.rice.name,rice.symbol,rice.defline
1420,NsiI.TP60744,PF13414,"PTHR36326,PTHR36326:SF1",,,,,AT3G51280,,Tetratricopeptide repeat (TPR)-like superfamily protein,LOC_Os09g36740,NA,"tetratricopeptide repeat domain containing protein, expressed"
1421,NsiI.TP60744,PF00249,"PTHR10641,PTHR10641:SF588",,,K09422,,AT4G38620,"ATMYB4,MYB4",myb domain protein 4,LOC_Os09g36730,NA,"MYB family transcription factor, putative, expressed"
1422,NsiI.TP60744,,,,,,,,,,,NA,
1423,NsiI.TP608930,,,,,,,,,,,NA,
1424,NsiI.TP608930,PF00240,"PTHR10666,PTHR10666:SF127",,,,GO:0005515,AT5G14360,,Ubiquitin-like superfamily protein,LOC_Os02g38410,NA,"ubiquitin family protein, putative, expressed"
1425,NsiI.TP608930,,"PTHR31133,PTHR31133:SF6",,,,,AT5G40640,,,LOC_Os02g38430,NA,"steroid nuclear receptor, ligand-binding, putative, expressed"
1426,NsiI.TP608930,PF13561,"PTHR24322,PTHR24322:SF591",KOG1014,1.1.1.330,K10251,,AT1G67730,"ATKCR1,KCR1,YBR159",beta-ketoacyl reductase 1,LOC_Os02g38440,NA,"oxidoreductase, short chain dehydrogenase/reductase family, putative, expressed"
1428,NsiI.TP609535,,,,,,,,,,,NA,
1430,NsiI.TP609767,,,,,,,AT2G30480,,,LOC_Os01g07330,NA,expressed protein
1431,NsiI.TP609767,PF06596,"PTHR34455,PTHR34455:SF2",,,,"GO:0016020,GO:0015979,GO:0009523",AT2G06520,PSBX,photosystem II subunit X,LOC_Os07g47640,NA,"ultraviolet-B-repressible protein, putative, expressed"
1432,NsiI.TP609767,,,,,,,,,,,NA,
1433,NsiI.TP609767,,,,,,,,,,LOC_Os01g07320,NA,expressed protein
1435,NsiI.TP611508,PF01559,,,,,GO:0045735,,,,,NA,
1436,NsiI.TP611508,,,,,,,,,,,NA,
1438,NsiI.TP614958,,"PTHR12675,PTHR12675:SF5",,,K14943,,AT1G21580,,Zinc finger C-x8-C-x5-C-x3-H type family protein,LOC_Os04g35800,NA,"zinc finger C-x8-C-x5-C-x3-H type family protein, expressed"
1439,NsiI.TP614958,PF08718,"PTHR10219,PTHR10219:SF34",KOG3221,,,"GO:0051861,GO:0046836,GO:0017089,GO:0005737",AT3G21260,GLTP3,Glycolipid transfer protein (GLTP) family protein,LOC_Os04g35790,NA,"GLTP domain containing protein, putative, expressed"
1440,NsiI.TP614958,"PF13202,PF13833","PTHR10891,PTHR10891:SF613",KOG0027,,K13448,GO:0005509,AT5G42380,"CML37,CML39",calmodulin like 37,LOC_Os01g72530,NA,"OsCML31 - Calmodulin-related calcium sensor protein, expressed"
1441,NsiI.TP614958,,,,,,,,,,,NA,
1442,NsiI.TP615699,PF14381,"PTHR23257,PTHR23257:SF431",,2.7.11.1,,,AT1G08720,"ATEDR1,EDR1",Protein kinase superfamily protein,LOC_Os10g29540,NA,"protein kinase domain containing protein, expressed"
1448,NsiI.TP615699,,,,,,,,,,,NA,
1449,NsiI.TP615699,,"PTHR35986,PTHR35986:SF1",,,,,,,,LOC_Os10g29514,NA,expressed protein
1451,NsiI.TP615883,"PF03936,PF01397","PTHR31739:SF5,PTHR31739",,4.2.3.19,K04121,"GO:0000287,GO:0008152,GO:0010333,GO:0016829",AT1G79460,"ATKS,ATKS1,GA2,KS,KS1",Terpenoid cyclases/Protein prenyltransferases superfamily protein,LOC_Os04g52230,NA,"ent-kaurene synthase, chloroplast precursor, putative, expressed"
1453,NsiI.TP615883,PF14547,"PTHR31731,PTHR31731:SF16",,,,,AT3G22142,,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein,LOC_Os04g52260,NA,"LTPL124 - Protease inhibitor/seed storage/LTP family protein precursor, expressed"
1454,NsiI.TP615883,PF07983,"PTHR32227,PTHR32227:SF104",,,,,AT1G79480,,Carbohydrate-binding X8 domain superfamily protein,LOC_Os09g38784,NA,"retrotransposon protein, putative, unclassified, expressed"
1455,NsiI.TP615883,PF04733,"PTHR10805,PTHR10805:SF1",KOG3081,,K17268,"GO:0006890,GO:0005198",AT1G30630,,Coatomer epsilon subunit,LOC_Os04g52270,NA,"coatomer subunit epsilon, putative, expressed"
1456,NsiI.TP616011,"PF08541,PF08392","PTHR31561,PTHR31561:SF11",,2.3.1.199,K15397,"GO:0016747,GO:0008610,GO:0016020,GO:0006633",AT2G28630,KCS12,3-ketoacyl-CoA synthase 12,LOC_Os10g33370,NA,"3-ketoacyl-CoA synthase precursor, putative, expressed"
1457,NsiI.TP616137,,,,,,,,,,LOC_Os03g51100,NA,expressed protein
1458,NsiI.TP616137,PF08613,PTHR15615,,,,"GO:0019901,GO:0000079",AT3G21870,CYCP2;1,cyclin p2;1,LOC_Os04g53680,NA,"cyclin, putative, expressed"
1459,NsiI.TP616137,,"PTHR34126,PTHR34126:SF1",,,,,AT3G21865,PEX22,peroxin 22,LOC_Os04g53690,NA,expressed protein
1460,NsiI.TP616137,"PF12937,PF03478","PTHR11102,PTHR11102:SF105",,,,GO:0005515,AT5G25290,,F-box family protein with a domain of unknown function (DUF295),LOC_Os03g51090,NA,"OsFBDUF17 - F-box and DUF domain containing protein, expressed"
1462,NsiI.TP616371,"PF00856,PF05033,PF02182","PTHR22884,PTHR22884:SF352",KOG1082,2.1.1.43,K11420,"GO:0005515,GO:0034968,GO:0018024,GO:0008270,GO:0005634,GO:0042393",AT5G13960,"KYP,SDG33,SUVH4",SU(VAR)3-9 homolog 4,LOC_Os01g70220,NA,"histone-lysine N-methyltransferase, putative, expressed"
1464,NsiI.TP616371,PF13837,"PTHR21654,PTHR21654:SF10",,,,,AT2G33550,,Homeodomain-like superfamily protein,LOC_Os01g70230,NA,"transcription factor, putative, expressed"
1465,NsiI.TP616371,PF00403,"PTHR22814,PTHR22814:SF78",,,,"GO:0046872,GO:0030001",AT2G35730,,Heavy metal transport/detoxification superfamily protein ,LOC_Os01g70240,NA,expressed protein
1467,NsiI.TP616371,"PF00226,PF11926","PTHR10825,PTHR10825:SF4",,,,,AT5G18750,,DNAJ heat shock N-terminal domain-containing protein,LOC_Os01g70250,NA,"heat shock protein DnaJ, putative, expressed"
1469,NsiI.TP616438,PF05678,"PTHR33143,PTHR33143:SF7",,,,,AT3G18690,MKS1,MAP kinase substrate 1,LOC_Os08g01260,NA,"VQ domain containing protein, putative, expressed"
1470,NsiI.TP616438,"PF00098,PF00076",PTHR24012,KOG4207,,K12885,"GO:0008270,GO:0003676",AT3G26420,ATRZ-1A,RNA-binding (RRM/RBD/RNP motifs) family protein with retrovirus zinc finger-like domain,LOC_Os03g61990,NA,"glycine-rich RNA-binding protein 7, putative, expressed"
1477,NsiI.TP616438,"PF01842,PF07714","PTHR23257,PTHR23257:SF516",KOG0192,2.7.12.1,K17535,"GO:0016597,GO:0008152,GO:0006468,GO:0004672",AT2G17700,,ACT-like protein tyrosine kinase family protein,LOC_Os08g01270,NA,"protein kinase family protein, putative, expressed"
1479,NsiI.TP616446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1481,NsiI.TP616446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1483,NsiI.TP616446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1484,NsiI.TP616446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1485,NsiI.TP617618,PF03087,"PTHR33070,PTHR33070:SF8",,,,,AT1G76240,,Arabidopsis protein of unknown function (DUF241),LOC_Os10g39660,NA,expressed protein
1486,NsiI.TP61845,,,,,,,,,,,NA,
1487,NsiI.TP61845,PF00657,"PTHR22835,PTHR22835:SF201",,3.1.1.1,,GO:0016788,AT1G28600,,GDSL-like Lipase/Acylhydrolase superfamily protein,LOC_Os10g25380,NA,"GDSL-like lipase/acylhydrolase, putative, expressed"
1491,NsiI.TP61845,,,,,,,,,,,NA,
1492,NsiI.TP620135,PF14111,"PTHR33170,PTHR33170:SF1",,,,,,,,LOC_Os12g34720,NA,expressed protein
1494,NsiI.TP620135,,"PTHR33124,PTHR33124:SF13",,,,,AT2G47270,,sequence-specific DNA binding transcription factors;transcription regulators,LOC_Os05g06520,NA,"helix-loop-helix DNA-binding domain containing protein, expressed"
1495,NsiI.TP620217,,,,,,,,,,,NA,
1496,NsiI.TP620217,PF00230,"PTHR19139,PTHR19139:SF137",KOG0223,,K09872,"GO:0016020,GO:0006810,GO:0005215",AT2G37170,"PIP2;2,PIP2B",plasma membrane intrinsic protein 2,LOC_Os07g26690,NA,"aquaporin protein, putative, expressed"
1497,NsiI.TP620217,,,,,,,,,,,NA,
1500,NsiI.TP621627,,"PTHR33625,PTHR33625:SF5",,,,,AT4G25170,,Uncharacterised conserved protein (UCP012943),LOC_Os02g44010,NA,expressed protein
1501,NsiI.TP621627,PF00696,"PTHR23342,PTHR23342:SF5",KOG1154,2.7.2.8,K00930,,AT3G57560,NAGK,N-acetyl-l-glutamate kinase,LOC_Os02g44000,NA,"amino acid kinase, putative, expressed"
1502,NsiI.TP621902,,,,,,,,,,,NA,
1503,NsiI.TP621902,PF16851,"PTHR37239,PTHR37239:SF1",,,,,AT4G12970,"EPFL9,STOMAGEN",stomagen,LOC_Os08g41360,NA,expressed protein
1504,NsiI.TP621902,PF00025,"PTHR24073,PTHR24073:SF394",KOG0087,,K07904,GO:0005525,AT2G43130,"ARA-4,ARA4,ATRAB11F,ATRABA5C,RABA5C",P-loop containing nucleoside triphosphate hydrolases superfamily protein,LOC_Os08g41340,NA,"ras-related protein, putative, expressed"
1505,NsiI.TP621902,"PF01535,PF13041","PTHR24015,PTHR24015:SF503",,,,,AT5G18390,,Pentatricopeptide repeat (PPR) superfamily protein,LOC_Os08g41380,NA,"pentatricopeptide, putative, expressed"
1509,NsiI.TP624345,PF06404,"PTHR33285,PTHR33285:SF2",,,,"GO:0008283,GO:0008083,GO:0005576",AT3G44735,"ATPSK3,PSK1,PSK3",PHYTOSULFOKINE 3 PRECURSOR,LOC_Os12g05260,NA,"phytosulfokines precursor, putative, expressed"
1510,NsiI.TP624345,PF13639,"PTHR22763,PTHR22763:SF63",,,,"GO:0008270,GO:0005515",AT1G18780,,RING/U-box superfamily protein,LOC_Os12g05270,NA,"zinc finger, C3HC4 type domain containing protein, expressed"
1512,NsiI.TP627077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1514,NsiI.TP627077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1515,NsiI.TP627077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1516,NsiI.TP627077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1517,NsiI.TP627077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1518,NsiI.TP627077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1519,NsiI.TP6280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1520,NsiI.TP6280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1521,NsiI.TP630636,,"PTHR33984,PTHR33984:SF2",,,,,AT4G12070,,,LOC_Os09g31360,NA,expressed protein
1522,NsiI.TP630636,,,,,,,,,,,NA,
1523,NsiI.TP630636,,"PTHR31029,PTHR31029:SF5",,,,,AT5G12900,,,LOC_Os09g31370,NA,expressed protein
1524,NsiI.TP630636,PF08007,"PTHR12461,PTHR12461:SF38",KOG2132,1.14.11.27,K10277,,AT3G20810,,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein,LOC_Os09g31380,NA,"jmjC domain-containing protein 5, putative, expressed"
1526,NsiI.TP630636,"PF00170,PF14144","PTHR22952,PTHR22952:SF218",,,K14431,"GO:0043565,GO:0006355,GO:0003700,GO:0006351",AT5G06839,"bZIP65,TGA10",bZIP transcription factor family protein,LOC_Os09g31390,NA,"transcription factor, putative, expressed"
1529,NsiI.TP630648,,"PTHR35463,PTHR35463:SF1",,,,,,,,LOC_Os03g26490,NA,expressed protein
1530,NsiI.TP630648,,,,,,,,,,,NA,
1532,NsiI.TP631772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1533,NsiI.TP631772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1535,NsiI.TP632002,"PF03810,PF13646,PF02985","PTHR10527,PTHR10527:SF6",,,,"GO:0008536,GO:0006886,GO:0005515",AT4G27640,,ARM repeat superfamily protein,LOC_Os03g15540,NA,"HEAT repeat family protein, putative, expressed"
1536,NsiI.TP632002,PF09282,"PTHR22959,PTHR22959:SF0",KOG4325,,K14294,,AT1G11400,PYM,partner of Y14-MAGO,LOC_Os03g15560,NA,"wibg, putative, expressed"
1537,NsiI.TP632002,PF01504,"PTHR23086,PTHR23086:SF40",KOG0229,2.7.1.68,,"GO:0046488,GO:0016307",AT1G77740,PIP5K2,phosphatidylinositol-4-phosphate 5-kinase 2,LOC_Os03g15550,NA,"phosphatidylinositol-4-phosphate 5-kinase, putative, expressed"
1540,NsiI.TP633109,PF00010,"PTHR12565,PTHR12565:SF180",,,,GO:0046983,AT5G56960,,basic helix-loop-helix (bHLH) DNA-binding family protein,LOC_Os01g09900,NA,"helix-loop-helix DNA-binding domain containing protein, expressed"
1544,NsiI.TP634012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1545,NsiI.TP636278,,,,,,,,,,,NA,
1549,NsiI.TP636278,,,,,,,,,,,NA,
1550,NsiI.TP636278,"PF11721,PF07714","PTHR27003,PTHR27003:SF89",KOG1187,2.7.11.1,,"GO:0006468,GO:0004672",AT3G46290,HERK1,hercules receptor kinase 1,LOC_Os05g06990,NA,"TKL_IRAK_CrRLK1L-1.10 - The CrRLK1L-1 subfamily has homology to the CrRLK1L homolog, expressed"
1551,NsiI.TP636278,"PF00098,PF00076","PTHR24012,PTHR24012:SF442","KOG0107,KOG0106",,K12896,"GO:0008270,GO:0003676",AT2G37340,"ATRSZ33,RSZ33",arginine/serine-rich zinc knuckle-containing protein 33,LOC_Os03g17710,NA,"splicing factor, arginine/serine-rich, putative, expressed"
1554,NsiI.TP643527,PF06203,"PTHR31717,PTHR31717:SF3",KOG1601,,,GO:0005515,AT1G28050,,B-box type zinc finger protein with CCT domain,LOC_Os08g42440,NA,"CCT/B-box zinc finger protein, putative, expressed"
1555,NsiI.TP643527,PF04535,"PTHR11615,PTHR11615:SF120",,,,,AT3G06390,,Uncharacterised protein family (UPF0497),LOC_Os08g42430,NA,"membrane associated DUF588 domain containing protein, putative, expressed"
1556,NsiI.TP643527,,"PTHR13199,PTHR13199:SF15",KOG2306,,,,AT3G26890,,,LOC_Os08g42420,NA,expressed protein
1561,NsiI.TP644424,PF02362,"PTHR31140,PTHR31140:SF19",,,,GO:0003677,AT2G46870,NGA1,AP2/B3-like transcriptional factor family protein,LOC_Os02g45850,NA,"B3 DNA binding domain containing protein, expressed"
1562,NsiI.TP644722,PF02362,"PTHR31140,PTHR31140:SF19",,,,GO:0003677,AT2G46870,NGA1,AP2/B3-like transcriptional factor family protein,LOC_Os02g45850,NA,"B3 DNA binding domain containing protein, expressed"
1563,NsiI.TP64589,PF02996,"PTHR15111,PTHR15111:SF0",,,K17560,,AT1G03760,,Prefoldin chaperone subunit family protein,LOC_Os01g70330,NA,"prefoldin subunit family protein, expressed"
1566,NsiI.TP64589,,,,,,,,,,,NA,
1567,NsiI.TP64589,,"PTHR31762,PTHR31762:SF5",,,,,AT3G48860,,,LOC_Os01g70320,NA,expressed protein
1568,NsiI.TP64589,,"PTHR10825,PTHR10825:SF23",,,,,AT5G13250,,RING finger protein,LOC_Os01g70340,NA,expressed protein
1571,NsiI.TP646964,"PF04783,PF04782","PTHR21450,PTHR21450:SF20",,,,,AT2G17110,,Protein of unknown function (DUF630 and DUF632),LOC_Os04g47480,NA,"DUF630/DUF632 domains containing protein, putative, expressed"
1572,NsiI.TP646964,PF07762,"PTHR33074,PTHR33074:SF10",,,,,,,,LOC_Os01g08010,NA,expressed protein
1573,NsiI.TP646964,PF12708,"PTHR31375,PTHR31375:SF45",,3.2.1.15,,,AT4G35670,,Pectin lyase-like superfamily protein,LOC_Os07g10740,NA,"polygalacturonase, putative, expressed"
1575,NsiI.TP652320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1576,NsiI.TP652320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1577,NsiI.TP652320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1579,NsiI.TP652621,PF00010,"PTHR12565,PTHR12565:SF145",,,,GO:0046983,AT1G09530,"PAP3,PIF3,POC1",phytochrome interacting factor 3,LOC_Os04g52770,NA,"helix-loop-helix DNA-binding domain containing protein, expressed"
1580,NsiI.TP652621,PF14938,"PTHR13768,PTHR13768:SF2",KOG1585,,,GO:0006886,AT4G20410,"GAMMA-SNAP,GSNAP",gamma-soluble NSF attachment protein,LOC_Os04g52760,NA,"gamma-soluble NSF attachment protein, putative, expressed"
1581,NsiI.TP652621,"PF08263,PF00560,PF00069,PF13855","PTHR27000,PTHR27000:SF90",KOG1187,2.7.11.1,K13420,"GO:0005515,GO:0006468,GO:0005524,GO:0004672",AT5G46330,FLS2,Leucine-rich receptor-like protein kinase family protein,LOC_Os04g52780,NA,"leucine-rich repeat receptor protein kinase EXS precursor, putative, expressed"
1584,NsiI.TP659581,"PF14416,PF13839","PTHR32285,PTHR32285:SF18",,,,,AT5G51640,"TBL17,YLS7",Plant protein of unknown function (DUF828),LOC_Os01g68630,NA,"leaf senescence related protein, putative, expressed"
1586,NsiI.TP659581,,"PTHR11730,PTHR11730:SF45",,,,"GO:0072488,GO:0016020,GO:0008519",AT2G38290,"AMT2,AMT2;1,ATAMT2",ammonium transporter 2,LOC_Os07g07070,NA,"anthranilate phosphoribosyltransferase, putative, expressed"
1587,NsiI.TP659581,PF04720,"PTHR31579,PTHR31579:SF9",,,,,AT3G07350,,Protein of unknown function (DUF506) ,LOC_Os01g68650,NA,"plant-specific domain TIGR01615 family protein, expressed"
1588,NsiI.TP659581,,,,,,,,,,,NA,
1589,NsiI.TP660927,"PF01657,PF00069","PTHR27002,PTHR27002:SF130",KOG1187,2.7.11.1,,"GO:0006468,GO:0005524,GO:0004672",AT4G23180,"CRK10,RLK4",cysteine-rich RLK (RECEPTOR-like protein kinase) 10,LOC_Os07g35310,NA,"TKL_IRAK_DUF26-lc.12 - DUF26 kinases have homology to DUF26 containing loci, expressed"
1591,NsiI.TP660927,"PF01657,PF07714","PTHR27002,PTHR27002:SF127",KOG1187,2.7.11.1,,"GO:0006468,GO:0004672",AT4G23160,CRK8,cysteine-rich RLK (RECEPTOR-like protein kinase) 8,LOC_Os07g35330,NA,"TKL_IRAK_DUF26-lc.13 - DUF26 kinases have homology to DUF26 containing loci, expressed"
1597,NsiI.TP660927,"PF01657,PF07714","PTHR27002,PTHR27002:SF104",KOG1187,2.7.11.1,,"GO:0006468,GO:0004672",AT4G23180,"CRK10,RLK4",cysteine-rich RLK (RECEPTOR-like protein kinase) 10,LOC_Os07g35790,NA,"TKL_IRAK_DUF26-ld.5 - DUF26 kinases have homology to DUF26 containing loci, expressed"
1598,NsiI.TP660927,"PF01657,PF07714","PTHR27002,PTHR27002:SF104",KOG1187,2.7.11.1,,"GO:0006468,GO:0004672",AT4G23180,"CRK10,RLK4",cysteine-rich RLK (RECEPTOR-like protein kinase) 10,LOC_Os07g35790,NA,"TKL_IRAK_DUF26-ld.5 - DUF26 kinases have homology to DUF26 containing loci, expressed"
1599,NsiI.TP662609,,"PTHR33207,PTHR33207:SF4",,,,,,,,LOC_Os01g32640,NA,"OsFBX9 - F-box domain containing protein, expressed"
1600,NsiI.TP662609,,,,1.1.1.224,,,AT2G21260,,NAD(P)-linked oxidoreductase superfamily protein,LOC_Os02g03100,NA,"oxidoreductase, aldo/keto reductase family protein, putative, expressed"
1602,NsiI.TP663012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1604,NsiI.TP663012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1605,NsiI.TP663012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1606,NsiI.TP663012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1608,NsiI.TP668170,PF02347,"PTHR11773,PTHR11773:SF4",,1.4.4.2,K00281,"GO:0055114,GO:0006546,GO:0004375",AT2G26080,"AtGLDP2,GLDP2",glycine decarboxylase P-protein 2,LOC_Os06g40940,NA,"glycine dehydrogenase, putative, expressed"
1609,NsiI.TP668488,PF02535,"PTHR11040,PTHR11040:SF49",KOG1558,,K14709,"GO:0055085,GO:0046873,GO:0030001,GO:0016020",AT1G05300,ZIP5,zinc transporter 5 precursor,LOC_Os05g39540,NA,"metal cation transporter, putative, expressed"
1611,NsiI.TP670301,,"PTHR33541,PTHR33541:SF5",,,,,AT3G13980,,,LOC_Os03g07920,NA,expressed protein
1612,NsiI.TP670301,PF02186,"PTHR12716,PTHR12716:SF8",KOG3095,,K03137,GO:0006367,AT4G20330,,"Transcription initiation factor TFIIE, beta subunit",LOC_Os10g25770,NA,"transcription initiation factor IIE subunit beta, putative, expressed"
1613,NsiI.TP670883,PF00141,"PTHR31388,PTHR31388:SF11",,1.11.1.7,K00430,"GO:0055114,GO:0020037,GO:0006979,GO:0004601",AT5G66390,,Peroxidase superfamily protein,LOC_Os04g34630,NA,"peroxidase precursor, putative, expressed"
1615,NsiI.TP671673,PF03083,"PTHR10791,PTHR10791:SF41",KOG1623,,K15382,,AT4G10850,,Nodulin MtN3 family protein,LOC_Os02g19820,NA,"nodulin MtN3 family protein, putative, expressed"
1616,NsiI.TP671726,PF02096,"PTHR12428,PTHR12428:SF21",KOG1239,,K03217,"GO:0051205,GO:0016021",AT2G46470,OXA1L,inner membrane protein OXA1-like,LOC_Os03g02480,NA,"inner membrane protein, putative, expressed"
1619,NsiI.TP674601,"PF13522,PF00733","PTHR11772,PTHR11772:SF16",,6.3.5.4,K01953,"GO:0006529,GO:0004066",AT3G47340,"ASN1,AT-ASN1,DIN6",glutamine-dependent asparagine synthase 1,LOC_Os03g18130,NA,"asparagine synthetase, putative, expressed"
1622,NsiI.TP674601,"PF14416,PF13839","PTHR32285,PTHR32285:SF7",,,,,AT5G01360,TBL3,Plant protein of unknown function (DUF828),LOC_Os03g18120,NA," proteins of unknown function domain containing protein, expressed"
1624,NsiI.TP675623,PF02365,"PTHR31989,PTHR31989:SF18",,,,"GO:0006355,GO:0003677",AT4G10350,"ANAC070,BRN2,NAC070",NAC domain containing protein 70,LOC_Os06g33940,NA,"NAC domain containing protein, putative, expressed"
1625,NsiI.TP676052,PF03763,"PTHR31471,PTHR31471:SF1",,,,,AT2G02170,,Remorin family protein,LOC_Os02g02500,NA,"remorin family protein, putative, expressed"
1627,NsiI.TP676052,PF09353,"PTHR34051,PTHR34051:SF2",,,,,AT1G73060,LPA3,Low  PSII Accumulation 3,LOC_Os02g02520,NA,expressed protein
1628,NsiI.TP676052,PF03874,PTHR21297,KOG2351,2.7.7.6,K03012,"GO:0006351,GO:0003899",AT5G09920,"ATRPB15.9,NRPB4,RPB15.9,RPB15.9.9","RNA polymerase II, Rpb4, core protein",LOC_Os02g02510,NA,"DNA-directed RNA polymerase II subunit RPB4, putative, expressed"
1630,NsiI.TP678341,,,,,,,,,,,NA,
1631,NsiI.TP678859,,PTHR37241,,,,,AT4G17000,,,LOC_Os03g56070,NA,expressed protein
1632,NsiI.TP678859,,,,,,,,,,,NA,
1633,NsiI.TP678859,PF13632,"PTHR32044,PTHR32044:SF7",,"2.4.2.39,2.4.1.168",,,AT4G07960,"ATCSLC12,CSLC12",Cellulose-synthase-like C12,LOC_Os07g03260,NA,"CSLC10 - cellulose synthase-like family C, expressed"
1634,NsiI.TP680522,PF02309,"PTHR31734,PTHR31734:SF16",,,K14484,"GO:0006355,GO:0005634",AT2G22670,IAA8,indoleacetic acid-induced protein 8,LOC_Os01g48444,NA,"OsIAA5 - Auxin-responsive Aux/IAA gene family member, expressed"
1635,NsiI.TP680522,PF03360,"PTHR10896,PTHR10896:SF27",KOG1476,2.4.2.24,,"GO:0016020,GO:0015018",AT1G27600,"I9H,IRX9-L",Nucleotide-diphospho-sugar transferases superfamily protein,LOC_Os01g48440,NA,"glycosyltransferase family 43 protein, putative, expressed"
1636,NsiI.TP680522,PF02365,"PTHR31989,PTHR31989:SF52",,,,"GO:0006355,GO:0003677",AT1G12260,"ANAC007,EMB2749,NAC007,VND4",NAC 007,LOC_Os01g48446,NA,"no apical meristem protein, putative, expressed"
1643,NsiI.TP690773,,,,,,,,,,,NA,
1644,NsiI.TP690773,,"PTHR31234,PTHR31234:SF3",,,,,AT4G23930,,Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family,LOC_Os05g14880,NA,"proline-rich family protein, putative, expressed"
1645,NsiI.TP690773,"PF04043,PF01095","PTHR31707,PTHR31707:SF56",,3.1.1.11,,"GO:0004857,GO:0042545,GO:0030599,GO:0005618",AT5G53370,"ATPMEPCRF,PMEPCRF",pectin methylesterase PCR fragment F,LOC_Os01g13320,NA,"pectinesterase, putative, expressed"
1646,NsiI.TP690773,PF02362,"PTHR31391,PTHR31391:SF13",,,,GO:0003677,AT3G19184,,AP2/B3-like transcriptional factor family protein,LOC_Os01g13300,NA,"B3 DNA binding domain containing protein, expressed"
1653,NsiI.TP694884,,"PTHR34208,PTHR34208:SF1",,,,,AT3G49720,,,LOC_Os01g05070,NA,expressed protein
1654,NsiI.TP694884,,PTHR34670,,,,,,,,LOC_Os01g05064,NA,expressed protein
1655,NsiI.TP694884,PF02330,"PTHR10826,PTHR10826:SF15",KOG2536,,K15414,GO:0005759,AT3G55605,,Mitochondrial glycoprotein family protein,LOC_Os01g05060,NA,"mitochondrial glycoprotein, putative, expressed"
1656,NsiI.TP694884,PF02330,"PTHR10826,PTHR10826:SF4",KOG2536,,K15414,GO:0005759,AT5G05990,,Mitochondrial glycoprotein family protein,LOC_Os01g05010,NA,"mitochondrial glycoprotein, putative, expressed"
1657,NsiI.TP694884,PF00646,"PTHR32212,PTHR32212:SF70",,,,GO:0005515,AT2G29910,,F-box/RNI-like superfamily protein,LOC_Os02g55050,NA,"OsFBX64 - F-box domain containing protein, expressed"
1661,NsiI.TP702311,PF00847,"PTHR31985,PTHR31985:SF3",,,,"GO:0006355,GO:0003700",AT2G44940,,Integrase-type DNA-binding superfamily protein,LOC_Os02g43940,NA,"AP2 domain containing protein, expressed"
1662,NsiI.TP702311,"PF00684,PF00226,PF01556","PTHR24078,PTHR24078:SF210",KOG0712,,K09503,"GO:0051082,GO:0031072",AT5G22060,"ATJ2,J2",DNAJ homologue 2,LOC_Os02g43930,NA,"chaperone protein dnaJ, putative, expressed"
1663,NsiI.TP705623,PF00076,"PTHR24012,PTHR24012:SF352",KOG0148,,,GO:0003676,AT1G47490,"ATRBP47C,RBP47C",RNA-binding protein 47C,LOC_Os09g28810,NA,"RNA recognition motif containing protein, putative, expressed"
1665,NsiI.TP705623,PF00450,"PTHR11802,PTHR11802:SF92",,3.4.16.6,K16297,"GO:0006508,GO:0004185",AT3G63470,scpl40,serine carboxypeptidase-like 40,LOC_Os03g26920,NA,"OsSCP12 - Putative Serine Carboxypeptidase homologue, expressed"
