"","SNP","Gene","Chromosome","Position","Grand.Total","PS","Ind.SNP","Heading_1","Heading_50","Flowering_1","Flowering_50","PCA","SUPER","FarmCPU","mrMLM.1","mrMLM.2","MAF","PVE","chr","start","end","width","strand","dis_start.positon","dis_positon.end","Pfam","Panther","KOG","ec","KO","GO","Best.hit.arabi.name","arabi.symbol","arabi.defline","Best.hit.rice.name","rice.symbol","rice.defline"
"2485","NsiI.TP413314","Sobic.001G299600",1,58050134,1,"PS_N","F116+36088im","","","","","fprinM","","","FASTmrMLM","",0.1034,0.00000439,"Chr01",58059101,58064037,4937,"+",8967,-13903,"PF01471,PF00413","PTHR10201,PTHR10201:SF141","","3.4.24.23","","GO:0031012,GO:0008270,GO:0006508,GO:0004222","AT4G16640","","Matrixin family protein","LOC_Os10g40830",NA,"metalloendoproteinase 1 precursor, putative, expressed"
"2491","NsiI.TP413741","NA",11,13708,1,"PS_Y","F116+36088im","","","FM_1","","","CMLM+SUPER","","","",0.1458,7.472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2492","NsiI.TP414923","Sobic.007G150200",7,58216713,4,"PS_Y","F116+36088im","HM_1","","GFW_1","FM_50","","CMLM+SUPER;MLM+SUPER","","","",0.133,0.5138,"Chr07",58204700,58208304,3605,"+",-12013,8409,"","PTHR33172,PTHR33172:SF14","","","","","AT3G43850","","","LOC_Os08g35630",NA,"MTD1, putative, expressed"
"2494","NsiI.TP414923","Sobic.007G150500",7,58216713,4,"PS_Y","F116+36088im","HM_1","","GFW_1","FM_50","","CMLM+SUPER;MLM+SUPER","","","",0.133,0.5138,"Chr07",58215218,58219157,3940,"-",-1495,-2444,"","PTHR33172,PTHR33172:SF14","","","","","AT3G43850","","","LOC_Os08g35630",NA,"MTD1, putative, expressed"
"2496","NsiI.TP415542","Sobic.010G066100",10,5279174,5,"PS_Y","F116+36088im","HD_1;HW_1","","GFW_1;FM_1","","","CMLM+SUPER;MLM+SUPER","","","",0.08607,3.351,"Chr10",5269105,5273618,4514,"-",-10069,5556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2497","NsiI.TP415575","Sobic.009G186300",9,53923129,3,"PS_Y","F116+36088im","GHW_1;HM_1","","","","","CMLM+SUPER;MLM+SUPER","","","",0.05339,3.75,"Chr09",53920131,53923447,3317,"-",-2998,-318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2499","NsiI.TP415575","Sobic.009G186400",9,53923129,3,"PS_Y","F116+36088im","GHW_1;HM_1","","","","","CMLM+SUPER;MLM+SUPER","","","",0.05339,3.75,"Chr09",53925415,53925993,579,"-",2286,-2864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2501","NsiI.TP416112","NA",11,13740,6,"PS_Y","F116+36088im","GHW_1;HM_1","","GFW_1","FW_50;GFW_50","","CMLM+SUPER;MLM+SUPER","","","",0.105,2.611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2502","NsiI.TP416911","NA",11,13756,1,"PS_N","F116+36088im","","","FM_1","","","","","","ISIS EM-BLASSO",0.1466,8.577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2503","NsiI.TP416968","NA",11,13759,1,"PS_Y","F116+36088im","","","GFW_1","","","MLM+SUPER","","","",0.1171,0.3883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2504","NsiI.TP417060","Sobic.002G134300",2,19859544,2,"PS_Y","F116+36088im","HM_1","","GFW_1","","","MLM+SUPER","","","",0.1512,1.012,"Chr02",19848609,19852513,3905,"-",-10935,7031,"PF00657","PTHR22835,PTHR22835:SF216","","3.1.1.80","","GO:0016788","AT5G03610","","GDSL-like Lipase/Acylhydrolase superfamily protein","LOC_Os09g39430",NA,"GDSL-like lipase/acylhydrolase, putative, expressed"
"2506","NsiI.TP417060","Sobic.002G134400",2,19859544,2,"PS_Y","F116+36088im","HM_1","","GFW_1","","","MLM+SUPER","","","",0.1512,1.012,"Chr02",19857622,19861816,4195,"-",-1922,-2272,"PF00657","PTHR22835,PTHR22835:SF216","","3.1.1.80","","GO:0016788","AT5G03610","","GDSL-like Lipase/Acylhydrolase superfamily protein","LOC_Os09g39430",NA,"GDSL-like lipase/acylhydrolase, putative, expressed"
"2508","NsiI.TP417678","NA",11,13768,1,"PS_Y","F116+36088im","HM_1","","","","","MLM+SUPER","","","",0.06332,1.364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2509","NsiI.TP418754","Sobic.004G288600",4,63031223,15,"PS_Y","F116+36088im","HW_1;GHW_1;HM_1","","GFW_1","FD_50;FW_50;GFW_50;FM_50","fprinW;fprind","CMLM+SUPER;MLM+SUPER","","","",0.1551,0.2744,"Chr04",63013051,63022193,9143,"+",-18172,9030,"PF00069","PTHR24361,PTHR24361:SF253","KOG0198","2.7.11.25","","GO:0006468,GO:0005524,GO:0004672","AT1G63700","EMB71,MAPKKK4,YDA","Protein kinase superfamily protein","LOC_Os02g44642",NA,"STE_MEKK_ste11_MAP3K.10 - STE kinases include homologs to sterile 7, sterile 11 and sterile 20 from yeast, expressed"
"2514","NsiI.TP418754","Sobic.004G288700",4,63031223,15,"PS_Y","F116+36088im","HW_1;GHW_1;HM_1","","GFW_1","FD_50;FW_50;GFW_50;FM_50","fprinW;fprind","CMLM+SUPER;MLM+SUPER","","","",0.1551,0.2744,"Chr04",63023013,63027206,4194,"-",-8210,4017,"PF00069","PTHR24361,PTHR24361:SF253","KOG0198","2.7.11.25","","GO:0006468,GO:0005524,GO:0004672","AT1G63700","EMB71,MAPKKK4,YDA","Protein kinase superfamily protein","LOC_Os02g44642",NA,"STE_MEKK_ste11_MAP3K.10 - STE kinases include homologs to sterile 7, sterile 11 and sterile 20 from yeast, expressed"
"2519","NsiI.TP418754","Sobic.004G288800",4,63031223,15,"PS_Y","F116+36088im","HW_1;GHW_1;HM_1","","GFW_1","FD_50;FW_50;GFW_50;FM_50","fprinW;fprind","CMLM+SUPER;MLM+SUPER","","","",0.1551,0.2744,"Chr04",63028826,63030350,1525,"-",-2397,873,"PF00069","PTHR24361,PTHR24361:SF253","KOG0198","2.7.11.25","","GO:0006468,GO:0005524,GO:0004672","AT1G63700","EMB71,MAPKKK4,YDA","Protein kinase superfamily protein","LOC_Os02g44642",NA,"STE_MEKK_ste11_MAP3K.10 - STE kinases include homologs to sterile 7, sterile 11 and sterile 20 from yeast, expressed"
"2524","NsiI.TP418754","Sobic.004G288900",4,63031223,15,"PS_Y","F116+36088im","HW_1;GHW_1;HM_1","","GFW_1","FD_50;FW_50;GFW_50;FM_50","fprinW;fprind","CMLM+SUPER;MLM+SUPER","","","",0.1551,0.2744,"Chr04",63031840,63038340,6501,"-",617,-7117,"PF00069","PTHR24361,PTHR24361:SF253","KOG0198","2.7.11.25","","GO:0006468,GO:0005524,GO:0004672","AT1G63700","EMB71,MAPKKK4,YDA","Protein kinase superfamily protein","LOC_Os02g44642",NA,"STE_MEKK_ste11_MAP3K.10 - STE kinases include homologs to sterile 7, sterile 11 and sterile 20 from yeast, expressed"
"2534","NsiI.TP418754","Sobic.004G289000",4,63031223,15,"PS_Y","F116+36088im","HW_1;GHW_1;HM_1","","GFW_1","FD_50;FW_50;GFW_50;FM_50","fprinW;fprind","CMLM+SUPER;MLM+SUPER","","","",0.1551,0.2744,"Chr04",63040890,63045569,4680,"-",9667,-14346,"PF00069","PTHR24361,PTHR24361:SF253","KOG0198","2.7.11.25","","GO:0006468,GO:0005524,GO:0004672","AT1G63700","EMB71,MAPKKK4,YDA","Protein kinase superfamily protein","LOC_Os02g44642",NA,"STE_MEKK_ste11_MAP3K.10 - STE kinases include homologs to sterile 7, sterile 11 and sterile 20 from yeast, expressed"
"2544","NsiI.TP418817","Sobic.003G392600",3,70373036,2,"PS_Y","F116+36088im","","","","FD_50","fprind","MLM+SUPER","","","",0.4175,0.233,"Chr03",70379615,70385367,5753,"-",6579,-12331,"","PTHR33065,PTHR33065:SF9","","","","","","","","LOC_Os09g03210",NA,"expressed protein"
"2547","NsiI.TP41926","NA",11,9643,2,"PS_Y","F116+36088im","HM_1","","GFW_1","","","MLM+SUPER","","","",0.1072,0.2136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2551","NsiI.TP419909","Sobic.001G389100",1,67589872,3,"PS_Y","F116+36088im","GHW_1;HM_1","","","","","CMLM+SUPER;MLM+SUPER","","","",0.2999,0.03835,"Chr01",67575823,67582201,6379,"+",-14049,7671,"PF04783,PF04782","PTHR21450,PTHR21450:SF6","","","","","AT2G27090","","Protein of unknown function (DUF630 and DUF632)","LOC_Os03g20530",NA,"DUF630/DUF632 domains containing protein, putative, expressed"
"2560","NsiI.TP419909","Sobic.001G389200",1,67589872,3,"PS_Y","F116+36088im","GHW_1;HM_1","","","","","CMLM+SUPER;MLM+SUPER","","","",0.2999,0.03835,"Chr01",67584134,67593222,9089,"+",-5738,-3350,"PF04783,PF04782","PTHR21450,PTHR21450:SF6","","","","","AT2G27090","","Protein of unknown function (DUF630 and DUF632)","LOC_Os03g20530",NA,"DUF630/DUF632 domains containing protein, putative, expressed"
"2563","NsiI.TP419909","Sobic.001G389300",1,67589872,3,"PS_Y","F116+36088im","GHW_1;HM_1","","","","","CMLM+SUPER;MLM+SUPER","","","",0.2999,0.03835,"Chr01",67599333,67603108,3776,"-",9461,-13236,"PF04783,PF04782","PTHR21450,PTHR21450:SF6","","","","","AT2G27090","","Protein of unknown function (DUF630 and DUF632)","LOC_Os03g20530",NA,"DUF630/DUF632 domains containing protein, putative, expressed"
"2566","NsiI.TP420372","Sobic.004G226000",4,57623143,1,"PS_Y","F116+36088im","","","GFW_1","","","MLM+SUPER","","","",0.4808,0.1262,"Chr04",57614267,57615212,946,"+",-8876,7931,"","PTHR33191,PTHR33191:SF6","","","","","","","","LOC_Os02g42450",NA,"RIPER1 - Ripening-related family protein precursor, expressed"
"2569","NsiI.TP420372","Sobic.004G226100",4,57623143,1,"PS_Y","F116+36088im","","","GFW_1","","","MLM+SUPER","","","",0.4808,0.1262,"Chr04",57617507,57618278,772,"+",-5636,4865,"","PTHR33191,PTHR33191:SF6","","","","","","","","LOC_Os02g42450",NA,"RIPER1 - Ripening-related family protein precursor, expressed"
"2572","NsiI.TP420372","Sobic.004G226200",4,57623143,1,"PS_Y","F116+36088im","","","GFW_1","","","MLM+SUPER","","","",0.4808,0.1262,"Chr04",57625228,57626626,1399,"-",2085,-3483,"","PTHR33191,PTHR33191:SF6","","","","","","","","LOC_Os02g42450",NA,"RIPER1 - Ripening-related family protein precursor, expressed"
"2575","NsiI.TP421896","Sobic.001G483500",1,75490287,7,"PS_Y","F116+36088im","GHW_1;HM_1","","GFW_1","GFW_50","","CMLM+SUPER;MLM+SUPER","","","",0.3902,1.087,"Chr01",75480007,75481092,1086,"+",-10280,9195,"PF04525","PTHR31087,PTHR31087:SF3","","","","","AT2G05910","","Protein of unknown function (DUF567)","LOC_Os03g08200",NA,"DUF567 domain containing protein, putative, expressed"
"2579","NsiI.TP421896","Sobic.001G483600",1,75490287,7,"PS_Y","F116+36088im","GHW_1;HM_1","","GFW_1","GFW_50","","CMLM+SUPER;MLM+SUPER","","","",0.3902,1.087,"Chr01",75482435,75487790,5356,"-",-7852,2497,"PF04525","PTHR31087,PTHR31087:SF3","","","","","AT2G05910","","Protein of unknown function (DUF567)","LOC_Os03g08200",NA,"DUF567 domain containing protein, putative, expressed"
"2595","NsiI.TP421896","Sobic.001G483700",1,75490287,7,"PS_Y","F116+36088im","GHW_1;HM_1","","GFW_1","GFW_50","","CMLM+SUPER;MLM+SUPER","","","",0.3902,1.087,"Chr01",75497636,75498417,782,"-",7349,-8130,"PF04525","PTHR31087,PTHR31087:SF3","","","","","AT2G05910","","Protein of unknown function (DUF567)","LOC_Os03g08200",NA,"DUF567 domain containing protein, putative, expressed"
"2583","NsiI.TP421896","Sobic.001G483800",1,75490287,7,"PS_Y","F116+36088im","GHW_1;HM_1","","GFW_1","GFW_50","","CMLM+SUPER;MLM+SUPER","","","",0.3902,1.087,"Chr01",75496871,75505832,8962,"-",6584,-15545,"PF04525","PTHR31087,PTHR31087:SF3","","","","","AT2G05910","","Protein of unknown function (DUF567)","LOC_Os03g08200",NA,"DUF567 domain containing protein, putative, expressed"
"2607","NsiI.TP422447","Sobic.001G491800",1,76155603,1,"PS_Y","F116+36088im","","","","","fprinGW","CMLM+SUPER","","","",0.1839,0.06677,"Chr01",76155149,76157243,2095,"+",-454,-1640,"PF09366","PTHR34133,PTHR34133:SF1","","","","","AT5G39530","","Protein of unknown function (DUF1997)","LOC_Os03g07200",NA,"expressed protein"
"2619","NsiI.TP422447","Sobic.001G491900",1,76155603,1,"PS_Y","F116+36088im","","","","","fprinGW","CMLM+SUPER","","","",0.1839,0.06677,"Chr01",76156637,76159527,2891,"-",1034,-3924,"PF09366","PTHR34133,PTHR34133:SF1","","","","","AT5G39530","","Protein of unknown function (DUF1997)","LOC_Os03g07200",NA,"expressed protein"
"2615","NsiI.TP422447","Sobic.001G492000",1,76155603,1,"PS_Y","F116+36088im","","","","","fprinGW","CMLM+SUPER","","","",0.1839,0.06677,"Chr01",76161220,76162658,1439,"+",5617,-7055,"PF09366","PTHR34133,PTHR34133:SF1","","","","","AT5G39530","","Protein of unknown function (DUF1997)","LOC_Os03g07200",NA,"expressed protein"
"2623","NsiI.TP422447","Sobic.001G492100",1,76155603,1,"PS_Y","F116+36088im","","","","","fprinGW","CMLM+SUPER","","","",0.1839,0.06677,"Chr01",76162659,76166773,4115,"-",7056,-11170,"PF09366","PTHR34133,PTHR34133:SF1","","","","","AT5G39530","","Protein of unknown function (DUF1997)","LOC_Os03g07200",NA,"expressed protein"
"2631","NsiI.TP422932","NA",11,13861,1,"PS_Y","F116+36088im","","","GFW_1","","","MLM+SUPER","","","",0.0661,1.119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2632","NsiI.TP423212","NA",11,13871,6,"PS_Y","F116+36088im","GHW_1","","GFW_1","FD_50","fprind","CMLM+SUPER;MLM+SUPER","","","",0.2874,1.205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2633","NsiI.TP423257","NA",6,8209105,14,"PS_Y","F116+36088im","GHW_1;HM_1","","GFW_1","FD_50;FW_50;GFW_50;FM_50","fprinW;fprind;fprinGW","CMLM+SUPER;MLM+SUPER","","","",0.3847,1.076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2634","NsiI.TP424508","NA",11,13910,22,"PS_Y","F116+36088im","HD_1;HW_1;GHW_1","GHW_50;HW_50","FD_1;FW_1;GFW_1","FD_50;FW_50;GFW_50;FM_50","fprinW;fprind;fprinGW","CMLM+SUPER;MLM+SUPER","","","",0.3987,2.275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2635","NsiI.TP425431","Sobic.001G256000",1,29611471,1,"PS_N","F116+36088im","","","FM_1","","","","","FASTmrMLM","",0.3836,0.4328,"Chr01",29610687,29611473,787,"-",-784,-2,"","","","","","","","","","LOC_Os02g17770",NA,"expressed protein"
"2642","NsiI.TP426185","Sobic.003G077700",3,6645847,1,"PS_N","F106+4185","","","FM_1","","","","FarmCPU","","",0.1604,6.073,"Chr03",6633412,6639676,6265,"-",-12435,6171,"PF13414,PF04969,PF05002","PTHR22904,PTHR22904:SF344","KOG1309","","K12795","","AT4G11260","ATSGT1B,EDM1,ETA3,RPR1,SGT1B","phosphatase-related","LOC_Os01g43540",NA,"suppressor of G2 allele of SKP1, putative, expressed"
"2636","NsiI.TP426185","Sobic.003G077800",3,6645847,1,"PS_N","F106+4185","","","FM_1","","","","FarmCPU","","",0.1604,6.073,"Chr03",6643506,6645842,2337,"+",-2341,5,"PF13414,PF04969,PF05002","PTHR22904,PTHR22904:SF344","KOG1309","","K12795","","AT4G11260","ATSGT1B,EDM1,ETA3,RPR1,SGT1B","phosphatase-related","LOC_Os01g43540",NA,"suppressor of G2 allele of SKP1, putative, expressed"
"2639","NsiI.TP426185","Sobic.003G077900",3,6645847,1,"PS_N","F106+4185","","","FM_1","","","","FarmCPU","","",0.1604,6.073,"Chr03",6651977,6658547,6571,"+",6130,-12700,"PF13414,PF04969,PF05002","PTHR22904,PTHR22904:SF344","KOG1309","","K12795","","AT4G11260","ATSGT1B,EDM1,ETA3,RPR1,SGT1B","phosphatase-related","LOC_Os01g43540",NA,"suppressor of G2 allele of SKP1, putative, expressed"
"2648","NsiI.TP426523","NA",11,13953,24,"PS_Y","F116+36088im","HW_1;GHW_1;HM_1","","FD_1;FW_1;GFW_1;FM_1","FD_50;FW_50;GFW_50;FM_50","fprinW;fprind;fprinGW","CMLM+SUPER;MLM+SUPER","","","",0.4423,1.868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2649","NsiI.TP426936","Sobic.003G289800",3,62236290,10,"PS_Y","F116+36088im","GHW_1;HM_1","","GFW_1;FM_1","FD_50;FM_50","fprinW;fprind","CMLM+SUPER;MLM+SUPER","","","",0.158,0.9402,"Chr03",62231642,62236073,4432,"+",-4648,217,"PF07714","PTHR27001,PTHR27001:SF66","KOG1187","2.7.11.1","","GO:0006468,GO:0004672","AT5G38560","","Protein kinase superfamily protein","LOC_Os01g53640",NA,"retrotransposon protein, putative, unclassified, expressed"
"2652","NsiI.TP426936","Sobic.003G289900",3,62236290,10,"PS_Y","F116+36088im","GHW_1;HM_1","","GFW_1;FM_1","FD_50;FM_50","fprinW;fprind","CMLM+SUPER;MLM+SUPER","","","",0.158,0.9402,"Chr03",62236973,62241095,4123,"+",683,-4805,"PF07714","PTHR27001,PTHR27001:SF66","KOG1187","2.7.11.1","","GO:0006468,GO:0004672","AT5G38560","","Protein kinase superfamily protein","LOC_Os01g53640",NA,"retrotransposon protein, putative, unclassified, expressed"
"2658","NsiI.TP426936","Sobic.003G290000",3,62236290,10,"PS_Y","F116+36088im","GHW_1;HM_1","","GFW_1;FM_1","FD_50;FM_50","fprinW;fprind","CMLM+SUPER;MLM+SUPER","","","",0.158,0.9402,"Chr03",62241321,62247901,6581,"-",5031,-11611,"PF07714","PTHR27001,PTHR27001:SF66","KOG1187","2.7.11.1","","GO:0006468,GO:0004672","AT5G38560","","Protein kinase superfamily protein","LOC_Os01g53640",NA,"retrotransposon protein, putative, unclassified, expressed"
"2664","NsiI.TP427131","NA",11,13977,17,"PS_Y","F116+36088im","HD_1;HW_1;GHW_1;HM_1","GHW_50","FD_1;FW_1;GFW_1","FD_50;FW_50;GFW_50","fprinW;fprind","CMLM+SUPER;MLM+SUPER","","","",0.4887,0.1862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2665","NsiI.TP428306","NA",11,13996,1,"PS_Y","F116+36088im","HM_1","","","","","MLM+SUPER","","","",0.177,1.161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2674","NsiI.TP428405","Sobic.002G040400",2,3912472,1,"PS_Y","F116+36088im","","","GFW_1","","","CMLM+SUPER","","","",0.3305,0.9304,"Chr02",3900660,3902719,2060,"-",-11812,9753,"","","","","","","","","","",NA,""
"2678","NsiI.TP428405","Sobic.002G040500",2,3912472,1,"PS_Y","F116+36088im","","","GFW_1","","","CMLM+SUPER","","","",0.3305,0.9304,"Chr02",3910722,3912341,1620,"-",-1750,131,"","","","","","","","","","",NA,""
"2666","NsiI.TP428405","Sobic.002G040550",2,3912472,1,"PS_Y","F116+36088im","","","GFW_1","","","CMLM+SUPER","","","",0.3305,0.9304,"Chr02",3912164,3913536,1373,"+",-308,-1064,"","","","","","","","","","",NA,""
"2682","NsiI.TP428405","Sobic.002G040600",2,3912472,1,"PS_Y","F116+36088im","","","GFW_1","","","CMLM+SUPER","","","",0.3305,0.9304,"Chr02",3916146,3918931,2786,"-",3674,-6459,"","","","","","","","","","",NA,""
"2686","NsiI.TP429188","Sobic.001G518900",1,78510261,7,"PS_Y","F116+36088im","HW_1;GHW_1;HM_1","","GFW_1","FW_50","","CMLM+SUPER;MLM+SUPER","","","",0.4051,0.459,"Chr01",78509335,78511043,1709,"+",-926,-782,"PF00010","PTHR16223,PTHR16223:SF49","","","","GO:0046983","AT2G34820","","basic helix-loop-helix (bHLH) DNA-binding superfamily protein","LOC_Os12g31430",NA,"helix-loop-helix DNA-binding domain containing protein, expressed"
"2688","NsiI.TP429188","Sobic.001G519000",1,78510261,7,"PS_Y","F116+36088im","HW_1;GHW_1;HM_1","","GFW_1","FW_50","","CMLM+SUPER;MLM+SUPER","","","",0.4051,0.459,"Chr01",78514541,78518577,4037,"+",4280,-8316,"PF00010","PTHR16223,PTHR16223:SF49","","","","GO:0046983","AT2G34820","","basic helix-loop-helix (bHLH) DNA-binding superfamily protein","LOC_Os12g31430",NA,"helix-loop-helix DNA-binding domain containing protein, expressed"
"2690","NsiI.TP431947","NA",11,14074,1,"PS_N","F96+4814","HM_1","","","","","","","","pLARmEB",0.0469,4.834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2691","NsiI.TP431965","Sobic.002G174200",2,55134748,1,"PS_Y","F116+36088im","","","FM_1","","","CMLM+SUPER","","","",0.4248,0.3724,"Chr02",55134836,55136822,1987,"+",88,-2074,"PF03106","PTHR32096,PTHR32096:SF20","","","","GO:0043565,GO:0006355,GO:0003700","AT2G46400","ATWRKY46,WRKY46","WRKY DNA-binding protein 46","LOC_Os09g16510",NA,"WRKY74, expressed"
"2692","NsiI.TP432383","NA",11,14083,2,"PS_Y","F116+36088im","GHW_1","","","","","CMLM+SUPER;MLM+SUPER","","","",0.1913,0.06423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2693","NsiI.TP43297","NA",11,9670,2,"PS_Y","F116+36088im","HM_1","","GFW_1","","","MLM+SUPER","","","",0.3561,1.431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2694","NsiI.TP433359","Sobic.010G073600",10,6012505,16,"PS_Y","F116+36088im","GHW_1;HM_1","","GFW_1","FD_50;FW_50;GFW_50;FM_50","fprinW;fprind;fprinGW","CMLM+SUPER;MLM+SUPER","","","",0.1116,0.09256,"Chr10",6016184,6023986,7803,"+",3679,-11481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2701","NsiI.TP433543","Sobic.009G074700",9,9611249,13,"PS_Y","F116+36088im","GHW_1;HM_1","","GFW_1","FD_50;FW_50;FM_50","fprinW;fprind;fprinGW","CMLM+SUPER;MLM+SUPER","","","",0.2106,1.12,"Chr09",9606674,9614536,7863,"-",-4575,-3287,"","","","","","","","","","",NA,""
"2695","NsiI.TP433543","Sobic.009G074800",9,9611249,13,"PS_Y","F116+36088im","GHW_1;HM_1","","GFW_1","FD_50;FW_50;FM_50","fprinW;fprind;fprinGW","CMLM+SUPER;MLM+SUPER","","","",0.2106,1.12,"Chr09",9608568,9609148,581,"+",-2681,2101,"","","","","","","","","","",NA,""
"2698","NsiI.TP433543","Sobic.009G074850",9,9611249,13,"PS_Y","F116+36088im","GHW_1;HM_1","","GFW_1","FD_50;FW_50;FM_50","fprinW;fprind;fprinGW","CMLM+SUPER;MLM+SUPER","","","",0.2106,1.12,"Chr09",9616540,9616776,237,"+",5291,-5527,"","","","","","","","","","",NA,""
"2704","NsiI.TP433644","NA",11,14118,14,"PS_Y","F116+36088im","HW_1;GHW_1;HM_1","","FD_1;GFW_1","FW_50;GFW_50;FM_50","fprinW;fprinGW","CMLM+SUPER;MLM+SUPER","","","",0.1159,0.07025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2705","NsiI.TP43469","Sobic.003G382400",3,69599897,2,"PS_Y","F116+36088im","","","GFW_1","","","CMLM+SUPER;MLM+SUPER","","","",0.1589,0.5048,"Chr03",69594183,69598653,4471,"+",-5714,1244,"PF03094","PTHR31942,PTHR31942:SF19","","","K08472","GO:0016021,GO:0006952","AT4G02600","ATMLO1,MLO1","Seven transmembrane MLO family protein","LOC_Os01g66510",NA,"MLO domain containing protein, putative, expressed"
"2711","NsiI.TP43469","Sobic.003G382500",3,69599897,2,"PS_Y","F116+36088im","","","GFW_1","","","CMLM+SUPER;MLM+SUPER","","","",0.1589,0.5048,"Chr03",69598917,69603224,4308,"-",-980,-3327,"PF03094","PTHR31942,PTHR31942:SF19","","","K08472","GO:0016021,GO:0006952","AT4G02600","ATMLO1,MLO1","Seven transmembrane MLO family protein","LOC_Os01g66510",NA,"MLO domain containing protein, putative, expressed"
"2708","NsiI.TP43469","Sobic.003G382600",3,69599897,2,"PS_Y","F116+36088im","","","GFW_1","","","CMLM+SUPER;MLM+SUPER","","","",0.1589,0.5048,"Chr03",69606054,69607262,1209,"+",6157,-7365,"PF03094","PTHR31942,PTHR31942:SF19","","","K08472","GO:0016021,GO:0006952","AT4G02600","ATMLO1,MLO1","Seven transmembrane MLO family protein","LOC_Os01g66510",NA,"MLO domain containing protein, putative, expressed"
"2717","NsiI.TP434835","NA",11,14151,4,"PS_Y","F116+36088im","HW_1","","FD_1;FW_1","FM_50","","","","FASTmrMLM","pLARmEB",0.2931,4.049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2718","NsiI.TP435268","NA",11,14153,8,"PS_Y","F116+36088im","HW_1;GHW_1","","FD_1;GFW_1","GFW_50","","CMLM+SUPER;MLM+SUPER","","","",0.1393,0.06991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2723","NsiI.TP435805","Sobic.003G313000",3,64133076,1,"PS_N","F96+4814","","","","GFW_50","","","FarmCPU","","",0.08854,17.03,"Chr03",64121852,64124022,2171,"-",-11224,9054,"PF00010","PTHR12565,PTHR12565:SF164","","","","GO:0046983","AT5G43650","BHLH92","basic helix-loop-helix (bHLH) DNA-binding superfamily protein","LOC_Os01g56690",NA,"helix-loop-helix DNA-binding domain containing protein, expressed"
"2719","NsiI.TP435805","Sobic.003G313100",3,64133076,1,"PS_N","F96+4814","","","","GFW_50","","","FarmCPU","","",0.08854,17.03,"Chr03",64127467,64130269,2803,"+",-5609,2807,"PF00010","PTHR12565,PTHR12565:SF164","","","","GO:0046983","AT5G43650","BHLH92","basic helix-loop-helix (bHLH) DNA-binding superfamily protein","LOC_Os01g56690",NA,"helix-loop-helix DNA-binding domain containing protein, expressed"
"2727","NsiI.TP435805","Sobic.003G313200",3,64133076,1,"PS_N","F96+4814","","","","GFW_50","","","FarmCPU","","",0.08854,17.03,"Chr03",64130215,64133042,2828,"-",-2861,34,"PF00010","PTHR12565,PTHR12565:SF164","","","","GO:0046983","AT5G43650","BHLH92","basic helix-loop-helix (bHLH) DNA-binding superfamily protein","LOC_Os01g56690",NA,"helix-loop-helix DNA-binding domain containing protein, expressed"
