SNP,Chromosome,Position,Grand Total,PS,Ind.SNP,Heading_1,Heading_50,Flowering_1,Flowering_50,PCA,SUPER,FarmCPU,mrMLM.1,mrMLM.2,MAF,PVE
NsiI.TP486716,11,721349,4,PS_Y(4),F116+36088im(4),HW_1(1);GHW_1(2),,GFW_1(1),,,CMLM+SUPER(1)MLM+SUPER(3),,,,0.4141,3.052
NsiI.TP486825,11,15006,2,PS_Y(2),F116+36088im(2),,,FM_1(2),,,CMLM+SUPER(1)MLM+SUPER(1),,,,0.1601,8.607
NsiI.TP488806,11,15037,1,PS_Y(1),F116+36088im(1),HM_1(1),,,,,MLM+SUPER(1),,,,0.07017,5.624
NsiI.TP489836,1,57849492,3,PS_Y(3),F116+36088im(3),GHW_1(2);HM_1(1),,,,,CMLM+SUPER(1)MLM+SUPER(2),,,,0.0622,1.645
NsiI.TP490522,11,15068,1,PS_Y(1),F116+36088im(1),HM_1(1),,,,,MLM+SUPER(1),,,,0.1881,0.2247
NsiI.TP490659,11,15071,1,PS_Y(1),F116+36088im(1),HM_1(1),,,,,MLM+SUPER(1),,,,0.2298,0.1028
NsiI.TP491324,11,15079,3,PS_Y(3),F116+36088im(3),GHW_1(2),,GFW_1(1),,,CMLM+SUPER(1)MLM+SUPER(2),,,,0.2383,6.959
NsiI.TP491655,2,61080220,26,PS_Y(26),F116+36088im(26),HD_1(2);HW_1(2);GHW_1(2),GHW_50(2);HW_50(1),FD_1(2);FW_1(2);GFW_1(2),FD_50(1);FW_50(2);GFW_50(2);FM_50(2),fprinW(2);fprind(1);fprinGW(1),CMLM+SUPER(13)MLM+SUPER(13),,,,0.1115,0.1742
NsiI.TP491839,11,15088,3,PS_N(3),F116+36088im(3),HD_1(1);HW_1(1),,FD_1(1),,,,,FASTmrMLM(2),pLARmEB(1),0.125,0.4044
NsiI.TP491951,11,15090,6,PS_Y(6),F116+36088im(6),GHW_1(2);HM_1(2),,GFW_1(1),FM_50(1),,CMLM+SUPER(2)MLM+SUPER(4),,,,0.3852,2.331
NsiI.TP492710,7,64546903,3,PS_Y(3),F116+36088im(3),HW_1(1);HM_1(1),,GFW_1(1),,,MLM+SUPER(3),,,,0.2219,1.641
NsiI.TP493151,3,3481929,10,PS_Y(10),F116+36088im(10),GHW_1(2);HM_1(1),,GFW_1(2),FW_50(1);FM_50(2),fprinW(2),CMLM+SUPER(5)MLM+SUPER(5),,,,0.1973,6.745
NsiI.TP493263,11,15110,1,PS_Y(1),F116+36088im(1),GHW_1(1),,,,,,,,pLARmEB(1),0.1767,7.015
NsiI.TP493622,11,15116,1,PS_Y(1),F116+36088im(1),HM_1(1),,,,,MLM+SUPER(1),,,,0.08244,2.074
NsiI.TP493682,7,59972191,3,PS_N(3),F116+36088im(3),,,,FW_50(1),fprinW(1);fprinGW(1),,,,pLARmEB(3),0.2414,2.122
NsiI.TP493726,4,58337940,3,PS_Y(3),F116+36088im(3),,,GFW_1(1),FM_50(2),,CMLM+SUPER(1)MLM+SUPER(2),,,,0.1089,1.351
NsiI.TP494603,2,61270017,12,PS_Y(12),F116+36088im(12),GHW_1(2);HM_1(1),,GFW_1(2),FW_50(2);FM_50(2),fprinW(2);fprinGW(1),CMLM+SUPER(6)MLM+SUPER(6),,,,0.2016,2.481
NsiI.TP494865,11,15153,1,PS_Y(1),F116+36088im(1),,,GFW_1(1),,,MLM+SUPER(1),,,,0.1353,0.448
NsiI.TP495572,11,15165,30,PS_N(2)PS_Y(28),F116+36088im(30),HD_1(2);HM_1(1),HD_50(2);GHW_50(2);HW_50(2);HM_50(2),FD_1(1);GFW_1(1);FM_1(1),FD_50(2);FW_50(2);GFW_50(1);FM_50(3),fprinW(2);fprind(2);fprinGW(2);fprinM(2),,,FASTmrMLM(6),ISIS EM-BLASSO(9);pLARmEB(15),0.2328,13.22
NsiI.TP496061,11,15171,2,PS_Y(2),F116+36088im(2),,,GFW_1(1),GFW_50(1),,CMLM+SUPER(1)MLM+SUPER(1),,,,0.1674,0.0975
NsiI.TP496502,11,15174,1,PS_Y(1),F116+36088im(1),,,GFW_1(1),,,MLM+SUPER(1),,,,0.148,0.3587
NsiI.TP496851,3,61267172,7,PS_N(3)PS_Y(4),F116+36088im(7),,HD_50(1),FW_1(1);GFW_1(1);FM_1(1),GFW_50(1),fprinW(1);fprinGW(1),,,FASTmrMLM(6),pLARmEB(1),0.1164,3.752
NsiI.TP496948,11,15185,4,PS_Y(4),F116+36088im(4),HW_1(1);GHW_1(2),,GFW_1(1),,,CMLM+SUPER(1)MLM+SUPER(3),,,,0.4919,6.801
NsiI.TP499102,11,15206,2,PS_Y(2),F116+36088im(2),GHW_1(2),,,,,CMLM+SUPER(1)MLM+SUPER(1),,,,0.0834,1.832
NsiI.TP499326,6,46287409,1,PS_Y(1),F116+36088im(1),,,GFW_1(1),,,MLM+SUPER(1),,,,0.1076,0.01796
NsiI.TP49937,11,9724,1,PS_N(1),F116+36088im(1),,,FM_1(1),,,,,FASTmrMLM(1),,0.1164,0.1379
NsiI.TP499934,1,76362422,10,PS_N(10),F96+4814(4);F116+3098(6),HD_1(1);HM_1(1),GHW_50(1);HW_50(1),FW_1(1);GFW_1(2),GFW_50(1);FM_50(1),fprinM(1),,,,ISIS EM-BLASSO(2);pLARmEB(8),0.2083,0
NsiI.TP499936,1,76362441,20,PS_Y(20),F116+36088im(20),HD_1(1);GHW_1(2);HM_1(1),GHW_50(1),FD_1(1);GFW_1(2),FD_50(1);FW_50(2);GFW_50(2);FM_50(2),fprinW(2);fprind(1);fprinGW(2),CMLM+SUPER(9)MLM+SUPER(11),,,,0.3493,7.194
NsiI.TP501821,5,53570195,1,PS_N(1),F116+3098(1),,GHW_50(1),,,,,,,pLARmEB(1),0.0517,1.96E-05
NsiI.TP502740,11,15271,3,PS_Y(3),F116+36088im(3),HM_1(1),,FM_1(2),,,CMLM+SUPER(1)MLM+SUPER(2),,,,0.2295,1.636
NsiI.TP503060,11,15281,1,PS_Y(1),F116+36088im(1),,,GFW_1(1),,,MLM+SUPER(1),,,,0.4957,2.544
NsiI.TP503326,11,15286,3,PS_Y(3),F116+36088im(3),GHW_1(2);HM_1(1),,,,,CMLM+SUPER(1)MLM+SUPER(2),,,,0.4747,6.122
NsiI.TP503807,11,15303,1,PS_Y(1),F116+36088im(1),HM_1(1),,,,,MLM+SUPER(1),,,,0.382,2.373
NsiI.TP508300,11,15380,3,PS_Y(3),F116+36088im(3),GHW_1(2);HM_1(1),,,,,CMLM+SUPER(1)MLM+SUPER(2),,,,0.2197,5.346
NsiI.TP508574,11,15387,1,PS_Y(1),F116+36088im(1),,,GFW_1(1),,,MLM+SUPER(1),,,,0.1637,0.9372
NsiI.TP509280,1,58994548,3,PS_Y(3),F116+36088im(3),HM_1(1),,,FD_50(1),fprind(1),MLM+SUPER(3),,,,0.3012,0.7528
NsiI.TP509742,9,47862370,7,PS_Y(7),F116+36088im(7),GHW_1(2);HM_1(1),,GFW_1(1);FM_1(1),FD_50(1),fprind(1),CMLM+SUPER(4)MLM+SUPER(3),,,,0.2038,2.7
NsiI.TP510047,11,15417,4,PS_Y(4),F116+36088im(4),GHW_1(2);HM_1(1),,GFW_1(1),,,CMLM+SUPER(1)MLM+SUPER(3),,,,0.2318,0.3894
NsiI.TP51047,2,13453548,6,PS_N(3)PS_Y(3),F116+36088im(6),GHW_1(3);HM_1(1),,FD_1(1);FW_1(1),,,CMLM+SUPER(1)MLM+SUPER(2),FarmCPU(3),,,0.3796,13.44
NsiI.TP510581,10,49892388,16,PS_Y(16),F116+36088im(16),HD_1(1);HW_1(2),,FD_1(2);GFW_1(1),FD_50(1);FW_50(2);GFW_50(2);FM_50(1),fprinW(2);fprind(1);fprinGW(1),CMLM+SUPER(8)MLM+SUPER(8),,,,0.1997,0.2316
NsiI.TP512263,11,15456,6,PS_Y(6),F116+36088im(6),HM_1(2),,GFW_1(2);FM_1(1),FM_50(1),,CMLM+SUPER(3)MLM+SUPER(3),,,,0.3538,0.8304
NsiI.TP51472,11,9740,3,PS_Y(3),F116+36088im(3),GHW_1(2);HM_1(1),,,,,CMLM+SUPER(1)MLM+SUPER(2),,,,0.05239,0.01635
NsiI.TP514724,2,58333562,3,PS_Y(3),F116+36088im(3),GHW_1(2);HM_1(1),,,,,CMLM+SUPER(1)MLM+SUPER(2),,,,0.173,6.17
NsiI.TP51476,6,53107093,1,PS_N(1),F116+36088im(1),,,FM_1(1),,,,,FASTmrMLM(1),,0.0129,0.0223
NsiI.TP516245,1,62087738,4,PS_Y(4),F116+36088im(4),GHW_1(2);HM_1(1),,GFW_1(1),,,CMLM+SUPER(1)MLM+SUPER(3),,,,0.2968,7.101
NsiI.TP520721,11,15540,1,PS_Y(1),F116+36088im(1),HM_1(1),,,,,MLM+SUPER(1),,,,0.3019,1.896
NsiI.TP520722,10,4380167,1,PS_N(1),F116+36088im(1),,,GFW_1(1),,,,FarmCPU(1),,,0.1716,2.732
NsiI.TP521139,2,27217250,1,PS_Y(1),F116+36088im(1),,,GFW_1(1),,,MLM+SUPER(1),,,,0.1416,0.9165
NsiI.TP521250,11,15557,2,PS_Y(2),F116+36088im(2),GHW_1(2),,,,,CMLM+SUPER(1)MLM+SUPER(1),,,,0.1086,0.603
NsiI.TP521277,1,77064058,4,PS_Y(4),F116+36088im(4),GHW_1(2);HM_1(1),,GFW_1(1),,,CMLM+SUPER(1)MLM+SUPER(3),,,,0.3286,0.4864
NsiI.TP522662,7,218157,1,PS_Y(1),F116+36088im(1),HM_1(1),,,,,MLM+SUPER(1),,,,0.2353,0.7425
NsiI.TP523957,10,43623816,4,PS_Y(4),F116+36088im(4),GHW_1(2);HM_1(2),,,,,CMLM+SUPER(2)MLM+SUPER(2),,,,0.06069,2.92
NsiI.TP524956,11,15612,2,PS_Y(2),F116+36088im(2),,HW_50(1),GFW_1(1),,,,,,ISIS EM-BLASSO(2),0.2974,5.162
NsiI.TP5257,11,9189,1,PS_N(1),F116+36088im(1),HW_1(1),,,,,,FarmCPU(1),,,0.1571,0.4266
NsiI.TP525885,11,15624,1,PS_Y(1),F116+36088im(1),,,GFW_1(1),,,CMLM+SUPER(1),,,,0.2294,0.3211
NsiI.TP527269,4,59397197,2,PS_Y(2),F116+36088im(2),GHW_1(2),,,,,CMLM+SUPER(1)MLM+SUPER(1),,,,0.3143,2.526
NsiI.TP527772,1,10124905,4,PS_Y(4),F116+36088im(4),GHW_1(2);HM_1(1),,GFW_1(1),,,CMLM+SUPER(1)MLM+SUPER(3),,,,0.2069,1.3
NsiI.TP528762,1,76435180,24,PS_Y(24),F116+36088im(24),HD_1(1);HW_1(2);HM_1(1),GHW_50(2);HW_50(1),FD_1(2);FW_1(2);GFW_1(2),FD_50(1);FW_50(2);GFW_50(2);FM_50(2),fprinW(2);fprind(1);fprinGW(1),CMLM+SUPER(11)MLM+SUPER(13),,,,0.1189,0.02382
NsiI.TP529124,3,63127607,2,PS_N(2),F106+4185(2),GHW_1(1),,GFW_1(1),,,,,mrMLM(1),pLARmEB(1),0.1442,2.748
NsiI.TP529321,11,15679,2,PS_Y(2),F116+36088im(2),GHW_1(2),,,,,CMLM+SUPER(1)MLM+SUPER(1),,,,0.3027,1.484
NsiI.TP530730,6,51917233,1,PS_Y(1),F116+36088im(1),HM_1(1),,,,,MLM+SUPER(1),,,,0.2088,0.3642
NsiI.TP530892,11,15695,1,PS_Y(1),F116+36088im(1),,,GFW_1(1),,,MLM+SUPER(1),,,,0.4209,6.395
NsiI.TP541233,4,61063682,5,PS_Y(5),F116+36088im(5),,GHW_50(1),,FD_50(1);FM_50(1),fprind(1);fprinGW(1),CMLM+SUPER(3)MLM+SUPER(2),,,,0.1841,0.6295
NsiI.TP541527,11,15811,3,PS_Y(3),F116+36088im(3),GHW_1(2);HM_1(1),,,,,CMLM+SUPER(1)MLM+SUPER(2),,,,0.151,4.983
NsiI.TP543408,2,72052989,2,PS_Y(2),F116+36088im(2),GHW_1(2),,,,,CMLM+SUPER(1)MLM+SUPER(1),,,,0.1416,0.3674
NsiI.TP544201,1,72059833,1,PS_Y(1),F116+36088im(1),HM_1(1),,,,,MLM+SUPER(1),,,,0.3627,8.146
NsiI.TP546061,11,15861,1,PS_Y(1),F116+36088im(1),,,GFW_1(1),,,MLM+SUPER(1),,,,0.4815,0.78
NsiI.TP546538,7,58603015,1,PS_Y(1),F116+36088im(1),HM_1(1),,,,,MLM+SUPER(1),,,,0.4065,0.4233
NsiI.TP549898,1,62918080,6,PS_Y(6),F116+36088im(6),HW_1(1);GHW_1(2);HM_1(2),,GFW_1(1),,,CMLM+SUPER(2)MLM+SUPER(4),,,,0.2433,1.585
NsiI.TP550070,7,64164608,5,PS_N(5),F116+36088im(5),,,,FD_50(1);FW_50(1),fprinW(1);fprind(1);fprinGW(1),,FarmCPU(5),,,0.2471,2.383
NsiI.TP550663,11,15926,2,PS_Y(2),F116+36088im(2),GHW_1(2),,,,,CMLM+SUPER(1)MLM+SUPER(1),,,,0.326,3.694
NsiI.TP551839,11,15945,6,PS_N(4)PS_Y(2),F96+4814(2);F106+4185(2);F116+3098(2),HD_1(2);HW_1(2),,FD_1(2),,,CMLM+SUPER(1)MLM+SUPER(1),FarmCPU(4),,,0.3333,5.575
NsiI.TP553662,11,15975,1,PS_Y(1),F116+36088im(1),,GHW_50(1),,,,CMLM+SUPER(1),,,,0.1756,7.211
NsiI.TP554788,1,5933733,4,PS_Y(4),F116+36088im(4),,,GFW_1(1),FD_50(1),fprinW(1);fprind(1),MLM+SUPER(4),,,,0.4852,3.751
NsiI.TP555055,11,15992,6,PS_Y(6),F116+36088im(6),HW_1(1);GHW_1(2),,GFW_1(2),FW_50(1),,CMLM+SUPER(2)MLM+SUPER(4),,,,0.1192,0.4352
NsiI.TP555065,11,15993,1,PS_Y(1),F116+36088im(1),HM_1(1),,,,,MLM+SUPER(1),,,,0.1223,0.05176
NsiI.TP555365,11,15997,3,PS_Y(3),F116+36088im(3),GHW_1(2);HM_1(1),,,,,CMLM+SUPER(1)MLM+SUPER(2),,,,0.1132,0.08582
NsiI.TP555631,11,16003,3,PS_Y(3),F116+36088im(3),GHW_1(2);HM_1(1),,,,,CMLM+SUPER(1)MLM+SUPER(2),,,,0.06511,0.05754
NsiI.TP556047,11,16013,1,PS_Y(1),F116+36088im(1),,,GFW_1(1),,,CMLM+SUPER(1),,,,0.2418,12.13
NsiI.TP557688,9,50179164,3,PS_Y(3),F116+36088im(3),GHW_1(2);HM_1(1),,,,,CMLM+SUPER(1)MLM+SUPER(2),,,,0.4251,0.1937
NsiI.TP557918,11,16040,1,PS_Y(1),F116+36088im(1),HM_1(1),,,,,MLM+SUPER(1),,,,0.07288,1.057
NsiI.TP560012,11,16067,34,PS_N(8)PS_Y(26),F116+36088im(1);F96+4814(5);F106+4185(22);F116+3098(6),HM_1(1),HD_50(2);GHW_50(3);HW_50(2);HM_50(2),FW_1(2);FM_1(3),FD_50(4);FW_50(2);GFW_50(2);FM_50(4),fprinW(2);fprind(2);fprinGW(2);fprinM(1),MLM+SUPER(1),FarmCPU(1),FASTmrMLM(10),ISIS EM-BLASSO(17);pLARmEB(5),0.2972,21.7
NsiI.TP560751,11,16075,3,PS_Y(3),F116+36088im(3),GHW_1(2);HM_1(1),,,,,CMLM+SUPER(1)MLM+SUPER(2),,,,0.06787,0.06059
NsiI.TP561393,9,54150213,3,PS_Y(3),F116+36088im(3),GHW_1(2);HM_1(1),,,,,CMLM+SUPER(1)MLM+SUPER(2),,,,0.1304,3.509
NsiI.TP561542,5,2897010,1,PS_Y(1),F116+36088im(1),HM_1(1),,,,,MLM+SUPER(1),,,,0.1122,2.158
NsiI.TP56325,11,9785,9,PS_Y(9),F116+36088im(9),GHW_1(2);HM_1(1),,GFW_1(2),FW_50(1);GFW_50(2),fprinW(1),CMLM+SUPER(3)MLM+SUPER(6),,,,0.4167,1.377
NsiI.TP563567,2,72884008,2,PS_Y(2),F116+36088im(2),HM_1(1),,GFW_1(1),,,MLM+SUPER(2),,,,0.3498,0.2189
NsiI.TP564528,1,4080985,1,PS_N(1),F116+36088im(1),,,FM_1(1),,,,,FASTmrMLM(1),,0.0129,0
NsiI.TP565488,11,16129,6,PS_Y(6),F116+36088im(6),,,,FW_50(2);GFW_50(2),fprinW(1);fprinGW(1),CMLM+SUPER(4)MLM+SUPER(2),,,,0.3898,5.071
NsiI.TP566474,4,51081160,2,PS_Y(2),F116+36088im(2),GHW_1(2),,,,,CMLM+SUPER(1)MLM+SUPER(1),,,,0.2465,0.02952
NsiI.TP568,11,9143,1,PS_Y(1),F116+36088im(1),,,GFW_1(1),,,MLM+SUPER(1),,,,0.1145,1.127
NsiI.TP570076,11,16174,1,PS_Y(1),F116+36088im(1),HM_1(1),,,,,MLM+SUPER(1),,,,0.08139,0.8859
NsiI.TP570786,11,16186,2,PS_Y(2),F116+36088im(2),,,,FD_50(1),fprind(1),MLM+SUPER(2),,,,0.1523,1.189
NsiI.TP571420,11,16192,4,PS_Y(4),F116+36088im(4),GHW_1(2);HM_1(1),,GFW_1(1),,,CMLM+SUPER(1)MLM+SUPER(3),,,,0.1429,0.1228
NsiI.TP571744,2,2865326,16,PS_N(1)PS_Y(15),F116+36088im(16),GHW_1(2);HM_1(2),HM_50(1),GFW_1(2),FD_50(1);FW_50(2);GFW_50(2),fprinW(2);fprind(1);fprinGW(1),CMLM+SUPER(7)MLM+SUPER(8),FarmCPU(1),,,0.4019,1.11
NsiI.TP57283,6,49505312,9,PS_N(4)PS_Y(5),F96+4814(3);F106+4185(5);F116+3098(1),,HM_50(2),FW_1(1),FW_50(1);GFW_50(3),fprinW(2),CMLM+SUPER(1)MLM+SUPER(1),FarmCPU(2),FASTmrEMMA(2),ISIS EM-BLASSO(2);pLARmEB(1),0.1321,10.56
NsiI.TP575345,11,16257,4,PS_Y(4),F116+36088im(4),,,,FD_50(1);FW_50(1),fprinW(1);fprind(1),CMLM+SUPER(2)MLM+SUPER(2),,,,0.1185,1.368
NsiI.TP575555,2,2228424,5,PS_Y(5),F116+36088im(5),GHW_1(2);HM_1(1),,GFW_1(1),FM_50(1),,CMLM+SUPER(1)MLM+SUPER(4),,,,0.06237,3.016
NsiI.TP576208,1,19994793,5,PS_Y(5),F116+36088im(5),,GHW_50(1),,FD_50(1);FM_50(1),fprind(1);fprinGW(1),CMLM+SUPER(3)MLM+SUPER(2),,,,0.1737,8.89
NsiI.TP579169,7,40226521,2,PS_N(2),F106+4185(2),,,FW_1(1);GFW_1(1),,,,,FASTmrEMMA(1),pLARmEB(1),0.0377,6.22
NsiI.TP579718,3,64789626,1,PS_N(1),F116+36088im(1),HW_1(1),,,,,,FarmCPU(1),,,0.4706,0.05418
NsiI.TP579729,11,16329,1,PS_Y(1),F116+36088im(1),HM_1(1),,,,,MLM+SUPER(1),,,,0.4621,0.4819
NsiI.TP579782,3,63115213,5,PS_Y(5),F116+36088im(5),GHW_1(2);HM_1(1),GHW_50(2),,,,CMLM+SUPER(2)MLM+SUPER(3),,,,0.3677,0.02999
NsiI.TP580268,6,4463658,6,PS_Y(6),F116+36088im(6),GHW_1(2);HM_1(1),,GFW_1(1);FM_1(2),,,CMLM+SUPER(2)MLM+SUPER(4),,,,0.2174,1.806
NsiI.TP585806,11,16391,1,PS_Y(1),F116+36088im(1),,GHW_50(1),,,,CMLM+SUPER(1),,,,0.1627,14.39
NsiI.TP586741,11,16408,3,PS_Y(3),F116+36088im(3),HM_1(1),,GFW_1(2),,,CMLM+SUPER(1)MLM+SUPER(2),,,,0.2979,3.694
NsiI.TP586798,11,16409,12,PS_Y(12),F116+36088im(12),HW_1(1);GHW_1(2);HM_1(1),,GFW_1(2),FD_50(2);FW_50(1);GFW_50(1),fprinW(1);fprind(1),CMLM+SUPER(3)MLM+SUPER(9),,,,0.4133,9.597
NsiI.TP588093,11,16429,1,PS_Y(1),F116+36088im(1),,,FM_1(1),,,CMLM+SUPER(1),,,,0.1099,1.103
NsiI.TP588890,4,9914641,2,PS_N(1)PS_Y(1),F116+36088im(2),,,FM_1(2),,,CMLM+SUPER(1),,FASTmrMLM(1),,0.375,8.593
NsiI.TP590314,7,61269970,2,PS_Y(2),F116+36088im(2),GHW_1(2),,,,,CMLM+SUPER(1)MLM+SUPER(1),,,,0.2421,0.8274
NsiI.TP59062,3,67575213,7,PS_Y(7),F116+36088im(7),HW_1(1);GHW_1(2);HM_1(1),,GFW_1(2),FW_50(1),,CMLM+SUPER(2)MLM+SUPER(5),,,,0.4151,1.403
NsiI.TP591161,1,512907,3,PS_Y(3),F116+36088im(3),HM_1(1),,GFW_1(1),GFW_50(1),,CMLM+SUPER(1)MLM+SUPER(2),,,,0.4361,0.4932
NsiI.TP591705,11,16477,7,PS_Y(7),F116+36088im(7),HW_1(1);GHW_1(2),,GFW_1(2),FW_50(1),fprinW(1),CMLM+SUPER(2)MLM+SUPER(5),,,,0.3498,0.6916
NsiI.TP592449,1,78263344,1,PS_Y(1),F116+36088im(1),,,GFW_1(1),,,MLM+SUPER(1),,,,0.4029,1.159
NsiI.TP592655,6,50333660,3,PS_Y(3),F116+36088im(3),GHW_1(2);HM_1(1),,,,,CMLM+SUPER(1)MLM+SUPER(2),,,,0.05046,6.275
NsiI.TP593462,8,57647375,1,PS_Y(1),F116+36088im(1),HM_1(1),,,,,MLM+SUPER(1),,,,0.1057,0.07098
NsiI.TP593666,2,56047090,1,PS_Y(1),F116+36088im(1),,,,,fprinGW(1),,,,ISIS EM-BLASSO(1),0.2543,4.269
NsiI.TP593990,11,16509,12,PS_Y(12),F116+36088im(12),HM_1(1),,FD_1(1);GFW_1(2);FM_1(1),FD_50(1);FW_50(1);GFW_50(2);FM_50(1),fprinW(1);fprind(1),CMLM+SUPER(3)MLM+SUPER(9),,,,0.09867,0.05428
NsiI.TP594174,2,1893390,1,PS_Y(1),F116+36088im(1),,,GFW_1(1),,,MLM+SUPER(1),,,,0.4212,0.4158
NsiI.TP59425,6,55557420,3,PS_Y(3),F116+36088im(3),GHW_1(2);HM_1(1),,,,,CMLM+SUPER(1)MLM+SUPER(2),,,,0.1845,10.74
NsiI.TP594320,11,16513,2,PS_Y(2),F116+36088im(2),HM_1(1),,GFW_1(1),,,MLM+SUPER(2),,,,0.1587,0.004851
NsiI.TP594691,9,37217461,6,PS_Y(6),F116+36088im(6),GHW_1(2);HM_1(1),,GFW_1(1),FD_50(1),fprind(1),CMLM+SUPER(3)MLM+SUPER(3),,,,0.3772,2.969
NsiI.TP594902,1,17688614,1,PS_Y(1),F116+36088im(1),,,GFW_1(1),,,MLM+SUPER(1),,,,0.4693,4.738
NsiI.TP59527,11,9833,4,PS_N(3)PS_Y(1),F116+36088im(4),HD_1(1),,FD_1(1),FD_50(1);FM_50(1),,,,FASTmrMLM(2),ISIS EM-BLASSO(2),0.1595,15.83
NsiI.TP595384,11,16529,4,PS_Y(4),F116+36088im(4),GHW_1(2);HM_1(1),,GFW_1(1),,,CMLM+SUPER(1)MLM+SUPER(3),,,,0.382,0.2136
NsiI.TP597273,4,54884967,1,PS_Y(1),F116+36088im(1),,,GFW_1(1),,,MLM+SUPER(1),,,,0.4374,0.545
NsiI.TP602190,2,69281568,3,PS_N(3),F116+36088im(3),,HD_50(1);GHW_50(1),,GFW_50(1),,,FarmCPU(3),,,0.4684,20.62
NsiI.TP604461,11,16608,15,PS_Y(15),F116+36088im(15),HD_1(1);HW_1(1),GHW_50(1),FD_1(2),FD_50(1);FW_50(2);GFW_50(2);FM_50(1),fprinW(2);fprind(1);fprinGW(1),CMLM+SUPER(8)MLM+SUPER(7),,,,0.1537,2.194
NsiI.TP604677,11,16610,1,PS_Y(1),F116+36088im(1),,,FM_1(1),,,CMLM+SUPER(1),,,,0.4624,0.09427
NsiI.TP607068,8,1666575,6,PS_N(6),F116+36088im(6),,GHW_50(1),,FD_50(1);FW_50(1),fprinW(1);fprind(1);fprinM(1),,,mrMLM(6),,0.1754,13.68
NsiI.TP607427,1,72380263,11,PS_Y(11),F116+36088im(11),GHW_1(2);HM_1(1),,GFW_1(2),FD_50(1);FW_50(1);GFW_50(2),fprinW(1);fprind(1),CMLM+SUPER(3)MLM+SUPER(8),,,,0.3038,0.3856
NsiI.TP60744,2,66109409,1,PS_Y(1),F116+36088im(1),,,GFW_1(1),,,MLM+SUPER(1),,,,0.3333,0.5023
NsiI.TP608930,4,55551213,18,PS_Y(18),F116+36088im(18),GHW_1(2);HM_1(1),GHW_50(2),GFW_1(2),FD_50(1);FW_50(2);GFW_50(2);FM_50(1),fprinW(2);fprind(1);fprinGW(2),CMLM+SUPER(8)MLM+SUPER(10),,,,0.3543,0.05041
NsiI.TP609527,11,16653,4,PS_Y(4),F116+36088im(4),GHW_1(2);HM_1(1),,GFW_1(1),,,CMLM+SUPER(1)MLM+SUPER(3),,,,0.09808,0.8735
NsiI.TP609535,5,59379806,1,PS_Y(1),F116+36088im(1),HM_1(1),,,,,MLM+SUPER(1),,,,0.1951,1.684
NsiI.TP609571,11,16656,4,PS_Y(4),F116+36088im(4),GHW_1(2);HM_1(2),,,,,CMLM+SUPER(2)MLM+SUPER(2),,,,0.4697,4.038
NsiI.TP609767,3,4968186,2,PS_Y(2),F116+36088im(2),GHW_1(2),,,,,CMLM+SUPER(1)MLM+SUPER(1),,,,0.4357,1.847
NsiI.TP610850,11,16672,4,PS_Y(4),F116+36088im(4),GHW_1(2);HM_1(1),,FM_1(1),,,CMLM+SUPER(2)MLM+SUPER(2),,,,0.0642,0.4151
NsiI.TP611508,5,67361698,5,PS_Y(5),F116+36088im(5),GHW_1(2);HM_1(1),,GFW_1(2),,,CMLM+SUPER(2)MLM+SUPER(3),,,,0.183,0.03083
NsiI.TP613708,11,16706,4,PS_Y(4),F116+36088im(4),GHW_1(2);HM_1(1),,GFW_1(1),,,CMLM+SUPER(1)MLM+SUPER(3),,,,0.1778,0.1633
NsiI.TP614958,6,45639721,5,PS_N(1)PS_Y(4),F116+36088im(5),,HD_50(1);GHW_50(1),,,fprinW(1);fprinGW(1);fprinM(1),,,mrMLM(1);FASTmrMLM(4),,0.0921,3.305
NsiI.TP615699,1,24833300,6,PS_Y(6),F116+36088im(6),,,,FD_50(1);FW_50(1);FM_50(1),fprinW(2);fprind(1),CMLM+SUPER(3)MLM+SUPER(3),,,,0.2054,4.603
NsiI.TP615883,6,56093448,17,PS_Y(17),F116+36088im(17),HD_1(2);HW_1(1),,FD_1(2);FW_1(1);GFW_1(2),FD_50(1);FW_50(2);GFW_50(2),fprinW(2);fprind(1);fprinGW(1),CMLM+SUPER(7)MLM+SUPER(10),,,,0.1821,0.2421
NsiI.TP616011,1,21042200,1,PS_Y(1),F116+36088im(1),HM_1(1),,,,,MLM+SUPER(1),,,,0.1189,0.6167
NsiI.TP616137,6,57075072,1,PS_Y(1),F116+36088im(1),HM_1(1),,,,,MLM+SUPER(1),,,,0.1151,0.3054
NsiI.TP616371,3,71876871,2,PS_Y(2),F116+36088im(2),,,,FM_50(2),,CMLM+SUPER(1)MLM+SUPER(1),,,,0.1449,1.483
NsiI.TP616438,7,220037,2,PS_Y(2),F116+36088im(2),GHW_1(2),,,,,CMLM+SUPER(1)MLM+SUPER(1),,,,0.2662,4.482
NsiI.TP616446,9,56031936,12,PS_N(12),F116+36088im(4);F96+4814(6);F106+4185(2),HD_1(2);HW_1(1),HD_50(1);GHW_50(1);HW_50(1),,GFW_50(1),fprind(2);fprinGW(1);fprinM(2),,,mrMLM(1);FASTmrMLM(2),ISIS EM-BLASSO(3);pLARmEB(6),0.4649,14.53
NsiI.TP617618,1,59751346,1,PS_Y(1),F116+36088im(1),HM_1(1),,,,,MLM+SUPER(1),,,,0.09327,0.3576
