"","SNP","Chromosome","Position","P.value","MAF","Ind.SNP","PS","Software","Method","Trait.name","PVE","maf","P.value.1","MAF.1"
"2380","PstI.TP210905",2,72650615,4.15719120675218e-05,0.181,"F116+36088im","PS_N","mrMLMM","FASTmrMLM","HD_50",4.7145,NA,4e-05,0.181
"2381","PstI.TP312198",3,8384639,2.31206479017559e-08,0.1897,"F116+36088im","PS_N","mrMLMM","FASTmrMLM","HD_50",14.976,NA,2e-08,0.1897
"2382","PstI.TP661215",3,54129611,3.75750874490488e-05,0.2198,"F116+36088im","PS_N","mrMLMM","FASTmrMLM","HD_50",0.2843,NA,4e-05,0.2198
"2383","PstI.TP622176",3,65129470,1.64475039739146e-05,0.3707,"F116+36088im","PS_N","mrMLMM","FASTmrMLM","HD_50",6.8669,NA,2e-05,0.3707
"2384","NsiI.TP821811",4,48427329,1.85054648979471e-08,0.1336,"F116+36088im","PS_N","mrMLMM","FASTmrMLM","HD_50",13.6063,NA,2e-08,0.1336
"2385","NsiI.TP324593",4,54954569,4.31817262623727e-08,0.0776,"F116+36088im","PS_N","mrMLMM","FASTmrMLM","HD_50",5.1956,NA,4e-08,0.0776
"2386","PstI.TP133136",5,65324990,5.75837574486839e-05,0.194,"F116+36088im","PS_N","mrMLMM","FASTmrMLM","HD_50",2.0725,NA,6e-05,0.194
"2387","PstI.TP125419",10,50424324,3.83001081226448e-05,0.2241,"F116+36088im","PS_N","mrMLMM","FASTmrMLM","HD_50",1.2404,NA,4e-05,0.2241
"2388","PstI.TP1020545",11,7078,5.37155466748664e-05,0.3405,"F116+36088im","PS_N","mrMLMM","FASTmrMLM","HD_50",1.9757,NA,5e-05,0.3405
"2389","PstI.TP1295242",1,70821690,4.65371732565491e-08,0.0991,"F116+36088im","PS_N","mrMLMM","pLARmEB","HD_50",1.8605,NA,5e-08,0.0991
"2390","NsiI.TP324593",4,54954569,0.000115584606815622,0.0776,"F116+36088im","PS_N","mrMLMM","pLARmEB","HD_50",2.4917,NA,1e-04,0.0776
"2391","PstI.TP133136",5,65324990,1.51635190078729e-08,0.194,"F116+36088im","PS_N","mrMLMM","pLARmEB","HD_50",5.1524,NA,2e-08,0.194
"2392","PstI.TP1052140",6,19137861,1.50799534180179e-05,0.1034,"F116+36088im","PS_N","mrMLMM","pLARmEB","HD_50",3.044,NA,2e-05,0.1034
"2393","PstI.TP187918",11,1532,1.8638029723462e-06,0.25,"F116+36088im","PS_N","mrMLMM","pLARmEB","HD_50",7.0389,NA,2e-06,0.25
"2394","PstI.TP497572",11,3771,7.24269171733694e-07,0.3103,"F116+36088im","PS_N","mrMLMM","pLARmEB","HD_50",4.5893,NA,7e-07,0.3103
"2395","NsiI.TP705689",11,17810,2.42884611514222e-06,0.1034,"F116+36088im","PS_N","mrMLMM","pLARmEB","HD_50",3.6004,NA,2e-06,0.1034
"2396","NsiI.TP767179",11,18585,1.1091748152624e-05,0.2328,"F116+36088im","PS_N","mrMLMM","pLARmEB","HD_50",9.6241,NA,1e-05,0.2328
"2397","NsiI.TP30868",1,51136397,2.64240875732194e-07,0.1009,"F116+36088im","PS_N","mrMLMM","mrMLM","FD_50",4.2394,NA,3e-07,0.1009
"2398","PstI.TP622176",3,65129470,5.64676871616537e-08,0.3772,"F116+36088im","PS_N","mrMLMM","mrMLM","FD_50",9.155,NA,6e-08,0.3772
"2399","PstI.TP935651",4,66370793,2.04220812633464e-09,0.2018,"F116+36088im","PS_N","mrMLMM","mrMLM","FD_50",22.0948,NA,2e-09,0.2018
"2400","NsiI.TP821811",4,48427329,8.97015608414814e-12,0.136,"F116+36088im","PS_N","mrMLMM","mrMLM","FD_50",20.4722,NA,9e-12,0.136
"2401","NsiI.TP825923",6,52448208,2.80414198545369e-05,0.1842,"F116+36088im","PS_N","mrMLMM","mrMLM","FD_50",8.8579,NA,3e-05,0.1842
"2402","NsiI.TP607068",8,1666575,1.28676725302967e-07,0.1754,"F116+36088im","PS_N","mrMLMM","mrMLM","FD_50",9.5352,NA,1e-07,0.1754
"2403","NsiI.TP383484",9,6111601,3.75923954012917e-05,0.1842,"F116+36088im","PS_N","mrMLMM","mrMLM","FD_50",3.3303,NA,4e-05,0.1842
"2404","PstI.TP125419",10,50424324,2.62301032430877e-06,0.2281,"F116+36088im","PS_N","mrMLMM","mrMLM","FD_50",3.4187,NA,3e-06,0.2281
"2405","NsiI.TP821811",4,48427329,5.51442202381744e-09,0.1336,"F116+36088im","PS_N","mrMLMM","FASTmrMLM","FD_50",18.2963,NA,6e-09,0.1336
"2406","NsiI.TP324593",4,54954569,5.40007759066593e-08,0.0776,"F116+36088im","PS_N","mrMLMM","FASTmrMLM","FD_50",6.1651,NA,5e-08,0.0776
"2407","PstI.TP133136",5,65324990,9.71180603383293e-06,0.194,"F116+36088im","PS_N","mrMLMM","FASTmrMLM","FD_50",2.6857,NA,1e-05,0.194
"2408","NsiI.TP825923",6,52448208,0.000176685129845388,0.1897,"F116+36088im","PS_N","mrMLMM","FASTmrMLM","FD_50",5.6748,NA,2e-04,0.1897
"2409","NsiI.TP383484",9,6111601,3.24414307904885e-07,0.1983,"F116+36088im","PS_N","mrMLMM","FASTmrMLM","FD_50",4.2791,NA,3e-07,0.1983
"2410","PstI.TP607810",11,4293,1.29538838897489e-05,0.1422,"F116+36088im","PS_N","mrMLMM","FASTmrMLM","FD_50",7.0276,NA,1e-05,0.1422
"2411","PstI.TP874146",11,6098,4.53732616937941e-06,0.056,"F116+36088im","PS_N","mrMLMM","FASTmrMLM","FD_50",13.5124,NA,5e-06,0.056
"2412","PstI.TP1020545",11,7078,0.000116815372986132,0.3405,"F116+36088im","PS_N","mrMLMM","FASTmrMLM","FD_50",2.7247,NA,1e-04,0.3405
"2413","PstI.TP929267",1,63290479,9.03233423567246e-06,0.1552,"F116+36088im","PS_N","mrMLMM","pLARmEB","FD_50",2.4358,NA,9e-06,0.1552
"2414","PstI.TP513949",3,61369495,1.63606291310142e-05,0.3448,"F116+36088im","PS_N","mrMLMM","pLARmEB","FD_50",4.93,NA,2e-05,0.3448
"2415","NsiI.TP821811",4,48427329,1.44111951752011e-07,0.1336,"F116+36088im","PS_N","mrMLMM","pLARmEB","FD_50",9.7328,NA,1e-07,0.1336
"2416","PstI.TP133136",5,65324990,0.00015951443869276,0.194,"F116+36088im","PS_N","mrMLMM","pLARmEB","FD_50",2.5747,NA,2e-04,0.194
"2417","PstI.TP1052140",6,19137861,3.66690788203697e-09,0.1034,"F116+36088im","PS_N","mrMLMM","pLARmEB","FD_50",5.4149,NA,4e-09,0.1034
"2418","NsiI.TP646295",11,17132,5.43000213065738e-05,0.4267,"F116+36088im","PS_N","mrMLMM","pLARmEB","FD_50",3.5311,NA,5e-05,0.4267
"2419","NsiI.TP30868",1,51136397,1.47672626739858e-05,0.0991,"F116+36088im","PS_N","mrMLMM","ISIS EM-BLASSO","FD_50",2.95,NA,1e-05,0.0991
"2420","PstI.TP622176",3,65129470,5.98687237248059e-08,0.3707,"F116+36088im","PS_N","mrMLMM","ISIS EM-BLASSO","FD_50",11.1565,NA,6e-08,0.3707
"2421","NsiI.TP245163",5,55180573,2.0459734796793e-07,0.2241,"F116+36088im","PS_N","mrMLMM","ISIS EM-BLASSO","FD_50",12.469,NA,2e-07,0.2241
"2422","PstI.TP1052140",6,19137861,2.86549727636424e-06,0.1034,"F116+36088im","PS_N","mrMLMM","ISIS EM-BLASSO","FD_50",4.3085,NA,3e-06,0.1034
"2423","NsiI.TP59527",11,9833,2.29720630715835e-06,0.1595,"F116+36088im","PS_N","mrMLMM","ISIS EM-BLASSO","FD_50",13.4406,NA,2e-06,0.1595
"2424","NsiI.TP30868",1,51136397,7.32993291651776e-45,0.0991,"F116+36088im","PS_N","mrMLMM","FASTmrMLM","HW_1",0.1251,NA,7e-45,0.0991
"2425","PstI.TP929267",1,63290479,5.55008967183649e-46,0.1552,"F116+36088im","PS_N","mrMLMM","FASTmrMLM","HW_1",0.3737,NA,6e-46,0.1552
"2426","PstI.TP820348",1,64116607,1.45814260614746e-24,0.0172,"F116+36088im","PS_N","mrMLMM","FASTmrMLM","HW_1",4.6483e-05,NA,1e-24,0.0172
"2427","PstI.TP134743",1,73610397,6.51178420546182e-16,0.0474,"F116+36088im","PS_N","mrMLMM","FASTmrMLM","HW_1",0.0581,NA,7e-16,0.0474
"2428","PstI.TP640960",1,80209769,1.12797636558816e-59,0.0388,"F116+36088im","PS_N","mrMLMM","FASTmrMLM","HW_1",0.044,NA,1e-59,0.0388
"2429","PstI.TP40160",2,77518912,1.90633841713433e-05,0.069,"F116+36088im","PS_N","mrMLMM","FASTmrMLM","HW_1",0.0384,NA,2e-05,0.069
"2430","NsiI.TP215974",3,56338222,9.34975003088594e-34,0.0172,"F116+36088im","PS_N","mrMLMM","FASTmrMLM","HW_1",0,NA,9e-34,0.0172
"2431","PstI.TP621994",3,74383503,4.798439240639e-24,0.0129,"F116+36088im","PS_N","mrMLMM","FASTmrMLM","HW_1",0,NA,5e-24,0.0129
"2432","NsiI.TP34695",4,6508508,5.11210776117745e-70,0.0474,"F116+36088im","PS_N","mrMLMM","FASTmrMLM","HW_1",0.2183,NA,5e-70,0.0474
"2433","PstI.TP876839",4,6887064,3.9255453597011e-24,0.0388,"F116+36088im","PS_N","mrMLMM","FASTmrMLM","HW_1",0.8863,NA,4e-24,0.0388
"2434","PstI.TP705829",6,58061911,1.35643816290927e-11,0.0991,"F116+36088im","PS_N","mrMLMM","FASTmrMLM","HW_1",0.0459,NA,1e-11,0.0991
"2435","NsiI.TP810192",8,2563502,8.568405276916e-44,0.1983,"F116+36088im","PS_N","mrMLMM","FASTmrMLM","HW_1",0.2902,NA,9e-44,0.1983
"2436","PstI.TP1192081",9,48933732,1.89583265694711e-05,0.1034,"F116+36088im","PS_N","mrMLMM","FASTmrMLM","HW_1",0.2759,NA,2e-05,0.1034
"2437","NsiI.TP309926",11,12517,3.36976798584403e-06,0.0991,"F116+36088im","PS_N","mrMLMM","FASTmrMLM","HW_1",0.1296,NA,3e-06,0.0991
"2438","NsiI.TP491839",11,15088,3.30521716869978e-36,0.125,"F116+36088im","PS_N","mrMLMM","FASTmrMLM","HW_1",0.4044,NA,3e-36,0.125
"2439","PstI.TP1020545",11,7078,8.60597341192822e-05,0.3405,"F116+36088im","PS_N","mrMLMM","ISIS EM-BLASSO","HW_1",3.3788,NA,9e-05,0.3405
"2440","PstI.TP622176",3,65129470,1.46892627764387e-05,0.3772,"F116+36088im","PS_N","mrMLMM","mrMLM","FW_1",14.9888,NA,1e-05,0.3772
"2441","NsiI.TP825923",6,52448208,4.70977326396953e-05,0.1842,"F116+36088im","PS_N","mrMLMM","mrMLM","FW_1",18.1881,NA,5e-05,0.1842
"2442","PstI.TP198419",7,2405340,4.39440418891809e-05,0.1754,"F116+36088im","PS_N","mrMLMM","mrMLM","FW_1",6.5954,NA,4e-05,0.1754
"2443","PstI.TP1248141",1,57379416,4.04948691518632e-49,0.1509,"F116+36088im","PS_N","mrMLMM","FASTmrMLM","FW_1",1.7834,NA,4e-49,0.1509
"2444","PstI.TP457393",1,60097068,5.10387465387313e-57,0.2069,"F116+36088im","PS_N","mrMLMM","FASTmrMLM","FW_1",0.0041,NA,5e-57,0.2069
"2445","NsiI.TP496851",3,61267172,6.81239779965917e-54,0.1164,"F116+36088im","PS_N","mrMLMM","FASTmrMLM","FW_1",0.2343,NA,7e-54,0.1164
"2446","PstI.TP1256552",10,47768031,7.61903555049371e-05,0.0647,"F116+36088im","PS_N","mrMLMM","FASTmrMLM","FW_1",0.012,NA,8e-05,0.0647
"2447","PstI.TP1020545",11,7078,0.000115425031036467,0.3405,"F116+36088im","PS_N","mrMLMM","ISIS EM-BLASSO","FW_1",2.7201,NA,1e-04,0.3405
"2448","PstI.TP332845",3,68039381,1.67494287602644e-05,0.4519,"F106+4185","PS_N","mrMLMM","mrMLM","HW_50",12.359,NA,2e-05,0.4519
"2449","PstI.TP1052140",6,19137861,1.00161310922831e-05,0.101,"F106+4185","PS_N","mrMLMM","mrMLM","HW_50",5.3174,NA,1e-05,0.101
"2450","PstI.TP532426",7,64966356,1.38356637897178e-05,0.4663,"F106+4185","PS_N","mrMLMM","mrMLM","HW_50",12.7461,NA,1e-05,0.4663
"2451","PstI.TP1159423",11,8140,7.66125645013802e-06,0.4135,"F106+4185","PS_N","mrMLMM","mrMLM","HW_50",22.0927,NA,8e-06,0.4135
"2452","PstI.TP1052140",6,19137861,1.47197352897795e-05,0.0991,"F106+4185","PS_N","mrMLMM","FASTmrEMMA","HW_50",10.6333,NA,1e-05,0.0991
"2453","PstI.TP1159423",11,8140,9.51042664157393e-05,0.4057,"F106+4185","PS_N","mrMLMM","FASTmrEMMA","HW_50",9.2063,NA,1e-04,0.4057
"2454","PstI.TP308053",1,8330660,4.75116376377562e-05,0.1132,"F106+4185","PS_N","mrMLMM","pLARmEB","HW_50",0.0174,NA,5e-05,0.1132
"2455","PstI.TP541575",2,74276308,6.65273156201742e-05,0.0943,"F106+4185","PS_N","mrMLMM","pLARmEB","HW_50",0.0021,NA,7e-05,0.0943
"2456","PstI.TP1052140",6,19137861,0.000180467914655672,0.0991,"F106+4185","PS_N","mrMLMM","pLARmEB","HW_50",3.7568,NA,2e-04,0.0991
"2457","NsiI.TP819458",11,19172,3.69743033498097e-06,0.1085,"F106+4185","PS_N","mrMLMM","pLARmEB","HW_50",3.2339e-06,NA,4e-06,0.1085
"2458","PstI.TP1226186",3,7342289,4.02253655998683e-05,0.2925,"F106+4185","PS_N","mrMLMM","ISIS EM-BLASSO","HW_50",4.0504,NA,4e-05,0.2925
"2459","PstI.TP332845",3,68039381,1.16976870921149e-05,0.4528,"F106+4185","PS_N","mrMLMM","ISIS EM-BLASSO","HW_50",11.3453,NA,1e-05,0.4528
"2460","PstI.TP332845",3,68039381,9.64939311805581e-06,0.4519,"F106+4185","PS_N","mrMLMM","mrMLM","FW_50",13.0189,NA,1e-05,0.4519
"2461","PstI.TP1052140",6,19137861,7.45761570206989e-06,0.101,"F106+4185","PS_N","mrMLMM","mrMLM","FW_50",5.4405,NA,7e-06,0.101
"2462","PstI.TP532426",7,64966356,1.27028157838881e-05,0.4663,"F106+4185","PS_N","mrMLMM","mrMLM","FW_50",12.7593,NA,1e-05,0.4663
"2463","PstI.TP1159423",11,8140,1.0299117193407e-05,0.4135,"F106+4185","PS_N","mrMLMM","mrMLM","FW_50",21.232,NA,1e-05,0.4135
"2464","PstI.TP332845",3,68039381,5.14398863028773e-05,0.4528,"F106+4185","PS_N","mrMLMM","FASTmrMLM","FW_50",7.7985,NA,5e-05,0.4528
"2465","PstI.TP1052140",6,19137861,0.000133290746423134,0.0991,"F106+4185","PS_N","mrMLMM","FASTmrMLM","FW_50",3.648,NA,1e-04,0.0991
"2466","PstI.TP1159423",11,8140,0.000155883446770439,0.4057,"F106+4185","PS_N","mrMLMM","FASTmrEMMA","FW_50",6.9467,NA,2e-04,0.4057
"2467","PstI.TP1052140",6,19137861,1.40669518206104e-06,0.0991,"F106+4185","PS_N","mrMLMM","pLARmEB","FW_50",3.47,NA,1e-06,0.0991
"2468","NsiI.TP274765",6,47625849,1.7354016258719e-05,0.3208,"F106+4185","PS_N","mrMLMM","pLARmEB","FW_50",1.2976,NA,2e-05,0.3208
"2469","PstI.TP1159423",11,8140,7.63308326709184e-05,0.4057,"F106+4185","PS_N","mrMLMM","pLARmEB","FW_50",8.9497,NA,8e-05,0.4057
"2470","PstI.TP332845",3,68039381,2.26829742622447e-05,0.4528,"F106+4185","PS_N","mrMLMM","ISIS EM-BLASSO","FW_50",8.4848,NA,2e-05,0.4528
"2471","NsiI.TP481176",1,7350098,3.48738584135219e-05,0.2452,"F106+4185","PS_N","mrMLMM","mrMLM","GHW_1",8.3042,NA,3e-05,0.2452
"2472","PstI.TP360841",2,2832783,2.73337992205334e-05,0.3942,"F106+4185","PS_N","mrMLMM","mrMLM","GHW_1",10.9832,NA,3e-05,0.3942
"2473","PstI.TP1052140",6,19137861,8.83690121141457e-05,0.101,"F106+4185","PS_N","mrMLMM","mrMLM","GHW_1",5.1186,NA,9e-05,0.101
"2474","PstI.TP1159423",11,8140,2.34530862120027e-05,0.4057,"F106+4185","PS_N","mrMLMM","FASTmrEMMA","GHW_1",9.2173,NA,2e-05,0.4057
"2475","PstI.TP288641",1,27158173,1.03681196406103e-47,0.0519,"F106+4185","PS_N","mrMLMM","pLARmEB","GHW_1",0.1617,NA,1e-47,0.0519
"2476","PstI.TP901545",1,71391273,1.52510589584335e-39,0.033,"F106+4185","PS_N","mrMLMM","pLARmEB","GHW_1",0,NA,2e-39,0.033
"2477","PstI.TP245404",1,79960134,7.04044321469975e-76,0.1509,"F106+4185","PS_N","mrMLMM","pLARmEB","GHW_1",0,NA,7e-76,0.1509
"2478","PstI.TP972096",2,3042190,1.01321124241273e-11,0.0283,"F106+4185","PS_N","mrMLMM","pLARmEB","GHW_1",0,NA,1e-11,0.0283
"2479","PstI.TP249296",2,57415075,5.81969198981766e-24,0.1415,"F106+4185","PS_N","mrMLMM","pLARmEB","GHW_1",0.1416,NA,6e-24,0.1415
"2480","PstI.TP541575",2,74276308,3.94457302075279e-15,0.0943,"F106+4185","PS_N","mrMLMM","pLARmEB","GHW_1",0.4297,NA,4e-15,0.0943
"2481","PstI.TP217258",3,3992070,4.16293854786144e-32,0.0425,"F106+4185","PS_N","mrMLMM","pLARmEB","GHW_1",0.0521,NA,4e-32,0.0425
"2482","PstI.TP246329",3,29389536,2.55152601090967e-19,0.0142,"F106+4185","PS_N","mrMLMM","pLARmEB","GHW_1",0.0033,NA,3e-19,0.0142
"2483","NsiI.TP529124",3,63127607,1.12615974690787e-12,0.1415,"F106+4185","PS_N","mrMLMM","pLARmEB","GHW_1",0.0279,NA,1e-12,0.1415
"2484","PstI.TP568461",3,74315454,2.73652865419245e-44,0.0236,"F106+4185","PS_N","mrMLMM","pLARmEB","GHW_1",0.0156,NA,3e-44,0.0236
"2485","PstI.TP1107519",9,3315165,1.09748855509894e-56,0.0472,"F106+4185","PS_N","mrMLMM","pLARmEB","GHW_1",0.0447,NA,1e-56,0.0472
"2486","PstI.TP1156107",10,4914081,2.08305146502175e-58,0.0519,"F106+4185","PS_N","mrMLMM","pLARmEB","GHW_1",0.052,NA,2e-58,0.0519
"2487","NsiI.TP727404",10,60764600,1.8352701456751e-72,0.0991,"F106+4185","PS_N","mrMLMM","pLARmEB","GHW_1",0.1997,NA,2e-72,0.0991
"2488","PstI.TP919648",11,6431,4.25304521683437e-49,0.0142,"F106+4185","PS_N","mrMLMM","pLARmEB","GHW_1",0,NA,4e-49,0.0142
"2489","PstI.TP41452",4,57358774,0.000133260058627758,0.066,"F106+4185","PS_N","mrMLMM","ISIS EM-BLASSO","GHW_1",0.2956,NA,1e-04,0.066
"2490","NsiI.TP529124",3,63127607,0.000109370450250796,0.1442,"F106+4185","PS_N","mrMLMM","mrMLM","GFW_1",2.7482,NA,1e-04,0.1442
"2491","PstI.TP1052140",6,19137861,2.19988510904925e-05,0.101,"F106+4185","PS_N","mrMLMM","mrMLM","GFW_1",5.7576,NA,2e-05,0.101
"2492","PstI.TP1159423",11,8140,1.43714305335639e-06,0.4135,"F106+4185","PS_N","mrMLMM","mrMLM","GFW_1",29.8681,NA,1e-06,0.4135
"2493","PstI.TP1159423",11,8140,2.00585714593595e-05,0.4057,"F106+4185","PS_N","mrMLMM","FASTmrMLM","GFW_1",17.0683,NA,2e-05,0.4057
"2494","NsiI.TP579169",7,40226521,0.000187672223735551,0.0377,"F106+4185","PS_N","mrMLMM","FASTmrEMMA","GFW_1",6.22,NA,2e-04,0.0377
"2495","PstI.TP1159423",11,8140,3.27642325685378e-05,0.4057,"F106+4185","PS_N","mrMLMM","FASTmrEMMA","GFW_1",7.8356,NA,3e-05,0.4057
"2496","NsiI.TP274765",6,47625849,2.84380622147298e-07,0.3208,"F106+4185","PS_N","mrMLMM","pLARmEB","GFW_1",6.1472,NA,3e-07,0.3208
"2497","PstI.TP444076",11,3404,7.6913044028661e-06,0.184,"F106+4185","PS_N","mrMLMM","pLARmEB","GFW_1",8.2331,NA,8e-06,0.184
"2498","PstI.TP332845",3,68039381,8.57827569882808e-06,0.4519,"F106+4185","PS_N","mrMLMM","mrMLM","GHW_50",12.9921,NA,9e-06,0.4519
"2499","PstI.TP1052140",6,19137861,8.54673030766978e-06,0.101,"F106+4185","PS_N","mrMLMM","mrMLM","GHW_50",5.2857,NA,9e-06,0.101
"2500","PstI.TP532426",7,64966356,7.8487410348873e-06,0.4663,"F106+4185","PS_N","mrMLMM","mrMLM","GHW_50",13.2409,NA,8e-06,0.4663
"2501","PstI.TP1159423",11,8140,5.74910181567503e-06,0.4135,"F106+4185","PS_N","mrMLMM","mrMLM","GHW_50",22.2448,NA,6e-06,0.4135
"2502","PstI.TP1159423",11,8140,0.000110840888901587,0.4057,"F106+4185","PS_N","mrMLMM","FASTmrEMMA","GHW_50",9.4954,NA,1e-04,0.4057
"2503","PstI.TP1052140",6,19137861,2.41657345143683e-05,0.0991,"F106+4185","PS_N","mrMLMM","pLARmEB","GHW_50",2.5079,NA,2e-05,0.0991
"2504","NsiI.TP274765",6,47625849,4.09354906329559e-05,0.3208,"F106+4185","PS_N","mrMLMM","pLARmEB","GHW_50",1.9298,NA,4e-05,0.3208
"2505","PstI.TP332845",3,68039381,5.91153138980827e-06,0.4528,"F106+4185","PS_N","mrMLMM","ISIS EM-BLASSO","GHW_50",8.3004,NA,6e-06,0.4528
"2506","PstI.TP1052140",6,19137861,1.29211152442593e-05,0.0991,"F106+4185","PS_N","mrMLMM","ISIS EM-BLASSO","GHW_50",4.3007,NA,1e-05,0.0991
"2507","PstI.TP332845",3,68039381,2.0459734796793e-05,0.4519,"F106+4185","PS_N","mrMLMM","mrMLM","GFW_50",11.9043,NA,2e-05,0.4519
"2508","PstI.TP1052140",6,19137861,3.57437406264481e-06,0.101,"F106+4185","PS_N","mrMLMM","mrMLM","GFW_50",5.8243,NA,4e-06,0.101
"2509","PstI.TP532426",7,64966356,8.72569442770117e-06,0.4663,"F106+4185","PS_N","mrMLMM","mrMLM","GFW_50",13.1997,NA,9e-06,0.4663
"2510","PstI.TP1159423",11,8140,1.0258881185266e-05,0.4135,"F106+4185","PS_N","mrMLMM","mrMLM","GFW_50",21.1029,NA,1e-05,0.4135
"2511","PstI.TP1159423",11,8140,0.000131673991272162,0.4057,"F106+4185","PS_N","mrMLMM","FASTmrEMMA","GFW_50",8.5161,NA,1e-04,0.4057
"2512","PstI.TP245404",1,79960134,0.000143846732077892,0.1509,"F106+4185","PS_N","mrMLMM","pLARmEB","GFW_50",0,NA,1e-04,0.1509
"2513","PstI.TP541575",2,74276308,3.27189983623179e-05,0.0943,"F106+4185","PS_N","mrMLMM","pLARmEB","GFW_50",6.3897e-05,NA,3e-05,0.0943
"2514","PstI.TP1052140",6,19137861,2.37738763733978e-05,0.0991,"F106+4185","PS_N","mrMLMM","pLARmEB","GFW_50",4.3072,NA,2e-05,0.0991
"2515","NsiI.TP616446",9,56031936,6.34599900981287e-05,0.4481,"F106+4185","PS_N","mrMLMM","pLARmEB","GFW_50",0.0644,NA,6e-05,0.4481
"2516","PstI.TP332845",3,68039381,6.52078678513579e-06,0.4528,"F106+4185","PS_N","mrMLMM","ISIS EM-BLASSO","GFW_50",9.3002,NA,7e-06,0.4528
"2517","PstI.TP1052140",6,19137861,7.36207097494736e-05,0.101,"F106+4185","PS_N","mrMLMM","mrMLM","HM_1",10.4666,NA,7e-05,0.101
"2518","NsiI.TP481176",1,7350098,3.19742230320493e-05,0.2453,"F106+4185","PS_N","mrMLMM","FASTmrMLM","HM_1",2.723,NA,3e-05,0.2453
"2519","PstI.TP1052140",6,19137861,5.21915265835448e-05,0.0991,"F106+4185","PS_N","mrMLMM","FASTmrEMMA","HM_1",8.2893,NA,5e-05,0.0991
"2520","PstI.TP772632",2,65920887,0.000143482851823259,0.1792,"F106+4185","PS_N","mrMLMM","ISIS EM-BLASSO","HM_1",0.0113,NA,1e-04,0.1792
"2521","PstI.TP1052140",6,19137861,0.000119481316716119,0.101,"F106+4185","PS_N","mrMLMM","mrMLM","FM_1",7.0514,NA,1e-04,0.101
"2522","PstI.TP1159423",11,8140,2.43164403787592e-07,0.4135,"F106+4185","PS_N","mrMLMM","mrMLM","FM_1",29.3157,NA,2e-07,0.4135
"2523","PstI.TP1159423",11,8140,1.29658203538263e-05,0.4057,"F106+4185","PS_N","mrMLMM","FASTmrMLM","FM_1",15.399,NA,1e-05,0.4057
"2524","NsiI.TP274765",6,47625849,0.000193820629607495,0.3208,"F106+4185","PS_N","mrMLMM","pLARmEB","FM_1",0.0582,NA,2e-04,0.3208
"2525","PstI.TP444076",11,3404,1.36426896588171e-06,0.184,"F106+4185","PS_N","mrMLMM","pLARmEB","FM_1",11.143,NA,1e-06,0.184
"2526","PstI.TP332845",3,68039381,8.93305483733294e-07,0.4519,"F106+4185","PS_N","mrMLMM","mrMLM","HM_50",19.7044,NA,9e-07,0.4519
"2527","PstI.TP532426",7,64966356,0.000158270509343104,0.4663,"F106+4185","PS_N","mrMLMM","mrMLM","HM_50",16.2562,NA,2e-04,0.4663
"2528","PstI.TP332845",3,68039381,8.55263621940467e-06,0.4528,"F106+4185","PS_N","mrMLMM","FASTmrMLM","HM_50",9.2825,NA,9e-06,0.4528
"2529","PstI.TP1159423",11,8140,6.6849782716159e-05,0.4057,"F106+4185","PS_N","mrMLMM","FASTmrEMMA","HM_50",7.5898,NA,7e-05,0.4057
"2530","PstI.TP332845",3,68039381,3.44825996552624e-07,0.4519,"F106+4185","PS_N","mrMLMM","mrMLM","FM_50",20.7617,NA,3e-07,0.4519
"2531","PstI.TP532426",7,64966356,3.38376348861765e-05,0.4663,"F106+4185","PS_N","mrMLMM","mrMLM","FM_50",18.142,NA,3e-05,0.4663
"2539","PstI.TP332845",3,68039381,1.44577263387363e-05,0.4519,"F106+4185","PS_N","mrMLMM","mrMLM","fprind",12.6145,NA,1e-05,0.4519
"2540","PstI.TP1052140",6,19137861,1.13057661965708e-05,0.101,"F106+4185","PS_N","mrMLMM","mrMLM","fprind",5.2699,NA,1e-05,0.101
"2541","PstI.TP532426",7,64966356,1.38038426460288e-05,0.4663,"F106+4185","PS_N","mrMLMM","mrMLM","fprind",12.8016,NA,1e-05,0.4663
"2542","PstI.TP1159423",11,8140,9.91288344947892e-06,0.4135,"F106+4185","PS_N","mrMLMM","mrMLM","fprind",21.5857,NA,1e-05,0.4135
"2543","PstI.TP332845",3,68039381,7.57181509714706e-05,0.4528,"F106+4185","PS_N","mrMLMM","FASTmrMLM","fprind",7.6446,NA,8e-05,0.4528
"2544","PstI.TP1052140",6,19137861,0.000194222705723317,0.0991,"F106+4185","PS_N","mrMLMM","FASTmrMLM","fprind",3.5828,NA,2e-04,0.0991
"2545","PstI.TP1052140",6,19137861,1.75670970266463e-05,0.0991,"F106+4185","PS_N","mrMLMM","FASTmrEMMA","fprind",10.5677,NA,2e-05,0.0991
"2546","PstI.TP1159423",11,8140,0.000124968339721122,0.4057,"F106+4185","PS_N","mrMLMM","FASTmrEMMA","fprind",9.0636,NA,1e-04,0.4057
"2547","PstI.TP1052140",6,19137861,5.66500111919533e-06,0.0991,"F106+4185","PS_N","mrMLMM","pLARmEB","fprind",2.2579,NA,6e-06,0.0991
"2548","PstI.TP476949",1,5536792,9.74989637717387e-05,0.5,"F106+4185","PS_N","mrMLMM","ISIS EM-BLASSO","fprind",5.3589,NA,1e-04,0.5
"2549","PstI.TP332845",3,68039381,5.34072234093761e-06,0.4528,"F106+4185","PS_N","mrMLMM","ISIS EM-BLASSO","fprind",6.9929,NA,5e-06,0.4528
