"","SNP","Chromosome","Position","P.value","MAF","nobs","Rsquare.of.Model.without.SNP","Rsquare.of.Model.with.SNP","FDR_Adjusted_P.values","effect","Adj.P.P.value","Ind.SNP","PS","Software","Method","Trait.name","PVE","QTN.effect","LOD.score","Genotype.for.code.1","Var_error","Var_phen..total.","X","P.value.1"
"4086","PstI.TP166492",6,2200069,1.11814982458422e-07,0.1189,NA,NA,NA,NA,NA,NA,"O122+2646","PS_Y","mrMLMM","ISIS EM-BLASSO","OWA19",31.2797,0.011,6.1146,"A",NA,NA,NA,1e-07
"4963","NsiI.TP641200",1,3051168,2.3828680818473e-10,0.025,NA,NA,NA,NA,NA,NA,"122+35256im","PS_N","mrMLMM","mrMLM","OWA18",35.1614,0.3344,8.7132,"C",0.0222,0.0437,NA,2e-10
"4964","NsiI.TP718157",3,8632016,2.83922623942491e-05,0.0458,NA,NA,NA,NA,NA,NA,"122+35256im","PS_N","mrMLMM","mrMLM","OWA18",15.7514,0.1657,3.8051,"A",NA,NA,NA,3e-05
"4965","PstI.TP349355",4,51739537,3.40721861659357e-08,0.0833,NA,NA,NA,NA,NA,NA,"122+35256im","PS_N","mrMLMM","mrMLM","OWA18",2.4813,-0.1828,6.6147,"A",NA,NA,NA,3e-08
"4966","PstI.TP702483",11,4867,5.83310776539422e-05,0.0125,NA,NA,NA,NA,NA,NA,"122+35256im","PS_N","mrMLMM","mrMLM","OWA18",29.4062,0.3729,3.5084,"A",NA,NA,NA,6e-05
"4967","PstI.TP437620",11,3351,0.000161175861413222,0.2623,NA,NA,NA,NA,NA,NA,"122+35256im","PS_N","mrMLMM","FASTmrMLM","OWA18",0.0012,-7e-04,3.0916,"C",0.0302,0.0437,NA,2e-04
"4968","PstI.TP312639",2,3911470,0.000101204541109654,0.1148,NA,NA,NA,NA,NA,NA,"122+35256im","PS_N","mrMLMM","pLARmEB","OWA18",3.8789e-07,1.5144e-05,3.2821,"A",0.0276,0.0437,NA,1e-04
"4969","PstI.TP65061",2,73159281,2.78740452032377e-07,0.3566,NA,NA,NA,NA,NA,NA,"122+35256im","PS_N","mrMLMM","pLARmEB","OWA18",7e-04,-9e-04,5.7311,"A",NA,NA,NA,3e-07
"4970","PstI.TP841525",3,59531363,7.45075014636253e-07,0.1352,NA,NA,NA,NA,NA,NA,"122+35256im","PS_N","mrMLMM","pLARmEB","OWA18",0.0702,-0.0111,5.3192,"C",NA,NA,NA,7e-07
"4971","PstI.TP1009084",8,3978036,2.94849231389437e-07,0.2828,NA,NA,NA,NA,NA,NA,"122+35256im","PS_N","mrMLMM","pLARmEB","OWA18",1.6902e-06,-3.4002e-05,5.7075,"A",NA,NA,NA,3e-07
"4972","NsiI.TP128483",10,59308875,9.94489037154793e-05,0.2869,NA,NA,NA,NA,NA,NA,"122+35256im","PS_N","mrMLMM","ISIS EM-BLASSO","OWA18",6.2719,0.0645,3.2893,"C",0.0281,0.0437,NA,1e-04
"4973","PstI.TP57213",1,59006419,2.79254384123734e-05,0.127,NA,NA,NA,NA,NA,NA,"122+35256im","PS_N","mrMLMM","FASTmrMLM","OWA19",6.8703,0.0058,3.812,"C",1e-04,3e-04,NA,3e-05
"4974","NsiI.TP444479",2,69620402,4.55407312683254e-06,0.0246,NA,NA,NA,NA,NA,NA,"122+35256im","PS_N","mrMLMM","FASTmrMLM","OWA19",26.0684,0.0143,4.5638,"C",NA,NA,NA,5e-06
"4975","NsiI.TP523625",4,62611853,2.34476865610148e-06,0.0738,NA,NA,NA,NA,NA,NA,"122+35256im","PS_N","mrMLMM","FASTmrMLM","OWA19",7.0541,0.0056,4.8403,"C",NA,NA,NA,2e-06
"4976","NsiI.TP111617",5,61371701,1.87283708301755e-05,0.127,NA,NA,NA,NA,NA,NA,"122+35256im","PS_N","mrMLMM","FASTmrMLM","OWA19",3.1358,-0.0072,3.9771,"C",NA,NA,NA,2e-05
"4977","NsiI.TP208625",8,50606712,3.80890376498135e-05,0.041,NA,NA,NA,NA,NA,NA,"122+35256im","PS_N","mrMLMM","FASTmrMLM","OWA19",20.8423,0.0101,3.6839,"A",NA,NA,NA,4e-05
"4978","PstI.TP334601",11,2644,1.3467903626291e-06,0.0902,NA,NA,NA,NA,NA,NA,"122+35256im","PS_N","mrMLMM","FASTmrMLM","OWA19",3.8416,-0.008,5.0717,"A",NA,NA,NA,1e-06
"4979","PstI.TP1250222",11,8799,4.70218812091843e-05,0.0492,NA,NA,NA,NA,NA,NA,"122+35256im","PS_N","mrMLMM","FASTmrMLM","OWA19",1.8376,-0.0083,3.5971,"C",NA,NA,NA,5e-05
"4980","NsiI.TP60110",11,9843,1.589644456908e-05,0.1516,NA,NA,NA,NA,NA,NA,"122+35256im","PS_N","mrMLMM","FASTmrMLM","OWA19",1.6484,0.0061,4.0449,"A",NA,NA,NA,2e-05
"4981","PstI.TP392482",1,17611146,1.38165623116733e-05,0.0205,NA,NA,NA,NA,NA,NA,"122+35256im","PS_N","mrMLMM","pLARmEB","OWA19",0,-1.0879e-05,4.103,"A",1e-04,3e-04,NA,1e-05
"4982","PstI.TP288641",1,27158173,9.07193646515089e-06,0.0492,NA,NA,NA,NA,NA,NA,"122+35256im","PS_N","mrMLMM","pLARmEB","OWA19",4.0972e-05,5.172e-05,4.2774,"A",NA,NA,NA,9e-06
"4983","NsiI.TP806172",2,58871698,1.35581364386243e-07,0.2869,NA,NA,NA,NA,NA,NA,"122+35256im","PS_N","mrMLMM","pLARmEB","OWA19",0.1547,0.0026,6.0336,"C",NA,NA,NA,1e-07
"4984","PstI.TP181967",2,63225229,2.65766354955431e-09,0.0451,NA,NA,NA,NA,NA,NA,"122+35256im","PS_N","mrMLMM","pLARmEB","OWA19",0.0223,-0.0038,7.6916,"A",NA,NA,NA,3e-09
"4985","NsiI.TP408031",2,72193245,4.76430986805416e-05,0.0492,NA,NA,NA,NA,NA,NA,"122+35256im","PS_N","mrMLMM","pLARmEB","OWA19",1.4886e-06,-2.2236e-05,3.5917,"C",NA,NA,NA,5e-05
"4986","GFSSContig17769_257",3,9603539,6.11223438898411e-07,0.3402,NA,NA,NA,NA,NA,NA,"122+35256im","PS_N","mrMLMM","pLARmEB","OWA19",3.2184e-06,-1.1707e-05,5.4021,"T",NA,NA,NA,6e-07
"4987","NsiI.TP523625",4,62611853,1.30707347072171e-07,0.0738,NA,NA,NA,NA,NA,NA,"122+35256im","PS_N","mrMLMM","pLARmEB","OWA19",0.0637,0.0013,6.049,"C",NA,NA,NA,1e-07
"4988","PstI.TP1220022",5,55219391,0.000100415325412088,0.1189,NA,NA,NA,NA,NA,NA,"122+35256im","PS_N","mrMLMM","pLARmEB","OWA19",4.8092e-05,-6.901e-05,3.2853,"C",NA,NA,NA,1e-04
"4989","NsiI.TP111617",5,61371701,3.58839299329486e-07,0.127,NA,NA,NA,NA,NA,NA,"122+35256im","PS_N","mrMLMM","pLARmEB","OWA19",0.2966,-0.0054,5.6252,"C",NA,NA,NA,4e-07
"4990","PstI.TP1102210",6,55405319,8.11708324667225e-05,0.3811,NA,NA,NA,NA,NA,NA,"122+35256im","PS_N","mrMLMM","pLARmEB","OWA19",4.803e-06,1.2759e-05,3.3726,"A",NA,NA,NA,8e-05
"4991","NsiI.TP208625",8,50606712,6.40324324468947e-05,0.041,NA,NA,NA,NA,NA,NA,"122+35256im","PS_N","mrMLMM","pLARmEB","OWA19",3.3088,0.0099,3.47,"A",NA,NA,NA,6e-05
"4992","NsiI.TP678261",8,55967248,4.38934785534717e-06,0.0205,NA,NA,NA,NA,NA,NA,"122+35256im","PS_N","mrMLMM","pLARmEB","OWA19",0.056,-0.0061,4.5791,"A",NA,NA,NA,4e-06
"4993","NsiI.TP169382",9,55737180,2.66501709994677e-10,0.377,NA,NA,NA,NA,NA,NA,"122+35256im","PS_N","mrMLMM","pLARmEB","OWA19",0.0644,0.003,8.6658,"C",NA,NA,NA,3e-10
"4994","PstI.TP334601",11,2644,2.25268257657543e-09,0.0902,NA,NA,NA,NA,NA,NA,"122+35256im","PS_N","mrMLMM","pLARmEB","OWA19",0.421,-0.0065,7.7615,"A",NA,NA,NA,2e-09
"4995","PstI.TP349163",11,2748,6.76082975391982e-06,0.168,NA,NA,NA,NA,NA,NA,"122+35256im","PS_N","mrMLMM","pLARmEB","OWA19",0.1691,-0.0041,4.3995,"A",NA,NA,NA,7e-06
"4996","PstI.TP1099377",11,7691,9.40805830036588e-05,0.0205,NA,NA,NA,NA,NA,NA,"122+35256im","PS_N","mrMLMM","pLARmEB","OWA19",3.5486e-07,-1.529e-05,3.312,"C",NA,NA,NA,9e-05
"4997","NsiI.TP182487",11,11165,8.14141700570775e-08,0.0164,NA,NA,NA,NA,NA,NA,"122+35256im","PS_N","mrMLMM","pLARmEB","OWA19",0,-1.117e-05,6.248,"C",NA,NA,NA,8e-08
"4998","NsiI.TP460633",4,62266318,8.85727237257776e-06,0.041,NA,NA,NA,NA,NA,NA,"122+35256im","PS_N","mrMLMM","ISIS EM-BLASSO","OWA19",4.0822,-0.0093,4.2874,"C",2e-04,3e-04,NA,9e-06
"4999","PstI.TP334601",11,2644,6.46249172495387e-05,0.0902,NA,NA,NA,NA,NA,NA,"122+35256im","PS_N","mrMLMM","ISIS EM-BLASSO","OWA19",4.3577,-0.0074,3.4662,"A",NA,NA,NA,6e-05
"5000","PstI.TP108989",1,2588793,1.62629752101341e-05,0.0441,NA,NA,NA,NA,NA,NA,"O102+4322","PS_N","mrMLMM","FASTmrEMMA","OWA18",12.6136,-0.4313,4.0355,"C",0.0269,0.0369,NA,2e-05
"5001","PstI.TP392482",1,17611146,1.02470770081564e-06,0.0245,NA,NA,NA,NA,NA,NA,"O102+4322","PS_N","mrMLMM","FASTmrEMMA","OWA18",10.9578,-0.5889,5.186,"A",NA,NA,NA,1e-06
"5002","PstI.TP108989",1,2588793,2.53279476568999e-06,0.0441,NA,NA,NA,NA,NA,NA,"O102+4322","PS_N","mrMLMM","pLARmEB","OWA18",1.3905,-0.212,4.8081,"C",0.0285,0.0369,NA,3e-06
"5003","PstI.TP108989",1,2588793,4.26284949861522e-06,0.0441,NA,NA,NA,NA,NA,NA,"O102+4322","PS_N","mrMLMM","ISIS EM-BLASSO","OWA18",4.7217,-0.2118,4.5913,"C",0.0284,0.0369,NA,4e-06
"5004","PstI.TP110898",10,9880843,2.35667665631813e-05,0.0588,NA,NA,NA,NA,NA,NA,"O102+4322","PS_N","mrMLMM","ISIS EM-BLASSO","OWA18",13.3717,0.1238,3.8821,"C",NA,NA,NA,2e-05
"5005","PstI.TP459121",1,78162835,9.44060876285923e-11,0.075,NA,NA,NA,NA,NA,NA,"O102+4322","PS_N","mrMLMM","mrMLM","OWA19",0,-0.0244,9.1062,"C",1e-04,3e-04,NA,9e-11
"5006","PstI.TP1010623",3,2603844,0.000141873080923514,0.015,NA,NA,NA,NA,NA,NA,"O102+4322","PS_N","mrMLMM","mrMLM","OWA19",0,-0.0279,3.1438,"C",NA,NA,NA,1e-04
"5007","PstI.TP729855",3,65126133,5.88708084702043e-08,0.035,NA,NA,NA,NA,NA,NA,"O102+4322","PS_N","mrMLMM","mrMLM","OWA19",12.6417,-0.0217,6.3844,"C",NA,NA,NA,6e-08
"5008","PstI.TP982120",2,21428233,3.23295753368093e-31,0.0343,NA,NA,NA,NA,NA,NA,"O102+4322","PS_N","mrMLMM","FASTmrMLM","OWA19",0.1186,0.0012,29.325,"A",1e-04,3e-04,NA,3e-31
"5009","NsiI.TP487417",2,22482603,3.72220253017849e-19,0.0637,NA,NA,NA,NA,NA,NA,"O102+4322","PS_N","mrMLMM","FASTmrMLM","OWA19",0.0405,5e-04,17.3749,"A",NA,NA,NA,4e-19
"5010","PstI.TP833228",2,23342056,5.62600352579543e-20,0.0392,NA,NA,NA,NA,NA,NA,"O102+4322","PS_N","mrMLMM","FASTmrMLM","OWA19",0,-4e-04,18.1859,"G",NA,NA,NA,6e-20
"5011","PstI.TP383939",2,56907410,0.000124279643844091,0.0588,NA,NA,NA,NA,NA,NA,"O102+4322","PS_N","mrMLMM","FASTmrMLM","OWA19",7e-04,-2e-04,3.198,"A",NA,NA,NA,1e-04
"5012","NsiI.TP614629",2,62417756,4.72171750310878e-22,0.0294,NA,NA,NA,NA,NA,NA,"O102+4322","PS_N","mrMLMM","FASTmrMLM","OWA19",0.0075,3e-04,20.2393,"C",NA,NA,NA,5e-22
"5013","PstI.TP268085",2,64265265,5.00149685440278e-14,0.0441,NA,NA,NA,NA,NA,NA,"O102+4322","PS_N","mrMLMM","FASTmrMLM","OWA19",0.0461,6e-04,12.319,"A",NA,NA,NA,5e-14
"5014","NsiI.TP204910",2,65965770,2.76566771505015e-24,0.0343,NA,NA,NA,NA,NA,NA,"O102+4322","PS_N","mrMLMM","FASTmrMLM","OWA19",0.1146,0.0011,22.4496,"G",NA,NA,NA,3e-24
"5015","PstI.TP1010623",3,2603844,1.14208913501606e-22,0.0147,NA,NA,NA,NA,NA,NA,"O102+4322","PS_N","mrMLMM","FASTmrMLM","OWA19",0,-6e-04,20.8494,"C",NA,NA,NA,1e-22
"5016","NsiI.TP501941",3,65413138,6.15743732557065e-05,0.0245,NA,NA,NA,NA,NA,NA,"O102+4322","PS_N","mrMLMM","FASTmrMLM","OWA19",0.0018,2e-04,3.4861,"C",NA,NA,NA,6e-05
"5017","NsiI.TP671324",4,2161341,3.39625272590409e-13,0.0147,NA,NA,NA,NA,NA,NA,"O102+4322","PS_N","mrMLMM","FASTmrMLM","OWA19",0,-2e-04,11.5015,"C",NA,NA,NA,3e-13
"5018","PstI.TP1172225",6,3890042,1.78813374869022e-16,0.0147,NA,NA,NA,NA,NA,NA,"O102+4322","PS_N","mrMLMM","FASTmrMLM","OWA19",0.0026,3e-04,14.7282,"C",NA,NA,NA,2e-16
"5019","PstI.TP1250222",11,8799,9.72523266236347e-05,0.0539,NA,NA,NA,NA,NA,NA,"O102+4322","PS_N","mrMLMM","FASTmrMLM","OWA19",0.2738,-0.0026,3.2984,"C",NA,NA,NA,1e-04
"5020","PstI.TP729855",3,65126133,7.71791515585013e-05,0.0343,NA,NA,NA,NA,NA,NA,"O102+4322","PS_N","mrMLMM","pLARmEB","OWA19",0.5875,-0.0109,3.3933,"C",2e-04,3e-04,NA,8e-05
"5021","PstI.TP1000873",7,57426488,0.000140896433504064,0.0588,NA,NA,NA,NA,NA,NA,"O102+4322","PS_N","mrMLMM","pLARmEB","OWA19",0,1.1286e-05,3.1466,"G",NA,NA,NA,1e-04
"5022","PstI.TP678255",1,67745947,0.000170411931931554,0.2647,NA,NA,NA,NA,NA,NA,"O102+4322","PS_N","mrMLMM","ISIS EM-BLASSO","OWA19",1.2337,-0.0033,3.0689,"A",2e-04,3e-04,NA,2e-04
"5023","PstI.TP459121",1,78162835,8.99911910870052e-06,0.0735,NA,NA,NA,NA,NA,NA,"O102+4322","PS_N","mrMLMM","ISIS EM-BLASSO","OWA19",0,-0.019,4.2808,"C",NA,NA,NA,9e-06
"5024","PstI.TP729855",3,65126133,2.74599663052471e-06,0.0343,NA,NA,NA,NA,NA,NA,"O102+4322","PS_N","mrMLMM","ISIS EM-BLASSO","OWA19",3e-04,-1e-04,4.7744,"C",NA,NA,NA,3e-06
"5025","PstI.TP108989",1,2588793,2.66317680704052e-06,0.0446,NA,NA,NA,NA,NA,NA,"O112+3450","PS_N","mrMLMM","FASTmrMLM","OWA18",3.8432,-0.2098,4.7872,"C",0.0289,0.0405,NA,3e-06
"5026","PstI.TP980214",1,10687788,6.44762840643921e-05,0.4375,NA,NA,NA,NA,NA,NA,"O112+3450","PS_N","mrMLMM","FASTmrMLM","OWA18",6.9927,0.067,3.4672,"G",NA,NA,NA,6e-05
"5027","PstI.TP110898",10,9880843,2.28034207200042e-06,0.0536,NA,NA,NA,NA,NA,NA,"O112+3450","PS_N","mrMLMM","FASTmrMLM","OWA18",17.8762,0.1566,4.8519,"C",NA,NA,NA,2e-06
"5028","PstI.TP108989",1,2588793,6.98393196540885e-07,0.0446,NA,NA,NA,NA,NA,NA,"O112+3450","PS_N","mrMLMM","FASTmrEMMA","OWA18",12.9874,-0.4606,5.3462,"C",0.0306,0.0405,NA,7e-07
"5029","PstI.TP392482",1,17611146,2.32380670251764e-05,0.0223,NA,NA,NA,NA,NA,NA,"O112+3450","PS_N","mrMLMM","FASTmrEMMA","OWA18",7.859,-0.5464,3.8879,"A",NA,NA,NA,2e-05
"5030","PstI.TP108989",1,2588793,5.07925480365021e-05,0.0446,NA,NA,NA,NA,NA,NA,"O112+3450","PS_N","mrMLMM","pLARmEB","OWA18",1.8151,-0.2159,3.5653,"C",0.0338,0.0405,NA,5e-05
"5031","PstI.TP110898",10,9880843,4.50090659145616e-05,0.0536,NA,NA,NA,NA,NA,NA,"O112+3450","PS_N","mrMLMM","pLARmEB","OWA18",0.6339,0.0441,3.6151,"C",NA,NA,NA,5e-05
"5032","PstI.TP108989",1,2588793,3.58839299329486e-05,0.0409,NA,NA,NA,NA,NA,NA,"O112+3450","PS_N","mrMLMM","pKWmEB","OWA18",5.6286,-0.2088,3.7085,"C",0.0349,0.0405,NA,4e-05
"5033","PstI.TP108989",1,2588793,2.66317680704052e-06,0.0446,NA,NA,NA,NA,NA,NA,"O112+3450","PS_N","mrMLMM","ISIS EM-BLASSO","OWA18",3.8392,-0.2098,4.7872,"C",0.0289,0.0405,NA,3e-06
"5034","PstI.TP980214",1,10687788,6.44762840643921e-05,0.4375,NA,NA,NA,NA,NA,NA,"O112+3450","PS_N","mrMLMM","ISIS EM-BLASSO","OWA18",7.0313,0.0672,3.4672,"G",NA,NA,NA,6e-05
"5035","PstI.TP110898",10,9880843,2.28034207200042e-06,0.0536,NA,NA,NA,NA,NA,NA,"O112+3450","PS_N","mrMLMM","ISIS EM-BLASSO","OWA18",17.9191,0.1568,4.8519,"C",NA,NA,NA,2e-06
"5036","PstI.TP459121",1,78162835,5.72400494134464e-10,0.0727,NA,NA,NA,NA,NA,NA,"O112+3450","PS_N","mrMLMM","mrMLM","OWA19",0,-0.0182,8.3417,"C",1e-04,3e-04,NA,6e-10
"5037","PstI.TP982120",2,21428233,1.85267823707227e-06,0.0318,NA,NA,NA,NA,NA,NA,"O112+3450","PS_N","mrMLMM","mrMLM","OWA19",21.7636,0.0168,4.9386,"A",NA,NA,NA,2e-06
"5038","PstI.TP1010623",3,2603844,3.60412628649144e-05,0.0136,NA,NA,NA,NA,NA,NA,"O112+3450","PS_N","mrMLMM","mrMLM","OWA19",0,-0.0247,3.7067,"C",NA,NA,NA,4e-05
"5039","PstI.TP729855",3,65126133,2.37028189912978e-09,0.0318,NA,NA,NA,NA,NA,NA,"O112+3450","PS_N","mrMLMM","mrMLM","OWA19",9.7568,-0.0192,7.74,"C",NA,NA,NA,2e-09
"5040","PstI.TP166492",6,2200069,3.41585950686055e-05,0.1227,NA,NA,NA,NA,NA,NA,"O112+3450","PS_N","mrMLMM","mrMLM","OWA19",19.5857,0.0085,3.7288,"A",NA,NA,NA,3e-05
"5041","PstI.TP949022",11,6628,8.89201117857948e-06,0.0273,NA,NA,NA,NA,NA,NA,"O112+3450","PS_N","mrMLMM","mrMLM","OWA19",0,-0.0191,4.2857,"A",NA,NA,NA,9e-06
"5042","PstI.TP459121",1,78162835,2.93494522226979e-08,0.0714,NA,NA,NA,NA,NA,NA,"O112+3450","PS_N","mrMLMM","FASTmrMLM","OWA19",0,-0.0186,6.6775,"C",2e-04,3e-04,NA,3e-08
"5043","PstI.TP729855",3,65126133,3.57272838151929e-05,0.0312,NA,NA,NA,NA,NA,NA,"O112+3450","PS_N","mrMLMM","FASTmrMLM","OWA19",0.0533,-0.0014,3.7103,"C",NA,NA,NA,4e-05
"5044","PstI.TP1250222",11,8799,2.09170290710285e-05,0.0536,NA,NA,NA,NA,NA,NA,"O112+3450","PS_N","mrMLMM","FASTmrMLM","OWA19",0.5675,-0.0038,3.9314,"C",NA,NA,NA,2e-05
"5045","PstI.TP678255",1,67745947,3.77659140145266e-05,0.2679,NA,NA,NA,NA,NA,NA,"O112+3450","PS_N","mrMLMM","FASTmrEMMA","OWA19",2.2053,-0.0074,3.6874,"A",1e-04,3e-04,NA,4e-05
"5046","PstI.TP1010623",3,2603844,6.43428064992297e-05,0.0134,NA,NA,NA,NA,NA,NA,"O112+3450","PS_N","mrMLMM","FASTmrEMMA","OWA19",5.7218,-0.0482,3.4681,"C",NA,NA,NA,6e-05
"5047","PstI.TP775725",1,1175417,3.26964046834305e-06,0.067,NA,NA,NA,NA,NA,NA,"O112+3450","PS_N","mrMLMM","pLARmEB","OWA19",4.2688e-06,-1.2263e-05,4.7017,"A",1e-04,3e-04,NA,3e-06
"5048","PstI.TP775845",1,13537099,3.62660286244888e-05,0.0268,NA,NA,NA,NA,NA,NA,"O112+3450","PS_N","mrMLMM","pLARmEB","OWA19",0,1.4932e-05,3.7041,"C",NA,NA,NA,4e-05
"5049","PstI.TP392482",1,17611146,7.40116352782221e-18,0.0223,NA,NA,NA,NA,NA,NA,"O112+3450","PS_N","mrMLMM","pLARmEB","OWA19",0,-1e-04,16.0926,"A",NA,NA,NA,7e-18
"5050","PstI.TP678255",1,67745947,3.03109815358405e-11,0.2679,NA,NA,NA,NA,NA,NA,"O112+3450","PS_N","mrMLMM","pLARmEB","OWA19",0.1999,-0.0032,9.5889,"A",NA,NA,NA,3e-11
"5051","PstI.TP459121",1,78162835,1.12590046889494e-09,0.0714,NA,NA,NA,NA,NA,NA,"O112+3450","PS_N","mrMLMM","pLARmEB","OWA19",0,-0.018,8.0551,"C",NA,NA,NA,1e-09
"5052","PstI.TP790069",2,699673,1.32220866819026e-11,0.2723,NA,NA,NA,NA,NA,NA,"O112+3450","PS_N","mrMLMM","pLARmEB","OWA19",0.0202,6e-04,9.9416,"A",NA,NA,NA,1e-11
"5053","PstI.TP947087",2,13610693,0.000153285120636294,0.308,NA,NA,NA,NA,NA,NA,"O112+3450","PS_N","mrMLMM","pLARmEB","OWA19",0,3.6962e-05,3.1121,"A",NA,NA,NA,2e-04
"5054","PstI.TP476886",2,55394288,1.65348401217115e-05,0.2143,NA,NA,NA,NA,NA,NA,"O112+3450","PS_N","mrMLMM","pLARmEB","OWA19",0,-5.5292e-05,4.0286,"C",NA,NA,NA,2e-05
"5055","PstI.TP881184",2,76620224,6.16453041959877e-08,0.0938,NA,NA,NA,NA,NA,NA,"O112+3450","PS_N","mrMLMM","pLARmEB","OWA19",4e-04,1e-04,6.365,"A",NA,NA,NA,6e-08
"5056","PstI.TP1010623",3,2603844,1.75549662962124e-14,0.0134,NA,NA,NA,NA,NA,NA,"O112+3450","PS_N","mrMLMM","pLARmEB","OWA19",0,-2.2614e-05,12.7663,"C",NA,NA,NA,2e-14
"5057","PstI.TP141051",3,54726050,2.10184168026435e-11,0.0134,NA,NA,NA,NA,NA,NA,"O112+3450","PS_N","mrMLMM","pLARmEB","OWA19",0,-1.4384e-05,9.7445,"C",NA,NA,NA,2e-11
"5058","PstI.TP729855",3,65126133,5.27594184726996e-22,0.0312,NA,NA,NA,NA,NA,NA,"O112+3450","PS_N","mrMLMM","pLARmEB","OWA19",0.4797,-0.0106,20.1916,"C",NA,NA,NA,5e-22
"5059","PstI.TP198015",3,67910785,4.2825259178892e-06,0.0625,NA,NA,NA,NA,NA,NA,"O112+3450","PS_N","mrMLMM","pLARmEB","OWA19",0,1.0882e-05,4.5894,"C",NA,NA,NA,4e-06
"5060","PstI.TP410505",3,68268137,3.55795130559743e-07,0.2054,NA,NA,NA,NA,NA,NA,"O112+3450","PS_N","mrMLMM","pLARmEB","OWA19",6e-04,-1e-04,5.6287,"C",NA,NA,NA,4e-07
"5061","PstI.TP532325",5,18806244,4.99459180208248e-05,0.2054,NA,NA,NA,NA,NA,NA,"O112+3450","PS_N","mrMLMM","pLARmEB","OWA19",9.212e-05,-8.6166e-05,3.5722,"C",NA,NA,NA,5e-05
"5062","PstI.TP298201",6,1375822,6.94384471240981e-10,0.0938,NA,NA,NA,NA,NA,NA,"O112+3450","PS_N","mrMLMM","pLARmEB","OWA19",0.0911,0.0016,8.2598,"C",NA,NA,NA,7e-10
"5063","PstI.TP166492",6,2200069,3.01995172040202e-14,0.125,NA,NA,NA,NA,NA,NA,"O112+3450","PS_N","mrMLMM","pLARmEB","OWA19",0.0833,0.0014,12.5345,"A",NA,NA,NA,3e-14
"5064","PstI.TP33096",6,3180162,3.09813258848441e-05,0.1071,NA,NA,NA,NA,NA,NA,"O112+3450","PS_N","mrMLMM","pLARmEB","OWA19",0,7.5412e-05,3.7691,"C",NA,NA,NA,3e-05
"5065","PstI.TP404885",6,51199851,2.92819503557427e-05,0.0357,NA,NA,NA,NA,NA,NA,"O112+3450","PS_N","mrMLMM","pLARmEB","OWA19",6.0809e-06,1.9356e-05,3.7924,"A",NA,NA,NA,3e-05
"5066","PstI.TP53152",6,56671658,1.21338885046498e-05,0.0625,NA,NA,NA,NA,NA,NA,"O112+3450","PS_N","mrMLMM","pLARmEB","OWA19",2.5563e-05,3.0905e-05,4.1568,"A",NA,NA,NA,1e-05
"5067","PstI.TP774948",9,243415,8.19218969322868e-06,0.0714,NA,NA,NA,NA,NA,NA,"O112+3450","PS_N","mrMLMM","pLARmEB","OWA19",5.5052e-05,-1e-04,4.3198,"C",NA,NA,NA,8e-06
"5068","PstI.TP419219",9,1650258,1.47706633533782e-06,0.0893,NA,NA,NA,NA,NA,NA,"O112+3450","PS_N","mrMLMM","pLARmEB","OWA19",4e-04,-1e-04,5.0331,"A",NA,NA,NA,1e-06
"5069","PstI.TP1227790",9,48696731,1.82053905481112e-14,0.0134,NA,NA,NA,NA,NA,NA,"O112+3450","PS_N","mrMLMM","pLARmEB","OWA19",7.8696e-07,1.1107e-05,12.7507,"A",NA,NA,NA,2e-14
"5070","NsiI.TP228522",10,8197919,2.31259722406395e-05,0.3527,NA,NA,NA,NA,NA,NA,"O112+3450","PS_N","mrMLMM","pLARmEB","OWA19",5.8429e-05,3.0983e-05,3.8899,"C",NA,NA,NA,2e-05
"5071","PstI.TP282657",10,58159508,2.97783067962912e-17,0.0223,NA,NA,NA,NA,NA,NA,"O112+3450","PS_N","mrMLMM","pLARmEB","OWA19",6.9553e-06,2.5815e-05,15.496,"C",NA,NA,NA,3e-17
"5072","PstI.TP949022",11,6628,8.7136477588122e-09,0.0268,NA,NA,NA,NA,NA,NA,"O112+3450","PS_N","mrMLMM","pLARmEB","OWA19",0,-9.4541e-05,7.1898,"A",NA,NA,NA,9e-09
"5073","PstI.TP459121",1,78162835,7.83790508535616e-07,0.0714,NA,NA,NA,NA,NA,NA,"O112+3450","PS_N","mrMLMM","ISIS EM-BLASSO","OWA19",0,-0.0186,5.298,"C",2e-04,3e-04,NA,8e-07
"5074","PstI.TP729855",3,65126133,0.000186723938838295,0.0312,NA,NA,NA,NA,NA,NA,"O112+3450","PS_N","mrMLMM","ISIS EM-BLASSO","OWA19",9e-04,-2e-04,3.0315,"C",NA,NA,NA,2e-04
"5075","PstI.TP1250222",11,8799,6.6726754213864e-05,0.0536,NA,NA,NA,NA,NA,NA,"O112+3450","PS_N","mrMLMM","ISIS EM-BLASSO","OWA19",0.5262,-0.0037,3.4531,"C",NA,NA,NA,7e-05
"5076","PstI.TP244587",11,1996,0.000109849984505838,0.1107,NA,NA,NA,NA,NA,NA,"O122+2646","PS_N","mrMLMM","FASTmrEMMA","OWA18",6.4075,-0.255,3.2485,"C",0.0366,0.0437,NA,1e-04
"5077","PstI.TP1257104",3,2916484,1.15557995540213e-05,0.2336,NA,NA,NA,NA,NA,NA,"O122+2646","PS_N","mrMLMM","pLARmEB","OWA18",3.5612,-0.0755,4.177,"A",0.0398,0.0437,NA,1e-05
