"","SB","GI"
"11983","Sb06g024130","Sobic.006G165300"
"11984","Sb06g024135","null"
"12016","Sb06g024380","Sobic.006G168100"
"12017","Sb06g024390","Sobic.006G168200"
"12036","Sb06g024540","Sobic.006G170000"
"12061","Sb06g024770","Sobic.006G172500"
"12063","Sb06g024790","null"
"12067","Sb06g024830","Sobic.006G173000"
"12083","Sb06g024970","Sobic.006G174600"
"12087","Sb06g025010","Sobic.006G175100"
"12096","Sb06g025090","Sobic.006G176100"
"12112","Sb06g025250","Sobic.006G177800"
"12121","Sb06g025330","Sobic.006G178700"
"12182","Sb06g025870","Sobic.006G184400"
"12185","Sb06g025900","Sobic.006G184800"
"12190","Sb06g025936","null"
"12216","Sb06g026170","Sobic.006G188000"
"12234","Sb06g026350","Sobic.006G190100"
"12251","Sb06g026470","Sobic.006G191600"
"12256","Sb06g026500","Sobic.006G192100"
"12326","Sb06g027090","Sobic.006G198800"
"12405","Sb06g027725","Sobic.006G206200"
"12407","Sb06g027740","Sobic.006G206500"
"12412","Sb06g027790","Sobic.006G207000"
"12413","Sb06g027800","Sobic.006G207100"
"12423","Sb06g027900","Sobic.006G208100"
"12425","Sb06g027920","Sobic.006G208300"
"12447","Sb06g028090","Sobic.006G210300"
"12462","Sb06g028210","Sobic.006G211400"
"12510","Sb06g028630","Sobic.006G216300"
"12516","Sb06g028680","Sobic.006G216900"
"12524","Sb06g028750","Sobic.006G217800"
"12525","Sb06g028760","Sobic.006G217900"
"12529","Sb06g028800","Sobic.006G218300"
"12547","Sb06g028970","Sobic.006G220200"
"12560","Sb06g029100","Sobic.006G221500"
"12577","Sb06g029230","null"
"12579","Sb06g029250","null"
"12600","Sb06g029420","Sobic.006G225200"
"12617","Sb06g029550","Sobic.006G226800"
"12619","Sb06g029570","Sobic.006G227000"
"12648","Sb06g029780","Sobic.006G229900"
"12655","Sb06g029850","Sobic.006G230700"
"12658","Sb06g029880","Sobic.006G231100"
"12684","Sb06g030130","null"
"12694","Sb06g030215","null"
"12696","Sb06g030230","Sobic.006G235300"
"12723","Sb06g030440","Sobic.006G237600"
"12756","Sb06g030740","null"
"12757","Sb06g030750","Sobic.006G241400"
"12778","Sb06g030940","Sobic.006G243600"
"12782","Sb06g030980","Sobic.006G244000"
"12812","Sb06g031250","Sobic.006G247300"
"12823","Sb06g031353","null"
"12866","Sb06g031740","Sobic.006G252600"
"12874","Sb06g031790","Sobic.006G253900"
"12876","Sb06g031805","Sobic.006G254200"
"12888","Sb06g031910","Sobic.006G255400"
"12889","Sb06g031920","Sobic.006G255500"
"12984","Sb06g032790","Sobic.006G265400"
"13090","Sb06g033760","Sobic.006G276300"
"13102","Sb06g033850","Sobic.006G277600"
"13103","Sb06g033860","Sobic.006G277700"
"13111","Sb06g033940","Sobic.006G278600"
"13118","Sb06g034010","Sobic.006G279400"
"13159","Sb05g000310","Sobic.005G001500"
"13173","Sb05g000390","Sobic.005G002700"
"13199","Sb05g000600","Sobic.005G005100"
"13234","Sb05g000900","Sobic.005G009600"
"13257","Sb05g001035","Sobic.005G011600"
"13267","Sb05g001100","Sobic.005G012800"
"13277","Sb05g001170","Sobic.005G013500"
"13280","Sb05g001190","Sobic.005G013900"
"13281","Sb05g001200","Sobic.005G014000"
"13294","Sb05g001300","Sobic.005G015200"
"13303","Sb05g001380","Sobic.005G016400"
"13304","Sb05g001390","Sobic.005G016500"
"13308","Sb05g001430","Sobic.005G016800"
"13323","Sb05g001560","Sobic.005G018300"
"13348","Sb05g001745","Sobic.005G020400"
"13359","Sb05g001840","Sobic.005G021800"
"13366","Sb05g001910","Sobic.005G022600"
"13367","Sb05g001915","Sobic.005G022700"
"13437","Sb05g002470","Sobic.005G029400"
"13457","Sb05g002640","Sobic.005G031100"
"13472","Sb05g002710","Sobic.005G032200"
"13487","Sb05g002840","null"
"13515","Sb05g003100","Sobic.005G037000"
"13518","Sb05g003130","Sobic.005G037300"
"13526","Sb05g003190","Sobic.005G038300"
"13538","Sb05g003300","Sobic.005G039600"
"13551","Sb05g003400","Sobic.005G041000"
"13596","Sb05g003780","Sobic.005G045600"
"13612","Sb05g003920","Sobic.005G047700"
"13614","Sb05g003930","Sobic.005G047800"
"13620","Sb05g003946","Sobic.005G048200"
"13621","Sb05g003950","Sobic.005G048400"
"13652","Sb05g004170","Sobic.005G051200"
"13659","Sb05g004210","null"
"13701","Sb05g004530","Sobic.005G055300"
"13702","Sb05g004540","Sobic.005G055400"
"13705","Sb05g004560","Sobic.005G055900"
"13721","Sb05g004660","Sobic.005G057700"
"13748","Sb05g004900","Sobic.005G060200"
"13749","Sb05g004910","Sobic.005G060300"
"13801","Sb05g005480","Sobic.005G064900"
"13803","Sb05g005490","Sobic.005G065000"
"13868","Sb05g005856","Sobic.005G070900"
"13893","Sb05g005980","Sobic.005G072300"
"13922","Sb05g006190","Sobic.005G075800"
"13972","Sb05g006450","Sobic.005G079100"
"13983","Sb05g006550","null"
"14050","Sb05g006850","null"
"14053","Sb05g006880","Sobic.005G084300"
"14077","Sb05g007030","Sobic.005G086400"
"14079","Sb05g007043","Sobic.005G086600"
"14119","Sb05g007310","Sobic.005G089600"
"14150","Sb05g007770","Sobic.005G092200"
"14214","Sb05g008370","Sobic.005G096600"
"14230","Sb05g008470","Sobic.005G097800"
"14231","Sb05g008475","Sobic.005G097900"
"14246","Sb05g008570","Sobic.005G099500"
"14250","Sb05g008600","Sobic.005G099700"
"14274","Sb05g008750","Sobic.005G101300"
"14286","Sb05g008830","Sobic.005G101900"
"14297","Sb05g008910","Sobic.005G102300"
"14302","Sb05g009125","null"
"14303","Sb05g009130","null"
"14304","Sb05g009140","null"
"14306","Sb05g009350","Sobic.005G103300"
"14355","Sb05g010090","Sobic.005G107800"
"14365","Sb05g010328","null"
"14369","Sb05g010360","Sobic.005G109000"
"14414","Sb05g012960","Sobic.005G111200"
"14415","Sb05g013160","Sobic.005G111400"
"14427","Sb05g013840","Sobic.005G112400"
"14467","Sb05g016440","null"
"14509","Sb05g016880","Sobic.005G116600"
"14526","Sb05g017160","Sobic.005G118400"
"14566","Sb05g017980","Sobic.005G121800"
"14572","Sb05g018030","Sobic.005G122500"
"14586","Sb05g018520","Sobic.005G124600"
"14598","Sb05g018800","Sobic.005G126200"
"14612","Sb05g018890","Sobic.005G127000"
"14620","Sb05g018936","null"
"14624","Sb05g018970","Sobic.005G127800"
"14632","Sb05g019020","null"
"14633","Sb05g019030","null"
"14658","Sb05g019180","null"
"14659","Sb05g019190","null"
"14662","Sb05g019210","Sobic.005G130400"
"14676","Sb05g019490","Sobic.005G131300"
"14719","Sb05g019810","Sobic.005G134200"
"14753","Sb05g020200","Sobic.005G137000"
"14755","Sb05g020220","Sobic.005G137200"
"14835","Sb05g021030","Sobic.005G145300"
"14842","Sb05g021173","null"
"14859","Sb05g021330","null"
"14871","Sb05g021410","Sobic.005G149700"
"14872","Sb05g021412","null"
"14897","Sb05g021550","Sobic.005G151700"
"14919","Sb05g021680","Sobic.005G154000"
"14921","Sb05g021695","Sobic.005G154300"
"14922","Sb05g021700","null"
"14944","Sb05g021870","Sobic.005G156500"
"14970","Sb05g022050","Sobic.005G158000"
"14991","Sb05g022260","Sobic.005G160700"
"14994","Sb05g022280","Sobic.005G161100"
"15002","Sb05g022350","Sobic.005G162000"
"15004","Sb05g022370","Sobic.005G162300"
"15018","Sb05g022480","Sobic.005G163800"
"15028","Sb05g022570","Sobic.005G165100"
"15029","Sb05g022580","Sobic.005G165200"
"15038","Sb05g022660","Sobic.005G165900"
"15046","Sb05g022730","Sobic.005G166900"
"15054","Sb05g022790","Sobic.005G167500"
"15073","Sb05g022940","Sobic.005G169200"
"15074","Sb05g022950","Sobic.005G169300"
"15075","Sb05g022960","Sobic.005G169400"
"15093","Sb05g023110","Sobic.005G170900"
"15097","Sb05g023150","Sobic.005G171300"
"15107","Sb05g023220","Sobic.005G172400"
"15128","Sb05g023510","null"
"15150","Sb05g023710","Sobic.005G177600"
"15169","Sb05g023870","Sobic.005G179400"
"15170","Sb05g023873","Sobic.005G179500"
"15204","Sb05g024100","Sobic.005G182500"
"15205","Sb05g024105","null"
"15209","Sb05g024126","Sobic.005G182800"
"15215","Sb05g024150","Sobic.005G183100"
"15218","Sb05g024180","Sobic.005G183300"
"15221","Sb05g024200","null"
"15222","Sb05g024210","Sobic.005G183500"
"15226","Sb05g024240","Sobic.005G183900"
"15252","Sb05g024440","Sobic.005G186500"
"15253","Sb05g024450","Sobic.005G186700"
"15254","Sb05g024460","Sobic.005G186800"
"15267","Sb05g024565","Sobic.005G188200"
"15287","Sb05g024750","Sobic.005G190900"
"15296","Sb05g024830","null"
"15303","Sb05g024900","Sobic.005G192300"
"15309","Sb05g024940","Sobic.005G192600"
"15323","Sb05g025080","Sobic.005G194100"
"15357","Sb05g025360","Sobic.005G196600"
"15380","Sb05g025560","Sobic.005G198400"
"15395","Sb05g025670","null"
"15409","Sb05g025770","Sobic.005G202000"
"15415","Sb05g025820","Sobic.005G202500"
"15429","Sb05g025910","Sobic.005G204000"
"15444","Sb05g026040","Sobic.005G205300"
"15448","Sb05g026070","Sobic.005G206000"
"15450","Sb05g026090","Sobic.005G206300"
"15456","Sb05g026136","null"
"15457","Sb05g026140","null"
"15463","Sb05g026175","Sobic.005G207800"
"15465","Sb05g026180","Sobic.005G208000"
"15467","Sb05g026185","Sobic.005G208100"
"15470","Sb05g026200","null"
"15480","Sb05g026276","null"
"15509","Sb05g026480","Sobic.005G212600"
"15510","Sb05g026490","Sobic.005G212700"
"15531","Sb05g026650","Sobic.005G215400"
"15534","Sb05g026670","Sobic.005G215500"
"15535","Sb05g026680","Sobic.005G215600"
"15536","Sb05g026690","Sobic.005G215700"
"15539","Sb05g026710","Sobic.005G216100"
"15550","Sb05g026810","Sobic.005G217000"
"15553","Sb05g026816","Sobic.005G217100"
"15554","Sb05g026820","Sobic.005G217200"
"15567","Sb05g026890","Sobic.005G217900"
"15579","Sb05g026990","Sobic.005G219000"
"15582","Sb05g027000","Sobic.005G219300"
"15604","Sb05g027150","Sobic.005G220900"
"15630","Sb05g027380","Sobic.005G224900"
"15632","Sb05g027400","Sobic.005G225200"
"15637","Sb05g027440","Sobic.005G226000"
"15638","Sb05g027450","Sobic.005G226100"
"15639","Sb05g027460","null"
"15681","Sb05g027783","Sobic.005G230200"
"15682","Sb05g027785","Sobic.005G230300"
"15695","Sb05g027880","Sobic.005G231600"
"15703","Sb04g000200","null"
"15710","Sb04g000260","Sobic.004G000700"
"15716","Sb04g000320","Sobic.004G001300"
"15762","Sb04g000690","null"
"15763","Sb04g000700","null"
"15792","Sb04g000890","null"
"15795","Sb04g000920","Sobic.004G008600"
"15797","Sb04g000940","Sobic.004G008900"
"15798","Sb04g000950","Sobic.004G009000"
"15801","Sb04g000980","Sobic.004G009300"
"15840","Sb04g001230","null"
"15852","Sb04g001350","Sobic.004G013800"
"15866","Sb04g001460","Sobic.004G015400"
"15903","Sb04g001760","Sobic.004G018900"
"15907","Sb04g001800","Sobic.004G019300"
"15908","Sb04g001810","Sobic.004G019400"
"15949","Sb04g002075","Sobic.004G023300"
"16038","Sb04g002800","Sobic.004G032300"
"16039","Sb04g002810","Sobic.004G032400"
"16074","Sb04g003100","Sobic.004G035900"
"16075","Sb04g003110","null"
"16086","Sb04g003210","Sobic.004G037300"
"16090","Sb04g003250","Sobic.004G037900"
"16139","Sb04g003630","Sobic.004G041900"
"16145","Sb04g003675","Sobic.004G042400"
"16167","Sb04g003840","Sobic.004G044800"
"16168","Sb04g003850","null"
"16199","Sb04g004120","Sobic.004G048200"
"16231","Sb04g004370","Sobic.004G051100"
"16249","Sb04g004510","Sobic.004G053200"
"16313","Sb04g005090","Sobic.004G060700"
"16333","Sb04g005240","Sobic.004G063100"
"16347","Sb04g005350","Sobic.004G064400"
"16348","Sb04g005360","Sobic.004G064500"
"16366","Sb04g005520","Sobic.004G065900"
"16393","Sb04g005760","Sobic.004G068700"
"16418","Sb04g005960","Sobic.004G071200"
"16436","Sb04g006087","null"
"16535","Sb04g006890","Sobic.004G083600"
"16569","Sb04g007200","null"
"16577","Sb04g007260","Sobic.004G087700"
"16578","Sb04g007270","Sobic.004G087800"
"16606","Sb04g007500","Sobic.004G091600"
"16617","Sb04g007600","Sobic.004G092800"
"16621","Sb04g007640","Sobic.004G093200"
"16655","Sb04g007890","Sobic.004G095600"
"16668","Sb04g007990","Sobic.004G097100"
"16755","Sb04g008640","Sobic.004G106000"
"16757","Sb04g008660","Sobic.004G106200"
"16763","Sb04g008720","Sobic.004G106900"
"16777","Sb04g008850","Sobic.004G108100"
"16817","Sb04g009150","Sobic.004G111800"
"16819","Sb04g009170","Sobic.004G112100"
"16839","Sb04g009360","Sobic.004G114500"
"16848","Sb04g009600","Sobic.004G115500"
"16855","Sb04g009670","null"
"16857","Sb04g009690","null"
"16863","Sb04g009750","Sobic.004G117000"
"16870","Sb04g009800","Sobic.004G117600"
"16885","Sb04g009860","null"
"16918","Sb04g010130","Sobic.004G121400"
"16955","Sb04g010420","Sobic.004G124800"
"16993","Sb04g011090","Sobic.004G128400"
"17014","Sb04g011240","Sobic.004G129700"
"17053","Sb04g012430","Sobic.004G132600"
"17060","Sb04g012680","null"
"17064","Sb04g012910","Sobic.004G133500"
"17065","Sb04g012920","Sobic.004G133600"
"17081","Sb04g013790","Sobic.004G134700"
"17130","Sb04g016540","Sobic.004G138400"
"17136","Sb04g016950","Sobic.004G139000"
"17142","Sb04g017170","Sobic.004G139700"
"17288","Sb04g019730","Sobic.004G148600"
"17298","Sb04g019783","Sobic.004G149400"
"17450","Sb04g021490","Sobic.004G163200"
"17455","Sb04g021540","Sobic.004G163700"
"17471","Sb04g021680","Sobic.004G165500"
"17497","Sb04g021910","Sobic.004G167700"
"17498","Sb04g021920","Sobic.004G167800"
"17517","Sb04g022070","Sobic.004G169200"
"17518","Sb04g022080","Sobic.004G169300"
"17521","Sb04g022105","null"
"17535","Sb04g022180","Sobic.004G170600"
"17572","Sb04g022520","Sobic.004G175000"
"17622","Sb04g022860","Sobic.004G179000"
"17637","Sb04g022990","null"
"17645","Sb04g023060","Sobic.004G181300"
"17660","Sb04g023170","Sobic.004G182300"
"17663","Sb04g023200","Sobic.004G182700"
"17684","Sb04g023400","Sobic.004G185100"
"17700","Sb04g023545","null"
"17703","Sb04g023570","Sobic.004G187300"
"17729","Sb04g023760","Sobic.004G189400"
"17730","Sb04g023770","Sobic.004G189500"
"17749","Sb04g023950","Sobic.004G191300"
"17765","Sb04g024090","Sobic.004G193000"
"17770","Sb04g024130","Sobic.004G193400"
"17778","Sb04g024200","Sobic.004G194700"
"17781","Sb04g024220","Sobic.004G195000"
"17784","Sb04g024250","null"
"17789","Sb04g024290","Sobic.004G196000"
"17799","Sb04g024380","Sobic.004G196900"
"17800","Sb04g024390","Sobic.004G197000"
"17801","Sb04g024400","Sobic.004G197100"
"17808","Sb04g024460","Sobic.004G197800"
"17854","Sb04g024800","Sobic.004G201800"
"17868","Sb04g024930","Sobic.004G203000"
"17870","Sb04g024950","Sobic.004G203200"
"17884","Sb04g025080","Sobic.004G204600"
"17906","Sb04g025260","Sobic.004G207200"
"17907","Sb04g025270","Sobic.004G207300"
"17920","Sb04g025400","Sobic.004G208400"
"17923","Sb04g025430","Sobic.004G208700"
"17948","Sb04g025640","Sobic.004G211000"
"17952","Sb04g025680","null"
"17986","Sb04g026010","Sobic.004G214900"
"18008","Sb04g026190","Sobic.004G216700"
"18016","Sb04g026260","Sobic.004G217500"
"18034","Sb04g026430","Sobic.004G219400"
"18040","Sb04g026480","Sobic.004G219800"
"18051","Sb04g026570","Sobic.004G220900"
"18064","Sb04g026690","null"
"18067","Sb04g026720","Sobic.004G222700"
"18102","Sb04g027050","Sobic.004G226100"
"18119","Sb04g027210","Sobic.004G227700"
"18123","Sb04g027250","Sobic.004G228100"
"18133","Sb04g027330","Sobic.004G228900"
"18138","Sb04g027370","Sobic.004G229300"
"18154","Sb04g027470","Sobic.004G230800"
"18169","Sb04g027610","Sobic.004G232500"
"18173","Sb04g027650","Sobic.004G232900"
"18266","Sb04g028360","Sobic.004G242900"
"18268","Sb04g028380","Sobic.004G243100"
"18270","Sb04g028400","Sobic.004G243300"
"18272","Sb04g028415","Sobic.004G243500"
"18312","Sb04g028755","Sobic.004G247700"
"18320","Sb04g028830","Sobic.004G248500"
"18335","Sb04g028960","null"
"18350","Sb04g029100","Sobic.004G251500"
"18366","Sb04g029255","null"
"18384","Sb04g029400","Sobic.004G255000"
"18390","Sb04g029440","Sobic.004G255600"
"18463","Sb04g030135","Sobic.004G263100"
"18485","Sb04g030330","Sobic.004G265200"
"18557","Sb04g031000","Sobic.004G272600"
"18630","Sb04g031590","Sobic.004G279300"
"18634","Sb04g031630","Sobic.004G279700"
"18639","Sb04g031680","Sobic.004G280200"
"18641","Sb04g031700","Sobic.004G280400"
"18645","Sb04g031740","Sobic.004G280900"
"18650","Sb04g031790","Sobic.004G281400"
"18667","Sb04g031950","Sobic.004G283200"
"18668","Sb04g031960","null"
"18677","Sb04g032030","Sobic.004G284200"
"18704","Sb04g032280","Sobic.004G287000"
"18757","Sb04g032740","Sobic.004G293500"
"18773","Sb04g032890","Sobic.004G295000"
"18794","Sb04g033090","null"
"18823","Sb04g033330","Sobic.004G299600"
"18826","Sb04g033350","Sobic.004G299900"
"18829","Sb04g033380","Sobic.004G300300"
"18867","Sb04g033705","null"
"18868","Sb04g033710","Sobic.004G304000"
"18871","Sb04g033740","Sobic.004G304300"
"18879","Sb04g033820","Sobic.004G305000"
"18915","Sb04g034136","null"
"18916","Sb04g034140","Sobic.004G309000"
"18919","Sb04g034160","Sobic.004G309300"
"18923","Sb04g034200","Sobic.004G309700"
"18927","Sb04g034240","Sobic.004G310100"
"18961","Sb04g034520","Sobic.004G313100"
"18980","Sb04g034680","Sobic.004G315100"
"18981","Sb04g034690","Sobic.004G315200"
"18985","Sb04g034720","Sobic.004G315600"
"19024","Sb04g035030","null"
"19034","Sb04g035120","Sobic.004G320800"
"19035","Sb04g035130","Sobic.004G321000"
"19062","Sb04g035390","Sobic.004G323800"
"19069","Sb04g035440","Sobic.004G324300"
"19073","Sb04g035465","Sobic.004G324800"
"19128","Sb04g035930","Sobic.004G330400"
"19151","Sb04g036150","Sobic.004G332800"
"19162","Sb04g036250","Sobic.004G334100"
"19206","Sb04g036600","Sobic.004G338200"
"19225","Sb04g036780","Sobic.004G340300"
"19232","Sb04g036850","Sobic.004G341000"
"19264","Sb04g037140","Sobic.004G344200"
"19268","Sb04g037180","Sobic.004G344600"
"19280","Sb04g037290","Sobic.004G345900"
"19339","Sb04g037820","Sobic.004G351400"
"19362","Sb04g038040","Sobic.004G353700"
"19389","Sb04g038290","Sobic.004G356400"
"19441","Sb03g000300","Sobic.003G001300"
"19467","Sb03g000550","Sobic.003G004200"
"19505","Sb03g000810","Sobic.003G007400"
"19510","Sb03g000850","Sobic.003G007800"
"19522","Sb03g000960","null"
"19529","Sb03g001030","Sobic.003G009700"
"19531","Sb03g001040","Sobic.003G009900"
"19534","Sb03g001070","Sobic.003G010200"
"19550","Sb03g001180","Sobic.003G011600"
"19640","Sb03g001930","Sobic.003G018800"
"19643","Sb03g001960","null"
"19647","Sb03g001990","Sobic.003G018000"
"19657","Sb03g002090","Sobic.003G022300"
"19682","Sb03g002340","Sobic.003G024400"
"19698","Sb03g002490","Sobic.003G026400"
"19711","Sb03g002590","Sobic.003G027600"
"19746","Sb03g002910","Sobic.003G031100"
"19749","Sb03g002935","Sobic.003G031500"
"19767","Sb03g003050","Sobic.003G033500"
"19775","Sb03g003110","Sobic.003G034400"
"19793","Sb03g003280","Sobic.003G036700"
"19799","Sb03g003310","null"
"19825","Sb03g003530","Sobic.003G039400"
"19841","Sb03g003650","Sobic.003G040900"
"19859","Sb03g003760","Sobic.003G042900"
"19867","Sb03g003830","Sobic.003G043600"
"19891","Sb03g004020","Sobic.003G045900"
"19906","Sb03g004150","Sobic.003G047700"
"19909","Sb03g004180","Sobic.003G047900"
"19927","Sb03g004330","Sobic.003G049700"
"19930","Sb03g004360","Sobic.003G050100"
"19932","Sb03g004380","Sobic.003G050300"
"19944","Sb03g004490","Sobic.003G051600"
"19949","Sb03g004540","Sobic.003G052300"
"19973","Sb03g004730","Sobic.003G055300"
"19986","Sb03g004850","Sobic.003G056800"
"20061","Sb03g005480","null"
"20062","Sb03g005490","Sobic.003G064300"
"20064","Sb03g005510","Sobic.003G064500"
"20071","Sb03g005570","Sobic.003G065400"
"20097","Sb03g005800","Sobic.003G068200"
"20104","Sb03g005840","Sobic.003G068600"
"20108","Sb03g005860","Sobic.003G068800"
"20111","Sb03g005870","Sobic.003G069200"
"20134","Sb03g006040","Sobic.003G071300"
"20155","Sb03g006210","null"
"20163","Sb03g006290","Sobic.003G074500"
"20177","Sb03g006410","Sobic.003G076100"
"20178","Sb03g006415","null"
"20207","Sb03g006680","Sobic.003G079200"
"20221","Sb03g006780","Sobic.003G080900"
"20230","Sb03g006870","Sobic.003G081900"
"20231","Sb03g006880","Sobic.003G082000"
"20232","Sb03g006890","Sobic.003G082100"
"20233","Sb03g006900","Sobic.003G082200"
"20236","Sb03g006920","Sobic.003G082500"
"20242","Sb03g006980","Sobic.003G083000"
"20264","Sb03g007170","Sobic.003G085300"
"20268","Sb03g007210","Sobic.003G085700"
"20275","Sb03g007270","Sobic.003G086600"
"20287","Sb03g007360","Sobic.003G087600"
"20340","Sb03g007730","Sobic.003G092500"
"20344","Sb03g007770","Sobic.003G092900"
"20345","Sb03g007780","Sobic.003G093000"
"20371","Sb03g008000","Sobic.003G095500"
"20372","Sb03g008010","Sobic.003G095600"
"20382","Sb03g008100","Sobic.003G096400"
"20383","Sb03g008110","Sobic.003G096500"
"20392","Sb03g008170","Sobic.003G097200"
"20394","Sb03g008190","Sobic.003G097900"
"20401","Sb03g008260","Sobic.003G098700"
"20408","Sb03g008330","Sobic.003G099400"
"20412","Sb03g008350","Sobic.003G100000"
"20438","Sb03g008560","Sobic.003G102200"
"20460","Sb03g008760","Sobic.003G104600"
"20464","Sb03g008800","Sobic.003G104900"
"20480","Sb03g008940","Sobic.003G106400"
"20482","Sb03g008970","Sobic.003G106600"
"20483","Sb03g008980","Sobic.003G106800"
"20491","Sb03g009060","Sobic.003G107800"
"20497","Sb03g009110","Sobic.003G108500"
"20529","Sb03g009370","Sobic.003G111300"
"20532","Sb03g009400","null"
"20574","Sb03g009800","Sobic.003G116400"
"20578","Sb03g009840","Sobic.003G116800"
"20585","Sb03g009910","Sobic.003G117600"
"20592","Sb03g009970","Sobic.003G118300"
"20627","Sb03g010280","Sobic.003G121400"
"20646","Sb03g010470","Sobic.003G123700"
"20685","Sb03g010820","Sobic.003G127800"
"20727","Sb03g011200","Sobic.003G131500"
"20733","Sb03g011240","Sobic.003G131800"
"20738","Sb03g011290","Sobic.003G132400"
"20759","Sb03g011430","Sobic.003G134400"
"20761","Sb03g011450","Sobic.003G134600"
"20824","Sb03g011950","Sobic.003G140200"
"20827","Sb03g011980","Sobic.003G140600"
"20845","Sb03g012310","Sobic.003G142300"
"20849","Sb03g012350","Sobic.003G142800"
"20852","Sb03g012360","Sobic.003G143000"
"20886","Sb03g012610","Sobic.003G146000"
"20895","Sb03g012690","Sobic.003G146700"
"20936","Sb03g013010","Sobic.003G149800"
"21016","Sb03g013670","Sobic.003G156900"
"21043","Sb03g013850","Sobic.003G159100"
"21168","Sb03g017600","Sobic.003G169100"
"21371","Sb03g024260","Sobic.003G183000"
"21379","Sb03g024480","Sobic.003G183600"
"21406","Sb03g024850","Sobic.003G185100"
"21432","Sb03g025270","Sobic.003G187800"
"21467","Sb03g025520","Sobic.003G191000"
"21485","Sb03g025650","Sobic.003G193000"
"21550","Sb03g026170","Sobic.003G199400"
"21582","Sb03g026430","Sobic.003G202200"
"21603","Sb03g026620","Sobic.003G204200"
"21605","Sb03g026630","Sobic.003G204600"
"21606","Sb03g026640","Sobic.003G204800"
"21619","Sb03g026750","Sobic.003G205900"
"21625","Sb03g026790","Sobic.003G206400"
"21633","Sb03g026840","Sobic.003G206900"
"21646","Sb03g026915","Sobic.003G207900"
"21662","Sb03g027040","Sobic.003G209900"
"21705","Sb03g027330","Sobic.003G214000"
"21803","Sb03g028240","Sobic.003G224100"
"21806","Sb03g028270","Sobic.003G224400"
"21829","Sb03g028410","Sobic.003G226300"
"21836","Sb03g028470","Sobic.003G226800"
"21856","Sb03g028630","Sobic.003G228300"
"21857","Sb03g028640","Sobic.003G228400"
"21858","Sb03g028650","Sobic.003G228500"
"21861","Sb03g028680","Sobic.003G228700"
"21863","Sb03g028700","Sobic.003G229000"
"21870","Sb03g028760","null"
"21882","Sb03g028880","Sobic.003G230900"
"21910","Sb03g029150","Sobic.003G233800"
"21912","Sb03g029160","Sobic.003G234000"
"21913","Sb03g029170","Sobic.003G234200"
"21914","Sb03g029180","Sobic.003G234400"
"21935","Sb03g029380","Sobic.003G236400"
"21989","Sb03g029890","Sobic.003G242200"
"21993","Sb03g029920","Sobic.003G242800"
"21995","Sb03g029940","Sobic.003G243000"
"22012","Sb03g030100","Sobic.003G244600"
"22028","Sb03g030260","Sobic.003G246300"
"22061","Sb03g030570","Sobic.003G249400"
"22074","Sb03g030680","Sobic.003G250600"
"22135","Sb03g031150","Sobic.003G256700"
"22157","Sb03g031300","Sobic.003G258700"
"22167","Sb03g031390","Sobic.003G259800"
"22199","Sb03g031670","null"
"22200","Sb03g031680","Sobic.003G263300"
"22203","Sb03g031700","Sobic.003G263500"
"22235","Sb03g031960","Sobic.003G266700"
"22247","Sb03g032050","Sobic.003G267900"
"22253","Sb03g032100","Sobic.003G268600"
"22254","Sb03g032110","null"
"22256","Sb03g032130","Sobic.003G268800"
"22257","Sb03g032140","Sobic.003G268900"
"22258","Sb03g032150","Sobic.003G269000"
"22262","Sb03g032190","Sobic.003G269300"
"22284","Sb03g032380","Sobic.003G271800"
"22289","Sb03g032420","Sobic.003G272200"
"22297","Sb03g032500","Sobic.003G273000"
"22339","Sb03g032830","Sobic.003G276400"
"22349","Sb03g032930","Sobic.003G277500"
"22362","Sb03g033045","Sobic.003G278600"
"22377","Sb03g033170","Sobic.003G280100"
"22404","Sb03g033420","null"
"22406","Sb03g033440","Sobic.003G283100"
"22439","Sb03g033680","Sobic.003G285900"
"22447","Sb03g033740","Sobic.003G286600"
"22476","Sb03g033960","Sobic.003G289000"
"22489","Sb03g034090","Sobic.003G290300"
"22627","Sb03g035290","Sobic.003G304300"
"22650","Sb03g035520","Sobic.003G306700"
"22679","Sb03g035800","Sobic.003G309700"
"22684","Sb03g035840","Sobic.003G310200"
"22713","Sb03g036070","Sobic.003G312600"
"22715","Sb03g036090","Sobic.003G313000"
"22716","Sb03g036100","Sobic.003G313100"
"22723","Sb03g036160","Sobic.003G313800"
"22728","Sb03g036190","Sobic.003G314200"
"22778","Sb03g036610","Sobic.003G319200"
"22780","Sb03g036630","Sobic.003G319400"
"22830","Sb03g037085","null"
"22902","Sb03g037700","Sobic.003G331500"
"22904","Sb03g037720","Sobic.003G331700"
"22952","Sb03g038160","Sobic.003G337400"
"22953","Sb03g038170","Sobic.003G337500"
"22954","Sb03g038180","Sobic.003G337600"
"22956","Sb03g038200","Sobic.003G337800"
"22957","Sb03g038210","Sobic.003G337900"
"22963","Sb03g038270","null"
"22970","Sb03g038330","Sobic.003G339200"
"23000","Sb03g038620","Sobic.003G342100"
"23020","Sb03g038810","Sobic.003G344400"
"23023","Sb03g038840","Sobic.003G344700"
"23061","Sb03g039220","Sobic.003G349200"
"23066","Sb03g039270","Sobic.003G349700"
"23075","Sb03g039360","Sobic.003G350700"
"23081","Sb03g039405","null"
"23082","Sb03g039410","Sobic.003G351400"
