"","X","SNP","Gene","ID","Chromosome","Position","P.value","MAF","PVE","Trait.names","PS","Ind.SNP","FarmCPU","mrMLM","GAPIT","Gene.num","chr","start","end","width","strand","dis_start.positon","dis_positon.end","X.pacId","locusName","transcriptName","peptideName","Pfam","Panther","KOG","ec","KO","GO","Best.hit.arabi.name","arabi.symbol","arabi.defline","Best.hit.rice.name","rice.symbol","rice.defline"
"98",160,"NsiI.TP58591","Sobic.001G140300","OWA19.34",1,11198433,1.45e-06,0.3083,8.0227,"OWA19","PS_Y(1)","122+35256im(1)","","mrMLM(1)","",1,"Chr01",11195137,11198205,3069,"-",-3296,228,37938709,"Sobic.001G140300","Sobic.001G140300.1","Sobic.001G140300.1.p","PF02018,PF00331","PTHR31490,PTHR31490:SF1","","3.2.1.8","","GO:0016798,GO:0005975,GO:0004553","AT1G58370.1","ATXYN1,RXF12","glycosyl hydrolase family 10 protein / carbohydrate-binding domain-containing protein","LOC_Os03g47010.1",NA,"glycosyl hydrolase family 10 protein, putative, expressed"
"99",162,"NsiI.TP614629","Sobic.002G233200","OWA19.36",2,62417756,4.72e-22,0.0294,0.0075,"OWA19","PS_N(1)","O102+4322(1)","","FASTmrMLM(1)","",1,"Chr02",62408042,62409044,1003,"+",-9714,8712,37950083,"Sobic.002G233200","Sobic.002G233200.1","Sobic.002G233200.1.p","PF02298","PTHR33021,PTHR33021:SF65","","","","GO:0009055","AT2G32300.1","UCC1","uclacyanin 1","LOC_Os09g29390.1",NA,"plastocyanin-like domain containing protein, putative, expressed"
"100",163,"NsiI.TP614629","Sobic.002G233400","OWA19.36",2,62417756,4.72e-22,0.0294,0.0075,"OWA19","PS_N(1)","O102+4322(1)","","FASTmrMLM(1)","",2,"Chr02",62417242,62418471,1230,"+",-514,-715,37954236,"Sobic.002G233400","Sobic.002G233400.2","Sobic.002G233400.2.p","PF02298","PTHR33021,PTHR33021:SF65","","","","GO:0009055","AT1G72230.1","","Cupredoxin superfamily protein","LOC_Os09g29390.1",NA,"plastocyanin-like domain containing protein, putative, expressed"
"101",164,"NsiI.TP614629","Sobic.002G233500","OWA19.36",2,62417756,4.72e-22,0.0294,0.0075,"OWA19","PS_N(1)","O102+4322(1)","","FASTmrMLM(1)","",1,"Chr02",62421423,62422382,960,"+",3667,-4626,37952513,"Sobic.002G233500","Sobic.002G233500.1","Sobic.002G233500.1.p","PF02298","PTHR33021,PTHR33021:SF65","","","","GO:0009055","AT2G32300.1","UCC1","uclacyanin 1","LOC_Os09g29390.1",NA,"plastocyanin-like domain containing protein, putative, expressed"
"102",165,"NsiI.TP614629","Sobic.002G233300","OWA19.36",2,62417756,4.72e-22,0.0294,0.0075,"OWA19","PS_N(1)","O102+4322(1)","","FASTmrMLM(1)","",1,"Chr02",62413060,62414511,1452,"+",-4696,3245,37950252,"Sobic.002G233300","Sobic.002G233300.1","Sobic.002G233300.1.p","PF02298","PTHR33021,PTHR33021:SF65","","","","GO:0009055","AT1G72230.1","","Cupredoxin superfamily protein","LOC_Os09g29390.1",NA,"plastocyanin-like domain containing protein, putative, expressed"
"104",169,"NsiI.TP624872","Sobic.004G259101","OWA18.9",4,60455775,0.000170373,0.0245,5.1705,"OWA18","PS_Y(1)","O102+4322(1)","","FASTmrEMMA(1)","",1,"Chr04",60439416,60456664,17249,"-",-16359,-889,37929485,"Sobic.004G259101","Sobic.004G259101.1","Sobic.004G259101.1.p","PF02115","PTHR10980,PTHR10980:SF18","KOG3205","","","GO:0005737,GO:0005094","AT3G07880.1","SCN1","Immunoglobulin E-set superfamily protein","LOC_Os02g48730.1",NA,"rho GDP-dissociation inhibitor 1, putative, expressed"
"107",172,"NsiI.TP640755","Sobic.002G124700","OWA19.37",2,16850781,0.000110624,0.058035714,7.074583692,"OWA19","PS_Y(1)","O112+3450(1)","FarmCPU(1)","","",1,"Chr02",16844700,16848362,3663,"-",-6081,2419,37954462,"Sobic.002G124700","Sobic.002G124700.1","Sobic.002G124700.1.p","PF00230","PTHR19139,PTHR19139:SF137","KOG0223","","K09872","GO:0016020,GO:0006810,GO:0005215","AT2G37170.1","PIP2;2,PIP2B","plasma membrane intrinsic protein 2","LOC_Os07g26690.1",NA,"aquaporin protein, putative, expressed"
"108",173,"NsiI.TP641200","Sobic.001G040900","OWA18.10",1,3051168,2.34e-05,0.025,35.1614,"OWA18","PS_N(1);PS_Y(1)","122+35256im(2)","","mrMLM(2)","",1,"Chr01",3050241,3051916,1676,"+",-927,-748,37939389,"Sobic.001G040900","Sobic.001G040900.1","Sobic.001G040900.1.p","PF02365","PTHR31719,PTHR31719:SF41","","","","GO:0006355,GO:0003677","AT2G18060.1","ANAC037,VND1","vascular related NAC-domain protein 1","LOC_Os03g59730.1",NA,"No apical meristem protein, putative, expressed"
"109",174,"NsiI.TP641200","Sobic.001G041000","OWA18.10",1,3051168,2.34e-05,0.025,35.1614,"OWA18","PS_N(1);PS_Y(1)","122+35256im(2)","","mrMLM(2)","",1,"Chr01",3053758,3055583,1826,"+",2590,-4415,37938943,"Sobic.001G041000","Sobic.001G041000.1","Sobic.001G041000.1.p","PF00444","PTHR18804,PTHR18804:SF12","KOG4122","","K02919","GO:0006412,GO:0005840,GO:0005622,GO:0003735","AT5G20180.1","","Ribosomal protein L36","LOC_Os03g59720.1",NA,"ribosomal protein L36 containing protein, expressed"
"110",175,"NsiI.TP641200","Sobic.001G041100","OWA18.10",1,3051168,2.34e-05,0.025,35.1614,"OWA18","PS_N(1);PS_Y(1)","122+35256im(2)","","mrMLM(2)","",1,"Chr01",3055765,3057351,1587,"-",4597,-6183,37944367,"Sobic.001G041100","Sobic.001G041100.1","Sobic.001G041100.1.p","PF00076","PTHR12785","KOG0114","","K12833","GO:0003676","AT5G12190.1","","RNA-binding (RRM/RBD/RNP motifs) family protein","LOC_Os03g59710.1",NA,"RNA recognition motif containing protein, putative, expressed"
"111",176,"NsiI.TP641200","Sobic.001G041200","OWA18.10",1,3051168,2.34e-05,0.025,35.1614,"OWA18","PS_N(1);PS_Y(1)","122+35256im(2)","","mrMLM(2)","",1,"Chr01",3057449,3061041,3593,"+",6281,-9873,37943856,"Sobic.001G041200","Sobic.001G041200.1","Sobic.001G041200.1.p","PF00160","PTHR11071,PTHR11071:SF58","KOG0879","5.2.1.8","K09567","GO:0006457,GO:0003755,GO:0000413","AT2G38730.1","","Cyclophilin-like peptidyl-prolyl cis-trans isomerase family protein","LOC_Os03g59700.1",NA,"peptidyl-prolyl cis-trans isomerase, putative, expressed"
"113",178,"NsiI.TP671324","Sobic.004G027000","OWA19.38",4,2161341,3.4e-13,0.0147,0,"OWA19","PS_N(1)","O102+4322(1)","","FASTmrMLM(1)","",1,"Chr04",2156770,2160056,3287,"+",-4571,1285,37932352,"Sobic.004G027000","Sobic.004G027000.1","Sobic.004G027000.1.p","PF03145","PTHR10315,PTHR10315:SF34","KOG3002","6.3.2.19","K04506","GO:0007275,GO:0006511,GO:0005634","AT3G58040.1","SINAT2","seven in absentia of Arabidopsis 2","LOC_Os02g03620.1",NA,"seven in absentia protein family domain containing protein, expressed"
"116",182,"NsiI.TP671324","Sobic.004G027100","OWA19.38",4,2161341,3.4e-13,0.0147,0,"OWA19","PS_N(1)","O102+4322(1)","","FASTmrMLM(1)","",1,"Chr04",2161035,2164714,3680,"-",-306,-3373,37930405,"Sobic.004G027100","Sobic.004G027100.1","Sobic.004G027100.1.p","PF08477","PTHR11711,PTHR11711:SF200","KOG0070","","K07977","GO:0007264,GO:0005525","AT5G17060.1","ARFB1B,ATARFB1B","ADP-ribosylation factor B1B","LOC_Os02g03610.1",NA,"ADP-ribosylation factor, putative, expressed"
"118",184,"NsiI.TP678261","Sobic.008G133100","OWA19.39",8,55967248,4.39e-06,0.0205,0.056,"OWA19","PS_N(1)","122+35256im(1)","","pLARmEB(1)","",1,"Chr08",55967541,55971627,4087,"-",293,-4379,37927620,"Sobic.008G133100","Sobic.008G133100.1","Sobic.008G133100.1.p","PF13947,PF07714","PTHR27005,PTHR27005:SF6","KOG1187","2.7.11.1","","GO:0030247,GO:0006468,GO:0004672","AT1G21210.1","WAK4","wall associated kinase 4","LOC_Os02g41500.1",NA,"OsWAK13 - OsWAK receptor-like protein kinase, expressed"
"121",188,"NsiI.TP718157","Sobic.003G097900","OWA18.12",3,8632016,2.84e-05,0.0458,15.7514,"OWA18","PS_N(1)","122+35256im(1)","","mrMLM(1)","",1,"Chr03",8626250,8627845,1596,"-",-5766,4171,37917147,"Sobic.003G097900","Sobic.003G097900.1","Sobic.003G097900.1.p","","PTHR10315,PTHR10315:SF30","","6.3.2.19","","GO:0007275,GO:0006511,GO:0005634","AT5G37870.1","","Protein with RING/U-box and TRAF-like domains","LOC_Os01g03290.1",NA,"seven in absentia protein family domain containing protein, expressed"
"122",190,"NsiI.TP724799","Sobic.004G353400","OWA18.13",4,68146066,0.000185738,0.0697,14.4361,"OWA18","PS_Y(1)","122+35256im(1)","","ISIS EM-BLASSO(1)","",1,"Chr04",68146887,68152858,5972,"-",821,-6792,37932568,"Sobic.004G353400","Sobic.004G353400.1","Sobic.004G353400.1.p","PF00560,PF13855","PTHR23155","KOG0472","","","GO:0005515","AT3G15410.1","","Leucine-rich repeat (LRR) family protein","LOC_Os02g58030.1",NA,"leucine-rich repeat-containing protein 40, putative, expressed"
"124",192,"NsiI.TP724799","Sobic.004G353200","OWA18.13",4,68146066,0.000185738,0.0697,14.4361,"OWA18","PS_Y(1)","122+35256im(1)","","ISIS EM-BLASSO(1)","",1,"Chr04",68135946,68140167,4222,"-",-10120,5899,37930741,"Sobic.004G353200","Sobic.004G353200.1","Sobic.004G353200.1.p","PF01399","PTHR10855,PTHR10855:SF1","","","K03035","GO:0005515","AT5G09900.1","EMB2107,MSA,RPN5A","26S proteasome regulatory subunit, putative (RPN5)","LOC_Os03g63430.1",NA,"proteasome subunit, putative, expressed"
"131",201,"NsiI.TP806172","Sobic.002G199000","OWA19.43",2,58871698,7.56e-06,0.2869,3.921,"OWA19","PS_N(1);PS_Y(1)","122+35256im(2)","","FASTmrMLM(1);pLARmEB(1)","",2,"Chr02",58871181,58873698,2518,"-",-517,-2000,37954292,"Sobic.002G199000","Sobic.002G199000.2","Sobic.002G199000.2.p","PF00856,PF09273","PTHR13271,PTHR13271:SF29","KOG1337","2.1.1.259","K00592","GO:0005515","AT1G14030.1","","Rubisco methyltransferase family protein","LOC_Os09g24530.1",NA,"ribulose-1,5 bisphosphate carboxylase/oxygenase large subunit N-methyltransferase, chloroplast precursor, putative, expressed"
"134",206,"PstI.TP1000873","Sobic.007G144300","OWA19.44",7,57426488,0.000140896,0.0588,0,"OWA19","PS_N(1)","O102+4322(1)","","pLARmEB(1)","",1,"Chr07",57424956,57428879,3924,"+",-1532,-2391,37935775,"Sobic.007G144300","Sobic.007G144300.1","Sobic.007G144300.1.p","PF08282,PF00982","PTHR10788,PTHR10788:SF24","","2.4.1.15,3.1.3.12","K16055","GO:0005992,GO:0003824","AT4G17770.1","ATTPS5,TPS5","trehalose phosphatase/synthase 5","LOC_Os08g34580.1",NA,"trehalose-6-phosphate synthase, putative, expressed"
"135",207,"PstI.TP1000873","Sobic.007G144400","OWA19.44",7,57426488,0.000140896,0.0588,0,"OWA19","PS_N(1)","O102+4322(1)","","pLARmEB(1)","",1,"Chr07",57436275,57437516,1242,"+",9787,-11028,37935822,"Sobic.007G144400","Sobic.007G144400.1","Sobic.007G144400.1.p","PF02458","PTHR31642,PTHR31642:SF55","","2.3.1.188","K15400","GO:0016747","AT5G41040.1","","HXXXD-type acyl-transferase family protein","LOC_Os11g31090.1",NA,"transferase family protein, putative, expressed"
"137",209,"PstI.TP1009084","Sobic.008G041100","OWA18.14",8,3978036,2.95e-07,0.2828,1.69e-06,"OWA18","PS_N(1)","122+35256im(1)","","pLARmEB(1)","",1,"Chr08",3974205,3975994,1790,"-",-3831,2042,37926766,"Sobic.008G041100","Sobic.008G041100.1","Sobic.008G041100.1.p","PF02362","PTHR31140,PTHR31140:SF19","","","","GO:0003677","AT3G11580.1","","AP2/B3-like transcriptional factor family protein","LOC_Os12g06080.1",NA,"expressed protein"
"138",210,"PstI.TP1010623","Sobic.003G029600","OWA19.45",3,2603844,0.000141873,0.015,8.7994,"OWA19","PS_N(5);PS_Y(4)","O102+4322(3);O112+3450(5);O122+2646(1)","","mrMLM(3);FASTmrMLM(1);FASTmrEMMA(4);pLARmEB(1)","",1,"Chr03",2602291,2608868,6578,"+",-1553,-5024,37913084,"Sobic.003G029600","Sobic.003G029600.1","Sobic.003G029600.1.p","PF00400,PF04053,PF06957","PTHR19876,PTHR19876:SF5","","","K05236","GO:0005515,GO:0030117,GO:0016192,GO:0006886,GO:0005198,GO:0030126","AT1G62020.1","","Coatomer, alpha subunit","LOC_Os09g04110.2",NA,"coatomer alpha subunit, putative, expressed"
"139",211,"PstI.TP1010623","Sobic.003G029700","OWA19.45",3,2603844,0.000141873,0.015,8.7994,"OWA19","PS_N(5);PS_Y(4)","O102+4322(3);O112+3450(5);O122+2646(1)","","mrMLM(3);FASTmrMLM(1);FASTmrEMMA(4);pLARmEB(1)","",1,"Chr03",2611997,2619784,7788,"+",8153,-15940,37916558,"Sobic.003G029700","Sobic.003G029700.1","Sobic.003G029700.1.p","PF00069","PTHR11909,PTHR11909:SF185","KOG1164","2.7.11.1","","GO:0006468,GO:0005524,GO:0004672","AT2G25760.1","","Protein kinase family protein","LOC_Os05g11140.2",NA,"CK1_CaseinKinase_1a.5 - CK1 includes the casein kinase 1 kinases, expressed"
"140",212,"PstI.TP1010623","Sobic.003G029500","OWA19.45",3,2603844,0.000141873,0.015,8.7994,"OWA19","PS_N(5);PS_Y(4)","O102+4322(3);O112+3450(5);O122+2646(1)","","mrMLM(3);FASTmrMLM(1);FASTmrEMMA(4);pLARmEB(1)","",1,"Chr03",2595830,2599790,3961,"-",-8014,4054,37913663,"Sobic.003G029500","Sobic.003G029500.1","Sobic.003G029500.1.p","PF00069,PF13639,PF00400","PTHR22844,PTHR22844:SF215","KOG0645,KOG0279","2.7.11.7","","GO:0006468,GO:0005524,GO:0004672,GO:0008270,GO:0005515","AT1G21651.1","","zinc ion binding","LOC_Os05g34880.1",NA,"zinc finger, C3HC4 type family protein, expressed"
"143",215,"PstI.TP1014707","Sobic.001G321900","OWA19.46",1,60949616,1.47e-05,0.192622951,1.530129317,"OWA19","PS_N(1)","O122+2646(1)","FarmCPU(1)","","",1,"Chr01",60935360,60939904,4545,"+",-14256,9712,37941378,"Sobic.001G321900","Sobic.001G321900.1","Sobic.001G321900.1.p","PF07714","PTHR24057","","2.7.11.1,2.7.11.26","","GO:0006468,GO:0004672","AT4G00720.1","ASKTHETA,ATSK32,SK32","shaggy-like protein kinase 32","LOC_Os10g37740.1",NA,"CGMC_GSK.9 - CGMC includes CDA, MAPK, GSK3, and CLKC kinases, expressed"
"145",217,"PstI.TP1040489","Sobic.004G061400","OWA19.47",4,4932783,0.000147877,0.0292,9.2999,"OWA19","PS_Y(2)","122+35256im(2)","","mrMLM(1);FASTmrMLM(1)","",2,"Chr04",4933922,4963814,29893,"-",1139,-31031,37931795,"Sobic.004G061400","Sobic.004G061400.2","Sobic.004G061400.2.p","PF00690,PF12515,PF00702,PF00689,PF00122","PTHR24093,PTHR24093:SF359","","3.6.3.8","K01537","GO:0005516,GO:0046872,GO:0000166","AT5G57110.2","ACA8,AT-ACA8","autoinhibited Ca2+ -ATPase, isoform 8","LOC_Os04g51610.1",NA,"calcium-transporting ATPase, plasma membrane-type, putative, expressed"
"146",218,"PstI.TP1075817","Sobic.001G128300","OWA19.48",1,10117174,2.25e-14,0.0167,21.8535,"OWA19","PS_Y(1)","122+35256im(1)","","mrMLM(1)","",1,"Chr01",10096139,10108071,11933,"+",-21035,9103,37941100,"Sobic.001G128300","Sobic.001G128300.1","Sobic.001G128300.1.p","PF00571,PF00654","PTHR11689,PTHR11689:SF92","","","K05016","GO:0055085,GO:0016020,GO:0006821,GO:0005247","AT5G26240.1","ATCLC-D,CLC-D","chloride channel D","LOC_Os03g48940.1",NA,"chloride channel protein CLC-d, putative, expressed"
"148",221,"PstI.TP1075817","Sobic.001G128400","OWA19.48",1,10117174,2.25e-14,0.0167,21.8535,"OWA19","PS_Y(1)","122+35256im(1)","","mrMLM(1)","",1,"Chr01",10108298,10111086,2789,"+",-8876,6088,37944466,"Sobic.001G128400","Sobic.001G128400.1","Sobic.001G128400.1.p","PF00227","PTHR11599,PTHR11599:SF6","KOG0177","3.4.25.1","K02734","GO:0051603,GO:0005839,GO:0004298","AT3G22630.1","PBD1,PRCGB","20S proteasome beta subunit D1","LOC_Os03g48930.1",NA,"peptidase, T1 family, putative, expressed"
"149",222,"PstI.TP1075817","Sobic.001G128800","OWA19.48",1,10117174,2.25e-14,0.0167,21.8535,"OWA19","PS_Y(1)","122+35256im(1)","","mrMLM(1)","",1,"Chr01",10123501,10125087,1587,"+",6327,-7913,37942550,"Sobic.001G128800","Sobic.001G128800.1","Sobic.001G128800.1.p","PF00642","PTHR24009,PTHR24009:SF3","","","","GO:0046872","AT5G12440.1","","CCCH-type zinc fingerfamily protein with RNA-binding domain","LOC_Os07g48410.2",NA,"RNA-binding zinc finger protein, putative, expressed"
"151",224,"PstI.TP1084308","Sobic.004G143475","OWA19.49",4,42752899,4.51e-05,0.073770492,1.450292086,"OWA19","PS_Y(1)","O122+2646(1)","FarmCPU(1)","","",1,"Chr04",42679459,42767795,88337,"-",-73440,-14896,37931774,"Sobic.004G143475","Sobic.004G143475.1","Sobic.004G143475.1.p","PF00168,PF16909,PF06650,PF06101,PF12624,PF16910,PF16908","PTHR16166,PTHR16166:SF93","KOG1809","","","GO:0005515","AT1G48090.1","","calcium-dependent lipid-binding family protein","LOC_Os02g27110.1",NA,"expressed protein"
"153",226,"PstI.TP108989","Sobic.001G034100","OWA18.15",1,2588793,7.45e-06,0.0446,16.0617,"OWA18","PS_N(8);PS_Y(7)","O102+4322(6);O112+3450(9)","","FASTmrMLM(2);FASTmrEMMA(4);ISIS EM-BLASSO(4);pKWmEB(1);pLARmEB(4)","",1,"Chr01",2587306,2590571,3266,"+",-1487,-1778,37942966,"Sobic.001G034100","Sobic.001G034100.1","Sobic.001G034100.1.p","PF00481","PTHR13832,PTHR13832:SF228","KOG0700","3.1.3.16","","GO:0003824,GO:0006470,GO:0004722","AT2G28890.1","PLL4","poltergeist like 4","LOC_Os03g60650.1",NA,"protein phosphatase 2C, putative, expressed"
"154",227,"PstI.TP108989","Sobic.001G034200","OWA18.15",1,2588793,7.45e-06,0.0446,16.0617,"OWA18","PS_N(8);PS_Y(7)","O102+4322(6);O112+3450(9)","","FASTmrMLM(2);FASTmrEMMA(4);ISIS EM-BLASSO(4);pKWmEB(1);pLARmEB(4)","",1,"Chr01",2592125,2595232,3108,"+",3332,-6439,37942056,"Sobic.001G034200","Sobic.001G034200.1","Sobic.001G034200.1.p","PF01158","PTHR10114","KOG3452","","K02920","GO:0006412,GO:0005840,GO:0005622,GO:0003735","AT2G37600.1","","Ribosomal protein L36e family protein","LOC_Os01g62350.1",NA,"60S ribosomal protein L36-2, putative, expressed"
"155",228,"PstI.TP1094695","Sobic.001G383800","OWA19.50",1,67135061,1.32e-07,0.123,23.1753,"OWA19","PS_Y(1)","122+35256im(1)","","ISIS EM-BLASSO(1)","",1,"Chr01",67122589,67126203,3615,"+",-12472,8858,37938306,"Sobic.001G383800","Sobic.001G383800.1","Sobic.001G383800.1.p","PF13499,PF13405","PTHR10891,PTHR10891:SF602","KOG0027","","K13448","GO:0005509","AT4G20780.1","CML42","calmodulin like 42","LOC_Os03g21380.1",NA,"OsCML27 - Calmodulin-related calcium sensor protein, expressed"
"157",230,"PstI.TP1094695","Sobic.001G384100","OWA19.50",1,67135061,1.32e-07,0.123,23.1753,"OWA19","PS_Y(1)","122+35256im(1)","","ISIS EM-BLASSO(1)","",1,"Chr01",67144358,67148346,3989,"-",9297,-13285,37942633,"Sobic.001G384100","Sobic.001G384100.1","Sobic.001G384100.1.p","PF06415,PF01676","PTHR31637,PTHR31637:SF3","","5.4.2.12,5.4.2.11","K15633","GO:0030145,GO:0006007,GO:0005737,GO:0004619,GO:0046872,GO:0003824","AT1G09780.1","","Phosphoglycerate mutase, 2,3-bisphosphoglycerate-independent","LOC_Os03g21260.1",NA,"2,3-bisphosphoglycerate-independent phosphoglycerate mutase, putative, expressed"
"161",235,"PstI.TP1098875","Sobic.004G339800","OWA19.51",4,67156223,4e-05,0.053571429,1.366324481,"OWA19","PS_N(1)","O112+3450(1)","FarmCPU(1)","","",2,"Chr04",67154250,67159910,5661,"-",-1973,-3687,37932013,"Sobic.004G339800","Sobic.004G339800.2","Sobic.004G339800.2.p","PF03105,PF03124","PTHR10783,PTHR10783:SF53","KOG1162","","","GO:0016021","AT3G23430.1","ATPHO1,PHO1","phosphate 1","LOC_Os02g56510.1",NA,"phosphate transporter 1, putative, expressed"
"162",238,"PstI.TP1102210","Sobic.006G203400","OWA19.53",6,55405319,8.12e-05,0.3811,4.8e-06,"OWA19","PS_N(1)","122+35256im(1)","","pLARmEB(1)","",1,"Chr06",55407501,55411315,3815,"-",2182,-5996,37947882,"Sobic.006G203400","Sobic.006G203400.1","Sobic.006G203400.1.p","PF08880,PF08879","PTHR31602,PTHR31602:SF13","","","","GO:0006355,GO:0005634,GO:0005524,GO:0032502,GO:0006351","AT3G13960.1","AtGRF5,GRF5","growth-regulating factor 5","LOC_Os04g51190.2",NA,"growth-regulating factor, putative, expressed"
"163",239,"PstI.TP1102210","Sobic.006G203300","OWA19.53",6,55405319,8.12e-05,0.3811,4.8e-06,"OWA19","PS_N(1)","122+35256im(1)","","pLARmEB(1)","",1,"Chr06",55400976,55405685,4710,"-",-4343,-366,37947081,"Sobic.006G203300","Sobic.006G203300.1","Sobic.006G203300.1.p","PF12537,PF12430","PTHR15948","","","","GO:0016020","AT1G64990.1","GTG1","GPCR-type G protein 1","LOC_Os04g51180.1",NA,"GPR89A, putative, expressed"
"170",250,"PstI.TP1151255","Sobic.001G503900","OWA19.54",1,77213117,5.95e-08,0.0625,1.541500873,"OWA19","PS_N(1);PS_Y(1)","O112+3450(1);O122+2646(1)","FarmCPU(2)","","",1,"Chr01",77218640,77223738,5099,"+",5523,-10621,37939265,"Sobic.001G503900","Sobic.001G503900.1","Sobic.001G503900.1.p","PF05063","PTHR13107,PTHR13107:SF0","KOG2097","2.1.1.62","","GO:0008168,GO:0006139","AT4G09980.1","EMB1691","Methyltransferase MT-A70 family protein","LOC_Os01g16180.2",NA,"MT-A70 domain containing protein, expressed"
"172",252,"PstI.TP1164091","Sobic.006G215050","OWA19.55",6,56319647,0.00022679,0.286885246,2.709887709,"OWA19","PS_N(1)","O122+2646(1)","FarmCPU(1)","","",1,"Chr06",56321881,56326157,4277,"-",2234,-6510,37947205,"Sobic.006G215050","Sobic.006G215050.1","Sobic.006G215050.1.p","PF04434,PF10551,PF03101","PTHR31669,PTHR31669:SF56","","","","GO:0008270,GO:0006355","AT4G38180.1","FRS5","FAR1-related sequence 5","LOC_Os04g52560.1",NA,"transposon protein, putative, unclassified, expressed"
"173",253,"PstI.TP1164091","Sobic.006G215100","OWA19.55",6,56319647,0.00022679,0.286885246,2.709887709,"OWA19","PS_N(1)","O122+2646(1)","FarmCPU(1)","","",1,"Chr06",56326378,56330018,3641,"-",6731,-10371,37947040,"Sobic.006G215100","Sobic.006G215100.1","Sobic.006G215100.1.p","","PTHR31218,PTHR31218:SF32","","","","GO:0022857,GO:0016021","AT1G56080.1","","","LOC_Os04g52570.1",NA,"expressed protein"
"174",254,"PstI.TP1164091","Sobic.006G215000","OWA19.55",6,56319647,0.00022679,0.286885246,2.709887709,"OWA19","PS_N(1)","O122+2646(1)","FarmCPU(1)","","",1,"Chr06",56315381,56321716,6336,"+",-4266,-2069,37947707,"Sobic.006G215000","Sobic.006G215000.1","Sobic.006G215000.1.p","PF16488,PF08699,PF16486,PF02170,PF02171","PTHR22891,PTHR22891:SF4","","","K11593","GO:0005515,GO:0003676","AT1G31280.1","AGO2","Argonaute family protein","LOC_Os04g52540.1",NA,"retrotransposon protein, putative, unclassified, expressed"
"175",255,"PstI.TP117081","Sobic.002G153700","OWA19.56",2,45986549,1.56e-06,0.080357143,8.778082824,"OWA19","PS_N(1)","O112+3450(1)","FarmCPU(1)","","",2,"Chr02",45970904,45987364,16461,"-",-15645,-815,37954302,"Sobic.002G153700","Sobic.002G153700.2","Sobic.002G153700.2.p","PF08638","PTHR12809:SF3,PTHR12809","","","K15156","GO:0001104,GO:0006357,GO:0016592","AT3G04740.1","ATMED14,MED14,SWP","RNA polymerase II transcription mediators","LOC_Os09g10960.1",NA,"SWP, putative, expressed"
"176",257,"PstI.TP1172225","Sobic.006G021900","OWA19.57",6,3890042,1.79e-16,0.0147,0.0026,"OWA19","PS_N(1)","O102+4322(1)","","FASTmrMLM(1)","",1,"Chr06",3876047,3890735,14689,"+",-13995,-693,37947978,"Sobic.006G021900","Sobic.006G021900.1","Sobic.006G021900.1.p","PF00005,PF00664","PTHR24223,PTHR24223:SF230","","3.6.3.44","K05665","GO:0016887,GO:0005524,GO:0055085,GO:0042626,GO:0016021,GO:0006810","AT2G47800.1","ATMRP4,EST3,MRP4","multidrug resistance-associated protein 4","LOC_Os04g13220.1",NA,"ABC transporter family protein, putative, expressed"
"177",259,"PstI.TP1172225","Sobic.006G022000","OWA19.57",6,3890042,1.79e-16,0.0147,0.0026,"OWA19","PS_N(1)","O102+4322(1)","","FASTmrMLM(1)","",2,"Chr06",3894788,3898513,3726,"-",4746,-8471,37948019,"Sobic.006G022000","Sobic.006G022000.2","Sobic.006G022000.2.p","PF02362","PTHR31674,PTHR31674:SF4","","","","GO:0003677","AT4G00260.1","MEE45","Transcriptional factor B3 family protein","LOC_Os04g27960.1",NA,"B3 DNA binding domain containing protein, expressed"
"178",263,"PstI.TP1200270","Sobic.002G111000","OWA19.58",2,13518060,7.76e-05,0.1125,13.32959188,"OWA19","PCA=3(1);PS_N(1);PS_Y(4)","O122+2646(6)","FarmCPU(2)","mrMLM(1);FASTmrMLM(1);pLARmEB(1)","rrBLUP(1)",1,"Chr02",13510967,13526982,16016,"-",-7093,-8922,37953260,"Sobic.002G111000","Sobic.002G111000.1","Sobic.002G111000.1.p","PF01546","PTHR12147,PTHR12147:SF22","KOG2194","","","GO:0016787,GO:0008152","AT1G67420.1","","Zn-dependent exopeptidases superfamily protein","LOC_Os07g19530.1",NA,"peptidase, putative, expressed"
"180",265,"PstI.TP1220022","Sobic.005G126800","OWA19.59",5,55219391,0.000100415,0.1189,4.81e-05,"OWA19","PS_N(1)","122+35256im(1)","","pLARmEB(1)","",1,"Chr05",55216868,55220999,4132,"-",-2523,-1608,37925864,"Sobic.005G126800","Sobic.005G126800.1","Sobic.005G126800.1.p","PF00155","PTHR13693,PTHR13693:SF62","","2.3.1.50","K00654","GO:0030170,GO:0009058","AT5G23670.1","LCB2","long chain base2","LOC_Os11g31640.1",NA,"serine palmitoyltransferase 2, putative, expressed"
"181",266,"PstI.TP1220022","Sobic.005G126701","OWA19.59",5,55219391,0.000100415,0.1189,4.81e-05,"OWA19","PS_N(1)","122+35256im(1)","","pLARmEB(1)","",1,"Chr05",55204080,55213706,9627,"-",-15311,5685,37925036,"Sobic.005G126701","Sobic.005G126701.1","Sobic.005G126701.1.p","PF00155","PTHR13693,PTHR13693:SF62","","2.3.1.50","","GO:0030170,GO:0009058","AT5G23670.1","LCB2","long chain base2","LOC_Os11g31640.1",NA,"serine palmitoyltransferase 2, putative, expressed"
