TAIR Accession	Locus	Gene Model	Gene Type	Description	Other Name(Type)	Keywords	Is full length cDNA
Gene:1005715009	AT2G38170	AT2G38170.2	protein_coding	Encodes a high affinity vacuolar calcium antiporter.  The residue His 338 is critical to Ca2+ transport activity. Disruption of CAX1 reduces manganese and zinc of shoot tissue and results in a decrease in the activity of vacuolar V-type proton ATPase.	ATCAX1; CATION EXCHANGER 1; CAX1; RARE COLD INDUCIBLE 4; RCI4	 chloroplast, vacuole, vascular leaf, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, calcium ion transmembrane transport, calcium ion transmembrane transporter activity, calcium ion transport, calcium:cation antiporter activity, calcium:proton antiporter activity, carpel, cauline leaf, cellular calcium ion homeostasis, cellular manganese ion homeostasis, cellular zinc ion homeostasis, chloroplast, cold acclimation, collective leaf structure, cotyledon, flower, flower pedicel, flowering stage, fruit, guard cell, hypocotyl, inflorescence meristem, integral component of membrane, leaf apex, leaf lamina base, mature plant embryo stage, petal, petal differentiation and expansion stage, petiole, phosphate ion homeostasis, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, plant-type vacuole membrane, pollen, portion of vascular tissue, protein binding, response to salt stress, root, seed, sepal, shoot apex, shoot system, stamen, stem, vacuolar membrane, vacuole, vascular leaf, vascular leaf senescent stage	true
Gene:1005714251	AT4G13850	AT4G13850.2	protein_coding	Encodes a glycine-rich RNA-binding protein. Gene expression is induced by cold.	ATGRP2; GLYCINE RICH PROTEIN 2; GLYCINE-RICH RNA-BINDING PROTEIN 2; GR-RBP2; GRP2; RBGA5; RNA-BINDING GLYCINE-RICH PROTEIN A5	 Golgi apparatus, mitochondrion, ATP binding, fruit, cotyledon, vascular leaf, seedling development stage, ATP binding, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, NOT Golgi apparatus, RNA binding, carpel, cauline leaf, cold acclimation, collective leaf structure, copper ion binding, cotyledon, cytosol, double-stranded DNA binding, flower, flower pedicel, flowering stage, fruit, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mRNA binding, mRNA processing, mature plant embryo stage, misfolded RNA binding, mitochondrion, negative regulation of DNA-templated transcription, termination, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, pollen, response to cold, response to osmotic stress, response to salt stress, response to water deprivation, ribonucleoprotein complex, root, rosette leaf, seed, seed germination, seed germination stage, seedling development stage, sepal, shoot apex, shoot system, single-stranded DNA binding, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:1005714526	AT3G14080	AT3G14080.2	protein_coding	Small nuclear ribonucleoprotein family protein;(source:Araport11)	LSM1B; SM-LIKE 1B	 nucleus, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, Lsm1-7-Pat1 complex, P-body, RNA binding, RNA cap binding, RNA metabolic process, carpel, cauline leaf, cold acclimation, collective leaf structure, cotyledon, cytosol, deadenylation-dependent decapping of nuclear-transcribed mRNA, flower, flower pedicel, flowering stage, guard cell, hyperosmotic salinity response, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mRNA processing, mature plant embryo stage, nucleus, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, pollen, protein binding, response to water deprivation, root, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:6532545959	AT5G38480	AT5G38480.3	protein_coding	general regulatory factor, a 14-3-3 gene		 cytoplasm, ATP binding, Golgi apparatus, L mature pollen stage, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, carpel, cauline leaf, cell wall, cellular response to nitrogen starvation, cellular response to phosphate starvation, cellular response to potassium ion starvation, chloroplast, cold acclimation, collective leaf structure, cotyledon, cultured plant cell, cytoplasm, cytosol, ethylene-activated signaling pathway, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, mitochondrion, nucleus, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, plasma membrane, plasmodesma, plastid, pollen, pollen tube cell, protein binding, protein domain specific binding, protein phosphorylated amino acid binding, regulation of metabolic process, response to cold, response to freezing, root, rosette leaf, seed, seedling development stage, sepal, shoot apex, shoot system, stamen, stem, vacuole, vascular leaf, vascular leaf senescent stage	true
Gene:2827809	AT2G17870	AT2G17870.1	protein_coding	Encodes COLD SHOCK DOMAIN PROTEIN 3 (CSP3), involved in the acquisition of freezing tolerance.	ARABIDOPSIS COLD SHOCK DOMAIN PROTEIN 3; ATCSP3; COLD SHOCK DOMAIN PROTEIN 3; CSP3	 nucleus, cultured plant cell, DNA binding, DNA duplex unwinding, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, carpel, cauline leaf, cold acclimation, collective leaf structure, cotyledon, cultured plant cell, cytoplasm, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mRNA binding, mature plant embryo stage, mitochondrion, nucleus, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, pollen, pollen tube cell, protein binding, response to cold, root, root tip, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, stem, unidimensional cell growth, vascular leaf, vascular leaf senescent stage, zinc ion binding	true
Gene:4010712882	AT4G13850	AT4G13850.3	protein_coding	Encodes a glycine-rich RNA-binding protein. Gene expression is induced by cold.	ATGRP2; GLYCINE RICH PROTEIN 2; GLYCINE-RICH RNA-BINDING PROTEIN 2; GR-RBP2; GRP2; RBGA5; RNA-BINDING GLYCINE-RICH PROTEIN A5	 Golgi apparatus, mitochondrion, ATP binding, cotyledon, ATP binding, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, NOT Golgi apparatus, RNA binding, carpel, cauline leaf, cold acclimation, collective leaf structure, copper ion binding, cotyledon, cytosol, double-stranded DNA binding, flower, flower pedicel, flowering stage, fruit, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mRNA binding, mRNA processing, mature plant embryo stage, misfolded RNA binding, mitochondrion, negative regulation of DNA-templated transcription, termination, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, pollen, response to cold, response to osmotic stress, response to salt stress, response to water deprivation, ribonucleoprotein complex, root, rosette leaf, seed, seed germination, seed germination stage, seedling development stage, sepal, shoot apex, shoot system, single-stranded DNA binding, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:6532562649	AT4G36020	AT4G36020.3	protein_coding	Encodes a cold shock domain protein. Involved in cold acclimation by blocking the secondary structure of mRNA which in turn facilitates translation at cold temperature.		 DNA duplex unwinding, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, RNA binding, RNA secondary structure unwinding, carpel, cauline leaf, cold acclimation, collective leaf structure, cotyledon, double-stranded DNA binding, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mRNA binding, mature plant embryo stage, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, plasma membrane, pollen, pollen tube cell, response to cold, response to salt stress, response to water deprivation, root, rosette leaf, seed, sepal, shoot apex, shoot system, single-stranded DNA binding, stamen, stem, vascular leaf, vascular leaf senescent stage, zinc ion binding	true
Gene:6532551782	AT1G43620	AT1G43620.5	protein_coding	Encodes a UDP-glucose:sterol-glucosyltransferase. ugt80b1 mutant plants have reduced steryl glycoside and acyl steryl glycoside levels, reduced seed size, and a transparent testa phenotype. The mutant seeds also have reduced levels of suberization and lipid polyester monomers. ugt80a2/b1 double mutants have normal levels of celluose and normal cold stress tolerance.		 nucleus, L mature pollen stage, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, NOT cellulose biosynthetic process, NOT cold acclimation, brassicasterol glucosyltransferase activity, carpel, cauline leaf, cholesterol allpha-glucosyltransferase activity, collective leaf structure, cotyledon, cultured plant cell, flavonoid biosynthetic process, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, lipid glycosylation, mature plant embryo stage, nucleus, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, pollen, pollen tube cell, root, seed, seed coat development, seed germination, sepal, shoot apex, shoot system, soladodine glucosyltransferase activity, stamen, stem, sterol 3-beta-glucosyltransferase activity, sterol biosynthetic process, sterol metabolic process, transferase activity, transferring glycosyl groups, vacuolar membrane, vacuole, vascular leaf, vascular leaf senescent stage	true
Gene:6532546006	AT1G06960	AT1G06960.5	protein_coding	Similar to U2B'. Functions in  cold stress induced alternative splicing.	U2B"-LIKE; U2BL	 Cajal body, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.12 twelve leaves visible stage, RNA binding, U2 snRNP, carpel, cauline leaf, cold acclimation, collective leaf structure, cytoplasm, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mRNA splicing, via spliceosome, mature plant embryo stage, nucleus, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, root, seed, sepal, shoot apex, shoot system, spliceosomal complex, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:6532551785	AT1G43620	AT1G43620.6	protein_coding	Encodes a UDP-glucose:sterol-glucosyltransferase. ugt80b1 mutant plants have reduced steryl glycoside and acyl steryl glycoside levels, reduced seed size, and a transparent testa phenotype. The mutant seeds also have reduced levels of suberization and lipid polyester monomers. ugt80a2/b1 double mutants have normal levels of celluose and normal cold stress tolerance.		 nucleus, L mature pollen stage, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, NOT cellulose biosynthetic process, NOT cold acclimation, brassicasterol glucosyltransferase activity, carpel, cauline leaf, cholesterol allpha-glucosyltransferase activity, collective leaf structure, cotyledon, cultured plant cell, flavonoid biosynthetic process, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, lipid glycosylation, mature plant embryo stage, nucleus, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, pollen, pollen tube cell, root, seed, seed coat development, seed germination, sepal, shoot apex, shoot system, soladodine glucosyltransferase activity, stamen, stem, sterol 3-beta-glucosyltransferase activity, sterol biosynthetic process, sterol metabolic process, transferase activity, transferring glycosyl groups, vacuolar membrane, vacuole, vascular leaf, vascular leaf senescent stage	true
Gene:2172148	AT5G54590	AT5G54590.1	protein_coding	Splice variant At5g54590.2 encodes CRLK1 (440-amino acid in length) calcium/calmodulin-regulated receptor-like kinase crucial for cold tolerance. CRLK1 is Primarily localized in the plasma membrane.	CALCIUM/CALMODULIN-REGULATED RECEPTOR-LIKE KINASE 1; CRLK1	 ATP binding, calmodulin binding, cold acclimation, collective leaf structure, endosome membrane, flower, flower pedicel, flowering stage, guard cell, inflorescence meristem, integral component of membrane, leaf lamina base, mature plant embryo stage, petal, petal differentiation and expansion stage, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plasma membrane, protein binding, protein phosphorylation, protein serine/threonine kinase activity, response to cold, seed, sepal, shoot apex, shoot system, transmembrane receptor protein serine/threonine kinase activity, vascular leaf, vascular leaf senescent stage	true
Gene:1006229865	AT1G43620	AT1G43620.2	protein_coding	Encodes a UDP-glucose:sterol-glucosyltransferase. ugt80b1 mutant plants have reduced steryl glycoside and acyl steryl glycoside levels, reduced seed size, and a transparent testa phenotype. The mutant seeds also have reduced levels of suberization and lipid polyester monomers. ugt80a2/b1 double mutants have normal levels of celluose and normal cold stress tolerance.	TRANSPARENT TESTA GLABROUS 15; TTG15; UGT80B1	 nucleus, vacuolar membrane, vacuole, cultured plant cell, L mature pollen stage, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, NOT cellulose biosynthetic process, NOT cold acclimation, brassicasterol glucosyltransferase activity, carpel, cauline leaf, cholesterol allpha-glucosyltransferase activity, collective leaf structure, cotyledon, cultured plant cell, flavonoid biosynthetic process, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, lipid glycosylation, mature plant embryo stage, nucleus, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, pollen, pollen tube cell, root, seed, seed coat development, seed germination, sepal, shoot apex, shoot system, soladodine glucosyltransferase activity, stamen, stem, sterol 3-beta-glucosyltransferase activity, sterol biosynthetic process, sterol metabolic process, transferase activity, transferring glycosyl groups, vacuolar membrane, vacuole, vascular leaf, vascular leaf senescent stage	true
Gene:2129794	AT4G15910	AT4G15910.1	protein_coding	encodes a gene whose transcript level in root and leaves increases to progressive drought stress. The transcript level is also affected by changes of endogenous or exogenous abscisic acid level. It appears to be a member of plant-specific gene family that includes late embryo-abundant and zinc- IAA-induced proteins in other plants. The mRNA is cell-to-cell mobile.	ATDI21; DI21; DROUGHT-INDUCED 21	 chloroplast, L mature pollen stage, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, carpel, cauline leaf, cell-to-cell mobile RNA, chloroplast, cold acclimation, collective leaf structure, cotyledon, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, mitochondrion, molecular function unknown, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, pollen, pollen tube cell, response to abscisic acid, response to cold, response to water deprivation, root, seed, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:3706494	AT4G25470	AT4G25470.1	protein_coding	Encodes a member of the DREB subfamily A-1 of ERF/AP2 transcription factor family (CBF2). The protein contains one AP2 domain. There are six members in this subfamily, including CBF1, CBF2, and CBF3. This gene is involved in response to low temperature, abscisic acid, and circadian rhythm. Overexpressing this gene leads to increased freeze tolerance and induces the expression level of 85 cold-induced genes and reduces the expression level of 8 cold-repressed genes, which constitute the CBF2 regulon. Mutations in CBF2 increases the expression level of CBF1 and CBF3, suggesting that this gene may be involved in a negative regulatory or feedback circuit of the CBF pathway.	ATCBF2; C-REPEAT/DRE BINDING FACTOR 2; CBF2; DRE/CRT-BINDING PROTEIN 1C; DREB1C; FREEZING TOLERANCE QTL 4; FTQ4	 nucleus, DNA-binding transcription factor activity, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, NOT root, carpel, cauline leaf, cold acclimation, collective leaf structure, cotyledon, flower, flower pedicel, flowering stage, fruit, fruit abscission zone, guard cell, gynoecium, hypocotyl, leaf apex, nucleus, petal, petal differentiation and expansion stage, petiole, regulation of transcription, DNA-templated, response to cold, root, seed, sepal, sequence-specific DNA binding, shoot apex, stamen, stem, transcription regulatory region DNA binding, vascular leaf	true
Gene:2079511	AT3G61950	AT3G61950.1	protein_coding	MYC-type transcription factor which interacts with ICE1 and negatively regulates cold-responsive genes and cold tolerance.	MYC-TYPE TRANSCRIPTION FACTOR 67; MYC67	 nucleus, DNA binding, DNA-binding transcription factor activity, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, cold acclimation, collective leaf structure, floral organ, flower, flower pedicel, flowering stage, guard cell, inflorescence meristem, leaf lamina base, mature plant embryo stage, nucleus, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, protein binding, protein homodimerization activity, regulation of transcription, DNA-templated, rosette leaf, seed, sepal, shoot apex, shoot system, vascular leaf, vascular leaf senescent stage	true
Gene:3706482	AT4G25490	AT4G25490.1	protein_coding	Transcriptional activator that binds to the DRE/CRT regulatory element and induces COR (cold-regulated) gene expression increasing plant freezing tolerance. It encodes a member of the DREB subfamily A-1 of ERF/AP2 transcription factor family (CBF1). The protein contains one AP2 domain. There are six members in this subfamily, including CBF1, CBF2, and CBF3. This gene is involved in response to low temperature and abscisic acid.	ATCBF1; C-REPEAT/DRE BINDING FACTOR 1; CBF1; DRE BINDING PROTEIN 1B; DREB1B	 nucleus, DNA binding, DNA-binding transcription factor activity, LP.02 two leaves visible stage, carpel, cold acclimation, cotyledon, flower pedicel, flowering stage, guard cell, hypocotyl, nucleus, petal differentiation and expansion stage, plant embryo, plant embryo globular stage, positive regulation of transcription, DNA-templated, protein binding, response to cold, response to water deprivation, root, shoot apex, stamen, stem, vascular leaf	true
Gene:6532551784	AT1G43620	AT1G43620.7	protein_coding	Encodes a UDP-glucose:sterol-glucosyltransferase. ugt80b1 mutant plants have reduced steryl glycoside and acyl steryl glycoside levels, reduced seed size, and a transparent testa phenotype. The mutant seeds also have reduced levels of suberization and lipid polyester monomers. ugt80a2/b1 double mutants have normal levels of celluose and normal cold stress tolerance.		 nucleus, L mature pollen stage, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, NOT cellulose biosynthetic process, NOT cold acclimation, brassicasterol glucosyltransferase activity, carpel, cauline leaf, cholesterol allpha-glucosyltransferase activity, collective leaf structure, cotyledon, cultured plant cell, flavonoid biosynthetic process, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, lipid glycosylation, mature plant embryo stage, nucleus, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, pollen, pollen tube cell, root, seed, seed coat development, seed germination, sepal, shoot apex, shoot system, soladodine glucosyltransferase activity, stamen, stem, sterol 3-beta-glucosyltransferase activity, sterol biosynthetic process, sterol metabolic process, transferase activity, transferring glycosyl groups, vacuolar membrane, vacuole, vascular leaf, vascular leaf senescent stage	true
Gene:2034958	AT1G18740	AT1G18740.1	protein_coding	DUF793 domain containing protein. Expression is induced by cold. Loss of function mutations are more sensitive to freezing and have reduced levels of CBFs. May act by preventing degradation of CBFs.	B1L; BYPASS1-LIKE	 nucleus, cultured plant cell, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, cell-to-cell mobile RNA, cold acclimation, collective leaf structure, cotyledon, cultured plant cell, cytoplasm, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, integral component of membrane, leaf apex, leaf lamina base, mature plant embryo stage, nucleus, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, pollen, protein binding, root, seed, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:1005715339	AT1G20450	AT1G20450.2	protein_coding	Encodes a gene induced by low temperature and dehydration. Inhibits e.coli growth while overexpressed. Belongs to the dehydrin protein family, which contains highly conserved stretches of 7-17 residues that are repetitively scattered in their sequences, the K-, S-, Y- and lysine rich segments. LTI29 and LTI30 double overexpressors confer cold tolerance. Localized to membranes and cytoplasm.	EARLY RESPONSIVE TO DEHYDRATION 10; ERD10; LOW TEMPERATURE INDUCED 29; LOW TEMPERATURE INDUCED 45; LTI29; LTI45	 cytosol, nucleus, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, actin binding, actin cytoskeleton, carpel, cauline leaf, cold acclimation, collective leaf structure, cotyledon, cytoplasm, cytosol, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, membrane, nucleus, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, plasmodesma, pollen, regulation of seed germination, response to abscisic acid, response to cold, response to water deprivation, root, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:6532548643	AT4G24770	AT4G24770.2	protein_coding	Encodes a chloroplast RNA-binding protein.  A substrate of the type III effector HopU1 (mono-ADP-ribosyltransferase).  Required for editing and stability of specific chloroplast mRNAs.		 chloroplast, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, RNA binding, RNA modification, RNA processing, RNA stabilization, base conversion or substitution editing, carpel, cauline leaf, chloroplast, chloroplast envelope, chloroplast rRNA processing, chloroplast stroma, chloroplast thylakoid membrane, cold acclimation, collective leaf structure, cotyledon, cultured plant cell, cytosol, flower, flower pedicel, flowering stage, fruit, guard cell, hypocotyl, inflorescence meristem, innate immune response, juvenile vascular leaf, leaf apex, leaf lamina base, mRNA binding, mRNA processing, mature plant embryo stage, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, pollen, poly(U) RNA binding, response to cold, ribonucleoprotein complex, root, rosette leaf, seed, seedling development stage, sepal, shoot apex, shoot system, stamen, stem, thylakoid, vascular leaf, vascular leaf senescent stage	true
Gene:1006228058	AT2G38170	AT2G38170.3	protein_coding	Encodes a high affinity vacuolar calcium antiporter.  The residue His 338 is critical to Ca2+ transport activity. Disruption of CAX1 reduces manganese and zinc of shoot tissue and results in a decrease in the activity of vacuolar V-type proton ATPase.	ATCAX1; CATION EXCHANGER 1; CAX1; RARE COLD INDUCIBLE 4; RCI4	 vacuole, vascular leaf, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, calcium ion transmembrane transport, calcium ion transmembrane transporter activity, calcium ion transport, calcium:cation antiporter activity, calcium:proton antiporter activity, carpel, cauline leaf, cellular calcium ion homeostasis, cellular manganese ion homeostasis, cellular zinc ion homeostasis, chloroplast, cold acclimation, collective leaf structure, cotyledon, flower, flower pedicel, flowering stage, fruit, guard cell, hypocotyl, inflorescence meristem, integral component of membrane, leaf apex, leaf lamina base, mature plant embryo stage, petal, petal differentiation and expansion stage, petiole, phosphate ion homeostasis, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, plant-type vacuole membrane, pollen, portion of vascular tissue, protein binding, response to salt stress, root, seed, sepal, shoot apex, shoot system, stamen, stem, vacuolar membrane, vacuole, vascular leaf, vascular leaf senescent stage	true
Gene:4010711680	AT1G06960	AT1G06960.3	protein_coding	Similar to U2B'. Functions in  cold stress induced alternative splicing.	U2B"-LIKE; U2BL	 nucleus, Cajal body, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.12 twelve leaves visible stage, RNA binding, U2 snRNP, carpel, cauline leaf, cold acclimation, collective leaf structure, cytoplasm, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mRNA splicing, via spliceosome, mature plant embryo stage, nucleus, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, root, seed, sepal, shoot apex, shoot system, spliceosomal complex, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:2077626	AT3G07020	AT3G07020.1	protein_coding	encodes a 3beta-hydroxy sterol UDP-glucosyltransferase. ugt80a2 mutant plants have reduced steryl glycoside and acyl steryl glycoside levels and reduced seed size. ugt80a2/b1 double mutants have normal levels of celluose and normal cold stress tolerance.	SGT; STEROL GLUCOSYLTRANSFERASE; UDP-GLUCOSYL TRANSFERASE 80A2; UGT80A2	 plasma membrane, vascular leaf, cultured plant cell, L mature pollen stage, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, NOT cellulose biosynthetic process, NOT cold acclimation, beta-sitosterol UDP-glucosyltransferase activity, brassicasterol glucosyltransferase activity, carpel, cauline leaf, cholesterol allpha-glucosyltransferase activity, collective leaf structure, cotyledon, cultured plant cell, cytosol, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, lipid glycosylation, mature plant embryo stage, nucleus, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, plasma membrane, pollen, pollen tube cell, root, rosette leaf, seed, seed development, sepal, shoot apex, shoot system, soladodine glucosyltransferase activity, stamen, stem, sterol 3-beta-glucosyltransferase activity, sterol biosynthetic process, sterol metabolic process, transferase activity, transferring glycosyl groups, vascular leaf, vascular leaf senescent stage	true
Gene:2080922	AT3G50980	AT3G50980.1	protein_coding	dehydrin xero 1;(source:Araport11)	DEHYDRIN XERO 1; XERO1	 cytoplasm, cold acclimation, collective leaf structure, cytoplasm, cytosol, inflorescence meristem, mature plant embryo stage, molecular function unknown, petal, petal differentiation and expansion stage, plant embryo cotyledonary stage, response to abscisic acid, response to water deprivation, seed, shoot apex	true
