,,SB,GI
9553,Sb02g035550,Sb02g035550,Sobic.002G329000
9565,Sb02g035590,Sb02g035590,Sobic.002G329400
9575,Sb02g035720,Sb02g035720,Sobic.002G330700
9586,Sb02g035920,Sb02g035920,Sobic.002G333300
9601,Sb02g035930,Sb02g035930,Sobic.002G333400
9648,Sb02g035980,Sb02g035980,Sobic.002G333900
9770,Sb02g036010,Sb02g036010,Sobic.002G334200
9787,Sb02g036030,Sb02g036030,Sobic.002G334500
9823,Sb02g036060,Sb02g036060,Sobic.002G335100
9867,Sb02g036090,Sb02g036090,Sobic.002G335400
9888,Sb02g036310,Sb02g036310,Sobic.002G338500
9901,Sb02g036340,Sb02g036340,Sobic.002G338800
9923,Sb02g036605,Sb02g036605,Sobic.002G341900
9978,Sb02g036650,Sb02g036650,Sobic.002G342400
9989,Sb02g036836,Sb02g036836,Sobic.002G345200
10022,Sb02g037210,Sb02g037210,Sobic.002G349900
10052,Sb02g037310,Sb02g037310,Sobic.002G351000
10053,Sb02g037340,Sb02g037340,Sobic.002G351300
10058,Sb02g037350,Sb02g037350,Sobic.002G351400
10074,Sb02g037680,Sb02g037680,Sobic.002G355200
10122,Sb02g037790,Sb02g037790,Sobic.002G356500
10176,Sb02g038130,Sb02g038130,Sobic.002G361100
10216,Sb02g038140,Sb02g038140,Sobic.002G361200
10217,Sb02g038520,Sb02g038520,Sobic.002G366100
10235,Sb02g038780,Sb02g038780,Sobic.002G368700
10237,Sb02g038790,Sb02g038790,Sobic.002G368800
10239,Sb02g038810,Sb02g038810,Sobic.002G369000
10242,Sb02g038850,Sb02g038850,Sobic.002G369500
10265,Sb02g038940,Sb02g038940,Sobic.002G370600
10268,Sb02g039045,Sb02g039045,Sobic.002G371800
10284,Sb02g039050,Sb02g039050,Sobic.002G371900
10316,Sb02g039220,Sb02g039220,Sobic.002G374500
10317,Sb02g039400,Sb02g039400,Sobic.002G376400
10348,Sb02g039770,Sb02g039770,Sobic.002G381200
10349,Sb02g039910,Sb02g039910,null
10350,Sb02g040060,Sb02g040060,Sobic.002G384400
10357,Sb02g040190,Sb02g040190,Sobic.002G385700
10369,Sb02g040350,Sb02g040350,Sobic.002G387200
10373,Sb02g040490,Sb02g040490,Sobic.002G388800
10381,Sb02g040500,Sb02g040500,Sobic.002G388900
10384,Sb02g040510,Sb02g040510,Sobic.002G389000
10387,Sb02g040740,Sb02g040740,Sobic.002G392000
10388,Sb02g040920,Sb02g040920,Sobic.002G393900
10392,Sb02g041290,Sb02g041290,Sobic.002G398200
10412,Sb02g041310,Sb02g041310,Sobic.002G398400
10425,Sb02g041680,Sb02g041680,Sobic.002G401900
10442,Sb02g041790,Sb02g041790,Sobic.002G403300
10445,Sb02g041820,Sb02g041820,Sobic.002G403600
10451,Sb02g041880,Sb02g041880,Sobic.002G404400
10466,Sb02g041890,Sb02g041890,Sobic.002G404500
10472,Sb02g042115,Sb02g042115,Sobic.002G407200
10491,Sb02g042680,Sb02g042680,Sobic.002G414400
10518,Sb02g042790,Sb02g042790,Sobic.002G416100
10527,Sb02g042840,Sb02g042840,Sobic.002G416500
10558,Sb02g042890,Sb02g042890,null
10568,Sb02g043060,Sb02g043060,Sobic.002G418900
10569,Sb02g043210,Sb02g043210,Sobic.002G420700
10595,Sb02g043230,Sb02g043230,Sobic.002G420900
10599,Sb02g043260,Sb02g043260,Sobic.002G421300
10651,Sb02g043450,Sb02g043450,Sobic.002G423600
10682,Sb02g043720,Sb02g043720,Sobic.002G426700
10698,Sb03g000300,Sb03g000300,Sobic.003G001300
10707,Sb03g000550,Sb03g000550,Sobic.003G004200
10710,Sb03g000810,Sb03g000810,Sobic.003G007400
10711,Sb03g000850,Sb03g000850,Sobic.003G007800
10712,Sb03g000960,Sb03g000960,null
10754,Sb03g001030,Sb03g001030,Sobic.003G009700
10783,Sb03g001040,Sb03g001040,Sobic.003G009900
10790,Sb03g001070,Sb03g001070,Sobic.003G010200
10812,Sb03g001180,Sb03g001180,Sobic.003G011600
10817,Sb03g001930,Sb03g001930,Sobic.003G018800
10827,Sb03g001960,Sb03g001960,null
10828,Sb03g001990,Sb03g001990,Sobic.003G018000
10829,Sb03g002090,Sb03g002090,Sobic.003G022300
10838,Sb03g002340,Sb03g002340,Sobic.003G024400
10845,Sb03g002490,Sb03g002490,Sobic.003G026400
10858,Sb03g002590,Sb03g002590,Sobic.003G027600
10889,Sb03g002910,Sb03g002910,Sobic.003G031100
10896,Sb03g002935,Sb03g002935,Sobic.003G031500
10903,Sb03g003050,Sb03g003050,Sobic.003G033500
10917,Sb03g003110,Sb03g003110,Sobic.003G034400
10926,Sb03g003280,Sb03g003280,Sobic.003G036700
10935,Sb03g003310,Sb03g003310,null
10987,Sb03g003530,Sb03g003530,Sobic.003G039400
10996,Sb03g003650,Sb03g003650,Sobic.003G040900
11008,Sb03g003760,Sb03g003760,Sobic.003G042900
11031,Sb03g003830,Sb03g003830,Sobic.003G043600
11035,Sb03g004020,Sb03g004020,Sobic.003G045900
11065,Sb03g004150,Sb03g004150,Sobic.003G047700
11091,Sb03g004180,Sb03g004180,Sobic.003G047900
11129,Sb03g004330,Sb03g004330,Sobic.003G049700
11140,Sb03g004360,Sb03g004360,Sobic.003G050100
11194,Sb03g004380,Sb03g004380,Sobic.003G050300
11205,Sb03g004490,Sb03g004490,Sobic.003G051600
11208,Sb03g004540,Sb03g004540,Sobic.003G052300
11210,Sb03g004730,Sb03g004730,Sobic.003G055300
11251,Sb03g004850,Sb03g004850,Sobic.003G056800
11256,Sb03g005480,Sb03g005480,null
11278,Sb03g005490,Sb03g005490,Sobic.003G064300
11282,Sb03g005510,Sb03g005510,Sobic.003G064500
11302,Sb03g005570,Sb03g005570,Sobic.003G065400
11335,Sb03g005800,Sb03g005800,Sobic.003G068200
11336,Sb03g005840,Sb03g005840,Sobic.003G068600
11349,Sb03g005860,Sb03g005860,Sobic.003G068800
11353,Sb03g005870,Sb03g005870,Sobic.003G069200
11356,Sb03g006040,Sb03g006040,Sobic.003G071300
11362,Sb03g006210,Sb03g006210,null
11405,Sb03g006290,Sb03g006290,Sobic.003G074500
11461,Sb03g006410,Sb03g006410,Sobic.003G076100
11464,Sb03g006415,Sb03g006415,null
11485,Sb03g006680,Sb03g006680,Sobic.003G079200
11537,Sb03g006780,Sb03g006780,Sobic.003G080900
11540,Sb03g006870,Sb03g006870,Sobic.003G081900
11541,Sb03g006880,Sb03g006880,Sobic.003G082000
11543,Sb03g006890,Sb03g006890,Sobic.003G082100
11553,Sb03g006900,Sb03g006900,Sobic.003G082200
11569,Sb03g006920,Sb03g006920,Sobic.003G082500
11606,Sb03g006980,Sb03g006980,Sobic.003G083000
11608,Sb03g007170,Sb03g007170,Sobic.003G085300
11658,Sb03g007210,Sb03g007210,Sobic.003G085700
11659,Sb03g007270,Sb03g007270,Sobic.003G086600
11660,Sb03g007360,Sb03g007360,Sobic.003G087600
11661,Sb03g007730,Sb03g007730,Sobic.003G092500
11662,Sb03g007770,Sb03g007770,Sobic.003G092900
11663,Sb03g007780,Sb03g007780,Sobic.003G093000
11664,Sb03g008000,Sb03g008000,Sobic.003G095500
11665,Sb03g008010,Sb03g008010,Sobic.003G095600
11666,Sb03g008100,Sb03g008100,Sobic.003G096400
11685,Sb03g008110,Sb03g008110,Sobic.003G096500
11699,Sb03g008170,Sb03g008170,Sobic.003G097200
11724,Sb03g008190,Sb03g008190,Sobic.003G097900
11734,Sb03g008260,Sb03g008260,Sobic.003G098700
11793,Sb03g008330,Sb03g008330,Sobic.003G099400
11796,Sb03g008350,Sb03g008350,Sobic.003G100000
11823,Sb03g008560,Sb03g008560,Sobic.003G102200
11824,Sb03g008760,Sb03g008760,Sobic.003G104600
11841,Sb03g008800,Sb03g008800,Sobic.003G104900
11842,Sb03g008940,Sb03g008940,Sobic.003G106400
11847,Sb03g008970,Sb03g008970,Sobic.003G106600
11848,Sb03g008980,Sb03g008980,Sobic.003G106800
11918,Sb03g009060,Sb03g009060,Sobic.003G107800
11946,Sb03g009110,Sb03g009110,Sobic.003G108500
11950,Sb03g009370,Sb03g009370,Sobic.003G111300
11983,Sb03g009400,Sb03g009400,null
11984,Sb03g009800,Sb03g009800,Sobic.003G116400
12016,Sb03g009840,Sb03g009840,Sobic.003G116800
12017,Sb03g009910,Sb03g009910,Sobic.003G117600
12036,Sb03g009970,Sb03g009970,Sobic.003G118300
12061,Sb03g010280,Sb03g010280,Sobic.003G121400
12063,Sb03g010470,Sb03g010470,Sobic.003G123700
12067,Sb03g010820,Sb03g010820,Sobic.003G127800
12083,Sb03g011200,Sb03g011200,Sobic.003G131500
12087,Sb03g011240,Sb03g011240,Sobic.003G131800
12096,Sb03g011290,Sb03g011290,Sobic.003G132400
12112,Sb03g011430,Sb03g011430,Sobic.003G134400
12121,Sb03g011450,Sb03g011450,Sobic.003G134600
12182,Sb03g011950,Sb03g011950,Sobic.003G140200
12185,Sb03g011980,Sb03g011980,Sobic.003G140600
12190,Sb03g012310,Sb03g012310,Sobic.003G142300
12216,Sb03g012350,Sb03g012350,Sobic.003G142800
12234,Sb03g012360,Sb03g012360,Sobic.003G143000
12251,Sb03g012610,Sb03g012610,Sobic.003G146000
12256,Sb03g012690,Sb03g012690,Sobic.003G146700
12326,Sb03g013010,Sb03g013010,Sobic.003G149800
12405,Sb03g013670,Sb03g013670,Sobic.003G156900
12407,Sb03g013850,Sb03g013850,Sobic.003G159100
12412,Sb03g017600,Sb03g017600,Sobic.003G169100
12413,Sb03g024260,Sb03g024260,Sobic.003G183000
12423,Sb03g024480,Sb03g024480,Sobic.003G183600
12425,Sb03g024850,Sb03g024850,Sobic.003G185100
12447,Sb03g025270,Sb03g025270,Sobic.003G187800
12462,Sb03g025520,Sb03g025520,Sobic.003G191000
12510,Sb03g025650,Sb03g025650,Sobic.003G193000
12516,Sb03g026170,Sb03g026170,Sobic.003G199400
12524,Sb03g026430,Sb03g026430,Sobic.003G202200
12525,Sb03g026620,Sb03g026620,Sobic.003G204200
12529,Sb03g026630,Sb03g026630,Sobic.003G204600
12547,Sb03g026640,Sb03g026640,Sobic.003G204800
12560,Sb03g026750,Sb03g026750,Sobic.003G205900
12577,Sb03g026790,Sb03g026790,Sobic.003G206400
12579,Sb03g026840,Sb03g026840,Sobic.003G206900
12600,Sb03g026915,Sb03g026915,Sobic.003G207900
12617,Sb03g027040,Sb03g027040,Sobic.003G209900
12619,Sb03g027330,Sb03g027330,Sobic.003G214000
12648,Sb03g028240,Sb03g028240,Sobic.003G224100
12655,Sb03g028270,Sb03g028270,Sobic.003G224400
12658,Sb03g028410,Sb03g028410,Sobic.003G226300
12684,Sb03g028470,Sb03g028470,Sobic.003G226800
12694,Sb03g028630,Sb03g028630,Sobic.003G228300
12696,Sb03g028640,Sb03g028640,Sobic.003G228400
12723,Sb03g028650,Sb03g028650,Sobic.003G228500
12756,Sb03g028680,Sb03g028680,Sobic.003G228700
12757,Sb03g028700,Sb03g028700,Sobic.003G229000
12778,Sb03g028760,Sb03g028760,null
12782,Sb03g028880,Sb03g028880,Sobic.003G230900
12812,Sb03g029150,Sb03g029150,Sobic.003G233800
12823,Sb03g029160,Sb03g029160,Sobic.003G234000
12866,Sb03g029170,Sb03g029170,Sobic.003G234200
12874,Sb03g029180,Sb03g029180,Sobic.003G234400
12876,Sb03g029380,Sb03g029380,Sobic.003G236400
12888,Sb03g029890,Sb03g029890,Sobic.003G242200
12889,Sb03g029920,Sb03g029920,Sobic.003G242800
12984,Sb03g029940,Sb03g029940,Sobic.003G243000
13090,Sb03g030100,Sb03g030100,Sobic.003G244600
13102,Sb03g030260,Sb03g030260,Sobic.003G246300
13103,Sb03g030570,Sb03g030570,Sobic.003G249400
13111,Sb03g030680,Sb03g030680,Sobic.003G250600
13118,Sb03g031150,Sb03g031150,Sobic.003G256700
13159,Sb03g031300,Sb03g031300,Sobic.003G258700
13173,Sb03g031390,Sb03g031390,Sobic.003G259800
13199,Sb03g031670,Sb03g031670,null
13234,Sb03g031680,Sb03g031680,Sobic.003G263300
13257,Sb03g031700,Sb03g031700,Sobic.003G263500
13267,Sb03g031960,Sb03g031960,Sobic.003G266700
13277,Sb03g032050,Sb03g032050,Sobic.003G267900
13280,Sb03g032100,Sb03g032100,Sobic.003G268600
13281,Sb03g032110,Sb03g032110,null
13294,Sb03g032130,Sb03g032130,Sobic.003G268800
13303,Sb03g032140,Sb03g032140,Sobic.003G268900
13304,Sb03g032150,Sb03g032150,Sobic.003G269000
13308,Sb03g032190,Sb03g032190,Sobic.003G269300
13323,Sb03g032380,Sb03g032380,Sobic.003G271800
13348,Sb03g032420,Sb03g032420,Sobic.003G272200
13359,Sb03g032500,Sb03g032500,Sobic.003G273000
13366,Sb03g032830,Sb03g032830,Sobic.003G276400
13367,Sb03g032930,Sb03g032930,Sobic.003G277500
13437,Sb03g033045,Sb03g033045,Sobic.003G278600
13457,Sb03g033170,Sb03g033170,Sobic.003G280100
13472,Sb03g033420,Sb03g033420,null
13487,Sb03g033440,Sb03g033440,Sobic.003G283100
13515,Sb03g033680,Sb03g033680,Sobic.003G285900
13518,Sb03g033740,Sb03g033740,Sobic.003G286600
13526,Sb03g033960,Sb03g033960,Sobic.003G289000
13538,Sb03g034090,Sb03g034090,Sobic.003G290300
13551,Sb03g035290,Sb03g035290,Sobic.003G304300
13596,Sb03g035520,Sb03g035520,Sobic.003G306700
13612,Sb03g035800,Sb03g035800,Sobic.003G309700
13614,Sb03g035840,Sb03g035840,Sobic.003G310200
13620,Sb03g036070,Sb03g036070,Sobic.003G312600
13621,Sb03g036090,Sb03g036090,Sobic.003G313000
13652,Sb03g036100,Sb03g036100,Sobic.003G313100
13659,Sb03g036160,Sb03g036160,Sobic.003G313800
13701,Sb03g036190,Sb03g036190,Sobic.003G314200
13702,Sb03g036610,Sb03g036610,Sobic.003G319200
13705,Sb03g036630,Sb03g036630,Sobic.003G319400
13721,Sb03g037085,Sb03g037085,null
13748,Sb03g037700,Sb03g037700,Sobic.003G331500
13749,Sb03g037720,Sb03g037720,Sobic.003G331700
13801,Sb03g038160,Sb03g038160,Sobic.003G337400
13803,Sb03g038170,Sb03g038170,Sobic.003G337500
13868,Sb03g038180,Sb03g038180,Sobic.003G337600
13893,Sb03g038200,Sb03g038200,Sobic.003G337800
13922,Sb03g038210,Sb03g038210,Sobic.003G337900
13972,Sb03g038270,Sb03g038270,null
13983,Sb03g038330,Sb03g038330,Sobic.003G339200
14050,Sb03g038620,Sb03g038620,Sobic.003G342100
14053,Sb03g038810,Sb03g038810,Sobic.003G344400
14077,Sb03g038840,Sb03g038840,Sobic.003G344700
14079,Sb03g039220,Sb03g039220,Sobic.003G349200
14119,Sb03g039270,Sb03g039270,Sobic.003G349700
14150,Sb03g039360,Sb03g039360,Sobic.003G350700
14214,Sb03g039405,Sb03g039405,null
14230,Sb03g039410,Sb03g039410,Sobic.003G351400
14231,Sb03g039620,Sb03g039620,Sobic.003G353800
14246,Sb03g039710,Sb03g039710,Sobic.003G354900
14250,Sb03g039800,Sb03g039800,Sobic.003G355800
14274,Sb03g039990,Sb03g039990,Sobic.003G357800
14286,Sb03g040060,Sb03g040060,Sobic.003G358600
14297,Sb03g040350,Sb03g040350,Sobic.003G361700
14302,Sb03g040490,Sb03g040490,Sobic.003G363200
14303,Sb03g040510,Sb03g040510,Sobic.003G363400
14304,Sb03g040590,Sb03g040590,Sobic.003G364200
14306,Sb03g040720,Sb03g040720,Sobic.003G365500
14355,Sb03g040790,Sb03g040790,Sobic.003G366200
14365,Sb03g040840,Sb03g040840,Sobic.003G366700
14369,Sb03g040841,Sb03g040841,null
14414,Sb03g041000,Sb03g041000,Sobic.003G368600
14415,Sb03g041200,Sb03g041200,Sobic.003G371100
14427,Sb03g041210,Sb03g041210,Sobic.003G371200
14467,Sb03g041220,Sb03g041220,Sobic.003G371400
14509,Sb03g041300,Sb03g041300,Sobic.003G372400
14526,Sb03g041610,Sb03g041610,Sobic.003G376200
14566,Sb03g042240,Sb03g042240,Sobic.003G382800
14572,Sb03g042320,Sb03g042320,Sobic.003G383800
14586,Sb03g042400,Sb03g042400,Sobic.003G384900
14598,Sb03g042410,Sb03g042410,Sobic.003G385000
14612,Sb03g042740,Sb03g042740,Sobic.003G389700
14620,Sb03g043020,Sb03g043020,Sobic.003G392700
14624,Sb03g043090,Sb03g043090,Sobic.003G393400
14632,Sb03g043100,Sb03g043100,Sobic.003G393500
14633,Sb03g043220,Sb03g043220,Sobic.003G395000
14658,Sb03g043400,Sb03g043400,Sobic.003G397200
14659,Sb03g043410,Sb03g043410,Sobic.003G397400
14662,Sb03g043420,Sb03g043420,Sobic.003G397500
14676,Sb03g043430,Sb03g043430,Sobic.003G397600
14719,Sb03g043660,Sb03g043660,Sobic.003G400200
14753,Sb03g043680,Sb03g043680,Sobic.003G400400
14755,Sb03g043720,Sb03g043720,Sobic.003G400900
14835,Sb03g043900,Sb03g043900,Sobic.003G403300
14842,Sb03g043960,Sb03g043960,Sobic.003G403900
14859,Sb03g044020,Sb03g044020,Sobic.003G404600
14871,Sb03g044040,Sb03g044040,Sobic.003G404900
14872,Sb03g044050,Sb03g044050,Sobic.003G405000
14897,Sb03g044485,Sb03g044485,Sobic.003G410300
14919,Sb03g044780,Sb03g044780,Sobic.003G413600
14921,Sb03g044790,Sb03g044790,Sobic.003G413700
14922,Sb03g044870,Sb03g044870,Sobic.003G414700
14944,Sb03g044890,Sb03g044890,Sobic.003G414900
14970,Sb03g045090,Sb03g045090,Sobic.003G417200
14991,Sb03g045270,Sb03g045270,Sobic.003G419400
14994,Sb03g045410,Sb03g045410,Sobic.003G421100
15002,Sb03g045460,Sb03g045460,Sobic.003G421700
15004,Sb03g045490,Sb03g045490,Sobic.003G422000
15018,Sb03g045790,Sb03g045790,null
15028,Sb03g045800,Sb03g045800,Sobic.003G426000
15029,Sb03g045860,Sb03g045860,Sobic.003G426600
15038,Sb03g046070,Sb03g046070,Sobic.003G428600
15046,Sb03g046080,Sb03g046080,Sobic.003G428700
15054,Sb03g046150,Sb03g046150,null
15073,Sb03g046210,Sb03g046210,Sobic.003G430400
15074,Sb03g046300,Sb03g046300,Sobic.003G431200
15075,Sb03g046337,Sb03g046337,Sobic.003G431600
15093,Sb03g046400,Sb03g046400,Sobic.003G432600
15097,Sb03g046410,Sb03g046410,Sobic.003G432700
15107,Sb03g046600,Sb03g046600,Sobic.003G435100
15128,Sb03g046780,Sb03g046780,Sobic.003G437100
15150,Sb03g046840,Sb03g046840,Sobic.003G437900
15169,Sb03g046890,Sb03g046890,Sobic.003G438700
15170,Sb03g047000,Sb03g047000,Sobic.003G440300
15204,Sb03g047230,Sb03g047230,null
15205,Sb03g047330,Sb03g047330,Sobic.003G443600
15209,Sb03g047340,Sb03g047340,Sobic.003G443700
15215,Sb04g000200,Sb04g000200,null
15218,Sb04g000260,Sb04g000260,Sobic.004G000700
15221,Sb04g000320,Sb04g000320,Sobic.004G001300
15222,Sb04g000690,Sb04g000690,null
15226,Sb04g000700,Sb04g000700,null
15252,Sb04g000890,Sb04g000890,null
15253,Sb04g000920,Sb04g000920,Sobic.004G008600
15254,Sb04g000940,Sb04g000940,Sobic.004G008900
15267,Sb04g000950,Sb04g000950,Sobic.004G009000
15287,Sb04g000980,Sb04g000980,Sobic.004G009300
15296,Sb04g001230,Sb04g001230,null
15303,Sb04g001350,Sb04g001350,Sobic.004G013800
15309,Sb04g001460,Sb04g001460,Sobic.004G015400
15323,Sb04g001760,Sb04g001760,Sobic.004G018900
15357,Sb04g001800,Sb04g001800,Sobic.004G019300
15380,Sb04g001810,Sb04g001810,Sobic.004G019400
15395,Sb04g002075,Sb04g002075,Sobic.004G023300
15409,Sb04g002800,Sb04g002800,Sobic.004G032300
15415,Sb04g002810,Sb04g002810,Sobic.004G032400
15429,Sb04g003100,Sb04g003100,Sobic.004G035900
15444,Sb04g003110,Sb04g003110,null
15448,Sb04g003210,Sb04g003210,Sobic.004G037300
15450,Sb04g003250,Sb04g003250,Sobic.004G037900
15456,Sb04g003630,Sb04g003630,Sobic.004G041900
15457,Sb04g003675,Sb04g003675,Sobic.004G042400
15463,Sb04g003840,Sb04g003840,Sobic.004G044800
15465,Sb04g003850,Sb04g003850,null
15467,Sb04g004120,Sb04g004120,Sobic.004G048200
15470,Sb04g004370,Sb04g004370,Sobic.004G051100
15480,Sb04g004510,Sb04g004510,Sobic.004G053200
15509,Sb04g005090,Sb04g005090,Sobic.004G060700
15510,Sb04g005240,Sb04g005240,Sobic.004G063100
15531,Sb04g005350,Sb04g005350,Sobic.004G064400
15534,Sb04g005360,Sb04g005360,Sobic.004G064500
15535,Sb04g005520,Sb04g005520,Sobic.004G065900
15536,Sb04g005760,Sb04g005760,Sobic.004G068700
15539,Sb04g005960,Sb04g005960,Sobic.004G071200
15550,Sb04g006087,Sb04g006087,null
15553,Sb04g006890,Sb04g006890,Sobic.004G083600
15554,Sb04g007200,Sb04g007200,null
15567,Sb04g007260,Sb04g007260,Sobic.004G087700
15579,Sb04g007270,Sb04g007270,Sobic.004G087800
15582,Sb04g007500,Sb04g007500,Sobic.004G091600
15604,Sb04g007600,Sb04g007600,Sobic.004G092800
15630,Sb04g007640,Sb04g007640,Sobic.004G093200
15632,Sb04g007890,Sb04g007890,Sobic.004G095600
15637,Sb04g007990,Sb04g007990,Sobic.004G097100
15638,Sb04g008640,Sb04g008640,Sobic.004G106000
15639,Sb04g008660,Sb04g008660,Sobic.004G106200
15681,Sb04g008720,Sb04g008720,Sobic.004G106900
15682,Sb04g008850,Sb04g008850,Sobic.004G108100
15695,Sb04g009150,Sb04g009150,Sobic.004G111800
15703,Sb04g009170,Sb04g009170,Sobic.004G112100
15710,Sb04g009360,Sb04g009360,Sobic.004G114500
15716,Sb04g009600,Sb04g009600,Sobic.004G115500
15762,Sb04g009670,Sb04g009670,null
15763,Sb04g009690,Sb04g009690,null
15792,Sb04g009750,Sb04g009750,Sobic.004G117000
15795,Sb04g009800,Sb04g009800,Sobic.004G117600
15797,Sb04g009860,Sb04g009860,null
15798,Sb04g010130,Sb04g010130,Sobic.004G121400
15801,Sb04g010420,Sb04g010420,Sobic.004G124800
15840,Sb04g011090,Sb04g011090,Sobic.004G128400
15852,Sb04g011240,Sb04g011240,Sobic.004G129700
15866,Sb04g012430,Sb04g012430,Sobic.004G132600
15903,Sb04g012680,Sb04g012680,null
15907,Sb04g012910,Sb04g012910,Sobic.004G133500
15908,Sb04g012920,Sb04g012920,Sobic.004G133600
15949,Sb04g013790,Sb04g013790,Sobic.004G134700
16038,Sb04g016540,Sb04g016540,Sobic.004G138400
16039,Sb04g016950,Sb04g016950,Sobic.004G139000
16074,Sb04g017170,Sb04g017170,Sobic.004G139700
16075,Sb04g019730,Sb04g019730,Sobic.004G148600
16086,Sb04g019783,Sb04g019783,Sobic.004G149400
16090,Sb04g021490,Sb04g021490,Sobic.004G163200
16139,Sb04g021540,Sb04g021540,Sobic.004G163700
16145,Sb04g021680,Sb04g021680,Sobic.004G165500
16167,Sb04g021910,Sb04g021910,Sobic.004G167700
16168,Sb04g021920,Sb04g021920,Sobic.004G167800
16199,Sb04g022070,Sb04g022070,Sobic.004G169200
16231,Sb04g022080,Sb04g022080,Sobic.004G169300
16249,Sb04g022105,Sb04g022105,null
16313,Sb04g022180,Sb04g022180,Sobic.004G170600
16333,Sb04g022520,Sb04g022520,Sobic.004G175000
16347,Sb04g022860,Sb04g022860,Sobic.004G179000
16348,Sb04g022990,Sb04g022990,null
16366,Sb04g023060,Sb04g023060,Sobic.004G181300
16393,Sb04g023170,Sb04g023170,Sobic.004G182300
16418,Sb04g023200,Sb04g023200,Sobic.004G182700
16436,Sb04g023400,Sb04g023400,Sobic.004G185100
16535,Sb04g023545,Sb04g023545,null
16569,Sb04g023570,Sb04g023570,Sobic.004G187300
16577,Sb04g023760,Sb04g023760,Sobic.004G189400
16578,Sb04g023770,Sb04g023770,Sobic.004G189500
16606,Sb04g023950,Sb04g023950,Sobic.004G191300
16617,Sb04g024090,Sb04g024090,Sobic.004G193000
16621,Sb04g024130,Sb04g024130,Sobic.004G193400
16655,Sb04g024200,Sb04g024200,Sobic.004G194700
16668,Sb04g024220,Sb04g024220,Sobic.004G195000
16755,Sb04g024250,Sb04g024250,null
16757,Sb04g024290,Sb04g024290,Sobic.004G196000
16763,Sb04g024380,Sb04g024380,Sobic.004G196900
16777,Sb04g024390,Sb04g024390,Sobic.004G197000
16817,Sb04g024400,Sb04g024400,Sobic.004G197100
16819,Sb04g024460,Sb04g024460,Sobic.004G197800
16839,Sb04g024800,Sb04g024800,Sobic.004G201800
16848,Sb04g024930,Sb04g024930,Sobic.004G203000
16855,Sb04g024950,Sb04g024950,Sobic.004G203200
16857,Sb04g025080,Sb04g025080,Sobic.004G204600
16863,Sb04g025260,Sb04g025260,Sobic.004G207200
16870,Sb04g025270,Sb04g025270,Sobic.004G207300
16885,Sb04g025400,Sb04g025400,Sobic.004G208400
16918,Sb04g025430,Sb04g025430,Sobic.004G208700
16955,Sb04g025640,Sb04g025640,Sobic.004G211000
16993,Sb04g025680,Sb04g025680,null
17014,Sb04g026010,Sb04g026010,Sobic.004G214900
17053,Sb04g026190,Sb04g026190,Sobic.004G216700
17060,Sb04g026260,Sb04g026260,Sobic.004G217500
17064,Sb04g026430,Sb04g026430,Sobic.004G219400
17065,Sb04g026480,Sb04g026480,Sobic.004G219800
17081,Sb04g026570,Sb04g026570,Sobic.004G220900
17130,Sb04g026690,Sb04g026690,null
17136,Sb04g026720,Sb04g026720,Sobic.004G222700
17142,Sb04g027050,Sb04g027050,Sobic.004G226100
17288,Sb04g027210,Sb04g027210,Sobic.004G227700
17298,Sb04g027250,Sb04g027250,Sobic.004G228100
17450,Sb04g027330,Sb04g027330,Sobic.004G228900
17455,Sb04g027370,Sb04g027370,Sobic.004G229300
17471,Sb04g027470,Sb04g027470,Sobic.004G230800
17497,Sb04g027610,Sb04g027610,Sobic.004G232500
17498,Sb04g027650,Sb04g027650,Sobic.004G232900
17517,Sb04g028360,Sb04g028360,Sobic.004G242900
17518,Sb04g028380,Sb04g028380,Sobic.004G243100
17521,Sb04g028400,Sb04g028400,Sobic.004G243300
17535,Sb04g028415,Sb04g028415,Sobic.004G243500
17572,Sb04g028755,Sb04g028755,Sobic.004G247700
17622,Sb04g028830,Sb04g028830,Sobic.004G248500
17637,Sb04g028960,Sb04g028960,null
17645,Sb04g029100,Sb04g029100,Sobic.004G251500
17660,Sb04g029255,Sb04g029255,null
17663,Sb04g029400,Sb04g029400,Sobic.004G255000
17684,Sb04g029440,Sb04g029440,Sobic.004G255600
17700,Sb04g030135,Sb04g030135,Sobic.004G263100
17703,Sb04g030330,Sb04g030330,Sobic.004G265200
17729,Sb04g031000,Sb04g031000,Sobic.004G272600
17730,Sb04g031590,Sb04g031590,Sobic.004G279300
17749,Sb04g031630,Sb04g031630,Sobic.004G279700
17765,Sb04g031680,Sb04g031680,Sobic.004G280200
17770,Sb04g031700,Sb04g031700,Sobic.004G280400
17778,Sb04g031740,Sb04g031740,Sobic.004G280900
17781,Sb04g031790,Sb04g031790,Sobic.004G281400
17784,Sb04g031950,Sb04g031950,Sobic.004G283200
17789,Sb04g031960,Sb04g031960,null
17799,Sb04g032030,Sb04g032030,Sobic.004G284200
17800,Sb04g032280,Sb04g032280,Sobic.004G287000
17801,Sb04g032740,Sb04g032740,Sobic.004G293500
17808,Sb04g032890,Sb04g032890,Sobic.004G295000
17854,Sb04g033090,Sb04g033090,null
17868,Sb04g033330,Sb04g033330,Sobic.004G299600
17870,Sb04g033350,Sb04g033350,Sobic.004G299900
17884,Sb04g033380,Sb04g033380,Sobic.004G300300
17906,Sb04g033705,Sb04g033705,null
