"","V1"
"17823","PstI-TP696674"
"17824","PstI-TP696676"
"17825","PstI-TP696768"
"17826","PstI-TP696862"
"17827","PstI-TP696873"
"17828","PstI-TP696938"
"17829","PstI-TP696974"
"17830","PstI-TP696987"
"17831","PstI-TP696999"
"17832","PstI-TP697014"
"17833","PstI-TP697055"
"17834","PstI-TP697077"
"17835","PstI-TP697156"
"17836","PstI-TP697171"
"17837","PstI-TP697231"
"17838","PstI-TP697248"
"17839","PstI-TP697263"
"17840","PstI-TP697286"
"17841","PstI-TP697304"
"17842","PstI-TP697306"
"17843","PstI-TP697310"
"17844","PstI-TP697322"
"17845","PstI-TP697323"
"17846","PstI-TP697409"
"17847","PstI-TP697424"
"17848","PstI-TP697441"
"17849","PstI-TP697442"
"17850","PstI-TP697467"
"17851","PstI-TP697701"
"17852","PstI-TP697705"
"17853","PstI-TP697771"
"17854","PstI-TP697841"
"17855","PstI-TP697911"
"17856","PstI-TP697981"
"17857","PstI-TP697993"
"17858","PstI-TP698016"
"17859","PstI-TP698025"
"17860","PstI-TP698059"
"17861","PstI-TP698065"
"17862","PstI-TP698125"
"17863","PstI-TP698135"
"17864","PstI-TP698154"
"17865","PstI-TP698300"
"17866","PstI-TP698304"
"17867","PstI-TP698346"
"17868","PstI-TP698352"
"17869","PstI-TP698382"
"17870","PstI-TP698485"
"17871","PstI-TP698490"
"17872","PstI-TP698525"
"17873","PstI-TP698540"
"17874","PstI-TP698562"
"17875","PstI-TP698568"
"17876","PstI-TP698604"
"17877","PstI-TP698613"
"17878","PstI-TP698636"
"17879","PstI-TP698646"
"17880","PstI-TP698681"
"17881","PstI-TP698685"
"17882","PstI-TP698749"
"17883","PstI-TP698767"
"17884","PstI-TP698787"
"17885","PstI-TP698791"
"17886","PstI-TP698798"
"17887","PstI-TP698805"
"17888","PstI-TP698835"
"17889","PstI-TP698841"
"17890","PstI-TP698852"
"17891","PstI-TP698910"
"17892","PstI-TP698926"
"17893","PstI-TP698938"
"17894","PstI-TP698939"
"17895","PstI-TP698941"
"17896","PstI-TP698945"
"17897","PstI-TP698952"
"17898","PstI-TP698973"
"17899","PstI-TP698977"
"17900","PstI-TP698981"
"17901","PstI-TP698989"
"17902","PstI-TP698994"
"17903","PstI-TP698997"
"17904","PstI-TP699001"
"17905","PstI-TP699024"
"17906","PstI-TP699069"
"17907","PstI-TP699094"
"17908","PstI-TP699131"
"17909","PstI-TP699139"
"17910","PstI-TP699168"
"17911","PstI-TP699178"
"17912","PstI-TP699225"
"17913","PstI-TP699270"
"17914","PstI-TP699289"
"17915","PstI-TP699294"
"17916","PstI-TP699309"
"17917","PstI-TP699336"
"17918","PstI-TP699351"
"17919","PstI-TP699366"
"17920","PstI-TP699506"
"17921","PstI-TP699515"
"17922","PstI-TP699535"
"17923","PstI-TP699747"
"17924","PstI-TP699758"
"17925","PstI-TP699766"
"17926","PstI-TP700009"
"17927","PstI-TP700039"
"17928","PstI-TP700043"
"17929","PstI-TP700084"
"17930","PstI-TP700182"
"17931","PstI-TP700186"
"17932","PstI-TP700255"
"17933","PstI-TP700265"
"17934","PstI-TP700311"
"17935","PstI-TP700315"
"17936","PstI-TP700381"
"17937","PstI-TP700409"
"17938","PstI-TP700420"
"17939","PstI-TP700464"
"17940","PstI-TP700499"
"17941","PstI-TP700543"
"17942","PstI-TP700559"
"17943","PstI-TP700605"
"17944","PstI-TP700622"
"17945","PstI-TP700670"
"17946","PstI-TP700678"
"17947","PstI-TP700698"
"17948","PstI-TP700714"
"17949","PstI-TP700724"
"17950","PstI-TP700730"
"17951","PstI-TP700737"
"17952","PstI-TP700770"
"17953","PstI-TP700800"
"17954","PstI-TP700810"
"17955","PstI-TP700816"
"17956","PstI-TP700839"
"17957","PstI-TP700867"
"17958","PstI-TP700913"
"17959","PstI-TP700914"
"17960","PstI-TP700924"
"17961","PstI-TP700927"
"17962","PstI-TP701020"
"17963","PstI-TP701035"
"17964","PstI-TP701112"
"17965","PstI-TP701128"
"17966","PstI-TP701142"
"17967","PstI-TP701145"
"17968","PstI-TP701151"
"17969","PstI-TP701227"
"17970","PstI-TP701234"
"17971","PstI-TP701290"
"17972","PstI-TP701304"
"17973","PstI-TP701332"
"17974","PstI-TP701341"
"17975","PstI-TP701364"
"17976","PstI-TP701371"
"17977","PstI-TP701431"
"17978","PstI-TP701435"
"17979","PstI-TP701465"
"17980","PstI-TP701473"
"17981","PstI-TP701519"
"17982","PstI-TP701565"
"17983","PstI-TP701577"
"17984","PstI-TP701591"
"17985","PstI-TP701596"
"17986","PstI-TP701610"
"17987","PstI-TP701619"
"17988","PstI-TP701629"
"17989","PstI-TP701641"
"17990","PstI-TP701649"
"17991","PstI-TP701692"
"17992","PstI-TP701699"
"17993","PstI-TP701716"
"17994","PstI-TP701730"
"17995","PstI-TP701747"
"17996","PstI-TP701749"
"17997","PstI-TP701806"
"17998","PstI-TP701916"
"17999","PstI-TP701939"
"18000","PstI-TP701952"
"18001","PstI-TP701976"
"18002","PstI-TP702010"
"18003","PstI-TP702045"
"18004","PstI-TP702088"
"18005","PstI-TP702101"
"18006","PstI-TP702115"
"18007","PstI-TP702120"
"18008","PstI-TP702221"
"18009","PstI-TP702222"
"18010","PstI-TP702267"
"18011","PstI-TP702268"
"18012","PstI-TP702280"
"18013","PstI-TP702373"
"18014","PstI-TP702408"
"18015","PstI-TP702454"
"18016","PstI-TP702471"
"18017","PstI-TP702483"
"18018","PstI-TP702492"
"18019","PstI-TP702494"
"18020","PstI-TP702563"
"18021","PstI-TP702574"
"18022","PstI-TP702612"
"18023","PstI-TP702616"
"18024","PstI-TP702632"
"18025","PstI-TP702639"
"18026","PstI-TP702663"
"18027","PstI-TP702711"
"18028","PstI-TP702740"
"18029","PstI-TP702748"
"18030","PstI-TP702779"
"18031","PstI-TP702815"
"18032","PstI-TP702855"
"18033","PstI-TP702861"
"18034","PstI-TP702922"
"18035","PstI-TP702961"
"18036","PstI-TP702968"
"18037","PstI-TP702986"
"18038","PstI-TP702993"
"18039","PstI-TP703008"
"18040","PstI-TP703027"
"18041","PstI-TP703032"
"18042","PstI-TP703045"
"18043","PstI-TP703057"
"18044","PstI-TP703067"
"18045","PstI-TP703083"
"18046","PstI-TP703138"
"18047","PstI-TP703180"
"18048","PstI-TP703425"
"18049","PstI-TP703553"
"18050","PstI-TP703574"
"18051","PstI-TP703594"
"18052","PstI-TP703610"
"18053","PstI-TP703640"
"18054","PstI-TP703729"
"18055","PstI-TP703807"
"18056","PstI-TP703873"
"18057","PstI-TP703889"
"18058","PstI-TP703892"
"18059","PstI-TP703934"
"18060","PstI-TP703969"
"18061","PstI-TP704021"
"18062","PstI-TP704084"
"18063","PstI-TP704092"
"18064","PstI-TP704096"
"18065","PstI-TP704102"
"18066","PstI-TP704141"
"18067","PstI-TP704243"
"18068","PstI-TP704244"
"18069","PstI-TP704280"
"18070","PstI-TP704281"
"18071","PstI-TP704290"
"18072","PstI-TP704299"
"18073","PstI-TP704307"
"18074","PstI-TP704330"
"18075","PstI-TP704354"
"18076","PstI-TP704363"
"18077","PstI-TP704412"
"18078","PstI-TP704438"
"18079","PstI-TP704464"
"18080","PstI-TP704530"
"18081","PstI-TP704538"
"18082","PstI-TP704553"
"18083","PstI-TP704563"
"18084","PstI-TP704569"
"18085","PstI-TP704596"
"18086","PstI-TP704615"
"18087","PstI-TP704648"
"18088","PstI-TP704663"
"18089","PstI-TP704666"
"18090","PstI-TP704667"
"18091","PstI-TP704687"
"18092","PstI-TP704692"
"18093","PstI-TP704813"
"18094","PstI-TP704818"
"18095","PstI-TP704825"
"18096","PstI-TP704895"
"18097","PstI-TP704912"
"18098","PstI-TP704923"
"18099","PstI-TP704986"
"18100","PstI-TP704997"
"18101","PstI-TP705125"
"18102","PstI-TP705137"
"18103","PstI-TP705200"
"18104","PstI-TP705332"
"18105","PstI-TP705350"
"18106","PstI-TP705353"
"18107","PstI-TP705377"
"18108","PstI-TP705392"
"18109","PstI-TP705394"
"18110","PstI-TP705428"
"18111","PstI-TP705555"
"18112","PstI-TP705575"
"18113","PstI-TP705627"
"18114","PstI-TP705628"
"18115","PstI-TP705638"
"18116","PstI-TP705672"
"18117","PstI-TP705676"
"18118","PstI-TP705700"
"18119","PstI-TP705712"
"18120","PstI-TP705742"
"18121","PstI-TP705780"
"18122","PstI-TP705826"
"18123","PstI-TP705829"
"18124","PstI-TP705840"
"18125","PstI-TP705851"
"18126","PstI-TP705948"
"18127","PstI-TP705958"
"18128","PstI-TP705967"
"18129","PstI-TP706026"
"18130","PstI-TP706044"
"18131","PstI-TP706096"
"18132","PstI-TP706192"
"18133","PstI-TP706194"
"18134","PstI-TP706227"
"18135","PstI-TP706248"
"18136","PstI-TP706276"
"18137","PstI-TP706281"
"18138","PstI-TP706285"
"18139","PstI-TP706314"
"18140","PstI-TP706329"
"18141","PstI-TP706342"
"18142","PstI-TP706369"
"18143","PstI-TP706401"
"18144","PstI-TP706415"
"18145","PstI-TP706451"
"18146","PstI-TP706479"
"18147","PstI-TP706482"
"18148","PstI-TP706541"
"18149","PstI-TP706555"
"18150","PstI-TP706576"
"18151","PstI-TP706584"
"18152","PstI-TP706588"
"18153","PstI-TP706596"
"18154","PstI-TP706607"
"18155","PstI-TP706629"
"18156","PstI-TP706632"
"18157","PstI-TP706641"
"18158","PstI-TP706661"
"18159","PstI-TP706666"
"18160","PstI-TP706687"
"18161","PstI-TP706722"
"18162","PstI-TP706730"
"18163","PstI-TP706800"
"18164","PstI-TP706810"
"18165","PstI-TP706841"
"18166","PstI-TP706848"
"18167","PstI-TP706856"
"18168","PstI-TP706931"
"18169","PstI-TP706987"
"18170","PstI-TP707014"
"18171","PstI-TP707030"
"18172","PstI-TP707082"
"18173","PstI-TP707195"
"18174","PstI-TP707331"
"18175","PstI-TP707367"
"18176","PstI-TP707424"
"18177","PstI-TP707504"
"18178","PstI-TP707537"
"18179","PstI-TP707547"
"18180","PstI-TP707578"
"18181","PstI-TP707691"
"18182","PstI-TP707693"
"18183","PstI-TP707700"
"18184","PstI-TP707704"
"18185","PstI-TP707735"
"18186","PstI-TP707736"
"18187","PstI-TP707750"
"18188","PstI-TP707759"
"18189","PstI-TP707831"
"18190","PstI-TP707839"
"18191","PstI-TP707848"
"18192","PstI-TP707862"
"18193","PstI-TP707872"
"18194","PstI-TP707940"
"18195","PstI-TP707947"
"18196","PstI-TP708002"
"18197","PstI-TP708099"
"18198","PstI-TP708114"
"18199","PstI-TP708344"
"18200","PstI-TP708377"
"18201","PstI-TP708386"
"18202","PstI-TP708407"
"18203","PstI-TP708436"
"18204","PstI-TP708473"
"18205","PstI-TP708504"
"18206","PstI-TP708511"
"18207","PstI-TP708524"
"18208","PstI-TP708536"
"18209","PstI-TP708539"
"18210","PstI-TP708548"
"18211","PstI-TP708580"
"18212","PstI-TP708588"
"18213","PstI-TP708719"
"18214","PstI-TP708734"
"18215","PstI-TP708745"
"18216","PstI-TP708829"
"18217","PstI-TP708834"
"18218","PstI-TP708871"
"18219","PstI-TP708909"
"18220","PstI-TP708955"
"18221","PstI-TP708962"
"18222","PstI-TP708979"
"18223","PstI-TP708980"
"18224","PstI-TP708986"
"18225","PstI-TP709008"
"18226","PstI-TP709029"
"18227","PstI-TP709057"
"18228","PstI-TP709060"
"18229","PstI-TP709086"
"18230","PstI-TP709097"
"18231","PstI-TP709105"
"18232","PstI-TP709133"
"18233","PstI-TP709161"
"18234","PstI-TP709169"
"18235","PstI-TP709257"
"18236","PstI-TP709296"
"18237","PstI-TP709310"
"18238","PstI-TP709313"
"18239","PstI-TP709320"
"18240","PstI-TP709334"
"18241","PstI-TP709505"
"18242","PstI-TP709528"
"18243","PstI-TP709539"
"18244","PstI-TP709634"
"18245","PstI-TP709703"
"18246","PstI-TP709737"
"18247","PstI-TP709752"
"18248","PstI-TP709754"
"18249","PstI-TP709755"
"18250","PstI-TP709777"
"18251","PstI-TP710226"
"18252","PstI-TP710257"
"18253","PstI-TP710272"
"18254","PstI-TP710301"
"18255","PstI-TP710312"
"18256","PstI-TP710367"
"18257","PstI-TP710432"
"18258","PstI-TP710466"
"18259","PstI-TP710476"
"18260","PstI-TP710499"
"18261","PstI-TP710507"
"18262","PstI-TP710573"
"18263","PstI-TP710614"
"18264","PstI-TP710627"
"18265","PstI-TP710636"
"18266","PstI-TP710662"
"18267","PstI-TP710667"
"18268","PstI-TP710702"
"18269","PstI-TP710730"
"18270","PstI-TP710752"
"18271","PstI-TP710823"
"18272","PstI-TP710861"
"18273","PstI-TP710895"
"18274","PstI-TP711110"
"18275","PstI-TP711159"
"18276","PstI-TP711286"
"18277","PstI-TP711327"
"18278","PstI-TP711331"
"18279","PstI-TP711376"
"18280","PstI-TP711381"
"18281","PstI-TP711436"
"18282","PstI-TP711454"
"18283","PstI-TP711666"
"18284","PstI-TP711670"
"18285","PstI-TP711684"
"18286","PstI-TP711759"
"18287","PstI-TP711886"
"18288","PstI-TP712118"
"18289","PstI-TP712175"
"18290","PstI-TP712192"
"18291","PstI-TP712210"
"18292","PstI-TP712273"
"18293","PstI-TP712350"
"18294","PstI-TP712352"
"18295","PstI-TP712386"
"18296","PstI-TP712389"
"18297","PstI-TP712552"
"18298","PstI-TP712566"
"18299","PstI-TP712609"
"18300","PstI-TP712633"
"18301","PstI-TP712677"
"18302","PstI-TP712689"
"18303","PstI-TP712698"
"18304","PstI-TP712711"
"18305","PstI-TP712761"
"18306","PstI-TP712774"
"18307","PstI-TP712786"
"18308","PstI-TP712845"
"18309","PstI-TP712883"
"18310","PstI-TP712902"
"18311","PstI-TP712918"
"18312","PstI-TP712933"
"18313","PstI-TP712946"
"18314","PstI-TP712963"
"18315","PstI-TP712979"
"18316","PstI-TP713037"
"18317","PstI-TP713057"
"18318","PstI-TP713059"
"18319","PstI-TP713079"
"18320","PstI-TP713081"
"18321","PstI-TP713105"
"18322","PstI-TP713389"
"18323","PstI-TP713417"
"18324","PstI-TP713432"
"18325","PstI-TP713465"
"18326","PstI-TP713502"
"18327","PstI-TP713541"
"18328","PstI-TP713556"
"18329","PstI-TP713557"
"18330","PstI-TP713559"
"18331","PstI-TP713587"
"18332","PstI-TP713740"
"18333","PstI-TP713758"
"18334","PstI-TP713777"
"18335","PstI-TP713801"
"18336","PstI-TP713871"
"18337","PstI-TP713933"
"18338","PstI-TP713994"
"18339","PstI-TP714009"
"18340","PstI-TP714024"
"18341","PstI-TP714039"
"18342","PstI-TP714065"
"18343","PstI-TP714069"
"18344","PstI-TP714149"
"18345","PstI-TP714241"
"18346","PstI-TP714252"
"18347","PstI-TP714267"
"18348","PstI-TP714290"
"18349","PstI-TP714411"
"18350","PstI-TP714414"
"18351","PstI-TP714416"
"18352","PstI-TP714463"
"18353","PstI-TP714477"
"18354","PstI-TP714483"
"18355","PstI-TP714526"
"18356","PstI-TP714565"
"18357","PstI-TP714640"
"18358","PstI-TP714651"
"18359","PstI-TP714660"
"18360","PstI-TP714710"
"18361","PstI-TP714715"
"18362","PstI-TP714739"
"18363","PstI-TP714769"
"18364","PstI-TP715121"
"18365","PstI-TP715144"
"18366","PstI-TP715170"
"18367","PstI-TP715177"
"18368","PstI-TP715191"
"18369","PstI-TP715266"
"18370","PstI-TP715387"
"18371","PstI-TP715410"
"18372","PstI-TP715411"
"18373","PstI-TP715412"
"18374","PstI-TP715414"
"18375","PstI-TP715417"
"18376","PstI-TP715435"
"18377","PstI-TP715461"
"18378","PstI-TP715521"
"18379","PstI-TP715527"
"18380","PstI-TP715557"
"18381","PstI-TP715597"
"18382","PstI-TP715598"
"18383","PstI-TP715604"
"18384","PstI-TP715640"
"18385","PstI-TP715984"
"18386","PstI-TP716030"
"18387","PstI-TP716056"
"18388","PstI-TP716078"
"18389","PstI-TP716101"
"18390","PstI-TP716120"
"18391","PstI-TP716205"
"18392","PstI-TP716307"
"18393","PstI-TP716321"
"18394","PstI-TP716538"
"18395","PstI-TP716541"
"18396","PstI-TP716545"
"18397","PstI-TP716553"
"18398","PstI-TP716556"
"18399","PstI-TP716571"
"18400","PstI-TP716582"
"18401","PstI-TP716618"
"18402","PstI-TP716669"
"18403","PstI-TP716758"
"18404","PstI-TP716778"
"18405","PstI-TP716830"
"18406","PstI-TP716862"
"18407","PstI-TP717007"
"18408","PstI-TP717339"
"18409","PstI-TP717414"
"18410","PstI-TP717531"
"18411","PstI-TP717722"
"18412","PstI-TP717887"
"18413","PstI-TP717900"
"18414","PstI-TP717913"
"18415","PstI-TP717947"
"18416","PstI-TP717975"
"18417","PstI-TP717998"
"18418","PstI-TP718032"
"18419","PstI-TP718102"
"18420","PstI-TP718114"
"18421","PstI-TP718162"
"18422","PstI-TP718192"
"18423","PstI-TP718204"
"18424","PstI-TP718215"
"18425","PstI-TP718243"
"18426","PstI-TP718284"
"18427","PstI-TP718397"
"18428","PstI-TP718411"
"18429","PstI-TP718438"
"18430","PstI-TP718521"
"18431","PstI-TP718526"
"18432","PstI-TP718528"
"18433","PstI-TP718531"
"18434","PstI-TP718552"
"18435","PstI-TP718563"
"18436","PstI-TP718639"
"18437","PstI-TP718641"
"18438","PstI-TP718716"
"18439","PstI-TP718762"
"18440","PstI-TP718792"
"18441","PstI-TP718837"
"18442","PstI-TP718838"
"18443","PstI-TP718840"
"18444","PstI-TP718858"
"18445","PstI-TP718897"
"18446","PstI-TP718962"
"18447","PstI-TP718982"
"18448","PstI-TP719095"
"18449","PstI-TP719140"
"18450","PstI-TP719177"
"18451","PstI-TP719239"
"18452","PstI-TP719262"
"18453","PstI-TP719377"
"18454","PstI-TP719448"
"18455","PstI-TP719551"
"18456","PstI-TP719575"
"18457","PstI-TP719645"
"18458","PstI-TP719659"
"18459","PstI-TP719661"
"18460","PstI-TP719742"
"18461","PstI-TP719780"
"18462","PstI-TP719810"
"18463","PstI-TP719864"
"18464","PstI-TP719892"
"18465","PstI-TP719900"
"18466","PstI-TP719928"
"18467","PstI-TP719933"
"18468","PstI-TP719984"
"18469","PstI-TP720017"
"18470","PstI-TP720104"
"18471","PstI-TP720109"
"18472","PstI-TP720110"
"18473","PstI-TP720120"
"18474","PstI-TP720214"
"18475","PstI-TP720229"
"18476","PstI-TP720237"
"18477","PstI-TP720257"
"18478","PstI-TP720296"
"18479","PstI-TP720319"
"18480","PstI-TP720344"
"18481","PstI-TP720349"
"18482","PstI-TP720409"
"18483","PstI-TP720410"
"18484","PstI-TP720436"
"18485","PstI-TP720443"
"18486","PstI-TP720483"
"18487","PstI-TP720500"
"18488","PstI-TP720502"
"18489","PstI-TP720590"
"18490","PstI-TP720591"
"18491","PstI-TP720593"
"18492","PstI-TP720739"
"18493","PstI-TP720765"
"18494","PstI-TP720767"
"18495","PstI-TP720780"
"18496","PstI-TP720806"
"18497","PstI-TP720842"
"18498","PstI-TP720893"
"18499","PstI-TP720919"
"18500","PstI-TP721154"
"18501","PstI-TP721289"
"18502","PstI-TP721351"
"18503","PstI-TP721355"
"18504","PstI-TP721359"
"18505","PstI-TP721446"
"18506","PstI-TP721468"
"18507","PstI-TP721503"
"18508","PstI-TP721511"
"18509","PstI-TP721525"
"18510","PstI-TP721533"
"18511","PstI-TP721551"
"18512","PstI-TP721585"
"18513","PstI-TP721601"
"18514","PstI-TP721638"
"18515","PstI-TP721763"
"18516","PstI-TP721771"
"18517","PstI-TP721795"
"18518","PstI-TP721827"
"18519","PstI-TP721838"
"18520","PstI-TP721885"
"18521","PstI-TP721920"
"18522","PstI-TP721970"
"18523","PstI-TP722002"
"18524","PstI-TP722023"
"18525","PstI-TP722033"
"18526","PstI-TP722041"
"18527","PstI-TP722052"
"18528","PstI-TP722060"
"18529","PstI-TP722077"
"18530","PstI-TP722093"
"18531","PstI-TP722171"
"18532","PstI-TP722220"
"18533","PstI-TP722225"
"18534","PstI-TP722242"
"18535","PstI-TP722257"
"18536","PstI-TP722282"
"18537","PstI-TP722291"
"18538","PstI-TP722342"
"18539","PstI-TP723420"
"18540","PstI-TP723433"
"18541","PstI-TP723452"
"18542","PstI-TP723512"
"18543","PstI-TP723526"
"18544","PstI-TP723544"
"18545","PstI-TP723553"
"18546","PstI-TP723575"
"18547","PstI-TP723584"
"18548","PstI-TP723592"
"18549","PstI-TP723603"
"18550","PstI-TP723610"
"18551","PstI-TP723650"
"18552","PstI-TP723747"
"18553","PstI-TP723769"
"18554","PstI-TP723879"
"18555","PstI-TP723923"
"18556","PstI-TP723937"
"18557","PstI-TP723955"
"18558","PstI-TP723971"
"18559","PstI-TP724007"
"18560","PstI-TP724037"
"18561","PstI-TP724051"
"18562","PstI-TP724056"
"18563","PstI-TP724065"
"18564","PstI-TP724158"
"18565","PstI-TP724187"
"18566","PstI-TP724256"
"18567","PstI-TP724289"
"18568","PstI-TP724300"
"18569","PstI-TP724315"
"18570","PstI-TP724326"
"18571","PstI-TP724332"
"18572","PstI-TP724345"
"18573","PstI-TP724399"
"18574","PstI-TP724436"
"18575","PstI-TP724444"
"18576","PstI-TP724455"
"18577","PstI-TP724472"
"18578","PstI-TP724544"
"18579","PstI-TP724562"
"18580","PstI-TP724567"
"18581","PstI-TP724579"
"18582","PstI-TP724661"
"18583","PstI-TP724677"
"18584","PstI-TP724701"
"18585","PstI-TP724704"
"18586","PstI-TP724754"
"18587","PstI-TP724829"
"18588","PstI-TP724884"
"18589","PstI-TP724910"
"18590","PstI-TP724939"
"18591","PstI-TP724945"
"18592","PstI-TP724950"
"18593","PstI-TP724992"
"18594","PstI-TP725004"
"18595","PstI-TP725152"
"18596","PstI-TP725179"
"18597","PstI-TP725219"
"18598","PstI-TP725265"
"18599","PstI-TP725292"
"18600","PstI-TP725380"
"18601","PstI-TP725387"
"18602","PstI-TP725418"
"18603","PstI-TP725433"
"18604","PstI-TP725489"
"18605","PstI-TP725599"
"18606","PstI-TP725609"
"18607","PstI-TP725723"
"18608","PstI-TP725828"
"18609","PstI-TP725868"
"18610","PstI-TP725918"
"18611","PstI-TP725928"
"18612","PstI-TP725931"
"18613","PstI-TP725932"
"18614","PstI-TP725955"
"18615","PstI-TP725975"
"18616","PstI-TP726117"
"18617","PstI-TP726225"
"18618","PstI-TP726231"
"18619","PstI-TP726235"
"18620","PstI-TP726297"
"18621","PstI-TP726312"
"18622","PstI-TP726350"
"18623","PstI-TP726521"
"18624","PstI-TP726570"
"18625","PstI-TP726619"
"18626","PstI-TP726643"
"18627","PstI-TP726787"
"18628","PstI-TP726798"
"18629","PstI-TP726810"
"18630","PstI-TP726861"
"18631","PstI-TP726864"
"18632","PstI-TP726865"
"18633","PstI-TP726878"
"18634","PstI-TP726922"
"18635","PstI-TP727001"
"18636","PstI-TP727010"
"18637","PstI-TP727016"
"18638","PstI-TP727092"
"18639","PstI-TP727107"
"18640","PstI-TP727161"
"18641","PstI-TP727316"
"18642","PstI-TP727323"
"18643","PstI-TP727384"
"18644","PstI-TP727385"
"18645","PstI-TP727388"
"18646","PstI-TP727392"
"18647","PstI-TP727393"
"18648","PstI-TP727464"
"18649","PstI-TP727468"
"18650","PstI-TP727472"
"18651","PstI-TP727602"
"18652","PstI-TP727705"
"18653","PstI-TP727839"
"18654","PstI-TP727952"
"18655","PstI-TP727957"
"18656","PstI-TP727994"
"18657","PstI-TP728020"
"18658","PstI-TP728082"
"18659","PstI-TP728172"
"18660","PstI-TP728220"
"18661","PstI-TP728267"
"18662","PstI-TP728285"
"18663","PstI-TP728315"
"18664","PstI-TP728319"
"18665","PstI-TP728330"
"18666","PstI-TP728362"
"18667","PstI-TP728365"
"18668","PstI-TP728669"
"18669","PstI-TP728699"
"18670","PstI-TP728701"
"18671","PstI-TP728711"
"18672","PstI-TP728732"
"18673","PstI-TP728733"
"18674","PstI-TP728734"
"18675","PstI-TP728736"
"18676","PstI-TP728746"
"18677","PstI-TP728749"
"18678","PstI-TP728805"
"18679","PstI-TP728878"
"18680","PstI-TP728889"
"18681","PstI-TP728979"
"18682","PstI-TP729120"
"18683","PstI-TP729129"
"18684","PstI-TP729133"
"18685","PstI-TP729189"
"18686","PstI-TP729285"
"18687","PstI-TP729343"
"18688","PstI-TP729345"
"18689","PstI-TP729376"
"18690","PstI-TP729378"
"18691","PstI-TP729384"
"18692","PstI-TP729387"
"18693","PstI-TP729433"
"18694","PstI-TP729511"
"18695","PstI-TP729563"
"18696","PstI-TP729649"
"18697","PstI-TP729651"
"18698","PstI-TP729689"
"18699","PstI-TP729720"
"18700","PstI-TP729769"
"18701","PstI-TP729802"
"18702","PstI-TP729855"
"18703","PstI-TP729877"
"18704","PstI-TP729894"
"18705","PstI-TP729908"
"18706","PstI-TP730004"
"18707","PstI-TP730008"
"18708","PstI-TP730118"
"18709","PstI-TP730140"
"18710","PstI-TP730163"
"18711","PstI-TP730168"
"18712","PstI-TP730182"
"18713","PstI-TP730183"
"18714","PstI-TP730230"
"18715","PstI-TP730365"
"18716","PstI-TP730410"
"18717","PstI-TP730438"
"18718","PstI-TP730440"
"18719","PstI-TP730455"
"18720","PstI-TP730477"
"18721","PstI-TP730549"
"18722","PstI-TP730555"
"18723","PstI-TP730560"
"18724","PstI-TP730563"
"18725","PstI-TP730575"
"18726","PstI-TP730580"
"18727","PstI-TP730593"
"18728","PstI-TP730687"
"18729","PstI-TP730722"
"18730","PstI-TP730739"
"18731","PstI-TP730744"
"18732","PstI-TP730762"
"18733","PstI-TP730777"
"18734","PstI-TP730794"
"18735","PstI-TP730818"
"18736","PstI-TP730974"
"18737","PstI-TP730976"
"18738","PstI-TP731038"
"18739","PstI-TP731067"
"18740","PstI-TP731126"
"18741","PstI-TP731228"
"18742","PstI-TP731286"
"18743","PstI-TP731328"
"18744","PstI-TP731332"
"18745","PstI-TP731358"
"18746","PstI-TP731403"
"18747","PstI-TP731415"
"18748","PstI-TP731425"
"18749","PstI-TP731477"
"18750","PstI-TP731518"
"18751","PstI-TP731608"
"18752","PstI-TP731634"
"18753","PstI-TP731680"
"18754","PstI-TP731711"
"18755","PstI-TP731791"
"18756","PstI-TP731804"
"18757","PstI-TP731868"
"18758","PstI-TP731871"
"18759","PstI-TP731882"
"18760","PstI-TP731916"
"18761","PstI-TP731949"
"18762","PstI-TP731968"
"18763","PstI-TP731974"
"18764","PstI-TP732014"
"18765","PstI-TP732042"
"18766","PstI-TP732081"
"18767","PstI-TP732156"
"18768","PstI-TP732197"
"18769","PstI-TP732461"
"18770","PstI-TP732464"
"18771","PstI-TP732481"
"18772","PstI-TP732544"
"18773","PstI-TP732598"
"18774","PstI-TP732599"
"18775","PstI-TP732662"
"18776","PstI-TP732685"
"18777","PstI-TP732707"
"18778","PstI-TP732787"
"18779","PstI-TP732827"
"18780","PstI-TP732874"
"18781","PstI-TP732877"
"18782","PstI-TP732900"
"18783","PstI-TP732906"
"18784","PstI-TP732923"
"18785","PstI-TP732929"
"18786","PstI-TP732951"
"18787","PstI-TP732959"
"18788","PstI-TP732992"
"18789","PstI-TP733014"
"18790","PstI-TP733086"
"18791","PstI-TP733089"
"18792","PstI-TP733182"
"18793","PstI-TP733316"
"18794","PstI-TP733331"
"18795","PstI-TP733357"
"18796","PstI-TP733506"
"18797","PstI-TP733510"
"18798","PstI-TP733530"
"18799","PstI-TP733544"
"18800","PstI-TP733607"
"18801","PstI-TP733612"
"18802","PstI-TP733651"
"18803","PstI-TP733684"
"18804","PstI-TP733717"
"18805","PstI-TP733743"
"18806","PstI-TP733771"
"18807","PstI-TP733780"
"18808","PstI-TP733948"
"18809","PstI-TP733957"
"18810","PstI-TP733958"
"18811","PstI-TP734017"
"18812","PstI-TP734053"
"18813","PstI-TP734071"
"18814","PstI-TP734074"
"18815","PstI-TP734120"
"18816","PstI-TP734168"
"18817","PstI-TP734189"
"18818","PstI-TP734193"
"18819","PstI-TP734361"
"18820","PstI-TP734428"
"18821","PstI-TP734462"
