Gene.1,gene.2,gene.3,gene.4,gene.5
,,,,Sb03g005800
,,,,Sb09g007940
,,,,Sb09g001060
,,,,Sb10g029330
,,,,Sb01g045420
,,,,Sb05g021412
,,,,Sb09g024790
,,,,Sb07g005350
,,,,Sb08g021750
,,,,Sb03g002935
,,,,Sb02g007740
,,,,Sb04g002810
,,,,Sb04g031680
,,,,Sb06g024135
,,,,Sb06g022880
,,,,Sb04g009150
,,,,Sb03g010280
,,,,Sb08g016610
,,,,Sb03g012690
,,,,Sb03g030570
,,,,Sb07g005750
,,,,Sb09g004660
,,,,Sb06g016500
,,,,Sb03g039220
,,,,Sb06g030130
,,,,Sb02g028540
,,,,Sb02g030730
,,,,Sb08g005513
,,,,Sb02g029570
,,,,Sb01g048900
,,,,Sb06g024380
,,,,Sb10g025600
,,,,Sb08g015240
,,,,Sb03g041220
,,,,Sb05g013840
,,,,Sb07g028310
,,,,Sb01g032640
,,,,Sb05g019030
,,,,Sb02g035930
,,,,Sb05g006550
,,,,Sb02g033080
,,,,Sb02g007700
,,,,Sb05g005480
,,,,Sb01g012710
,,,,Sb05g003300
,,,,Sb06g029850
,,,,Sb02g030120
,,,,Sb01g033855
,,,,Sb04g025430
,,,,Sb10g028150
,,,,Sb02g025150
,,,,Sb01g011900
,,,,Sb05g001190
,,,,Sb04g013790
,,,,Sb09g005610
,,,,Sb01g031540
,,,,Sb07g002380
,,,,Sb02g005580
,,,,Sb06g026500
,,,,Sb09g000630
,,,,Sb02g007166
,,,,Sb02g001670
,,,,Sb10g007293
,,,,Sb02g004000
,,,,Sb06g014550
,,,,Sb04g032030
,,,,Sb02g038810
,,,,Sb05g027380
,,,,Sb08g022145
,,,,Sb08g002655
,,,,Sb01g032590
,,,,Sb03g036160
,,,,Sb05g027785
,,,,Sb02g034370
,,,,Sb04g034136
,,,,Sb04g028755
,,,,Sb07g020100
,,,,Sb01g018740
,,,,Sb04g028830
,,,,Sb09g003060
,,,,Sb10g002890
,,,,Sb03g011950
,,,,Sb09g026640
,,,,Sb10g005840
,,,,Sb03g045800
,,,,Sb04g016950
,,,,Sb02g029590
,,,,Sb09g023870
,,,,Sb03g038210
,,,,Sb05g003946
,,,,Sb03g024480
,,,,Sb02g037340
,,,,Sb01g045470
,,,,Sb03g026430
,,,,Sb08g004920
,,,,Sb08g002170
,,,,Sb08g017520
,,,,Sb03g028240
,,,,Sb04g031740
,,,,Sb03g006920
,,,,Sb02g030020
,,,,Sb08g019550
,,,,Sb07g020750
,,,,Sb10g022440
,,,,Sb04g010420
,,,,Sb04g033820
,,,,Sb05g023110
,,,,Sb10g030380
,,,,Sb03g002090
,,,,Sb09g018860
,,,,Sb05g026890
,,,,Sb10g028070
,,,,Sb04g007990
,,,,Sb09g001860
,,,,Sb07g015110
,,,,Sb01g027960
,,,,Sb02g036836
,,,,Sb09g018310
,,,,Sb05g019810
,,,,Sb06g021280
,,,,Sb06g030750
,,,,Sb03g008190
,,,,Sb04g007270
,,,,Sb07g004700
,,,,Sb01g010270
,,,,Sb02g036060
,,,,Sb05g001380
,,,,Sb09g002300
,,,,Sb01g046680
,,,,Sb02g023770
,,,,Sb06g027920
,,,,Sb01g029620
,,,,Sb08g019270
,,,,Sb08g018850
,,,,Sb06g005000
,,,,Sb04g022990
,,,,Sb09g029300
,,,,Sb03g003760
,,,,Sb02g042680
,,,,Sb10g021140
,,,,Sb01g037850
,,,,Sb03g008100
,,,,Sb01g031030
,,,,Sb07g019930
,,,,Sb03g027040
,,,,Sb06g020720
,,,,Sb05g024450
,,,,Sb05g023510
,,,,Sb03g008560
,,,,Sb04g024930
,,,,Sb02g039400
,,,,Sb02g000670
,,,,Sb01g022490
,,,,Sb01g012100
,,,,Sb01g014270
,,,,Sb08g002380
,,,,Sb06g034010
,,,,Sb06g019530
,,,,Sb03g041210
,,,,Sb03g046300
,,,,Sb06g021210
,,,,Sb10g013030
,,,,Sb08g016370
,,,,Sb08g003270
,,,,Sb06g031805
,,,,Sb09g001010
,,,,Sb01g029410
,,,,Sb06g002500
,,,,Sb03g038270
,,,,Sb06g024390
,,,,Sb03g010820
,,,,Sb01g041570
,,,,Sb06g019560
,,,,Sb03g038810
,,,,Sb01g036205
,,,,Sb01g013300
,,,,Sb05g001390
,,,,Sb02g012400
,,,,Sb09g027610
,,,,Sb06g010870
,,,,Sb03g044050
,,,,Sb08g022890
,,,,Sb09g000870
,,,,Sb03g042320
,,,,Sb03g009400
,,,,Sb10g021680
,,,,Sb02g007390
,,,,Sb07g026330
,,,,Sb03g006890
,,,,Sb04g036150
,,,,Sb05g022940
,,,,Sb02g031950
,,,,Sb05g021870
,,,,Sb01g026270
,,,,Sb04g003110
,,,,Sb10g026660
,,,,Sb03g008800
,,,,Sb02g038940
,,,,Sb05g005856
,,,,Sb10g009990
,,,,Sb06g031910
,,,,Sb06g011772
,,,,Sb03g008330
,,,,Sb03g031150
,,,,Sb08g022390
,,,,Sb06g027800
,,,,Sb09g022700
,,,,Sb04g034240
,,,,Sb01g026170
,,,,Sb05g024210
,,,,Sb03g003530
,,,,Sb02g034060
,,,,Sb06g014900
,,,,Sb02g007650
,,,,Sb02g000930
,,,,Sb01g019200
,,,,Sb02g041310
,,,,Sb10g024260
,,,,Sb03g043410
,,,,Sb01g005150
,,,,Sb04g024380
,,,,Sb06g028800
,,,,Sb01g038650
,,,,Sb04g009750
,,,,Sb01g033510
,,,,Sb04g034690
,,,,Sb09g025520
,,,,Sb03g005490
,,,,Sb06g024770
,,,,Sb05g027400
,,,,Sb04g034520
,,,,Sb02g037210
,,,,Sb06g000780
,,,,Sb01g015990
,,,,Sb04g031700
,,,,Sb06g024970
,,,,Sb04g009690
,,,,Sb01g021200
,,,,Sb04g005350
,,,,Sb06g002520
,,,,Sb10g006580
,,,,Sb05g026490
,,,,Sb03g029150
,,,,Sb03g029380
,,,,Sb03g032150
,,,,Sb06g019050
,,,,Sb05g026690
,,,,Sb06g029780
,,,,Sb10g006910
,,,,Sb04g034200
,,,,Sb05g024830
,,,,Sb03g047330
,,,,Sb09g001250
,,,,Sb01g029210
,,,,Sb02g009680
,,,,Sb05g010328
,,,,Sb10g002610
,,,,Sb06g029250
,,,,Sb06g028210
,,,,Sb06g018480
,,,,Sb06g001175
,,,,Sb10g006050
,,,,Sb01g037560
,,,,Sb09g029050
,,,,Sb09g001120
,,,,Sb01g026400
,,,,Sb10g025590
,,,,Sb05g027150
,,,,Sb02g027090
,,,,Sb03g039710
,,,,Sb02g007750
,,,,Sb03g044020
,,,,Sb07g028320
,,,,Sb08g004260
,,,,Sb03g040790
,,,,Sb03g026790
,,,,Sb01g035010
,,,,Sb08g005570
,,,,Sb05g025080
,,,,Sb04g033380
,,,,Sb03g028880
,,,,Sb04g037180
,,,,Sb04g004120
,,,,Sb10g027660
,,,,Sb04g012680
,,,,Sb01g023320
,,,,Sb03g029160
,,,,Sb04g028380
,,,,Sb01g038720
,,,,Sb07g022340
,,,,Sb05g017980
,,,,Sb07g028090
,,,,Sb03g009060
,,,,Sb04g003250
,,,,Sb06g022870
,,,,Sb03g047230
,,,,Sb01g048095
,,,,Sb01g013740
,,,,Sb01g020530
,,,,Sb01g045170
,,,,Sb05g009125
,,,,Sb01g021870
,,,,Sb01g007965
,,,,Sb02g043720
,,,,Sb06g028680
,,,,Sb03g005840
,,,,Sb04g002800
,,,,Sb05g019180
,,,,Sb06g017417
,,,,Sb06g022450
,,,,Sb06g000340
,,,,Sb08g003850
,,,,Sb05g018030
,,,,Sb02g030340
,,,,Sb05g007030
,,,,Sb04g032280
,,,,Sb09g028290
,,,,Sb10g025150
,,,,Sb01g016450
,,,,Sb10g026040
,,,,Sb01g023100
,,,,Sb02g001460
,,,,Sb06g021250
,,,,Sb05g019020
,,,,Sb02g001970
,,,,Sb02g026620
,,,,Sb02g026160
,,,,Sb04g024130
,,,,Sb03g036100
,,,,Sb05g026990
,,,,Sb07g005210
,,,,Sb03g040840
,,,,Sb03g045460
,,,,Sb08g022400
,,,,Sb06g002870
,,,,Sb06g001960
,,,,Sb02g003436
,,,,Sb07g023470
,,,,Sb01g022080
,,,,Sb06g014950
,,,,Sb04g025680
,,,,Sb01g036240
,,,,Sb03g046210
,,,,Sb04g027250
,,,,Sb02g028680
,,,,Sb01g014550
,,,,Sb01g018600
,,,,Sb01g011000
,,,,Sb01g001860
,,,,Sb08g019960
,,,,Sb02g007280
,,,,Sb02g008070
,,,,Sb08g005390
,,,,Sb06g018698
,,,,Sb05g025360
,,,,Sb01g034320
,,,,Sb08g000600
,,,,Sb03g026630
,,,,Sb02g003510
,,,,Sb05g000310
,,,,Sb07g028920
,,,,Sb04g023760
,,,,Sb03g036190
,,,,Sb03g024260
,,,,Sb10g021610
,,,,Sb01g012590
,,,,Sb03g001070
,,,,Sb02g028370
,,,,Sb03g006210
,,,,Sb09g001000
,,,,Sb02g030740
,,,,Sb06g001040
,,,,Sb01g040000
,,,,Sb03g046890
,,,,Sb01g034720
,,,,Sb03g008000
,,,,Sb03g011430
,,,,Sb09g027770
,,,,Sb03g004150
,,,,Sb01g013760
,,,,Sb02g028000
,,,,Sb04g000920
,,,,Sb03g037700
,,,,Sb01g038670
,,,,Sb05g026200
,,,,Sb10g022340
,,,,Sb01g026600
,,,,Sb05g026276
,,,,Sb10g029590
,,,,Sb04g031000
,,,,Sb05g007310
,,,,Sb01g049940
,,,,Sb04g027650
,,,,Sb01g001893
,,,,Sb06g025936
,,,,Sb04g000980
,,,,Sb08g022440
,,,,Sb03g032050
,,,,Sb03g008010
,,,,Sb02g003010
,,,,Sb01g012050
,,,,Sb03g028270
,,,,Sb07g003040
,,,,Sb02g011895
,,,,Sb04g019730
,,,,Sb07g007720
,,,,Sb06g023860
,,,,Sb08g021390
,,,,Sb02g000220
,,,,Sb0139s002020
,,,,Sb07g005710
,,,,Sb04g024250
,,,,Sb08g001610
,,,,Sb10g027100
,,,,Sb06g026470
,,,,Sb05g021173
,,,,Sb01g028270
,,,,Sb08g016550
,,,,Sb10g008930
,,,,Sb02g041820
,,,,Sb05g004910
,,,,Sb10g021700
,,,,Sb03g039990
,,,,Sb10g007240
,,,,Sb06g011770
,,,,Sb01g016396
,,,,Sb01g031900
,,,,Sb06g028090
,,,,Sb10g020870
,,,,Sb09g018280
,,,,Sb06g031740
,,,,Sb09g004520
,,,,Sb01g047780
,,,,Sb03g026840
,,,,Sb03g043960
,,,,Sb09g001940
,,,,Sb08g017540
,,,,Sb03g032930
,,,,Sb03g009110
,,,,Sb07g027710
,,,,Sb03g043680
,,,,Sb06g015080
,,,,Sb04g000260
,,,,Sb05g022480
,,,,Sb06g020740
,,,,Sb03g046840
,,,,Sb05g001200
,,,,Sb04g024390
,,,,Sb02g043060
,,,,Sb01g041170
,,,,Sb05g000600
,,,,Sb08g018265
,,,,Sb09g025090
,,,,Sb09g021000
,,,,Sb03g008970
,,,,Sb04g009670
,,,,Sb03g043660
,,,,Sb01g044960
,,,,Sb01g005350
,,,,Sb04g023060
,,,,Sb02g007965
,,,,Sb02g020430
,,,,Sb02g011100
,,,,Sb07g005880
,,,,Sb08g023150
,,,,Sb01g015640
,,,,Sb05g026650
,,,,Sb10g009010
,,,,Sb02g030060
,,,,Sb09g017210
,,,,Sb09g021780
,,,,Sb04g023570
,,,,Sb05g003920
,,,,Sb01g008810
,,,,Sb03g011200
,,,,Sb06g018650
,,,,Sb10g029280
,,,,Sb08g003520
,,,,Sb03g031670
,,,,Sb02g033700
,,,,Sb01g042160
,,,,Sb06g000820
,,,,Sb03g004540
,,,,Sb05g021680
,,,,Sb03g046337
,,,,Sb01g000500
,,,,Sb10g009820
,,,,Sb08g004960
,,,,Sb05g022280
,,,,Sb03g043720
,,,,Sb03g026640
,,,,Sb05g016880
,,,,Sb08g017120
,,,,Sb04g033710
,,,,Sb02g005380
,,,,Sb06g001690
,,,,Sb04g021680
,,,,Sb03g007210
,,,,Sb07g024280
,,,,Sb09g004850
,,,,Sb04g029440
,,,,Sb03g029890
,,,,Sb08g023067
,,,,Sb05g026680
,,,,Sb03g011290
,,,,Sb05g024200
,,,,Sb01g049030
,,,,Sb09g004750
,,,,Sb08g007570
,,,,Sb05g004560
,,,,Sb02g040490
,,,,Sb05g023873
,,,,Sb03g003650
,,,,Sb09g001750
,,,,Sb03g046070
,,,,Sb07g003150
,,,,Sb09g006536
,,,,Sb03g009970
,,,,Sb01g036180
,,,,Sb04g033705
,,,,Sb01g049710
,,,,Sb05g024565
,,,,Sb04g003210
,,,,Sb06g022940
,,,,Sb10g008750
,,,,Sb03g028700
,,,,Sb05g022730
,,,,Sb03g003280
,,,,Sb02g009660
,,,,Sb04g024800
,,,,Sb05g008470
,,,,Sb03g045860
,,,,Sb02g002760
,,,,Sb07g026980
,,,,Sb03g008980
,,,,Sb05g026820
,,,,Sb02g030880
,,,,Sb04g026190
,,,,Sb06g027090
,,,,Sb05g003400
,,,,Sb01g044050
,,,,Sb03g040841
,,,,Sb10g015690
,,,,Sb01g039360
,,,,Sb02g040190
,,,,Sb07g006210
,,,,Sb03g043420
,,,,Sb01g040710
,,,,Sb01g042210
,,,,Sb01g023050
,,,,Sb02g007360
,,,,Sb02g035440
,,,,Sb04g022860
,,,,Sb03g041200
,,,,Sb09g018250
,,,,Sb06g003180
,,,,Sb04g009860
,,,,Sb04g035465
,,,,Sb08g021000
,,,,Sb04g036850
,,,,Sb01g014890
,,,,Sb01g049800
,,,,Sb01g045180
,,,,Sb02g030500
,,,,Sb10g000510
,,,,Sb06g033940
,,,,Sb01g048100
,,,,Sb01g037920
,,,,Sb02g031720
,,,,Sb02g025675
,,,,Sb02g031390
,,,,Sb02g020475
,,,,Sb10g011170
,,,,Sb06g026170
,,,,Sb04g001800
,,,,Sb01g036670
,,,,Sb01g016390
,,,,Sb05g008570
,,,,Sb06g020240
,,,,Sb06g021610
,,,,Sb03g038840
,,,,Sb02g008065
,,,,Sb02g034100
,,,,Sb01g021190
,,,,Sb01g045620
,,,,Sb03g039410
,,,,Sb04g026570
,,,,Sb01g048460
,,,,Sb02g040060
,,,,Sb01g035570
,,,,Sb04g035440
,,,,Sb02g038790
,,,,Sb03g032380
,,,,Sb07g022650
,,,,Sb02g008900
,,,,Sb09g020230
,,,,Sb06g002200
,,,,Sb03g008350
,,,,Sb04g003850
,,,,Sb03g042400
,,,,Sb08g001440
,,,,Sb02g035530
,,,,Sb07g021860
,,,,Sb04g000940
,,,,Sb04g000950
,,,,Sb02g035920
,,,,Sb02g032300
,,,,Sb05g026090
,,,,Sb10g002870
,,,,Sb02g005350
,,,,Sb09g005340
,,,,Sb03g037085
,,,,Sb04g007640
,,,,Sb02g031150
,,,,Sb10g000970
,,,,Sb03g043430
,,,,Sb08g000420
,,,,Sb05g022950
,,,,Sb10g003230
,,,,Sb08g018600
,,,,Sb10g025880
,,,,Sb09g001050
,,,,Sb05g003190
,,,,Sb01g003000
,,,,Sb04g035030
,,,,Sb02g003330
,,,,Sb03g044790
,,,,Sb10g009090
,,,,Sb04g034680
,,,,Sb08g005520
,,,,Sb05g022570
,,,,Sb01g009040
,,,,Sb02g028200
,,,,Sb04g029100
,,,,Sb08g003140
,,,,Sb01g042330
,,,,Sb01g013790
,,,,Sb08g013840
,,,,Sb01g042120
,,,,Sb04g004370
,,,,Sb02g001280
,,,,Sb07g027180
,,,,Sb09g019940
,,,,Sb08g004200
,,,,Sb07g003270
,,,,Sb06g017410
,,,,Sb06g031920
,,,,Sb05g019210
,,,,Sb10g026030
,,,,Sb3219s002010
,,,,Sb05g023710
,,,,Sb02g022060
,,,,Sb04g028360
,,,,Sb06g014320
,,,,Sb03g000550
,,,,Sb02g032085
,,,,Sb01g022300
,,,,Sb07g028370
,,,,Sb03g008170
,,,,Sb07g002950
,,,,Sb02g009850
,,,,Sb06g029420
,,,,Sb07g026870
,,,,Sb03g028640
,,,,Sb05g022260
,,,,Sb01g005720
,,,,Sb08g015290
,,,,Sb04g027470
,,,,Sb02g009870
,,,,Sb09g019020
,,,,Sb06g028750
,,,,Sb06g020180
,,,,Sb04g017170
,,,,Sb04g023545
,,,,Sb04g034720
,,,,Sb08g002320
,,,,Sb10g023010
,,,,Sb06g001640
,,,,Sb02g001340
,,,,Sb10g005770
,,,,Sb07g020430
,,,,Sb04g000200
,,,,Sb10g007770
,,,,Sb03g000960
,,,,Sb08g004120
,,,,Sb07g002265
,,,,Sb06g001920
,,,,Sb04g025260
,,,,Sb08g008410
,,,,Sb02g041890
,,,,Sb05g018970
,,,,Sb01g009950
,,,,Sb04g000690
,,,,Sb04g031790
,,,,Sb10g001770
,,,,Sb02g030320
,,,,Sb02g030480
,,,,Sb01g011500
,,,,Sb07g023700
,,,,Sb09g018300
,,,,Sb04g008640
,,,,Sb02g029580
,,,,Sb10g002290
,,,,Sb07g005596
,,,,Sb04g026690
,,,,Sb02g031170
,,,,Sb09g025990
,,,,Sb06g014790
,,,,Sb07g027795
,,,,Sb06g003250
,,,,Sb08g005430
,,,,Sb06g005420
,,,,Sb03g006415
,,,,Sb01g010420
,,,,Sb01g014400
,,,,Sb06g018680
,,,,Sb08g004580
,,,,Sb02g037790
,,,,Sb07g002840
,,,,Sb03g039800
,,,,Sb09g027030
,,,,Sb02g022290
,,,,Sb01g016900
,,,,Sb03g038200
,,,,Sb02g006920
,,,,Sb05g000390
,,,,Sb09g007360
,,,,Sb03g039405
,,,,Sb01g007630
,,,,Sb10g022010
,,,,Sb05g025670
,,,,Sb05g005980
,,,,Sb04g005960
,,,,Sb02g035140
,,,,Sb07g020690
,,,,Sb04g034140
,,,,Sb01g015330
,,,,Sb05g004660
,,,,Sb03g001960
,,,,Sb07g007710
,,,,Sb10g009140
,,,,Sb01g026660
,,,,Sb07g005480
,,,,Sb01g040700
,,,,Sb01g002350
,,,,Sb01g027250
,,,,Sb04g000700
,,,,Sb02g004380
,,,,Sb03g001990
,,,,Sb04g029255
,,,,Sb10g021935
,,,,Sb03g044870
,,,,Sb04g023200
,,,,Sb10g024770
,,,,Sb02g028130
,,,,Sb10g010410
,,,,Sb01g005440
,,,,Sb02g002960
,,,,Sb07g023750
,,,,Sb09g001200
,,,,Sb01g007640
,,,,Sb01g007220
,,,,Sb05g001430
,,,,Sb04g038040
,,,,Sb02g036090
,,,,Sb01g021110
,,,,Sb04g007500
,,,,Sb03g008260
,,,,Sb03g009370
,,,,Sb05g009350
,,,,Sb08g000430
,,,,Sb09g003580
,,,,Sb03g004380
,,,,Sb04g031630
,,,,Sb10g009950
,,,,Sb01g032990
,,,,Sb05g018936
,,,,Sb10g025910
,,,,Sb09g021420
,,,,Sb02g038780
,,,,Sb07g002060
,,,,Sb07g004720
,,,,Sb10g020960
,,,,Sb04g023170
,,,,Sb09g018930
,,,,Sb02g043260
,,,,Sb03g036610
,,,,Sb03g045270
,,,,Sb02g010730
,,,,Sb10g025740
,,,,Sb01g037290
,,,,Sb05g021700
,,,,Sb05g001560
,,,,Sb05g024940
,,,,Sb01g040690
,,,,Sb01g039390
,,,,Sb02g042115
,,,,Sb07g024090
,,,,Sb04g024290
,,,,Sb03g032110
,,,,Sb06g022720
,,,,Sb03g043400
,,,,Sb04g035130
,,,,Sb08g002680
,,,,Sb03g035800
,,,,Sb06g021860
,,,,Sb05g024105
,,,,Sb05g026140
,,,,Sb01g033010
,,,,Sb01g032300
,,,,Sb01g029340
,,,,Sb02g026680
,,,,Sb07g026040
,,,,Sb01g034710
,,,,Sb05g002640
,,,,Sb01g026780
,,,,Sb03g040590
,,,,Sb03g033440
,,,,Sb10g003130
,,,,Sb02g035320
,,,,Sb02g026070
,,,,Sb06g025330
,,,,Sb01g027620
,,,,Sb07g014960
,,,,Sb06g015590
,,,,Sb04g005520
,,,,Sb04g026430
,,,,Sb03g011450
,,,,Sb04g005760
,,,,Sb07g025900
,,,,Sb01g035710
,,,,Sb04g036250
,,,,Sb06g025900
,,,,Sb01g044290
,,,,Sb03g045410
,,,,Sb07g003180
,,,,Sb05g026816
,,,,Sb01g036700
,,,,Sb04g022070
,,,,Sb01g029660
,,,,Sb01g033980
,,,,Sb02g010065
,,,,Sb01g001530
,,,,Sb01g011890
,,,,Sb04g032890
,,,,Sb01g020380
,,,,Sb02g001410
,,,,Sb05g001840
,,,,Sb01g005240
,,,,Sb02g041880
,,,,Sb09g028340
,,,,Sb05g027000
,,,,Sb10g026460
,,,,Sb09g024230
,,,,Sb02g036340
,,,,Sb08g023190
,,,,Sb02g002020
,,,,Sb01g015650
,,,,Sb10g008213
,,,,Sb02g034690
,,,,Sb03g004730
,,,,Sb10g022780
,,,,Sb09g030670
,,,,Sb09g024680
,,,,Sb03g007780
,,,,Sb04g009170
,,,,Sb06g014400
,,,,Sb03g028760
,,,,Sb10g010350
,,,,Sb01g031250
,,,,Sb10g010060
,,,,Sb02g037310
,,,,Sb02g033250
,,,,Sb03g032100
,,,,Sb06g008990
,,,,Sb07g000280
,,,,Sb02g035110
,,,,Sb05g021030
,,,,Sb08g002210
,,,,Sb02g000230
,,,,Sb01g032040
,,,,Sb04g007600
,,,,Sb04g034160
,,,,Sb02g023650
,,,,Sb02g007990
,,,,Sb06g000656
,,,,Sb06g021240
,,,,Sb01g002723
,,,,Sb04g003630
,,,,Sb09g028310
,,,,Sb01g010165
,,,,Sb02g041790
,,,,Sb02g034940
,,,,Sb05g004170
,,,,Sb09g025540
,,,,Sb08g022520
,,,,Sb06g029550
,,,,Sb01g002670
,,,,Sb05g007043
,,,,Sb04g024460
,,,,Sb09g001320
,,,,Sb05g006190
,,,,Sb07g003870
,,,,Sb06g014840
,,,,Sb05g026480
,,,,Sb02g025870
,,,,Sb01g047490
,,,,Sb02g010060
,,,,Sb05g021330
